Date,Open,High,Low,Close,Volume
2025-07-11,7.87,8.16,7.74,7.97,344630
2025-07-14,7.9,8.3085,7.575,7.97,401286
2025-07-15,8.08,8.1571,7.65,7.79,337862
2025-07-16,7.75,7.92,7.52,7.85,339365
2025-07-17,7.84,8.16,7.78,8.09,318232
2025-07-18,8.26,8.29,7.905,7.93,251984
2025-07-21,8.03,8.13,7.58,7.67,259233
2025-07-22,7.55,7.895,7.55,7.75,304649
2025-07-23,7.86,8.44,7.76,8.02,634618
2025-07-24,8.02,8.26,7.84,8.19,339837
2025-07-25,8.22,8.295,7.61,7.72,325383
2025-07-28,7.91,8.21,7.669,8.13,236656
2025-07-29,8.19,8.21,7.77,8.16,302903
2025-07-30,8.08,8.08,7.49,7.57,262875
2025-07-31,7.48,7.6058,6.94,7.02,496359
2025-08-01,6.88,6.88,6.34,6.51,403871
2025-08-04,6.47,6.58,6.3501,6.58,301987
2025-08-05,6.67,6.89,6.57,6.74,344625
2025-08-06,6.72,6.9486,6.095,6.27,716236
2025-08-07,6.0,6.5226,5.88,6.12,582241
2025-08-08,6.26,6.55,6.08,6.31,548734
2025-08-11,6.35,6.455,6.08,6.09,530941
2025-08-12,6.21,6.545,6.12,6.32,811028
2025-08-13,3.979,3.98,3.6,3.63,14935935
2025-08-14,3.73,3.74,3.47,3.51,4898917
2025-08-15,3.52,3.7,3.43,3.54,3328975
2025-08-18,3.58,3.98,3.55,3.85,5064663
2025-08-19,3.89,4.08,3.74,3.95,3378883
2025-08-20,3.86,3.9599,3.73,3.89,1206987
2025-08-21,3.91,3.98,3.785,3.8,1820558
2025-08-22,3.8,4.085,3.78,4.01,2236651
2025-08-25,3.98,4.248,3.8725,4.11,1562103
2025-08-26,4.09,4.2385,4.005,4.03,1311714
2025-08-27,3.99,4.24,3.98,4.15,1323728
2025-08-28,4.23,4.255,4.055,4.23,1386463
2025-08-29,4.19,4.21,3.935,4.0,1524103
2025-09-02,3.93,4.0255,3.84,3.93,905594
2025-09-03,3.88,3.9389,3.69,3.81,1168567
2025-09-04,3.76,3.883322,3.73,3.81,724977
2025-09-05,3.85,3.865,3.66,3.84,1649659
2025-09-08,3.87,3.94,3.735,3.84,1117924
2025-09-09,3.83,3.92,3.68,3.68,942652
2025-09-10,3.86,3.96,3.7714,3.88,1492784
2025-09-11,3.87,4.04,3.82,3.9,1216609
2025-09-12,3.88,3.98,3.75,3.75,968725
2025-09-15,3.75,3.8,3.62,3.71,1679963
2025-09-16,3.76,3.9,3.68,3.87,1550215
2025-09-17,3.83,3.9194,3.635,3.71,1430690
2025-09-18,3.75,3.84,3.7,3.73,907658
2025-09-19,3.73,3.745,3.515,3.59,3197468
2025-09-22,3.56,3.66,3.53,3.62,2500146
2025-09-23,3.65,4.02,3.62,3.64,2834313
2025-09-24,3.69,3.91,3.69,3.79,1772297
2025-09-25,3.75,3.85,3.63,3.71,1545596
2025-09-26,3.71,3.92,3.71,3.77,1284201
2025-09-29,3.74,3.78,3.65,3.73,1001690
2025-09-30,3.7,3.73,3.611,3.7,1578665
2025-10-01,3.68,4.017,3.66,3.96,1735620
2025-10-02,3.98,4.07,3.93,4.0,1242192
2025-10-03,4.02,4.23,4.015,4.17,1413491
2025-10-06,4.21,4.32,4.105,4.22,1582974
2025-10-07,4.25,4.32,4.04,4.1,950857
2025-10-08,4.15,4.26,4.085,4.15,909353
2025-10-09,4.17,4.2,3.93,4.01,902357
2025-10-10,3.97,3.99,3.65,3.66,2183536
2025-10-13,3.72,3.8,3.61,3.74,1159866
2025-10-14,3.68,3.75,3.5601,3.71,1322304
2025-10-15,3.74,3.85,3.68,3.75,1179186
2025-10-16,3.75,3.78,3.6,3.73,1682155
2025-10-17,3.65,3.82,3.57,3.65,1894416
2025-10-20,3.65,3.96,3.65,3.94,1284428
2025-10-21,3.96,4.1,3.875,3.94,921596
2025-10-22,3.94,4.01,3.7,3.8,1520267
2025-10-23,3.95,4.39,3.93,4.36,1659568
2025-10-24,4.4,4.52,4.28,4.31,899808
2025-10-27,4.39,4.51,4.29,4.31,897911
2025-10-28,4.28,4.37,4.19,4.35,1047039
2025-10-29,4.42,5.465,4.42,5.4,3198916
2025-10-30,5.15,5.555,5.01,5.27,2557910
2025-10-31,5.3,5.58,5.11,5.47,2421049
2025-11-03,5.39,5.865,5.3,5.54,2414534
2025-11-04,5.27,5.508,5.07,5.12,2001209
2025-11-05,5.16,5.33,5.07,5.27,1337459
2025-11-06,5.35,5.54,5.095,5.11,921152
2025-11-07,5.07,5.11,4.87,5.03,1409803
2025-11-10,4.3,4.51,4.01,4.015,3752792
2025-11-11,4.02,4.375,3.98,4.25,1653644
2025-11-12,4.2,4.25,3.8,3.815,1665705
2025-11-13,3.82,3.855,3.62,3.7,2577585
2025-11-14,3.65,3.825,3.57,3.82,2054861
2025-11-17,3.81,4.0394,3.725,3.84,1474523
2025-11-18,3.77,3.89,3.695,3.78,1046719
2025-11-19,3.7,3.785,3.55,3.56,1057411
2025-11-20,3.63,3.73,3.27,3.31,1953594
2025-11-21,3.32,3.33,3.18,3.24,1545725
2025-11-24,3.27,3.3,3.12,3.19,2093634
2025-11-25,3.14,3.36,3.08,3.36,1734400
2025-11-26,3.4,3.48,3.285,3.43,1040116
2025-11-28,3.44,3.61,3.3645,3.54,456378
2025-12-01,3.54,3.85,3.4812,3.7,1670257
2025-12-02,3.68,3.73,3.5909,3.63,1103863
2025-12-03,3.67,4.385,3.64,4.27,2452272
2025-12-04,4.27,4.39,4.06,4.34,1900600
2025-12-05,4.41,4.4102,4.22,4.24,1189800
2025-12-08,4.22,4.2783,4.04,4.12,979488
2025-12-09,4.11,4.5,4.11,4.49,1247486
2025-12-10,4.48,4.64,4.38,4.53,850459
2025-12-11,4.48,4.62,4.385,4.48,844480
2025-12-12,4.48,4.535,4.12,4.16,789191
2025-12-15,4.14,4.22,4.02,4.16,630237
2025-12-16,4.09,4.14,3.775,3.89,1205018
2025-12-17,3.91,4.035,3.89,3.94,1021228
2025-12-18,3.96,3.995,3.865,3.89,736462
2025-12-19,3.89,4.01,3.805,3.81,2443415
2025-12-22,3.83,3.95,3.75,3.76,841160
2025-12-23,3.77,3.81,3.7099,3.79,713120
2025-12-24,3.81,3.82,3.74,3.78,403992
2025-12-26,3.76,3.795,3.675,3.75,559677
2025-12-29,3.75,3.8913,3.73,3.75,875669
