Date,Open,High,Low,Close,Volume
2024-01-02,3.92,3.9475,3.87,3.92,146633
2024-01-03,3.9,3.97,3.88,3.89,127466
2024-01-04,3.91,3.91,3.82,3.82,89392
2024-01-05,3.81,3.875,3.65,3.84,132636
2024-01-08,3.86,3.9,3.82,3.89,88655
2024-01-09,3.86,3.9182,3.83,3.89,137361
2024-01-10,3.89,3.89,3.76,3.78,106503
2024-01-11,3.79,3.87,3.725,3.76,110477
2024-01-12,3.81,3.83,3.71,3.75,121561
2024-01-16,3.66,3.83,3.66,3.73,132936
2024-01-17,3.7,3.77,3.69,3.73,81632
2024-01-18,3.74,3.75,3.7,3.75,86728
2024-01-19,3.75,3.8301,3.68,3.79,202440
2024-01-22,3.88,3.94,3.85,3.94,174732
2024-01-23,3.98,4.0101,3.935,4.0,135255
2024-01-24,4.04,4.09,3.97,4.0,109022
2024-01-25,4.05,4.12,4.01,4.06,118221
2024-01-26,4.09,4.1,4.01,4.06,69053
2024-01-29,4.05,4.49,4.025,4.14,334195
2024-01-30,4.15,4.159,4.02,4.03,78673
2024-01-31,4.02,4.1,3.91,3.91,218996
2024-02-01,3.94,4.025,3.91,3.96,117707
2024-02-02,3.92,4.06,3.91,3.97,128500
2024-02-05,3.97,4.01,3.8,3.81,322183
2024-02-06,3.8,3.905,3.78,3.88,191948
2024-02-07,3.88,3.92,3.82,3.87,232740
2024-02-08,4.25,4.3,4.15,4.26,422620
2024-02-09,4.29,4.395,4.2301,4.36,277380
2024-02-12,4.33,4.36,4.24,4.32,256067
2024-02-13,4.27,4.34,4.16,4.18,219463
2024-02-14,4.23,4.33,4.22,4.32,197876
2024-02-15,4.38,4.4,4.3,4.35,192134
2024-02-16,4.33,4.34,4.19,4.19,126306
2024-02-20,4.15,4.22,4.04,4.08,184411
2024-02-21,4.07,4.18,4.0,4.02,136985
2024-02-22,4.0,4.055,3.965,4.01,153331
2024-02-23,4.02,4.05,3.99,4.0,117485
2024-02-26,4.03,4.0427,3.95,3.97,122450
2024-02-27,3.98,4.019,3.96,4.0,81911
2024-02-28,3.98,4.03,3.97,3.97,121274
2024-02-29,4.05,4.05,3.97,4.04,145642
2024-03-01,4.05,4.09,4.025,4.06,93136
2024-03-04,4.07,4.11,4.03,4.06,171853
2024-03-05,4.06,4.07,3.94,3.94,170353
2024-03-06,3.99,3.99,3.92,3.92,140664
2024-03-07,3.94,4.03,3.94,4.01,83698
2024-03-08,4.05,4.065,3.99,4.02,100271
2024-03-11,4.01,4.03,4.0,4.02,67386
2024-03-12,4.05,4.06,4.0,4.02,77389
2024-03-13,4.02,4.06,4.0,4.0,94095
2024-03-14,4.03,4.04,3.945,3.98,248436
2024-03-15,4.3,4.68,4.27,4.65,1197247
2024-03-18,4.78,4.985,4.6981,4.91,811140
2024-03-19,4.94,5.11,4.895,5.05,781275
2024-03-20,5.05,5.19,5.0,5.17,591789
2024-03-21,5.17,5.2499,5.1401,5.18,470303
2024-03-22,5.21,5.34,5.11,5.21,472898
2024-03-25,5.27,5.34,5.21,5.24,363818
2024-03-26,5.28,5.29,5.1701,5.23,222689
2024-03-27,5.23,5.295,5.23,5.28,317317
2024-03-28,5.26,5.44,5.26,5.33,306075
2024-04-01,5.3,5.352,5.26,5.31,211593
2024-04-02,5.27,5.32,5.202,5.29,206035
2024-04-03,5.26,5.38,5.25,5.36,355128
2024-04-04,5.4,5.47,5.33,5.37,297860
2024-04-05,5.35,5.36,5.16,5.22,267426
2024-04-08,5.24,5.28,5.11,5.16,202875
2024-04-09,5.16,5.2,5.11,5.2,198779
2024-04-10,5.11,5.15,4.98,5.0,422594
2024-04-11,5.0,5.16,4.93,5.16,173319
2024-04-12,5.15,5.15,4.98,5.02,127738
2024-04-15,5.0,5.038,4.92,4.95,252988
2024-04-16,4.9,4.97,4.8643,4.93,226790
2024-04-17,4.97,4.97,4.81,4.82,141363
2024-04-18,4.83,4.9599,4.8,4.84,189298
2024-04-19,4.82,4.92,4.82,4.87,121090
2024-04-22,4.9,4.99,4.88,4.96,141433
2024-04-23,4.95,5.06,4.95,4.97,110410
2024-04-24,4.94,5.03,4.91,4.98,137295
2024-04-25,4.93,4.95,4.875,4.89,108022
2024-04-26,4.9,4.92,4.86,4.87,124853
2024-04-29,4.88,4.93,4.88,4.89,187379
2024-04-30,4.9,4.9,4.84,4.87,132372
2024-05-01,4.86,4.97,4.86,4.93,128608
2024-05-02,4.96,4.96,4.89,4.91,117615
2024-05-03,4.98,5.06,4.95,5.02,178660
2024-05-06,5.03,5.2,5.03,5.15,159221
2024-05-07,5.16,5.26,5.14,5.21,182294
2024-05-08,5.18,5.22,5.135,5.18,149383
2024-05-09,5.24,5.24,5.135,5.18,256742
2024-05-10,5.06,5.11,4.65,5.08,635404
2024-05-13,5.08,5.24,5.07,5.155,233059
2024-05-14,5.22,5.375,5.185,5.29,259818
2024-05-15,5.3,5.37,5.15,5.3,442083
2024-05-16,5.3,5.41,5.25,5.38,270318
2024-05-17,5.41,5.43,5.3112,5.38,206898
