Date,Open,High,Low,Close,Volume
2025-06-09,14.2525,15.0,13.955,14.37,8098.92
2025-06-10,13.94,15.0,13.75,14.85,7919.04
2025-06-11,14.055,14.22,9.455,11.32,556842.04
2025-06-12,10.75,11.525,10.75,11.2125,27573.24
2025-06-13,10.875,10.99,8.75,8.7525,72586.36
2025-06-16,8.865,8.865,8.075,8.1275,36807.28
2025-06-17,5.75,6.275,5.55,6.015,287273.08
2025-06-18,6.25,6.5275,5.5,5.975,160848.52
2025-06-20,6.0,6.375,5.8125,6.135,102375.52
2025-06-23,6.0,6.69,5.79,6.575,105303.4
2025-06-24,6.0,6.1175,5.54,5.7325,2322312.6
2025-06-25,6.4525,7.25,5.7775,6.15,2112900.2
2025-06-26,8.47,13.3,7.7625,11.745,11297139.8
2025-06-27,9.25,10.1248,7.775,8.3775,611294.0
2025-06-30,7.73,8.25,7.5,7.555,158127.36000000002
2025-07-01,7.1075,9.9925,6.7875,7.9075,540626.68
2025-07-02,7.9625,8.2625,7.505,8.2525,85879.44
2025-07-03,8.5,8.7,8.015,8.1725,51626.44
2025-07-07,7.82,8.375,7.82,8.14,44876.88
2025-07-08,7.895,8.415,7.6,7.95,62150.08
2025-07-09,7.675,8.24875,7.675,7.97,68741.96
2025-07-10,7.95,10.3725,7.95,10.25,265371.04
2025-07-11,9.75,9.96,9.3,9.625,73390.32
2025-07-14,9.75,9.75,8.535,9.23,59132.36
2025-07-15,9.0,9.25,8.8,9.2,24518.24
2025-07-16,9.375,10.445,9.0797,10.125,118760.88
2025-07-17,10.175,11.5625,10.125,11.25,111196.32
2025-07-18,11.25,11.685,10.54,11.28,45896.32
2025-07-21,11.25,13.0,11.25,12.675,111755.72
2025-07-22,13.12,13.12,8.7825,11.7625,155104.08000000002
2025-07-23,12.14,12.33,11.425,11.9675,48238.36
2025-07-24,12.0,12.3875,11.575,12.005,42208.28
2025-07-25,11.765,13.0,11.6275,12.85,97201.64
2025-07-28,15.0,17.225,14.0225,15.75,1092843.76
2025-07-29,18.6175,18.9,11.3575,15.1525,846830.52
2025-07-30,12.5,12.9975,11.65,11.8525,197730.36
2025-07-31,11.4,11.63,10.5375,10.9025,100182.76
2025-08-01,9.75,12.0,9.725,11.3775,82048.92
2025-08-04,10.0525,10.875,10.0,10.385,52506.28
2025-08-05,10.025,11.0,10.025,10.85,29713.52
2025-08-06,11.05,11.475,9.8925,10.32,77295.72
2025-08-07,9.8025,10.0,9.535,9.675,48752.44
2025-08-08,9.5,9.935,9.175,9.4975,41983.36
2025-08-11,9.0,9.595,8.7175,9.3575,28509.08
2025-08-12,9.3125,9.955,9.25,9.875,23444.64
2025-08-13,9.875,10.39,9.785,10.0,27575.64
2025-08-14,9.6025,10.0,9.41,9.8625,33993.88
2025-08-15,9.725,10.2475,9.5375,9.85,26775.24
2025-08-18,9.8025,10.1225,9.0225,9.5025,53250.68
2025-08-19,9.25,9.4975,9.025,9.25,17103.96
2025-08-20,9.6075,9.635,9.0275,9.3,14080.32
2025-08-21,9.4675,9.625,9.125,9.3025,17045.04
2025-08-22,9.125,9.8,9.075,9.5025,27992.32
2025-08-25,9.4275,9.70092,9.125,9.595,19175.4
2025-08-26,9.5325,9.595,9.3075,9.59,10189.28
2025-08-27,9.5,10.065,9.5,9.5625,24650.72
2025-08-28,9.7075,9.75,9.4525,9.72,14348.88
2025-08-29,9.825,9.825,9.36,9.5,13636.96
2025-09-02,9.675,9.7,9.31,9.4175,10265.92
2025-09-03,9.375,9.615,9.0525,9.35,20105.28
2025-09-04,9.02,9.30842,8.525,8.66,30447.48
2025-09-05,8.54,8.8525,8.415,8.7125,19340.92
2025-09-08,8.6025,8.845,8.49,8.7375,14555.84
2025-09-09,8.5,9.0,8.5,8.745,20406.08
2025-09-10,8.975,8.975,8.6575,8.75,12131.52
2025-09-11,8.815,8.825,8.7025,8.815,16582.0
2025-09-12,8.775,9.4775,8.6275,8.75,41970.84
2025-09-15,9.0,9.3475,8.5375,8.75,42067.24
2025-09-16,9.2,9.2,8.53,8.675,68165.56
2025-09-17,8.7725,8.875,8.625,8.675,18907.56
2025-09-18,8.81,9.0,8.6825,8.7875,31200.56
2025-09-19,9.0275,9.0275,8.5875,8.75,26391.56
2025-09-22,8.75,9.0,8.5875,8.59,18433.88
2025-09-23,8.6,8.8225,8.59,8.595,17851.44
2025-09-24,8.75,8.75998,8.575,8.6925,27278.4
2025-09-25,8.5,8.54195,8.0,8.3675,35241.56
2025-09-26,8.375,8.9175,8.25,8.6025,24165.84
2025-09-29,8.25,8.685,8.225,8.31,16104.8
2025-09-30,8.625,8.9975,8.3325,8.8375,38556.76
2025-10-01,9.125,9.3,8.625,9.2575,40341.64
2025-10-02,9.75,10.1,9.375,10.05,44590.6
2025-10-03,10.125,10.25,9.875,9.96,28562.56
2025-10-06,10.1925,10.2375,9.625,10.0375,21854.76
2025-10-07,10.0,10.125,9.1425,9.735,23108.44
2025-10-08,9.75,10.0314,9.5,10.0125,17080.08
2025-10-09,10.3,10.75,10.0275,10.48,78134.16
2025-10-10,10.5,10.5725,9.1,9.535,48976.24
2025-10-13,9.355,9.5,9.125,9.2525,13563.32
2025-10-14,9.4925,9.5025,8.5,9.335,39134.28
2025-10-15,9.5,10.1875,9.3525,9.6525,39952.16
2025-10-16,9.9,9.9,8.92,9.31,19401.08
2025-10-17,9.3125,9.4975,8.7925,8.9975,10712.88
2025-10-20,9.725,9.725,8.6825,9.0825,23137.08
2025-10-21,9.225,9.2425,8.75,8.935,16468.760000000002
2025-10-22,9.75,9.75,8.625,8.91,25783.96
2025-10-23,8.91,9.1,8.6375,8.9725,19578.96
2025-10-24,9.0,9.125,8.7,9.065,20518.76
2025-10-27,9.0,9.395,8.875,9.1225,26592.96
2025-10-28,8.75,9.525,8.75,9.435,29433.4
2025-10-29,9.205,9.3,8.65,8.755,25797.76
2025-10-30,8.755,9.2225,8.5025,8.9175,30990.8
2025-10-31,8.75,8.97,8.60775,8.74,16183.12
2025-11-03,8.74,8.75,8.35,8.625,15436.4
2025-11-04,8.275,8.67562,8.125,8.1325,17455.64
2025-11-05,8.4,8.5425,8.055,8.3125,13776.52
2025-11-06,8.3775,8.535,8.125,8.175,8477.2
2025-11-07,8.025,8.17,7.825,8.14,9988.84
2025-11-10,8.14,8.2475,7.96,8.0825,9426.16
2025-11-11,8.0,8.4075,7.975,8.3025,7959.28
2025-11-12,8.64,8.75,8.095,8.2225,7453.72
2025-11-13,8.0075,8.23342,7.84,7.975,8600.04
2025-11-14,7.825,8.25,7.75,8.1275,14340.92
2025-11-17,8.125,8.245,7.7575,7.765,7329.16
2025-11-18,7.775,8.1425,7.2875,7.7625,17536.56
2025-11-19,7.75,8.01747,7.5,7.9175,8624.68
2025-11-20,7.68,8.0,7.33,7.465,10406.6
2025-11-21,7.25,7.7275,7.075,7.5275,63477.32
2025-11-24,7.5275,8.1,7.3425,8.1,15082.56
2025-11-25,8.095,8.0975,7.3025,7.675,27689.36
2025-11-26,7.14,8.2175,7.005,7.75,21134.2
2025-11-28,7.75,8.0225,7.6525,7.84,11950.6
2025-12-01,7.9025,8.00952,7.7525,7.825,6359.08
2025-12-02,7.8625,7.9975,7.6475,7.8225,3757.24
2025-12-03,7.425,7.92,7.425,7.8775,9812.32
2025-12-04,7.875,8.1625,7.59,8.155,14588.6
2025-12-05,7.925,8.0475,7.595,7.715,9521.52
2025-12-08,7.75,7.9253,7.525,7.6125,6477.88
2025-12-09,7.75,7.8,7.5,7.7,9640.56
2025-12-10,7.5,7.8725,7.5,7.7275,7287.56
2025-12-11,7.75,7.95,7.3575,7.4275,5374.68
2025-12-12,7.5,7.62,7.3275,7.39,10689.16
2025-12-15,7.14,7.4628,6.7775,6.855,23565.4
2025-12-16,6.75,7.005,6.54,6.6,10343.8
2025-12-17,6.625,7.28968,6.5,6.54,13430.64
2025-12-18,6.5,6.9075,6.5,6.545,14695.24
2025-12-19,6.5,6.66,6.0125,6.0125,20789.04
2025-12-22,6.0,6.47448,5.8825,6.0,13819.64
2025-12-23,6.0,6.335,6.0,6.165,10398.88
2025-12-24,6.375,6.375,5.95125,5.985,22216.72
2025-12-26,6.125,6.185,5.75,5.8125,11372.76
2025-12-29,5.875,6.12685,5.625,5.785,22748.28
2025-12-30,5.75,5.87,5.7125,5.715,12774.72
2025-12-31,5.825,5.9675,5.4125,5.5,13596.92
2026-01-02,5.85,6.065,5.585,5.9825,9942.72
2026-01-05,6.0,6.7475,5.9825,6.3775,21485.24
2026-01-06,6.375,6.5,6.0275,6.1625,16205.96
2026-01-07,6.25,6.39998,5.925,5.925,21950.04
