Date,Open,High,Low,Close,Volume
2024-01-02,4.94,5.07,4.6303,4.77,1298919
2024-01-03,4.7,4.75,4.38,4.52,1873336
2024-01-04,4.52,4.72,4.465,4.65,960780
2024-01-05,4.54,4.685,4.38,4.58,1119598
2024-01-08,4.54,4.8,4.38,4.73,989780
2024-01-09,4.63,4.845,4.62,4.65,1066656
2024-01-10,4.63,4.8,4.46,4.8,1443943
2024-01-11,4.74,4.74,4.42,4.44,1639458
2024-01-12,4.44,4.59,4.35,4.4,1410858
2024-01-16,4.3,4.51,4.17,4.3,1816691
2024-01-17,4.15,4.17,3.94,4.05,2965131
2024-01-18,4.09,4.16,3.95,4.07,1563764
2024-01-19,4.1,4.19,3.94,4.12,1153974
2024-01-22,4.13,4.39,4.13,4.24,898209
2024-01-23,4.36,4.43,4.225,4.37,963449
2024-01-24,4.47,4.49,4.105,4.13,1042017
2024-01-25,4.19,4.2685,3.92,4.0,1699872
2024-01-26,4.02,4.235,3.94,3.95,1295131
2024-01-29,3.95,4.16,3.85,4.13,994177
2024-01-30,4.09,4.11,3.94,3.95,811557
2024-01-31,3.95,3.995,3.67,3.67,1374500
2024-02-01,3.7,3.785,3.64,3.74,1232586
2024-02-02,3.65,3.72,3.515,3.65,962492
2024-02-05,3.56,3.56,3.45,3.46,936069
2024-02-06,3.46,3.77,3.41,3.77,1179689
2024-02-07,3.8,3.8,3.545,3.57,1028016
2024-02-08,3.58,3.71,3.495,3.67,1245945
2024-02-09,3.75,3.8,3.645,3.78,879825
2024-02-12,3.73,3.99,3.6924,3.92,1453999
2024-02-13,3.66,3.775,3.535,3.62,1467508
2024-02-14,3.66,4.01,3.65,3.94,1718146
2024-02-15,3.6,4.24,3.6,3.96,5278947
2024-02-16,3.91,4.05,3.8101,3.85,1930187
2024-02-20,3.86,3.97,3.76,3.85,1235567
2024-02-21,3.83,3.885,3.75,3.82,873328
2024-02-22,3.85,3.95,3.725,3.88,1631215
2024-02-23,3.87,4.0762,3.7868,4.04,1123480
2024-02-26,4.02,4.18,3.96,4.16,879519
2024-02-27,4.24,4.335,4.095,4.27,1001001
2024-02-28,4.17,4.345,4.09,4.15,1258859
2024-02-29,4.29,4.33,4.11,4.11,1035665
2024-03-01,4.11,4.245,3.99,4.03,1152354
2024-03-04,4.04,4.08,3.76,3.99,1274771
2024-03-05,3.4,3.8,3.4,3.78,3411778
2024-03-06,3.85,3.88,3.53,3.61,1694983
2024-03-07,3.64,3.7595,3.44,3.45,1381181
2024-03-08,3.53,3.745,3.48,3.65,1626671
2024-03-11,3.63,3.95,3.59,3.78,1624211
2024-03-12,3.77,3.79,3.575,3.59,1301205
2024-03-13,3.54,3.612,3.355,3.41,1321497
2024-03-14,3.37,3.38,3.205,3.26,1543168
2024-03-15,3.23,3.335,3.21,3.24,1751064
2024-03-18,3.26,3.26,3.11,3.18,1118908
2024-03-19,3.14,3.35,3.11,3.27,936643
2024-03-20,3.27,3.43,3.15,3.38,1196045
2024-03-21,3.41,3.52,3.315,3.33,816548
2024-03-22,3.31,3.3199,3.15,3.24,1607063
2024-03-25,3.24,3.2814,3.09,3.12,1157058
2024-03-26,3.13,3.2,2.85,2.88,1918938
2024-03-27,2.95,2.95,2.75,2.89,3386198
2024-03-28,2.93,3.335,2.93,3.21,2000092
2024-04-01,3.27,3.27,3.05,3.11,1304842
2024-04-02,3.03,3.05,2.9001,2.98,1054254
2024-04-03,2.96,2.987,2.66,2.68,4234862
2024-04-04,2.71,2.91,2.7,2.73,1219493
2024-04-05,2.72,2.72,2.56,2.58,1326108
2024-04-08,2.63,2.84,2.6,2.83,1495669
2024-04-09,2.85,3.12,2.84,2.93,1311445
2024-04-10,2.83,2.83,2.64,2.67,1269758
2024-04-11,2.69,2.71,2.53,2.62,1021794
2024-04-12,2.59,3.1,2.55,3.01,6505403
2024-04-15,3.01,3.11,2.88,2.91,3152260
2024-04-16,2.85,2.85,2.6211,2.75,1605771
