Date,Open,High,Low,Close,Volume
2025-06-09,0.8384,0.89999,0.8384,0.853,12032.0
2025-06-10,0.86,0.8989,0.86,0.898899,22593.0
2025-06-11,0.8734,0.8989,0.8734,0.8749,10379.0
2025-06-12,0.8749,0.885,0.855201,0.86,7045.0
2025-06-13,0.870001,0.8899,0.802,0.8065,22071.0
2025-06-16,0.8201,0.89,0.8201,0.8494,41280.0
2025-06-17,0.87,0.8795,0.8204,0.845,23656.0
2025-06-18,0.831,1.03,0.821001,0.9333,277168.0
2025-06-20,0.934,0.979,0.9334,0.9334,36595.0
2025-06-23,0.9334,0.9517,0.88,0.9274,174617.0
2025-06-24,0.963,1.01,0.93,0.97205,170939.0
2025-06-25,1.0,1.0,0.94,0.98,26062.0
2025-06-26,0.95,0.9839,0.925,0.9401,63900.0
2025-06-27,0.95,0.984,0.9324,0.94,8237.0
2025-06-30,1.0,1.3,0.984,1.3,992836.0
2025-07-01,1.23,1.23,0.98,0.98,230065.0
2025-07-02,0.99,1.1001,0.99,1.03,112409.0
2025-07-03,1.01,1.09,1.01,1.06,30384.0
2025-07-07,1.04,1.1699,1.04,1.09,63234.0
2025-07-08,1.07,1.12,1.06,1.07,35009.0
2025-07-09,1.09,1.15,1.08,1.09,54295.0
2025-07-10,1.06,1.1399,1.05,1.11,25061.0
2025-07-11,1.11,1.1273,1.09,1.11,14863.0
2025-07-14,1.07,1.1,1.07,1.07,12174.0
2025-07-15,1.06,1.27,1.03,1.215,551128.0
2025-07-16,1.24,1.3794,1.23,1.35,239136.0
2025-07-17,1.35,1.37,1.28,1.34,88133.0
2025-07-18,1.33,1.38,1.2,1.25,140155.0
2025-07-21,1.22,1.32,1.22,1.26,54344.0
2025-07-22,1.27,1.27,1.17,1.24,144533.0
2025-07-23,1.28,1.4,1.2786,1.39,217409.0
2025-07-24,1.41,1.62,1.3601,1.52,244126.0
2025-07-25,1.5,1.5928,1.41,1.42,76232.0
2025-07-28,1.4,1.49,1.4,1.43,64182.0
2025-07-29,1.49,1.49,1.31,1.34,54797.0
2025-07-30,1.3,1.3799,1.21,1.25,122403.0
2025-07-31,1.23,1.315,1.21,1.21,28493.0
2025-08-01,1.24,1.27,1.131,1.16,102550.0
2025-08-04,1.18,1.1995,1.17,1.18,8585.0
2025-08-05,1.18,1.22,1.17,1.19,13770.0
2025-08-06,1.15,1.2108,1.14,1.2,35517.0
2025-08-07,1.2,1.2296,1.14,1.17,18624.0
2025-08-08,1.19,1.19,1.15,1.17,22432.0
2025-08-11,1.15,1.2039,1.13,1.15,22265.0
2025-08-12,1.15,1.21,1.125,1.16,48537.0
2025-08-13,1.14,1.23,1.14,1.195,38087.0
2025-08-14,1.19,1.19,1.165,1.175,10269.0
2025-08-15,1.21,1.22,1.16,1.18,30586.0
2025-08-18,1.19,1.43,1.19,1.34,247911.0
2025-08-19,1.35,1.35,1.17,1.18,104344.0
2025-08-20,1.2,1.28,1.17,1.25,35159.0
2025-08-21,1.26,1.3586,1.235,1.25,35510.0
2025-08-22,1.25,1.31,1.25,1.3,29056.0
2025-08-25,1.3,1.3,1.263,1.3,34771.0
2025-08-26,1.29,1.5,1.29,1.45,197823.0
2025-08-27,1.5,1.6899,1.35,1.45,210245.0
2025-08-28,1.45,1.58,1.45,1.48,75271.0
2025-08-29,1.47,1.488,1.39,1.41,40971.0
2025-09-02,1.41,1.781601,1.35,1.62,1997682.0
2025-09-03,1.71,2.22,1.65,2.13,16434223.0
2025-09-04,1.91,2.08,1.77,1.84,993831.0
2025-09-05,1.84,1.9,1.65,1.66,332929.0
2025-09-08,1.65,2.22,1.63,2.2,627676.0
2025-09-09,2.13,2.26,2.02,2.02,364440.0
2025-09-10,2.0,2.44,2.0,2.38,554915.0
2025-09-11,2.43,3.79,2.4,3.72,1879559.0
2025-09-12,3.55,3.59,2.21,2.62,2120836.0
2025-09-15,2.54,3.26,2.535,3.21,781902.0
2025-09-16,3.21,4.55,3.21,4.27,1704510.0
2025-09-17,4.05,4.07,2.9,3.18,1022337.0
2025-09-18,3.33,3.7,3.1,3.45,953432.0
2025-09-19,3.38,3.67,3.29,3.47,2414483.0
2025-09-22,3.44,3.4671,3.2,3.32,266422.0
2025-09-23,3.25,3.3847,2.74,2.81,424682.0
2025-09-24,2.85,2.94,2.59,2.74,172477.0
2025-09-25,2.69,2.79,2.45,2.53,141656.0
2025-09-26,2.46,2.525,2.2,2.28,174167.0
2025-09-29,2.3,2.61,2.3,2.61,109055.0
2025-09-30,2.71,2.83,2.47,2.53,210612.0
2025-10-01,2.47,2.64,2.41,2.59,150672.0
2025-10-02,2.58,2.65,2.48,2.54,57791.0
2025-10-03,2.54,2.9,2.54,2.78,166990.0
2025-10-06,2.81,2.8271,2.65,2.71,86110.0
2025-10-07,2.72,2.81,2.61,2.61,57076.0
2025-10-08,2.72,2.9992,2.7,2.95,110183.0
2025-10-09,2.94,2.9931,2.9,2.92,42026.0
2025-10-10,3.0,3.21,2.63,2.69,155853.0
2025-10-13,2.79,2.8632,2.72,2.81,63319.0
2025-10-14,2.73,2.7886,2.6,2.65,78578.0
2025-10-15,2.65,2.78,2.5,2.61,61708.0
2025-10-16,2.65,2.65,2.51,2.58,47535.0
2025-10-17,2.52,2.616,2.45,2.45,42214.0
2025-10-20,2.48,2.59,2.39,2.55,21008.0
2025-10-21,2.52,2.5827,2.4317,2.46,21035.0
2025-10-22,2.41,2.61,2.3505,2.46,25095.0
2025-10-23,2.44,2.6,2.44,2.55,27082.0
2025-10-24,2.545,2.99,2.545,2.81,149665.0
2025-10-27,2.87,3.29,2.87,3.23,185619.0
2025-10-28,3.25,3.64,3.08,3.21,163423.0
2025-10-29,3.1,3.29,2.67,2.74,120259.0
2025-10-30,2.72,3.25,2.63,2.83,150166.0
2025-10-31,2.81,3.11,2.7068,2.95,83106.0
2025-11-03,2.95,3.0865,2.81,2.98,65479.0
2025-11-04,2.71,2.8199,2.5,2.6,68523.0
2025-11-05,2.61,2.735,2.61,2.7,21745.0
2025-11-06,2.65,2.69,2.4,2.42,35786.0
2025-11-07,2.4,2.44,2.21,2.42,74117.0
2025-11-10,2.3833,2.57,2.3833,2.45,15616.0
2025-11-11,2.43,2.68,2.43,2.62,21668.0
2025-11-12,2.57,2.7599,2.54,2.64,17798.0
2025-11-13,2.64,2.69,2.55,2.58,25657.0
2025-11-14,2.5,2.7,2.33,2.42,26760.0
2025-11-17,2.39,2.54,2.33,2.35,34583.0
2025-11-18,2.35,2.44,2.29,2.4,40379.0
2025-11-19,2.32,2.455,2.28,2.33,18886.0
