Date,Open,High,Low,Close,Volume
2024-01-02,5.34,5.34,4.75,4.81,44517
2024-01-03,4.91,4.9333,4.61,4.65,27648
2024-01-04,4.7,4.99,4.7,4.93,32679
2024-01-05,4.98,5.0,4.52,4.52,28130
2024-01-08,4.54,4.64,4.54,4.64,18330
2024-01-09,4.56,4.7,4.56,4.62,16414
2024-01-10,4.67,4.67,4.59,4.64,11258
2024-01-11,4.64,4.67,4.6,4.6,14125
2024-01-12,4.6,4.99,4.6,4.99,40974
2024-01-16,5.02,5.11,5.0,5.06,47646
2024-01-17,5.06,5.3659,5.0266,5.24,28618
2024-01-18,5.3,5.3953,5.2,5.27,17761
2024-01-19,5.3,5.39,5.02,5.15,54962
2024-01-22,5.25,5.2936,5.0301,5.21,38087
2024-01-23,5.22,5.27,5.15,5.15,20128
2024-01-24,5.2,5.2999,5.02,5.13,41340
2024-01-25,5.13,5.1797,5.02,5.05,20701
2024-01-26,5.1,5.34,5.1,5.27,24764
2024-01-29,5.29,5.3158,5.1115,5.19,15743
2024-01-30,5.15,5.25,5.04,5.14,10423
2024-01-31,5.08,5.34,4.87,5.25,25912
2024-02-01,5.26,5.42,5.12,5.42,36693
2024-02-02,5.48,5.4816,5.155,5.27,32394
2024-02-05,5.28,5.28,5.1658,5.17,11961
2024-02-06,5.21,5.2337,4.85,4.87,38702
2024-02-07,4.95,5.0,4.66,4.67,29047
2024-02-08,4.72,5.1999,4.52,5.11,27621
2024-02-09,5.23,5.58,4.9931,5.33,49482
2024-02-12,5.39,5.58,5.33,5.51,25824
2024-02-13,5.35,5.3999,5.11,5.27,24316
2024-02-14,5.4,5.41,5.25,5.31,11771
2024-02-15,5.39,5.715,5.325,5.7,29307
2024-02-16,5.7,6.1,5.63,6.0,38908
2024-02-20,5.95,5.95,5.7901,5.9,14026
2024-02-21,5.85,5.9348,5.64,5.64,10100
2024-02-22,5.82,5.9868,5.68,5.93,17698
2024-02-23,5.99,6.33,5.89,6.3,30420
2024-02-26,6.3,6.9438,6.3,6.74,47456
2024-02-27,6.86,7.32,6.8001,6.85,92157
2024-02-28,6.82,7.198,6.6079,7.05,68264
2024-02-29,7.19,7.5,6.9106,7.32,54047
2024-03-01,7.41,7.65,7.18,7.5,56245
2024-03-04,7.61,7.9881,7.56,7.92,62722
2024-03-05,7.97,8.045,6.61,6.74,70211
2024-03-06,7.24,7.5873,6.58,6.93,159992
2024-03-07,8.4,8.4,7.69,8.13,335161
2024-03-08,8.17,8.18,7.8401,8.1,71391
2024-03-11,8.1,9.2499,7.88,8.7,234171
2024-03-12,8.7,8.8,8.4,8.59,113681
2024-03-13,8.6,8.999,8.4,8.63,92514
2024-03-14,8.62,9.1818,8.02,8.33,116535
2024-03-15,8.24,8.95,8.1364,8.75,111464
2024-03-18,8.75,9.125,8.5072,9.03,107364
2024-03-19,9.0,9.49,8.81,9.49,64396
2024-03-20,9.42,10.25,9.4,10.15,123979
2024-03-21,10.25,11.1,10.21,10.79,255500
2024-03-22,10.82,11.0699,10.0,10.76,164285
2024-03-25,10.86,11.35,10.75,10.92,183295
2024-03-26,11.02,11.02,10.3,10.43,113855
2024-03-27,10.33,10.585,9.81,10.25,90732
2024-03-28,10.3,10.3,9.58,10.01,69722
2024-04-01,10.11,10.24,9.35,9.63,178545
2024-04-02,9.5,9.635,9.13,9.5,76853
2024-04-03,9.35,10.29,9.25,10.1,68118
2024-04-04,10.17,10.42,9.685,9.83,62354
2024-04-05,9.89,9.89,9.0509,9.15,82091
2024-04-08,9.01,9.69,8.44,9.37,82043
2024-04-09,9.51,12.84,9.47,12.07,686889
2024-04-10,12.05,13.3399,12.04,13.06,415649
2024-04-11,13.0,15.31,12.53,14.74,398209
2024-04-12,14.76,14.85,13.2801,13.77,187830
2024-04-15,13.78,14.16,12.7001,13.31,217286
2024-04-16,13.13,13.38,12.53,13.08,101883
2024-04-17,13.11,13.39,11.9,12.46,136395
2024-04-18,12.46,13.75,12.07,13.01,236170
2024-04-19,12.88,13.69,12.34,12.525,168455
2024-04-22,11.76,12.52,11.25,11.85,302152
2024-04-23,11.9,13.835,11.9,13.48,253581
2024-04-24,16.18,16.22,14.28,14.43,487383
2024-04-25,14.05,15.03,13.745,14.85,362173
2024-04-26,14.74,15.0,14.05,14.29,129925
2024-04-29,14.1,16.77,14.1,15.63,411446
2024-04-30,15.5,16.35,15.03,15.6,202631
2024-05-01,15.21,16.43,15.2,15.48,204641
2024-05-02,15.9,17.49,15.8022,17.37,377876
2024-05-03,17.74,19.7,17.51,18.45,402732
2024-05-06,18.65,22.02,18.55,20.015,576902
2024-05-07,20.01,20.61,17.8359,19.09,355724
2024-05-08,18.88,19.2,18.18,18.68,122565
2024-05-09,18.7,19.26,18.01,18.12,189974
2024-05-10,18.32,18.68,17.4601,17.61,225855
2024-05-13,17.97,20.58,17.62,19.59,254845
2024-05-14,19.75,21.49,19.32,20.13,183848
2024-05-15,21.0,21.4,20.3456,21.2,151435
2024-05-16,21.29,21.3503,20.21,20.62,151118
2024-05-17,20.69,22.27,20.69,22.0,171540
2024-05-20,22.42,25.59,22.21,25.18,455826
2024-05-21,25.37,25.37,22.76,24.21,326212
2024-05-22,24.21,24.69,21.8,22.0,262568
2024-05-23,22.54,22.9399,19.6677,20.83,259846
2024-05-24,20.91,24.24,20.91,23.98,230604
2024-05-28,23.98,24.95,23.0,24.0,256990
2024-05-29,23.28,26.16,23.28,25.59,537056
2024-05-30,26.05,26.12,23.2329,23.75,299768
2024-05-31,24.05,24.1,21.5001,24.0,326931
2024-06-03,23.75,23.75,21.85,22.12,216887
2024-06-04,21.88,23.0035,20.61,20.79,350719
2024-06-05,20.73,24.3691,20.73,23.36,318683
2024-06-06,22.81,23.71,22.14,22.58,195512
2024-06-07,22.25,22.69,21.04,21.37,217397
2024-06-10,21.08,22.054,20.5,20.78,316455
2024-06-11,20.75,21.66,20.01,21.59,167163
2024-06-12,22.32,23.47,20.95,21.54,292430
2024-06-13,21.46,22.4,20.2001,20.42,212864
2024-06-14,20.42,20.62,19.14,19.7,278139
2024-06-17,19.7,20.63,19.12,19.49,184154
2024-06-18,19.19,19.25,17.6885,18.26,377281
2024-06-20,17.76,18.9,17.31,18.06,216543
2024-06-21,18.18,19.34,17.875,18.64,341334
2024-06-24,18.74,19.0,16.9801,17.71,230481
2024-06-25,17.9,18.365,16.9119,17.01,228861
2024-06-26,16.98,18.0,16.56,17.57,186601
2024-06-27,17.6,18.25,16.86,17.18,199906
2024-06-28,17.18,17.73,16.7035,17.61,1153096
2024-07-01,17.85,18.51,17.16,18.34,197132
2024-07-02,18.55,20.38,18.4,19.79,312941
2024-07-03,20.0,21.6,19.85,21.26,197315
2024-07-05,21.2,21.292,19.12,19.36,261460
2024-07-08,19.38,21.26,19.35,20.97,262709
2024-07-09,20.94,22.6,20.25,20.98,453109
2024-07-10,21.1,21.5489,19.2401,19.75,251486
2024-07-11,20.24,20.24,18.51,19.08,260369
2024-07-12,19.11,20.94,18.47,20.81,226413
2024-07-15,21.19,22.93,21.06,22.91,246965
2024-07-16,23.1,23.84,22.26,22.59,210889
2024-07-17,22.1,22.493,20.52,20.86,217708
2024-07-18,20.98,22.2,20.6,21.05,183906
2024-07-19,21.03,22.09,20.15,20.45,177502
2024-07-22,20.71,21.3739,20.245,21.33,101732
2024-07-23,21.35,23.0,21.35,21.95,154892
2024-07-24,21.38,21.442,19.32,19.35,242781
2024-07-25,19.61,20.17,19.04,19.64,159297
2024-07-26,22.1,27.3099,21.5601,27.15,1365703
2024-07-29,27.5,29.3,26.64,27.0,653030
2024-07-30,27.0,27.02,24.23,24.5,271759
2024-07-31,25.0,26.31,25.0,25.03,202989
2024-08-01,25.03,25.7012,22.125,23.69,413775
2024-08-02,22.82,22.99,21.6601,22.53,178105
2024-08-05,19.65,21.43,18.18,20.35,199207
2024-08-06,21.11,21.4966,20.02,21.02,148114
2024-08-07,21.73,22.16,19.72,20.04,120946
2024-08-08,20.55,21.36,19.76,21.27,86240
2024-08-09,21.28,22.2099,21.07,21.55,148228
2024-08-12,21.43,21.875,21.0,21.45,96045
2024-08-13,21.49,23.2,21.49,22.79,124033
2024-08-14,22.98,23.21,21.68,22.08,78419
2024-08-15,22.68,23.2499,21.9501,22.82,128937
2024-08-16,22.51,23.96,22.09,22.33,106840
2024-08-19,22.27,23.47,21.66,23.4,87768
2024-08-20,23.28,23.96,21.27,21.74,192135
2024-08-21,21.96,23.0,21.91,22.78,112747
2024-08-22,22.76,22.76,21.61,21.7,100833
2024-08-23,22.07,23.56,22.0245,23.43,92793
2024-08-26,23.59,25.34,22.78,25.0,338634
2024-08-27,24.96,25.25,23.0,23.99,169463
2024-08-28,23.61,23.73,21.5408,22.32,277349
2024-08-29,22.69,24.62,22.3251,23.93,182960
2024-08-30,24.04,24.97,23.52,24.21,107820
2024-09-03,24.08,24.08,21.17,21.55,220791
2024-09-04,21.11,21.885,20.51,20.94,144982
2024-09-05,20.94,21.35,20.25,20.9,125113
2024-09-06,20.82,21.0092,19.2,19.62,133655
2024-09-09,19.91,20.33,19.09,19.28,82510
2024-09-10,19.72,20.02,19.1008,20.02,78192
2024-09-11,19.97,20.69,19.68,20.48,115043
2024-09-12,20.64,21.3999,20.345,21.04,61625
2024-09-13,21.41,22.885,21.41,22.5,156998
2024-09-16,22.57,22.78,21.83,22.26,78038
2024-09-17,22.63,22.81,20.7,20.8,107473
2024-09-18,20.75,22.5,20.4,21.38,147597
2024-09-19,22.38,24.54,21.9,23.43,206884
2024-09-20,23.43,25.5,23.43,25.3,324842
2024-09-23,25.3,25.3,22.75,23.57,219274
2024-09-24,23.66,23.8,22.85,23.58,85633
2024-09-25,23.48,24.0081,23.1366,23.4,69455
2024-09-26,23.85,23.85,22.6228,23.36,73661
2024-09-27,23.58,24.25,23.27,23.66,84907
2024-09-30,24.1,26.6963,22.64,22.85,277314
2024-10-01,23.78,23.96,21.9,22.83,150958
2024-10-02,22.47,22.92,22.02,22.38,78068
2024-10-03,22.11,22.4827,21.395,21.72,96610
2024-10-04,22.44,23.4511,21.7701,23.38,110249
2024-10-07,23.25,23.45,22.41,22.84,87922
2024-10-08,22.84,23.734,21.4,21.79,154406
2024-10-09,21.8,22.55,21.3,22.39,94605
2024-10-10,21.92,22.34,21.4101,22.1,81999
2024-10-11,21.9,23.35,21.9,23.29,85087
2024-10-14,23.46,23.6421,23.07,23.47,49713
2024-10-15,23.38,25.5,22.79,25.31,191665
2024-10-16,25.64,26.0857,24.84,25.57,123536
2024-10-17,25.8,26.01,24.15,24.26,81004
2024-10-18,24.73,25.82,24.37,25.72,176277
2024-10-21,25.8,29.25,25.77,27.85,394452
2024-10-22,27.87,28.285,24.55,24.77,254126
2024-10-23,24.5,24.61,23.01,23.33,180645
2024-10-24,24.0,24.45,22.92,22.99,118193
2024-10-25,23.14,23.99,22.365,22.75,124092
2024-10-28,23.0,23.42,22.145,22.45,103242
2024-10-29,22.37,23.14,22.35,22.73,66428
2024-10-30,22.48,23.0,22.17,22.35,78680
2024-10-31,22.1,22.16,20.955539,21.3,108905
2024-11-01,21.53,22.08,21.2,21.42,124298
2024-11-04,21.33,22.54,21.145,21.71,138545
2024-11-05,21.76,23.04,21.76,22.75,80670
2024-11-06,23.62,26.25,23.24,25.92,203436
2024-11-07,26.15,28.28,26.15,27.03,210612
2024-11-08,27.19,32.6199,23.99,31.74,570572
2024-11-11,34.0,34.85,32.39,33.64,345725
2024-11-12,33.01,33.3699,28.1301,28.63,472862
2024-11-13,28.69,29.3978,26.205,26.43,343997
2024-11-14,26.5,27.63,25.15,26.16,290162
2024-11-15,26.11,26.41,24.85,25.51,220051
2024-11-18,25.64,26.74,25.45,25.73,155209
2024-11-19,25.33,26.15,24.62,25.58,131907
2024-11-20,25.79,25.895,24.77,25.005,119208
2024-11-21,25.35,26.2199,24.56,25.24,127378
2024-11-22,25.56,27.26,24.69,27.23,197027
2024-11-25,28.08,28.18,26.09,26.48,149279
2024-11-26,26.23,27.015,25.78,26.29,106192
2024-11-27,26.52,27.94,26.14,26.8,172225
2024-11-29,27.2,28.34,26.63,26.92,79754
2024-12-02,26.98,28.5,26.98,27.92,184961
2024-12-03,27.93,27.93,25.52,25.8,152352
2024-12-04,26.0,27.405,25.84,27.16,167796
2024-12-05,22.98,23.1192,20.25,20.7,1867435
2024-12-06,21.26,22.41,20.22,22.2,545287
2024-12-09,22.6,22.62,20.22,20.39,413316
2024-12-10,20.37,20.5,18.8,19.26,622081
2024-12-11,19.7,19.7,18.59,18.76,304496
2024-12-12,18.8,19.1875,17.93,18.31,236403
2024-12-13,18.21,18.64,16.78,16.92,555362
2024-12-16,17.05,17.41,16.615,17.17,387738
2024-12-17,17.5,17.652,16.62,17.13,306272
2024-12-18,17.2,18.3699,16.18,16.4,513914
2024-12-19,16.97,17.31,16.02,16.66,280998
2024-12-20,16.22,17.85,16.22,17.45,445814
2024-12-23,17.77,18.0,16.35,16.6,191306
2024-12-24,16.7,17.0,16.24,16.86,100775
2024-12-26,16.67,17.4,16.533,17.38,223482
2024-12-27,17.4,17.44,15.6609,16.11,331620
2024-12-30,16.01,16.01,15.15,15.62,215444
2024-12-31,15.9,15.9,14.56,15.21,320436
2025-01-02,15.54,16.1899,15.2,15.51,160796
2025-01-03,15.68,16.1099,15.3086,15.6,160755
2025-01-06,15.84,16.15,15.25,15.39,214994
2025-01-07,16.16,16.4815,15.04,15.53,280601
2025-01-08,15.26,15.7,14.05,14.11,339707
2025-01-10,13.75,15.3656,13.6101,15.03,378928
2025-01-13,14.6,15.1932,14.41,14.78,175293
2025-01-14,15.05,15.325,14.68,15.255,147453
2025-01-15,15.85,16.2665,15.4,16.22,172304
2025-01-16,16.22,16.71,15.91,16.05,203460
2025-01-17,16.62,17.35,16.2,17.22,207739
2025-01-21,17.55,18.36,17.55,18.18,333439
2025-01-22,18.28,18.3969,17.55,18.13,154541
2025-01-23,17.79,18.51,17.6016,17.75,157279
2025-01-24,17.75,18.3935,17.715,18.09,122492
2025-01-27,18.07,18.6899,17.5,18.47,216871
2025-01-28,18.79,18.81,17.81,18.63,164294
2025-01-29,18.5,18.625,18.1302,18.51,94568
2025-01-30,18.62,19.42,18.575,19.29,144488
2025-01-31,19.37,19.71,18.75,18.94,172409
2025-02-03,18.16,19.11,18.12,18.79,151027
2025-02-04,18.64,20.1,18.61,20.0,167249
2025-02-05,20.14,20.53,19.9101,20.27,170592
2025-02-06,20.28,20.57,19.27,19.45,105342
2025-02-07,19.48,20.007,18.78,18.92,111884
2025-02-10,19.13,19.43,18.36,18.65,110403
2025-02-11,18.24,18.64,17.9104,18.41,133514
2025-02-12,17.93,18.445,17.93,18.2,61339
2025-02-13,18.28,18.3507,17.63,17.94,111720
2025-02-14,17.96,17.96,16.86,17.25,202977
2025-02-18,17.22,17.2257,16.59,17.05,130522
2025-02-19,16.89,17.29,16.36,16.43,127138
2025-02-20,16.31,16.44,15.525,16.02,170315
2025-02-21,16.32,16.5,15.11,15.21,168717
2025-02-24,15.34,15.457,14.2,14.4,136274
2025-02-25,14.27,14.455,12.91,13.37,276845
2025-02-26,13.56,14.48,13.56,14.19,185384
2025-02-27,14.19,14.21,13.07,13.12,129889
2025-02-28,12.98,13.43,12.565,13.01,163523
2025-03-03,13.29,13.67,12.0659,12.18,141953
2025-03-04,11.95,12.97,11.7301,12.59,172896
2025-03-05,12.62,12.83,12.0,12.51,127283
2025-03-06,12.14,12.74,11.6851,11.89,111790
2025-03-07,11.91,12.83,11.7,12.61,146852
2025-03-10,12.17,12.595,11.47,11.75,183575
2025-03-11,11.77,12.49,11.613,12.08,168956
2025-03-12,12.44,12.8699,12.19,12.71,239057
2025-03-13,11.07,12.01,10.5772,10.97,692526
2025-03-14,11.46,11.89,11.1,11.34,206469
2025-03-17,11.43,12.65,11.33,12.6,135226
2025-03-18,12.61,12.61,11.2,11.22,160776
2025-03-19,11.24,12.3826,11.1,11.7,343588
2025-03-20,11.68,11.805,11.27,11.49,164055
2025-03-21,11.2,11.595,10.91,11.39,333956
2025-03-24,12.05,12.82,11.9,12.18,155549
2025-03-25,12.12,12.5,11.64,11.75,127847
2025-03-26,11.62,11.8,11.1901,11.77,288824
2025-03-27,11.68,12.36,11.53,11.54,76762
2025-03-28,11.64,11.64,10.8901,11.26,72766
2025-03-31,10.7,11.3599,10.63,11.1,103989
2025-04-01,11.04,11.36,10.5501,11.29,96655
2025-04-02,11.0,11.91,10.858,11.88,67023
2025-04-03,11.0,11.49,10.655,11.11,137492
2025-04-04,10.37,10.845,9.55,9.97,285894
2025-04-07,9.25,11.04,8.91,10.26,173631
2025-04-08,10.87,11.0087,9.56,9.95,133347
2025-04-09,9.78,11.885,9.69,11.78,240122
2025-04-10,11.2,11.23,10.48,10.93,72533
2025-04-11,10.84,11.35,10.78,11.12,67692
2025-04-14,11.48,11.48,10.85,11.29,65789
2025-04-15,11.29,11.625,11.15,11.57,120790
2025-04-16,11.32,11.9599,11.22,11.54,103691
2025-04-17,11.57,11.57,11.213,11.3,96111
2025-04-21,11.15,11.15,10.49,10.94,67586
2025-04-22,11.08,11.47,10.82,10.92,126113
2025-04-23,11.44,11.9972,10.95,11.49,87316
2025-04-24,11.49,12.05,11.39,11.93,57050
2025-04-25,11.78,12.38,11.655,12.22,69416
2025-04-28,12.23,12.492,11.7168,12.11,65396
2025-04-29,12.13,12.75,11.82,11.97,227695
2025-04-30,9.51,12.4009,9.5002,10.85,280298
2025-05-01,10.96,11.5,10.51,11.08,164125
2025-05-02,11.12,12.138,10.91,11.9,148067
2025-05-05,11.78,12.44,11.505,12.01,133797
2025-05-06,11.57,12.39,11.565,11.92,109984
