Date,Open,High,Low,Close,Volume
2024-01-02,6.9,7.35,6.825,7.05,462.333335645
2024-01-03,6.765,7.206,6.46801,6.9,171.400000857
2024-01-04,7.20009,7.2015,6.6765,6.75,1010.466671719
2024-01-05,6.6,6.75,6.45,6.75,305.666668195
2024-01-08,6.45,7.1028,6.45,6.6675,516.333335915
2024-01-09,6.6,7.2075,6.3765,6.81,658.266669958
2024-01-10,6.7635,6.897,6.3,6.795,335.666668345
2024-01-11,6.4515,7.185,6.4515,6.75,462.266668978
2024-01-12,6.9,6.9,6.30001,6.60076,418.600002093
2024-01-16,6.45,6.6,6.3,6.3,502.533335846
2024-01-17,6.3,6.39,6.006,6.3,860.733337637
2024-01-18,5.85,6.375,5.85,6.0,802.600004013
2024-01-19,6.282,6.6015,6.0,6.37498,408.933335378
2024-01-22,6.375,6.375,6.15,6.15,444.466668889
2024-01-23,6.15,6.375,5.865,5.865,565.266669493
2024-01-24,6.15751,6.375,6.1575,6.375,184.066667587
2024-01-25,6.1515,6.1515,5.925,6.15,161.666667475
2024-01-26,6.264,6.2985,5.94,5.955,314.00000157
2024-01-29,6.3,6.375,6.00151,6.00151,352.266668428
2024-01-30,6.0,6.9,6.0,6.45,2820.533347436
2024-01-31,6.6,6.69,6.4395,6.69,176.600000883
2024-02-01,6.2205,6.75,6.03,6.0315,697.000003485
2024-02-02,6.0315,6.75,6.0315,6.19897,334.333335005
2024-02-05,5.955,6.408,5.8215,5.985,886.866671101
2024-02-06,6.3,6.3,5.7,5.7,544.866669391
2024-02-07,6.0015,6.33,5.715,5.715,483.933335753
2024-02-08,6.0165,6.31651,5.73,6.045,508.66666921
2024-02-09,5.706,6.327,5.4,6.3,1235.666672845
2024-02-12,5.85,6.3,5.85,6.15,442.466668879
2024-02-13,6.06,6.3,6.06,6.2235,1067.800005339
2024-02-14,6.225,6.225,6.0,6.12,243.866667886
2024-02-15,6.075,6.15,5.85,5.853,1032.466671829
2024-02-16,5.85,5.985,5.736,5.7405,748.933337078
2024-02-20,5.85,5.90925,5.85,5.8515,465.666668995
2024-02-21,5.967,5.967,5.85,5.85,404.066668687
2024-02-22,5.85,5.967,5.6415,5.69538,1474.466674039
2024-02-23,5.55,6.0285,5.55,5.9085,624.00000312
2024-02-26,5.7,6.2424,5.7,5.87118,160.66666747
2024-02-27,5.715,6.225,5.4,5.415,168376.200841881
2024-02-28,6.3,6.75,5.73,6.2325,294150.00147075
2024-02-29,5.925,6.2925,5.415,5.985,27390.400136952
2024-03-01,5.805,6.6,5.43,6.2925,15881.200079406
2024-03-04,6.3,6.3,5.7,5.91,3316.600016583
2024-03-05,5.745,6.0,5.55,6.0,3216.733349417
2024-03-06,6.0,6.0,5.65515,5.9505,1539.133341029
2024-03-07,5.93248,6.0,5.70015,6.0,1441.133340539
2024-03-08,6.03,6.12087,5.715,5.775,2727.866680306
2024-03-11,5.814,6.0,5.6025,5.985,4345.4000217269995
2024-03-12,6.0,6.0,5.6104,5.631,1164.733339157
2024-03-13,5.6475,5.85,5.61,5.655,3249.400016247
2024-03-14,5.7,5.85,5.60401,5.7195,2001.466676674
2024-03-15,5.685,5.7,4.644,5.1,11820.533392436
2024-03-18,4.98,5.28765,4.95,4.95,1027.133338469
2024-03-19,4.95,5.2275,4.8135,4.8135,440.933335538
2024-03-20,4.722,4.8,4.65,4.725,2373.600011868
2024-03-21,4.65,4.8,4.5195,4.65,2989.33334828
2024-03-22,4.6515,4.77,3.75,4.725,3005.533348361
2024-03-25,4.8,4.8,4.215,4.578,2712.00001356
2024-03-26,4.533,4.8,4.40394,4.5,563.6666694849999
2024-03-27,4.6455,4.65,4.46961,4.5375,586.933336268
2024-03-28,4.8,5.3985,4.65,4.8,32834.800164174
2024-04-01,5.0115,5.175,4.6155,4.656,3217.800016089
2024-04-02,4.7625,5.175,4.6125,4.935,2648.133346574
2024-04-03,4.815,4.95,4.581,4.65,1692.266675128
2024-04-04,4.5345,4.8,4.5345,4.587,1278.866673061
2024-04-05,4.5225,4.761,4.5,4.5615,745.400003727
