Date,Open,High,Low,Close,Volume
2025-06-09,1.5,1.5099,1.4,1.44,360496
2025-06-10,1.43,1.6,1.42,1.59,718728
2025-06-11,1.61,1.6899,1.57,1.63,509761
2025-06-12,1.61,1.63,1.56,1.62,322356
2025-06-13,1.57,1.59,1.47,1.54,408838
2025-06-16,1.53,1.54,1.3701,1.51,740993
2025-06-17,1.49,1.619,1.49,1.52,496269
2025-06-18,1.51,1.59,1.445,1.46,494503
2025-06-20,1.47,1.4998,1.42,1.47,709033
2025-06-23,1.47,1.47,1.355,1.375,332692
2025-06-24,1.48,1.535,1.38,1.49,398542
2025-06-25,1.49,1.515,1.4,1.49,376614
2025-06-26,1.48,1.505,1.43,1.5,362920
2025-06-27,1.51,1.51,1.44,1.48,2122416
2025-06-30,1.49,1.49,1.365,1.4,679974
2025-07-01,1.38,1.51,1.34,1.42,439740
2025-07-02,1.43,1.56,1.42,1.5,422549
2025-07-03,1.5,1.51,1.44,1.51,233289
2025-07-07,1.49,1.49,1.41,1.44,306464
2025-07-08,1.45,1.56,1.45,1.52,455325
2025-07-09,1.52,1.69,1.51,1.65,565502
2025-07-10,1.64,1.745,1.62,1.72,711080
2025-07-11,1.69,1.705,1.6,1.61,254301
2025-07-14,1.6,1.69,1.575,1.67,233741
2025-07-15,1.69,1.69,1.54,1.55,297161
2025-07-16,1.59,1.6,1.53,1.56,321138
2025-07-17,1.55,1.67,1.55,1.67,366184
2025-07-18,1.67,1.6992,1.58,1.59,301448
2025-07-21,1.57,1.66,1.56,1.62,409238
2025-07-22,1.63,1.74,1.62,1.72,390643
2025-07-23,1.74,1.8095,1.71,1.78,367288
2025-07-24,1.76,1.81,1.745,1.79,357453
2025-07-25,1.8,1.8,1.74,1.76,297049
2025-07-28,1.91,1.9993,1.76,1.76,1221630
2025-07-29,1.79,1.81,1.6,1.61,627610
2025-07-30,1.63,1.73,1.56,1.6,657189
2025-07-31,1.6,1.635,1.465,1.49,651233
2025-08-01,1.47,1.49,1.42,1.45,737122
2025-08-04,1.45,1.55,1.4347,1.55,487370
2025-08-05,1.56,1.595,1.51,1.56,603534
2025-08-06,1.57,1.57,1.43,1.43,518435
2025-08-07,1.43,1.47,1.42,1.46,651832
2025-08-08,1.63,2.22,1.54,2.15,8927432
2025-08-11,2.2,2.415,2.105,2.23,4210220
2025-08-12,2.25,2.3,1.99,2.0,1725358
2025-08-13,2.02,2.23,2.01,2.18,1549461
2025-08-14,2.14,2.5,2.125,2.46,2445303
2025-08-15,2.45,2.45,2.22,2.25,1610659
2025-08-18,2.24,2.32,2.1,2.13,1392705
2025-08-19,2.09,2.285,2.09,2.16,1404291
2025-08-20,2.15,2.23,2.0326,2.2,1290107
2025-08-21,2.19,2.285,2.09,2.27,677949
2025-08-22,2.29,2.56,2.29,2.52,1343977
2025-08-25,2.53,2.56,2.33,2.34,841400
2025-08-26,2.34,2.4089,2.31,2.36,625614
2025-08-27,2.36,2.55,2.33,2.4,683803
2025-08-28,2.42,2.5099,2.38,2.39,712935
2025-08-29,2.39,2.44,2.31,2.35,465077
2025-09-02,2.3,2.649,2.3,2.59,1750060
2025-09-03,2.62,2.86,2.62,2.79,1557471
2025-09-04,2.79,2.895,2.71,2.82,1039133
2025-09-05,2.83,3.07,2.83,3.01,1658380
2025-09-08,3.0,3.0,2.74,2.76,1266674
2025-09-09,2.75,2.85,2.71,2.8,673950
2025-09-10,2.78,2.88,2.76,2.84,867993
2025-09-11,2.85,3.0,2.78,2.87,436445
2025-09-12,2.84,2.955,2.74,2.75,6128211
2025-09-15,2.75,2.96,2.71,2.96,924972
2025-09-16,2.95,2.98,2.75,2.76,581567
2025-09-17,2.77,3.18,2.76,2.95,1322444
2025-09-18,3.0,3.17,2.92,3.13,708580
2025-09-19,3.15,3.15,3.01,3.03,2304806
2025-09-22,2.97,3.255,2.95,3.18,1113351
2025-09-23,3.17,3.28,3.12,3.18,949205
2025-09-24,3.17,3.28,3.12,3.16,576227
2025-09-25,3.1,3.2,2.8808,2.93,1095043
2025-09-26,2.94,3.155,2.92,3.1,1024457
2025-09-29,3.09,3.16,3.005,3.05,555897
2025-09-30,3.0,3.05,2.83,2.96,964940
2025-10-01,2.86,3.03,2.84,3.0,1028582
2025-10-02,3.0,3.17,2.97,3.16,1069700
2025-10-03,3.19,3.33,3.11,3.32,2591020
2025-10-06,3.26,3.2945,3.1,3.18,983913
2025-10-07,3.15,3.21,3.04,3.07,1064291
2025-10-08,3.1,3.25,3.06,3.08,1021153
2025-10-09,3.08,3.225,3.0601,3.14,1112107
2025-10-10,3.195,3.24,3.0,3.02,866037
2025-10-13,3.0,3.07,2.905,3.04,1163711
2025-10-14,3.0,3.0656,2.87,2.99,987677
2025-10-15,2.9,3.23,2.88,3.19,1724446
2025-10-16,3.22,3.3999,3.155,3.22,1757577
2025-10-17,3.16,3.33,3.03,3.04,1043296
2025-10-20,3.05,3.335,3.03,3.31,1166403
2025-10-21,3.22,3.27,3.09,3.21,4470697
2025-10-22,1.54,1.725,1.49,1.61,48992938
2025-10-23,1.61,1.68,1.46,1.47,7621254
2025-10-24,1.47,1.535,1.33,1.5,6637541
2025-10-27,1.54,1.6,1.5,1.5,3726651
2025-10-28,1.48,1.545,1.445,1.5,3881668
2025-10-29,1.51,1.68,1.49,1.55,6823879
2025-10-30,1.55,1.655,1.5,1.52,2580787
2025-10-31,1.52,1.56,1.4,1.47,4420492
2025-11-03,1.46,1.5,1.39,1.44,1642875
2025-11-04,1.4,1.435,1.29,1.32,2687747
2025-11-05,1.32,1.33,1.25,1.255,1772300
2025-11-06,1.25,1.335,1.22,1.3,2363479
2025-11-07,1.27,1.29,1.17,1.28,1976865
2025-11-10,1.27,1.4094,1.26,1.31,1712399
2025-11-11,1.3,1.385,1.3,1.36,1343578
2025-11-12,1.34,1.435,1.3,1.34,2700820
2025-11-13,1.32,1.36,1.195,1.2,2597405
2025-11-14,1.23,1.295,1.21,1.24,1647981
2025-11-17,1.19,1.295,1.16,1.24,1616428
2025-11-18,1.24,1.33,1.21,1.27,1709428
2025-11-19,1.28,1.35,1.21,1.22,1529895
2025-11-20,1.26,1.35,1.19,1.2,2114191
2025-11-21,1.2,1.285,1.19,1.24,1066271
2025-11-24,1.26,1.3,1.26,1.28,1359104
2025-11-25,1.28,1.3395,1.26,1.28,821550
2025-11-26,1.27,1.39,1.27,1.35,1338791
2025-11-28,1.36,1.36,1.3,1.33,569533
2025-12-01,1.3,1.32,1.215,1.23,1215470
2025-12-02,1.23,1.24,1.13,1.14,1397853
2025-12-03,1.14,1.1566,1.09,1.14,2416719
2025-12-04,1.12,1.25,1.11,1.21,2787890
2025-12-05,1.21,1.26,1.19,1.22,1355435
2025-12-08,1.24,1.27,1.2,1.22,1642656
2025-12-09,1.22,1.29,1.18,1.28,2352967
2025-12-10,1.27,1.31,1.255,1.3,978023
2025-12-11,1.31,1.54,1.29,1.46,5002403
2025-12-12,1.46,1.54,1.4112,1.49,1474064
2025-12-15,1.52,1.52,1.42,1.42,1219627
2025-12-16,1.39,1.45,1.35,1.39,853635
2025-12-17,1.39,1.415,1.335,1.35,641011
2025-12-18,1.36,1.45,1.3442,1.39,1296786
2025-12-19,1.37,1.45,1.35,1.4,3004824
2025-12-22,1.4,1.49,1.4,1.45,1113394
2025-12-23,1.42,1.47,1.4,1.41,1095924
2025-12-24,1.42,1.47,1.42,1.45,400986
2025-12-26,1.44,1.475,1.4025,1.45,640188
2025-12-29,1.44,1.53,1.44,1.52,1576507
2025-12-30,1.52,1.54,1.49,1.52,676164
2025-12-31,1.51,1.58,1.505,1.56,768807
2026-01-02,1.57,1.62,1.5,1.53,638735
2026-01-05,1.51,1.6,1.51,1.6,1368874
2026-01-06,1.58,1.705,1.555,1.69,1421053
2026-01-07,1.71,1.765,1.685,1.76,1259338
2026-01-08,1.7,1.79,1.6907,1.77,1001939
2026-01-09,1.79,1.87,1.76,1.86,1329975
2026-01-12,1.84,1.85,1.71,1.84,1271939
2026-01-13,1.85,1.935,1.8,1.92,739042
2026-01-14,1.92,1.93,1.84,1.85,1286891
2026-01-15,1.79,1.845,1.74,1.82,2105953
2026-01-16,1.8,1.98,1.78,1.84,1207205
2026-01-20,1.81,1.86,1.765,1.83,1181384
2026-01-21,1.82,1.93,1.805,1.92,691491
2026-01-22,1.872,1.995,1.872,1.92,516943
2026-01-23,1.89,1.94,1.88,1.94,671873
2026-01-26,1.93,2.0,1.9,1.93,773872
2026-01-27,1.95,1.98,1.91,1.95,226782
2026-01-28,1.96,1.965,1.85,1.91,777952
2026-01-29,1.93,1.94,1.9,1.91,469505
2026-01-30,1.87,1.9,1.81,1.89,1204455
2026-02-02,1.87,2.03,1.84,1.99,851219
2026-02-03,1.98,2.05,1.885,1.93,789332
2026-02-04,1.96,1.975,1.87,1.93,722680
2026-02-05,1.81,1.9,1.745,1.82,1665866
2026-02-06,1.83,1.96,1.83,1.96,1161356
2026-02-09,1.9,1.995,1.885,1.96,438076
2026-02-10,1.98,1.98,1.89,1.95,928769
2026-02-11,1.96,1.97,1.86,1.92,590767
2026-02-12,1.93,1.98,1.88,1.9,1319817
2026-02-13,1.9,2.025,1.84,1.87,1238011
2026-02-17,1.88,2.0,1.86,1.97,669248
2026-02-18,1.99,2.04,1.945,1.98,518736
2026-02-19,1.98,2.04,1.94,2.01,563847
2026-02-20,1.97,2.03,1.93,1.99,486439
2026-02-23,1.98,2.12,1.93,2.095,840600
2026-02-24,2.1,2.2253,2.06,2.185,528900
2026-02-25,2.2,2.425,2.185,2.39,992707
2026-02-26,2.12,2.57,2.07,2.56,8136
2026-02-27,2.51,2.5286,2.315,2.43,1337544
2026-03-02,2.37,2.37,2.04,2.205,1992179
2026-03-03,2.17,2.17,2.055,2.11,647141
2026-03-04,2.21,2.21,2.08,2.155,16
2026-03-05,2.15,2.15,1.935,1.995,1100241
2026-03-06,1.94,2.03,1.89,2.0,24
2026-03-09,1.94,2.205,1.94,2.19,30
2026-03-10,2.39,2.65,2.37,2.37,1822946
2026-03-11,2.35,2.375,2.21,2.32,813236
2026-03-12,2.2,2.32,2.2,2.23,623703
2026-03-13,2.24,2.325,2.135,2.2,648652
2026-03-16,2.29,2.29,2.19,2.21,372318
2026-03-17,2.22,2.28,2.1692,2.23,515873
2026-03-18,2.19,2.205,2.005,2.05,558963
2026-03-19,2.07,2.105,1.96,2.06,379767
2026-03-20,2.06,2.1,2.005,2.05,1924891
2026-03-23,2.11,2.16,2.035,2.06,408741
2026-03-24,1.97,2.14,1.97,2.08,594276
2026-03-25,2.12,2.22,2.12,2.17,589310
2026-03-26,2.03,2.17,2.03,2.12,388177
2026-03-27,2.09,2.15,1.98,2.0,466465
2026-03-30,2.02,2.05,1.95,2.02,384066
2026-03-31,2.03,2.19,2.03,2.15,352535
2026-04-01,2.18,2.635,2.16,2.53,3304101
2026-04-02,2.45,2.52,2.125,2.41,1316858
2026-04-06,2.41,2.49,2.325,2.345,582330
2026-04-07,2.34,2.49,2.3,2.47,562115
2026-04-08,2.58,2.6,2.385,2.42,340364
2026-04-09,2.38,2.415,2.34,2.4,278536
2026-04-10,2.4,2.53,2.4,2.45,572990
2026-04-13,2.44,2.44,2.275,2.33,362212
2026-04-14,2.35,2.445,2.34,2.41,393996
2026-04-15,2.53,2.61,2.495,2.58,538355
2026-04-16,2.52,2.665,2.47,2.55,561130
2026-04-17,2.62,2.62,2.49,2.57,343060
2026-04-20,2.56,2.7389,2.56,2.705,324864
2026-04-21,2.7,2.73,2.45,2.46,298688
2026-04-22,2.48,2.7,2.37,2.45,1421359
2026-04-23,2.52,2.52,2.375,2.43,303384
2026-04-24,2.42,2.53,2.36,2.41,320567
2026-04-27,2.41,2.465,2.33,2.35,592893
2026-04-28,2.35,2.42,2.35,2.39,297117
2026-04-29,2.36,2.3823,2.27,2.3,369040
2026-04-30,2.29,2.435,2.15,2.37,713186
2026-05-01,2.33,2.385,2.285,2.36,420336
2026-05-04,2.35,2.545,2.35,2.51,447856
2026-05-05,2.54,2.615,2.531,2.57,361274
2026-05-06,2.58,2.7,2.565,2.57,470644
2026-05-07,2.56,2.56,2.4116,2.44,276542
2026-05-08,2.12,2.33,2.0925,2.1,720453
2026-05-11,2.1,2.2,2.005,2.05,389060
2026-05-12,2.03,2.205,2.03,2.16,437339
2026-05-13,2.12,2.205,2.09,2.15,459250
2026-05-14,2.24,2.37,2.197,2.3,783208
2026-05-15,2.24,2.29,2.14,2.16,1104558
2026-05-18,2.13,2.18,2.045,2.12,814457
2026-05-19,2.1,2.16,2.019,2.11,790426
2026-05-20,2.11,2.235,2.11,2.12,898479
2026-05-21,2.11,2.24,2.01,2.21,929675
2026-05-22,2.220000028610229,2.2699999809265137,2.1700000762939453,2.2100000381469727,328100
2026-05-26,2.2100000381469727,2.319999933242798,2.119999885559082,2.190000057220459,480600
2026-05-27,2.200000047683716,2.2799999713897705,2.1700000762939453,2.2100000381469727,462400
2026-05-28,2.2100000381469727,2.240000009536743,2.0999999046325684,2.1500000953674316,1300400
2026-05-29,2.1500000953674316,2.25,2.049999952316284,2.1600000858306885,993200
2026-06-01,2.1600000858306885,2.1600000858306885,2.069999933242798,2.069999933242798,705800
