Date,Open,High,Low,Close,Volume
2025-07-11,8.8,8.85,8.26,8.36,60730.0
2025-07-14,8.25,8.8004,8.13,8.69,55283.0
2025-07-15,8.69,8.9522,8.2601,8.5,50714.0
2025-07-16,8.64,8.69,8.2,8.68,56517.0
2025-07-17,8.8,9.3,8.6101,9.04,131332.0
2025-07-18,9.19,9.48,8.84,9.16,79666.0
2025-07-21,9.24,9.92,8.64,8.64,170706.0
2025-07-22,8.7,9.215,8.18,9.12,81177.0
2025-07-23,9.16,9.44,8.94,9.28,46007.0
2025-07-24,8.95,9.1108,8.672,8.91,38744.0
2025-07-25,9.02,9.2,8.58,9.13,47451.0
2025-07-28,9.12,9.25,8.7,8.76,41347.0
2025-07-29,8.9,8.98,8.01,8.04,75064.0
2025-07-30,8.01,8.5478,7.7,7.93,49068.0
2025-07-31,7.89,8.175,7.27,7.28,58184.0
2025-08-01,7.21,7.96,7.01,7.46,49221.0
2025-08-04,7.59,8.0,7.42,8.0,28840.0
2025-08-05,7.45,8.2215,7.45,7.91,47797.0
2025-08-06,8.0,8.42,7.57,8.04,60046.0
2025-08-07,7.73,8.24,7.09,8.13,114374.0
2025-08-08,8.2,8.49,7.54,7.69,84998.0
2025-08-11,7.69,7.9738,7.295,7.57,51106.0
2025-08-12,7.67,7.97,7.435,7.435,56664.0
2025-08-13,7.57,7.765,7.3049,7.65,58784.0
2025-08-14,7.35,7.85,7.35,7.585,37088.0
2025-08-15,7.69,7.84,7.42,7.7,54558.0
2025-08-18,7.89,9.0,7.7822,8.77,74405.0
2025-08-19,8.82,8.86,8.29,8.82,93116.0
2025-08-20,8.84,8.9899,8.42,8.85,30745.0
2025-08-21,8.81,10.1,8.39,9.84,153414.0
2025-08-22,9.88,10.8331,9.3883,10.2,112747.0
2025-08-25,10.2,10.7793,9.92,10.21,147553.0
2025-08-26,10.0119,11.03,10.0119,10.98,137109.0
2025-08-27,10.72,11.671,10.503,11.33,102980.0
2025-08-28,11.35,11.7,10.6897,11.06,83302.0
2025-08-29,11.06,11.1925,10.0701,10.55,61988.0
2025-09-02,10.25,10.79,10.01,10.62,44425.0
2025-09-03,10.405,10.855,10.405,10.8,23676.0
2025-09-04,10.5,10.77,10.01,10.74,24945.0
2025-09-05,10.69,11.43,10.48,11.34,63660.0
2025-09-08,11.45,11.65,10.895,11.11,56035.0
2025-09-09,10.89,11.2718,10.66,11.22,27491.0
2025-09-10,11.16,11.6499,10.7,10.71,84108.0
2025-09-11,10.82,10.995,10.3824,10.88,41530.0
