Date,Open,High,Low,Close,Volume
2025-07-14,5.02,5.5,4.7,4.77,4789961
2025-07-15,5.08,5.15,4.85,4.88,2247697
2025-07-16,5.12,5.12,4.7,4.87,1465593
2025-07-17,4.75,4.77,4.5,4.54,1010249
2025-07-18,4.43,4.6,4.36,4.53,879140
2025-07-21,4.5,4.67,4.4226,4.52,1184252
2025-07-22,4.54,4.64,4.335,4.5,707868
2025-07-23,4.5,4.52,4.39,4.51,994234
2025-07-24,4.41,4.52,4.22,4.44,2036590
2025-07-25,4.03,4.08,3.905,3.93,1567076
2025-07-28,3.86,3.92,3.55,3.59,1468685
2025-07-29,3.73,3.81,3.16,3.42,2507580
2025-07-30,3.41,3.8,3.3,3.5,858776
2025-07-31,3.64,3.85,3.58,3.69,1019828
2025-08-01,3.9,3.93,3.64,3.76,671048
2025-08-04,3.96,4.19,3.9,4.16,786712
2025-08-05,4.26,4.425,4.1,4.15,756296
2025-08-06,4.25,4.25,4.05,4.13,528579
2025-08-07,4.08,4.125,3.8832,3.98,930411
2025-08-08,3.98,4.1577,3.98,4.12,544868
2025-08-11,4.31,4.47,4.265,4.4,988365
2025-08-12,4.53,4.75,4.35,4.52,1276902
2025-08-13,4.69,4.73,4.51,4.73,768242
2025-08-14,4.59,4.72,4.52,4.71,727391
2025-08-15,4.6,4.7,4.23,4.48,1122762
2025-08-18,4.53,4.69,4.44,4.68,418824
2025-08-19,4.42,4.52,4.0,4.06,1264565
2025-08-20,4.3,4.43,4.17,4.2,1127083
2025-08-21,4.28,4.31,4.17,4.28,541001
2025-08-22,4.15,4.33,4.15,4.28,516150
2025-08-25,4.08,4.29,3.97,4.29,818662
2025-08-26,4.22,4.37,4.03,4.28,684709
2025-08-27,4.25,4.33,4.07,4.21,542717
2025-08-28,4.29,4.53,4.18,4.46,886993
2025-08-29,4.45,4.56,4.21,4.45,610172
2025-09-02,4.47,4.51,4.302,4.39,364621
2025-09-03,4.32,4.34,3.98,4.21,821516
2025-09-04,4.2,4.23,4.1,4.22,282035
2025-09-05,4.19,4.33,4.1,4.14,277037
2025-09-08,4.27,4.63,4.151,4.62,1296859
2025-09-09,4.445,4.6,4.3,4.43,842578
2025-09-10,4.37,4.51,4.32,4.45,600557
2025-09-11,4.46,4.61,4.46,4.54,500779
2025-09-12,4.61,4.6777,4.45,4.46,435328
2025-09-15,4.54,4.83,4.51,4.81,694188
2025-09-16,4.945,5.04,4.72,4.87,1251975
2025-09-17,4.91,4.92,4.75,4.88,538461
2025-09-18,4.93,5.08,4.76,4.96,717008
2025-09-19,5.0,5.075,4.88,5.07,860074
2025-09-22,5.33,5.42,5.24,5.3,1198393
2025-09-23,5.45,5.98,5.4,5.95,2913900
2025-09-24,5.9,6.02,5.56,5.6,1475317
2025-09-25,5.52,5.69,5.25,5.65,1025007
2025-09-26,5.775,6.01,5.71,5.93,2079923
2025-09-29,6.09,6.35,5.96,6.1,2026837
2025-09-30,6.225,6.225,5.96,6.03,971197
2025-10-01,5.89,6.12,5.825,6.0,1022270
2025-10-02,6.0,6.25,5.92,6.15,1476524
2025-10-03,6.3,6.45,6.13,6.3,1476675
2025-10-06,6.48,7.18,6.41,6.69,3548248
2025-10-07,7.07,7.28,6.81,7.12,2554731
2025-10-08,7.695,7.79,7.48,7.65,3528273
2025-10-09,7.99,8.0842,7.64,7.83,3187012
2025-10-10,7.56,7.8,7.52,7.75,5039421
2025-10-13,8.2,8.85,8.19,8.64,4813115
2025-10-14,9.495,10.27,8.5101,9.96,8955938
2025-10-15,10.41,10.68,8.54,9.69,9753953
2025-10-16,9.68,9.91,8.464,8.51,4640706
2025-10-17,7.67,8.26,7.37,8.22,5103361
2025-10-20,8.78,9.058,8.11,9.0,3019919
2025-10-21,8.31,8.46,7.68,8.38,3684927
2025-10-22,7.585,8.13,7.31,7.69,3731456
2025-10-23,7.81,7.98,7.545,7.62,1148116
2025-10-24,7.71,7.79,6.84,6.95,3105136
2025-10-27,6.4,6.85,6.1744,6.68,3962028
2025-10-28,7.27,7.54,7.02,7.43,2919992
2025-10-29,7.81,7.85,7.005,7.09,3364674
2025-10-30,6.7,7.04,6.64,6.76,3316274
2025-10-31,6.97,7.16,6.81,7.13,1282870
2025-11-03,6.76,6.79,6.23,6.54,2250978
2025-11-04,6.07,6.31,6.03,6.2,1704585
2025-11-05,6.2,6.335,6.02,6.08,1944189
2025-11-06,6.16,6.525,5.94,6.41,2750892
2025-11-07,6.355,7.04,6.27,7.0,2954348
2025-11-10,7.25,7.35,7.08,7.15,1760488
2025-11-11,7.12,7.21,6.86,7.16,805998
2025-11-12,7.07,7.27,6.93,6.95,1125112
2025-11-13,6.91,7.1799,6.74,6.84,1198253
2025-11-14,6.58,6.94,6.4801,6.59,1358462
2025-11-17,6.63,7.055,6.44,6.49,1328343
2025-11-18,6.35,6.47,5.87,6.0,1929952
2025-11-19,6.17,6.5464,6.0701,6.13,1245576
2025-11-20,6.315,6.415,5.65,5.65,1580704
2025-11-21,5.5,5.695,5.435,5.59,1227698
2025-11-24,5.7,6.03,5.6523,5.98,1686846
2025-11-25,6.18,6.47,6.01,6.2,2189458
2025-11-26,6.25,6.51,6.14,6.38,2153872
2025-11-28,6.545,6.86,6.48,6.86,1759878
2025-12-01,6.85,6.89,6.165,6.43,1749179
2025-12-02,6.44,6.96,6.31,6.81,1730191
2025-12-03,6.77,6.82,6.4,6.68,1351363
2025-12-04,6.665,7.24,6.57,7.2,2183622
2025-12-05,7.31,7.34,7.01,7.24,1481655
2025-12-08,7.455,8.165,7.44,7.9,3002534
2025-12-09,6.84,7.15,6.6,7.09,10817550
2025-12-10,7.03,7.06,6.58,6.8,3906500
2025-12-11,6.78,6.855,6.4,6.72,2712206
2025-12-12,6.9,6.99,6.635,6.76,1353972
2025-12-15,6.93,7.48,6.93,7.31,3974625
2025-12-16,7.26,8.0,7.26,7.98,4498485
2025-12-17,8.09,8.55,7.8,7.83,4387744
2025-12-18,7.96,8.63,7.9,8.35,4887736
2025-12-19,8.48,8.99,8.23,8.46,4015782
