Date,Open,High,Low,Close,Volume
2025-07-11,0.509,0.51,0.4803,0.4825,282188
2025-07-14,0.485,0.49,0.45,0.4688,280053
2025-07-15,0.4569,0.4899,0.45,0.4665,461236
2025-07-16,0.4698,0.4838,0.451,0.467,243997
2025-07-17,0.47,0.5,0.4665,0.492,397913
2025-07-18,0.47,0.51,0.4652,0.5066,297402
2025-07-21,0.5066,0.54,0.4672,0.48,855603
2025-07-22,0.4749,0.484,0.444,0.4799,241735
2025-07-23,0.5,0.5073,0.4799,0.5062,578286
2025-07-24,0.5125,0.54,0.5056,0.54,645553
2025-07-25,0.54,0.54,0.5081,0.5262,221192
2025-07-28,0.53,0.636,0.5288,0.626,1993946
2025-07-29,0.61,0.6276,0.56,0.58,1246270
2025-07-30,0.59,0.615,0.57,0.597,574529
2025-07-31,0.5791,0.59,0.56,0.5675,180012
2025-08-01,0.55,0.55,0.51,0.5181,415913
2025-08-04,0.517,0.5895,0.51,0.5867,313714
2025-08-05,0.5737,0.6649,0.555,0.6611,843230
2025-08-06,0.6563,0.72,0.6563,0.701,697894
2025-08-07,0.72,0.72,0.6605,0.7048,595695
2025-08-08,0.7,0.7,0.6475,0.6768,327802
2025-08-11,0.65,0.6724,0.6111,0.6145,296581
2025-08-12,0.6268,0.6268,0.601,0.6151,221695
2025-08-13,0.62,0.6927,0.6171,0.6606,606294
2025-08-14,0.67,0.6751,0.6324,0.655,190310
2025-08-15,0.6404,0.6692,0.6245,0.6443,219713
2025-08-18,0.6823,1.04,0.6601,0.9709,16245180
2025-08-19,0.8,0.983,0.8,0.8896,2810886
2025-08-20,0.9,0.925,0.79605,0.832,1104954
2025-08-21,0.8602,1.05,0.85,1.03,2860680
2025-08-22,1.05,1.19,1.03,1.17,2878179
2025-08-25,1.2179,1.2179,1.1,1.1,935289
2025-08-26,1.1,1.16,1.05,1.1,781719
2025-08-27,1.13,1.25,1.122,1.2,948180
2025-08-28,1.23,1.25,1.13,1.14,560003
2025-08-29,1.14,1.1785,1.1,1.17,526637
2025-09-02,1.13,1.14,1.015,1.03,708453
2025-09-03,1.0,1.05,0.96,1.02,301074
2025-09-04,1.01,1.08,0.99,1.08,237788
2025-09-05,1.05,1.255,1.0113,1.22,827913
2025-09-08,1.22,1.2249,1.095,1.11,351287
2025-09-09,1.1,1.13,1.06,1.09,285225
2025-09-10,1.1,1.2,1.1,1.17,281316
2025-09-11,1.18,1.27,1.18,1.18,361656
2025-09-12,1.18,1.18,1.01,1.06,411429
2025-09-15,1.06,1.1096,1.02,1.05,186189
2025-09-16,1.04,1.1,1.04,1.08,185103
2025-09-17,1.1,1.13,1.05,1.05,415627
2025-09-18,1.04,1.09,1.03,1.09,187208
2025-09-19,1.23,1.4,1.18,1.21,3702066
2025-09-22,1.22,1.28,1.13,1.27,739128
2025-09-23,1.25,1.325,1.24,1.26,599827
2025-09-24,1.28,1.57,1.27,1.55,1566476
2025-09-25,1.53,1.84,1.52,1.79,1677588
2025-09-26,1.76,1.89,1.66,1.87,700468
2025-09-29,1.89,1.8982,1.72,1.75,437803
2025-09-30,1.73,1.83,1.71,1.83,214283
2025-10-01,1.82,1.86,1.745,1.81,286404
2025-10-02,1.8,1.91,1.75,1.91,888943
2025-10-03,1.905,2.24,1.905,2.18,1073489
2025-10-06,2.22,2.27,2.1,2.11,494696
2025-10-07,2.12,2.14,1.81,1.83,772461
2025-10-08,1.83,2.06,1.83,1.97,488836
2025-10-09,2.01,2.01,1.88,1.94,385039
2025-10-10,1.94,1.94,1.61,1.64,835781
2025-10-13,1.7,1.9,1.5501,1.85,750966
2025-10-14,1.78,1.79,1.655,1.7,525600
2025-10-15,1.73,1.78,1.66,1.66,446029
2025-10-16,1.66,1.7099,1.58,1.65,498817
2025-10-17,1.63,1.63,1.5,1.5,353919
2025-10-20,1.55,1.665,1.545,1.65,412659
2025-10-21,1.73,1.78,1.6,1.64,453249
2025-10-22,1.61,1.64,1.56,1.61,217918
2025-10-23,1.65,1.84,1.63,1.75,659655
2025-10-24,1.8,1.9,1.71,1.75,443578
2025-10-27,1.75,1.77,1.62,1.7,410241
2025-10-28,1.66,1.68,1.53,1.54,254685
2025-10-29,1.54,1.61,1.513,1.59,197553
2025-10-30,1.57,1.61,1.52,1.55,123047
2025-10-31,1.52,1.55,1.49,1.54,99872
2025-11-03,1.57,1.64,1.54,1.57,166038
2025-11-04,1.52,1.5997,1.46,1.46,303479
2025-11-05,1.5,1.5273,1.25,1.26,546714
2025-11-06,1.26,1.365,1.13,1.18,824612
2025-11-07,1.21,1.41,1.05,1.38,758147
2025-11-10,1.27,1.35,1.248,1.27,254581
2025-11-11,1.27,1.35,1.18,1.31,350764
2025-11-12,1.3,1.32,1.2222,1.28,155680
2025-11-13,1.27,1.35,1.19,1.22,401046
2025-11-14,1.2,1.47,1.1781,1.38,826017
2025-11-17,1.39,1.65,1.36,1.56,739375
2025-11-18,1.55,1.63,1.53,1.63,327933
2025-11-19,1.65,1.66,1.47,1.47,286894
2025-11-20,1.51,1.56,1.36,1.36,167667
2025-11-21,1.35,1.45,1.29,1.43,178057
2025-11-24,1.43,1.555,1.43,1.51,166923
2025-11-25,1.52,1.54,1.445,1.45,85989
2025-11-26,1.45,1.47,1.35,1.38,143660
2025-11-28,1.38,1.425,1.35,1.37,42778
2025-12-01,1.33,1.4056,1.3,1.32,193523
2025-12-02,1.32,1.35,1.2,1.2,223768
2025-12-03,1.27,1.33,1.2,1.32,346445
2025-12-04,1.33,1.395,1.3,1.37,147668
2025-12-05,1.37,1.48,1.37,1.42,266319
