Date,Open,High,Low,Close,Volume
2025-06-09,3.43,3.5799,3.2,3.4,1901107
2025-06-10,3.5,3.58,3.3,3.49,507590
2025-06-11,3.58,3.58,3.4,3.415,290886
2025-06-12,3.4,3.615,3.33,3.6,232556
2025-06-13,3.58,3.59,3.3,3.34,168515
2025-06-16,3.5,3.75,3.475,3.75,232762
2025-06-17,3.79,3.7922,3.62,3.68,151746
2025-06-18,3.78,3.8,3.41,3.55,208499
2025-06-20,3.55,3.6,3.31,3.38,225986
2025-06-23,3.42,3.51,3.315,3.49,115895
2025-06-24,3.51,3.52,3.25,3.33,124586
2025-06-25,3.33,3.45,3.15,3.31,138757
2025-06-26,3.31,3.38,3.23,3.38,77438
2025-06-27,3.4,3.4,3.19,3.22,100654
2025-06-30,3.22,3.3104,3.1801,3.3,87173
2025-07-01,3.28,3.33,3.22,3.23,46737
2025-07-02,3.23,3.25,3.19,3.19,94038
2025-07-03,3.19,3.39,3.19,3.23,38261
2025-07-07,3.23,3.25,3.15,3.21,109467
2025-07-08,3.21,3.23,3.14,3.14,65880
2025-07-09,3.14,3.2299,3.12,3.15,171174
2025-07-10,3.14,3.2408,3.07,3.14,86710
2025-07-11,3.12,3.19,3.07,3.14,134469
2025-07-14,3.11,3.215,3.11,3.2,149493
2025-07-15,3.22,3.25,3.11,3.2,170236
2025-07-16,3.22,3.38,3.17,3.36,182041
2025-07-17,3.32,3.39,3.25,3.35,129590
2025-07-18,3.35,3.5,3.35,3.44,82658
2025-07-21,3.5,3.5,3.37,3.43,140237
2025-07-22,3.39,3.48,3.28,3.335,135175
2025-07-23,3.37,3.46,3.31,3.38,64479
2025-07-24,3.41,3.41,3.3505,3.37,108328
2025-07-25,3.38,3.38,3.21,3.22,85602
2025-07-28,3.27,3.36,3.24,3.29,54062
2025-07-29,3.32,3.3332,3.1,3.1,112973
2025-07-30,3.26,3.2786,3.12,3.16,87777
2025-07-31,3.17,3.25,3.05,3.06,90000
2025-08-01,3.06,3.1431,3.01,3.01,44715
2025-08-04,3.0,3.29,3.0,3.26,216326
2025-08-05,3.29,3.29,3.14,3.15,50531
2025-08-06,3.16,3.2,3.05,3.1,54196
2025-08-07,3.08,3.1,3.0,3.01,58025
2025-08-08,3.0,3.09,2.9,2.98,165560
2025-08-11,3.0,3.018,2.9,2.94,71914
