Date,Open,High,Low,Close,Volume
2025-06-09,2.64,2.656,2.49,2.59,925659
2025-06-10,2.61,2.735,2.57,2.64,763926
2025-06-11,2.66,2.6699,2.51,2.52,724515
2025-06-12,2.49,2.81,2.41,2.71,1854608
2025-06-13,2.64,2.6799,2.46,2.49,1053752
2025-06-16,2.5,2.525,2.4,2.44,670120
2025-06-17,2.42,2.475,2.32,2.34,807048
2025-06-18,2.32,2.44,2.26,2.34,2069215
2025-06-20,2.36,2.415,2.3,2.38,1626365
2025-06-23,2.38,2.4,2.25,2.38,1283494
2025-06-24,2.42,2.49,2.385,2.45,925356
2025-06-25,2.46,2.465,2.315,2.39,1251462
2025-06-26,2.39,2.53,2.36,2.45,2013811
2025-06-27,2.45,2.4917,2.365,2.41,1142281
2025-06-30,2.43,2.485,2.36,2.4,1055980
2025-07-01,2.37,2.53,2.3,2.47,1008387
2025-07-02,2.51,2.98,2.46,2.81,3089363
2025-07-03,2.85,3.11,2.7405,2.89,1884073
2025-07-07,2.84,2.8767,2.73,2.73,1273071
2025-07-08,2.75,2.83,2.7,2.71,1261178
2025-07-09,2.74,2.95,2.725,2.77,3101068
2025-07-10,2.77,2.965,1.85,2.8,7998444
2025-07-11,2.74,2.74,2.535,2.58,1602605
2025-07-14,2.67,2.74,2.495,2.61,1366641
2025-07-15,2.63,2.65,2.485,2.5,677516
2025-07-16,2.52,2.535,2.33,2.4,2093743
2025-07-17,2.41,2.4353,2.305,2.34,1755992
2025-07-18,2.38,2.405,2.2104,2.32,1383018
2025-07-21,2.35,2.53,2.3077,2.47,1474851
2025-07-22,2.45,2.47,2.325,2.37,3100143
2025-07-23,2.4,2.52,2.34,2.48,1866054
2025-07-24,2.59,2.6784,2.49,2.55,957383
2025-07-25,2.51,2.575,2.455,2.51,765032
2025-07-28,2.54,2.605,2.49,2.49,668582
2025-07-29,2.53,2.53,2.37,2.38,631607
2025-07-30,2.38,2.74,2.37,2.59,1572038
2025-07-31,2.57,2.5984,2.4,2.4,685908
2025-08-01,2.35,2.47,2.2901,2.45,872045
2025-08-04,2.52,2.62,2.435,2.53,1032925
2025-08-05,2.53,2.56,2.435,2.48,631648
2025-08-06,2.44,2.45,2.35,2.35,569428
2025-08-07,2.35,2.39,2.305,2.37,884551
2025-08-08,2.39,2.4342,2.335,2.36,1103298
2025-08-11,2.36,2.4,2.31,2.35,466278
2025-08-12,2.38,2.45,2.35,2.44,417715
2025-08-13,2.47,2.71,2.45,2.6,1910799
2025-08-14,2.55,2.6,2.34,2.38,1323176
2025-08-15,2.45,2.575,2.35,2.44,2662783
2025-08-18,2.47,2.567,2.34,2.35,1893967
2025-08-19,2.35,2.35,2.1,2.19,1993918
2025-08-20,2.19,2.2297,2.1,2.14,739065
2025-08-21,2.11,2.185,2.07,2.17,1062148
2025-08-22,2.2,2.355,2.19,2.31,1956944
2025-08-25,2.31,2.32,2.14,2.15,964215
2025-08-26,2.2,2.2,2.09,2.15,1046819
2025-08-27,2.14,2.185,2.06,2.11,1696702
2025-08-28,2.14,2.179,2.09,2.12,843615
2025-08-29,2.12,2.145,2.05,2.06,1019809
2025-09-02,2.06,2.135,2.05,2.07,1682455
2025-09-03,2.07,2.12,2.03,2.05,856187
2025-09-04,2.05,2.17,2.04,2.15,1835085
2025-09-05,2.19,2.2476,2.13,2.17,1231114
2025-09-08,2.21,2.28,2.17,2.21,1429031
2025-09-09,2.19,2.205,2.1,2.12,1451682
2025-09-10,2.12,2.3954,2.1,2.29,3692324
2025-09-11,2.27,2.6975,2.27,2.55,3154657
2025-09-12,2.52,2.57,2.41,2.42,3901644
2025-09-15,2.43,2.49,2.32,2.49,1132609
2025-09-16,2.49,2.68,2.49,2.65,2022890
2025-09-17,2.66,2.71,2.5,2.52,1144062
2025-09-18,2.56,2.68,2.5201,2.64,1667803
2025-09-19,2.67,2.89,2.66,2.86,3533149
2025-09-22,2.83,3.045,2.75,2.98,1802252
2025-09-23,3.0,3.01,2.805,2.91,1980480
2025-09-24,2.92,2.98,2.795,2.82,1911026
2025-09-25,2.78,2.88,2.75,2.79,1346042
2025-09-26,2.81,3.41,2.77,3.37,5462355
2025-09-29,3.38,3.425,3.02,3.12,5535864
2025-09-30,3.08,3.14,2.91,3.05,2944985
2025-10-01,3.02,3.18,2.98,3.03,1406779
2025-10-02,3.04,3.16,3.005,3.11,3010713
2025-10-03,3.19,3.38,3.11,3.19,1518164
2025-10-06,3.22,3.29,3.15,3.18,1119162
2025-10-07,3.19,3.23,3.055,3.07,917956
2025-10-08,3.07,3.22,3.045,3.15,1611185
2025-10-09,3.15,3.3,3.09,3.26,1593096
2025-10-10,3.26,3.26,2.93,3.1,2175849
2025-10-13,3.12,3.1795,2.925,3.005,1147894
2025-10-14,2.93,3.05,2.8609,3.0,1573718
2025-10-15,3.0,3.21,2.95,3.04,1731946
2025-10-16,3.08,3.26,3.05,3.17,1618548
2025-10-17,3.14,3.355,3.09,3.15,1554756
2025-10-20,3.23,3.285,3.125,3.16,2246102
2025-10-21,3.17,3.22,3.05,3.13,1663711
2025-10-22,3.13,3.15,2.885,3.0,1691050
2025-10-23,2.99,3.06,2.905,3.05,1222934
2025-10-24,3.06,3.34,3.06,3.21,3194589
2025-10-27,3.26,3.55,3.26,3.54,1970080
2025-10-28,3.52,3.6,3.43,3.45,1716670
2025-10-29,3.45,3.5,3.165,3.19,2946904
2025-10-30,3.16,3.2,2.91,2.93,1726165
2025-10-31,2.93,3.235,2.89,3.16,3738058
2025-11-03,3.2,3.37,3.09,3.17,2370793
2025-11-04,3.05,3.16,3.016,3.08,1884178
2025-11-05,3.08,3.15,2.98,3.01,1421224
2025-11-06,3.08,3.1166,2.92,3.02,1052476
2025-11-07,2.98,2.98,2.655,2.88,1639126
2025-11-10,2.92,3.0055,2.9,2.98,837391
2025-11-11,2.95,3.03,2.8601,2.97,935534
2025-11-12,2.96,2.97,2.74,2.84,1922271
2025-11-13,2.57,2.8299,2.54,2.68,3853220
2025-11-14,2.68,2.895,2.6501,2.71,3507836
2025-11-17,2.69,3.115,2.67,3.02,3647775
2025-11-18,3.02,3.2879,2.99,3.2,2951950
2025-11-19,3.58,4.2,3.5,4.06,10650536
2025-11-20,4.4,5.07,4.245,4.27,8299930
2025-11-21,4.29,4.415,4.165,4.27,3979106
2025-11-24,4.45,4.7,4.368,4.51,3844244
2025-11-25,4.53,4.6,4.325,4.44,2852670
2025-11-26,4.41,4.445,4.262,4.32,3045876
2025-11-28,4.36,4.64,4.35,4.5,1763963
2025-12-01,4.42,4.5,4.07,4.13,2248232
2025-12-02,4.26,4.44,4.01,4.06,4167576
2025-12-03,4.1,4.31,4.08,4.28,1777202
2025-12-04,4.445,4.545,4.25,4.49,2489315
2025-12-05,4.48,4.74,4.48,4.61,1944309
2025-12-08,4.72,5.0,4.71,4.86,2433500
2025-12-09,4.87,4.98,4.785,4.86,2274952
2025-12-10,4.85,5.0,4.84,4.9,1666824
2025-12-11,4.91,5.125,4.885,5.04,3393146
2025-12-12,5.03,5.34,4.95,4.97,5562697
2025-12-15,4.99,5.07,4.795,4.91,3344242
2025-12-16,4.91,5.01,4.75,4.8,2618717
2025-12-17,4.82,4.975,4.805,4.9,1810596
2025-12-18,4.99,5.11,4.805,4.82,2705162
2025-12-19,4.86,5.415,4.85,5.17,10460487
2025-12-22,5.18,5.48,5.11,5.19,2401978
2025-12-23,5.32,5.32,5.04,5.11,2169793
2025-12-24,5.15,5.2867,5.11,5.18,955878
2025-12-26,5.16,5.27,4.94,5.11,1670270
2025-12-29,5.04,5.18,4.99,5.0,1355691
2025-12-30,5.02,5.18,4.95,5.04,1934723
2025-12-31,5.04,5.115,4.95,5.02,2107909
2026-01-02,5.1,5.16,4.65,4.69,2102617
2026-01-05,4.74,5.23,4.545,5.22,5408612
2026-01-06,5.17,5.17,4.95,5.1,3203744
2026-01-07,5.1,5.73,5.1,5.53,3142227
2026-01-08,5.52,5.54,5.255,5.29,2428721
2026-01-09,5.38,5.54,5.22,5.25,1870725
2026-01-12,5.25,5.57,5.12,5.56,1816350
2026-01-13,5.53,6.3,5.496,6.19,2793922
2026-01-14,6.2,6.83,6.0,6.68,4643926
2026-01-15,6.69,6.755,6.15,6.16,2970185
2026-01-16,6.2,6.28,6.05,6.07,1616892
2026-01-20,6.06,6.19,5.85,6.16,1949797
2026-01-21,6.17,6.875,6.17,6.85,2997429
2026-01-22,6.87,7.06,6.855,6.96,2780332
2026-01-23,6.98,7.18,6.755,6.78,2337070
2026-01-26,6.7,6.745,6.42,6.66,1714446
2026-01-27,6.66,6.82,6.485,6.57,2449810
2026-01-28,6.63,6.63,6.26,6.29,3741702
2026-01-29,6.41,6.55,6.3,6.52,1287889
2026-01-30,6.65,6.84,6.155,6.24,1841321
2026-02-02,6.13,6.55,6.1,6.38,1572041
2026-02-03,6.36,6.59,6.3,6.48,1435503
2026-02-04,6.42,6.52,5.9,6.04,1884601
2026-02-05,5.95,6.21,5.43005,5.63,2384619
2026-02-06,5.79,5.855,5.58,5.73,2060577
2026-02-09,5.71,5.71,5.46,5.63,1716658
2026-02-10,5.7,5.79,5.57,5.61,3347432
2026-02-11,5.66,5.75,5.09,5.24,2488978
2026-02-12,5.25,5.435,5.13,5.19,2216032
2026-02-13,5.22,5.37,4.87,4.89,1903991
2026-02-17,4.89,5.11,4.79,5.04,2090401
2026-02-18,4.98,5.18,4.925,5.06,1858213
2026-02-19,5.15,5.19,5.0,5.1,1406317
2026-02-20,5.05,5.105,4.855,4.9,1749101
