Date,Open,High,Low,Close,Volume
2025-06-09,3.85,4.03,3.77,3.99,602521
2025-06-10,4.0,4.03,3.9,3.99,506997
2025-06-11,4.04,4.0698,3.95,3.98,323320
2025-06-12,3.95,3.962,3.82,3.84,518871
2025-06-13,3.76,3.81,3.695,3.71,232708
2025-06-16,3.71,3.84,3.66,3.82,653517
2025-06-17,3.8,3.8,3.6623,3.72,213439
2025-06-18,3.75,3.77,3.67,3.72,250883
2025-06-20,3.74,3.76,3.65,3.69,432462
2025-06-23,3.67,3.67,3.53,3.65,323960
2025-06-24,3.73,3.7601,3.5806,3.74,234289
2025-06-25,3.76,3.8,3.67,3.76,385101
2025-06-26,3.75,3.835,3.7061,3.82,281541
2025-06-27,3.79,3.83,3.74,3.78,166280
2025-06-30,3.8,3.87,3.745,3.81,310106
2025-07-01,3.8,3.85,3.675,3.68,238082
2025-07-02,3.64,3.7692,3.6,3.7,220353
2025-07-03,3.68,3.775,3.65,3.67,208381
2025-07-07,3.7,3.755,3.675,3.71,336132
2025-07-08,3.75,4.2,3.75,4.18,1800233
2025-07-09,4.24,4.3141,3.97,4.04,484960
2025-07-10,4.14,4.14,3.88,3.93,434165
2025-07-11,3.9,3.92,3.8,3.8,242369
2025-07-14,3.83,3.905,3.8,3.88,291149
2025-07-15,4.0,4.2699,3.99,4.18,706711
2025-07-16,4.17,4.1808,3.97,3.98,304904
2025-07-17,3.92,4.1401,3.92,3.99,481651
2025-07-18,4.0,4.06,3.95,3.99,365054
2025-07-21,4.0,4.065,3.96,3.98,222860
2025-07-22,4.0,4.05,3.95,4.0,209422
2025-07-23,4.05,4.195,3.985,4.06,385434
2025-07-24,4.05,4.11,3.99,4.03,300353
2025-07-25,4.01,4.05,3.98,4.0,146702
2025-07-28,4.0,4.05,3.9,3.94,233882
2025-07-29,4.0,4.0,3.82,3.82,303687
2025-07-30,3.83,3.975,3.76,3.88,535377
2025-07-31,3.85,3.925,3.77,3.85,236716
2025-08-01,3.83,3.895,3.67,3.67,385948
2025-08-04,3.71,3.79,3.71,3.73,211318
2025-08-05,3.74,3.8,3.71,3.71,339715
2025-08-06,3.71,3.76,3.645,3.72,371667
2025-08-07,3.78,3.87,3.685,3.77,589091
2025-08-08,3.75,3.875,3.62,3.83,392902
2025-08-11,3.81,3.815,3.73,3.75,300931
2025-08-12,3.75,3.835,3.71,3.82,279731
2025-08-13,3.91,3.97,3.75,3.8,714601
2025-08-14,3.76,3.825,3.645,3.65,302501
2025-08-15,3.73,3.755,3.55,3.67,1090715
2025-08-18,3.72,3.98,3.71,3.98,791894
2025-08-19,3.9,3.9246,3.605,3.67,939266
2025-08-20,3.6,3.68,3.44,3.47,608440
2025-08-21,3.44,3.57,3.425,3.54,295958
2025-08-22,3.55,3.67,3.52,3.53,854124
2025-08-25,3.6,3.69,3.54,3.64,504694
2025-08-26,3.64,3.66,3.51,3.53,287005
2025-08-27,3.48,3.5562,3.48,3.51,314370
2025-08-28,3.53,3.67,3.51,3.54,409830
2025-08-29,3.54,3.6,3.39,3.45,580207
2025-09-02,3.37,3.53,3.26,3.4,805237
2025-09-03,3.42,3.47,3.35,3.41,547135
2025-09-04,3.39,3.41,3.26,3.3,514144
2025-09-05,3.41,3.56,3.41,3.42,569545
2025-09-08,3.43,3.7,3.42,3.68,553173
2025-09-09,3.67,3.79,3.61,3.62,438515
2025-09-10,3.72,3.77,3.68,3.71,1081070
2025-09-11,3.8,3.96,3.75,3.87,916221
2025-09-12,3.94,3.94,3.725,3.78,463355
2025-09-15,3.81,3.87,3.78,3.82,207752
