Date,Open,High,Low,Close,Volume
2024-01-02,4.7,5.0,4.64,5.0,14192.0
2024-01-03,5.19,5.25,4.9,5.22,11659.0
2024-01-04,5.16,5.457,5.04,5.04,7098.0
2024-01-05,5.4009,5.4009,5.01,5.03,3901.0
2024-01-08,5.06,5.2063,4.9402,5.05,5543.0
2024-01-09,5.15,6.45,5.15,6.22,40795.0
2024-01-10,6.41,6.7998,5.3,5.96,27651.0
2024-01-11,5.55,5.78,5.55,5.73,6281.0
2024-01-12,5.8,5.99,5.26,5.58,8289.0
2024-01-16,5.69,6.05,5.2,6.02,20913.0
2024-01-17,5.85,5.92,5.03,5.23,5628.0
2024-01-18,5.107,5.62,5.107,5.1701,32898.0
2024-01-19,5.5,5.7,5.34,5.39,10776.0
2024-01-22,6.0,6.02,5.3801,5.82,18950.0
2024-01-23,5.72,6.0,5.3227,5.6,29549.0
2024-01-24,5.5,5.8,5.29,5.62,14179.0
2024-01-25,5.8,5.95,5.5,5.5,4085.0
2024-01-26,5.3,5.6,4.8201,5.2,18485.0
2024-01-29,5.23,5.3115,5.09,5.09,3425.0
2024-01-30,5.19,5.25,5.0952,5.1493,5825.0
2024-01-31,5.04,5.4599,5.03,5.17,2496.0
2024-02-01,5.285,5.76,4.9401,5.7,68815.0
2024-02-02,6.07,6.07,5.52,5.72,10255.0
2024-02-05,5.43,6.7,5.0084,6.56,67928.0
2024-02-06,6.77,7.42,6.24,7.345,47739.0
2024-02-07,7.71,7.71,6.4205,6.62,15519.0
2024-02-08,6.61,6.8799,6.045,6.8799,9771.0
2024-02-09,6.4,6.7349,6.0,6.0,5615.0
2024-02-12,6.3272,6.4677,6.3272,6.4,4248.0
2024-02-13,6.43,6.625,5.91,5.91,20657.0
2024-02-14,6.18,6.18,5.5101,5.97,10254.0
2024-02-15,5.7675,5.86,5.5,5.699,6485.0
2024-02-16,5.67,6.1,5.5,5.828,3320.0
2024-02-20,5.8,6.28,5.56,6.28,22718.0
2024-02-21,6.28,6.28,6.28,6.28,693.0
2024-02-22,6.25,6.4,6.2,6.3736,3400.0
2024-02-23,6.47,7.4999,6.47,7.24,19060.0
2024-02-26,7.26,7.5,7.0722,7.15,14206.0
2024-02-27,7.15,7.48,6.8305,7.27,19584.0
2024-02-28,7.1547,7.28,7.1547,7.2,2289.0
2024-02-29,7.35,8.4899,7.35,8.46,14961.0
2024-03-01,8.47,8.8465,7.72,8.0,28900.0
2024-03-04,8.25,8.4,7.6501,8.4,7414.0
2024-03-05,8.4,8.4,7.3,8.17,13162.0
2024-03-06,8.09,8.29,8.09,8.29,1782.0
2024-03-07,8.15,8.4,7.4,7.45,28564.0
2024-03-08,7.625,7.625,7.09,7.13,4106.0
2024-03-11,8.08,8.1,6.27,6.77,1152549.0
2024-03-12,6.57,6.7599,6.1201,6.16,51873.0
2024-03-13,6.18,6.26,5.55,5.55,26414.0
2024-03-14,5.6,5.87,5.05,5.31,28241.0
2024-03-15,5.59,6.2,5.5746,6.19,33864.0
2024-03-18,6.22,6.79,5.79,6.55,28335.0
2024-03-19,6.61,6.8799,6.55,6.74,15802.0
2024-03-20,6.69,6.7445,6.48,6.5,4024.0
2024-03-21,6.625,6.625,5.88,6.35,51594.0
2024-03-22,6.13,6.198,6.0,6.12,5207.0
2024-03-25,6.105,6.2,5.945,6.0836,10833.0
2024-03-26,6.04,6.12,5.92,5.92,10140.0
2024-03-27,6.31,6.31,5.95,6.07,16742.0
2024-03-28,5.92,6.8,5.91,6.69,28785.0
2024-04-01,6.64,6.64,6.13,6.35,4887.0
2024-04-02,6.29,6.6,6.21,6.6,10056.0
2024-04-03,6.67,6.7,6.3,6.67,10711.0
2024-04-04,6.1001,6.48,6.0,6.17,16916.0
2024-04-05,6.27,6.475,6.0,6.3,9848.0
2024-04-08,6.17,6.4,5.82,6.2,11639.0
2024-04-09,5.9,6.31,5.9,6.0394,7224.0
2024-04-10,5.91,6.2,5.32,6.2,6691.0
2024-04-11,5.867,6.16,5.85,5.9,4559.0
2024-04-12,6.23,6.23,5.6901,5.71,4652.0
2024-04-15,6.0,6.0071,5.7,5.9,8449.0
2024-04-16,5.73,5.98,5.68,5.85,5097.0
2024-04-17,5.71,5.8484,5.71,5.73,2294.0
2024-04-18,5.6101,5.6101,5.61,5.61,998.0
2024-04-19,5.59,5.785,5.3112,5.35,7290.0
2024-04-22,5.7516,5.7516,5.1201,5.1201,11827.0
2024-04-23,5.14,5.6163,5.14,5.37,2657.0
2024-04-24,5.37,5.37,5.0648,5.17,6305.0
2024-04-25,5.02,5.47,5.02,5.35,9079.0
2024-04-26,5.2013,5.2013,5.0,5.2,4833.0
2024-04-29,5.01,5.2557,5.0,5.0843,2551.0
2024-04-30,5.16,5.17,4.9001,5.1,14870.0
2024-05-01,5.102,5.25,5.1,5.25,2971.0
2024-05-02,5.4068,5.45,5.33,5.45,2608.0
2024-05-03,5.4,5.45,5.35,5.35,2249.0
2024-05-06,5.25,5.35,5.25,5.26,4060.0
2024-05-07,5.35,5.35,5.17,5.17,5138.0
2024-05-08,5.29,5.3,5.0485,5.135,3818.0
2024-05-09,5.08,5.5951,5.05,5.5,34221.0
2024-05-10,5.48,5.665,5.1575,5.59,11132.0
2024-05-13,5.43,5.59,5.2499,5.59,10381.0
2024-05-14,5.54,5.9,5.54,5.89,8820.0
2024-05-15,5.87,5.875,5.56,5.8,11445.0
2024-05-16,5.8,5.9,5.331,5.59,14751.0
2024-05-17,5.57,5.8,5.27,5.27,8153.0
2024-05-20,5.42,5.42,5.26,5.281,2543.0
2024-05-21,5.2523,5.2523,5.0001,5.0966,12867.0
2024-05-22,5.01,5.2,4.94,5.03,16256.0
2024-05-23,5.0228,5.0228,5.0228,5.0228,986.0
2024-05-24,5.1999,5.3,5.19,5.299,4692.0
2024-05-28,5.0,5.22,4.915,5.19,19634.0
2024-05-29,4.97,4.97,4.55,4.66,20139.0
2024-05-30,4.6601,4.8512,4.54,4.607,11366.0
2024-05-31,4.7,4.77,4.5001,4.77,5197.0
2024-06-03,4.65,4.82,4.544,4.75,6530.0
2024-06-04,4.74,5.0,4.695,4.78,9946.0
2024-06-05,4.52,4.97,4.52,4.59,5184.0
2024-06-06,4.62,4.7028,4.56,4.7028,6862.0
2024-06-07,4.7099,4.7099,4.5001,4.5001,3519.0
2024-06-10,4.5,4.55,4.3,4.41,12491.0
2024-06-11,4.33,4.48,4.3,4.46,10059.0
2024-06-12,4.44,4.46,4.25,4.32,3898.0
2024-06-13,4.25,4.2501,4.23,4.23,7363.0
2024-06-14,4.26,4.44,4.1,4.4056,5206.0
2024-06-17,4.3,4.475,4.1,4.2,36028.0
2024-06-18,4.09,4.31,4.07,4.07,13772.0
2024-06-20,4.07,4.17,3.85,4.07,29105.0
2024-06-21,4.02,4.32,4.01,4.01,39732.0
2024-06-24,4.01,4.34,4.01,4.14,11615.0
2024-06-25,4.1,4.34,4.09,4.15,9526.0
2024-06-26,4.23,4.245,4.02,4.02,8354.0
2024-06-27,4.14,4.15,4.0,4.09,5369.0
2024-06-28,4.155,4.22,4.02,4.07,1364.0
2024-07-01,4.0,4.03,3.955,4.03,3639.0
2024-07-02,4.0,4.02,3.8,3.8,6218.0
2024-07-03,3.72,3.81,3.7,3.76,7400.0
2024-07-05,3.93,3.93,3.82,3.88,1956.0
2024-07-08,3.88,4.0,3.75,3.82,9253.0
2024-07-09,3.75,4.2661,3.75,3.76,22171.0
2024-07-10,3.76,3.95,3.76,3.95,2377.0
2024-07-11,3.965,4.01,3.9,4.01,3073.0
2024-07-12,4.08,4.14,4.0,4.11,5612.0
2024-07-15,4.09,4.16,3.92,3.92,4141.0
2024-07-16,3.94,4.08,3.94,3.99,7236.0
2024-07-17,3.98,4.07,3.96,3.99,3267.0
2024-07-18,3.99,4.06,3.97,4.0,2898.0
2024-07-19,4.0,4.0,3.99,4.0,1617.0
2024-07-22,3.95,4.02,3.76,3.98,7940.0
2024-07-23,4.1,4.1,3.948,4.05,1953.0
2024-07-24,3.915,4.05,3.86,3.87,6423.0
2024-07-25,4.0,4.04,3.86,3.86,2772.0
2024-07-26,3.84,3.96,3.8,3.96,3756.0
2024-07-29,3.92,4.0,3.92,4.0,1469.0
2024-07-30,3.92,3.93,3.805,3.805,6784.0
2024-07-31,3.93,3.94,3.5,3.62,17831.0
2024-08-01,3.62,3.8416,3.5101,3.7,1566.0
2024-08-02,3.57,3.76,3.57,3.76,3439.0
2024-08-05,3.5,3.5699,3.3244,3.53,68069.0
2024-08-06,3.54,3.6,3.27,3.33,18369.0
2024-08-07,3.49,3.69,3.35,3.35,11579.0
2024-08-08,3.35,3.48,3.3,3.4,13761.0
2024-08-09,3.3,3.476,3.3,3.3601,4994.0
2024-08-12,3.25,3.39,3.2,3.22,21786.0
2024-08-13,3.21,3.49,3.21,3.3,12938.0
2024-08-14,3.25,3.4,3.2001,3.25,11422.0
2024-08-15,3.21,3.42,3.21,3.41,10230.0
2024-08-16,3.35,3.8,3.21,3.8,6368.0
2024-08-19,3.7982,3.8,3.6217,3.785,5340.0
2024-08-20,3.4949,3.72,3.4949,3.72,655.0
2024-08-21,3.72,3.8599,3.72,3.8599,5856.0
2024-08-22,3.7855,3.86,3.75,3.75,5385.0
2024-08-23,3.55,3.8332,3.51,3.51,8159.0
2024-08-26,3.5,3.69,3.49,3.55,9591.0
2024-08-27,3.5,3.6,3.395,3.5167,2182.0
2024-08-28,3.4786,3.55,3.4786,3.5,2631.0
2024-08-29,3.3201,3.536,3.3201,3.3286,2660.0
2024-08-30,3.415,3.4499,3.32,3.4288,1620.0
2024-09-03,3.31,3.3599,3.31,3.33,1912.0
2024-09-04,3.18,3.5,3.16,3.5,2684.0
2024-09-05,3.3693,3.3693,3.356,3.356,870.0
2024-09-06,3.262,3.4001,2.99,3.35,10158.0
2024-09-09,3.25,3.4431,3.25,3.3,5992.0
2024-09-10,3.25,3.3399,3.1,3.28,5261.0
2024-09-11,3.13,3.4,3.13,3.22,11650.0
2024-09-12,3.18,3.4975,3.1799,3.42,11259.0
2024-09-13,3.315,3.315,3.03,3.1501,16974.0
2024-09-16,3.12,3.2599,3.07,3.085,5780.0
2024-09-17,3.11,3.197,2.9,3.01,19863.0
2024-09-18,3.07,3.07,2.86,2.86,11264.0
2024-09-19,2.9466,2.95,2.92,2.92,6179.0
2024-09-20,2.985,3.13,2.93,3.13,22267.0
2024-09-23,3.15,3.1899,3.05,3.06,3845.0
2024-09-24,3.15,3.15,2.965,2.98,11231.0
2024-09-25,2.9936,3.0016,2.25,2.87,40039.0
2024-09-26,2.81,2.95,2.8,2.92,2549.0
2024-09-27,2.95,2.95,2.73,2.75,9365.0
2024-09-30,2.81,2.85,2.5999,2.75,15783.0
2024-10-01,2.71,2.7999,2.5401,2.6,32566.0
2024-10-02,2.62,2.71,2.6,2.705,14603.0
2024-10-03,2.69,2.69,2.55,2.62,12115.0
2024-10-04,2.68,2.69,2.6,2.6,13953.0
2024-10-07,2.65,2.6501,2.31,2.62,255936.0
2024-10-08,2.62,2.62,2.5601,2.601,1682.0
2024-10-09,2.51,2.59,2.1501,2.56,15261.0
2024-10-10,2.65,2.66,2.4901,2.54,5856.0
2024-10-11,2.66,2.77,2.1501,2.6,39497.0
2024-10-14,2.62,2.62,2.51,2.56,11470.0
2024-10-15,2.6,3.2,2.579373,3.05,55030.0
2024-10-16,4.32,4.39,3.21,3.5,145700.0
2024-10-17,3.76,4.45,3.6,4.45,147832.0
