Date,Open,High,Low,Close,Volume
2025-06-09,1.74,1.81,1.68,1.77,2039112
2025-06-10,1.8,1.8082,1.66,1.67,1264786
2025-06-11,1.67,1.7669,1.67,1.7,1439781
2025-06-12,1.67,1.71,1.61,1.62,1651991
2025-06-13,1.565,1.61,1.54,1.54,1273883
2025-06-16,1.57,1.6183,1.55,1.57,877457
2025-06-17,1.53,1.55,1.43,1.44,1572920
2025-06-18,1.45,1.505,1.4301,1.49,1255201
2025-06-20,1.48,1.5,1.455,1.5,1351949
2025-06-23,1.48,1.5,1.4311,1.48,1093221
2025-06-24,1.55,1.62,1.53,1.57,1264724
2025-06-25,1.62,1.63,1.57,1.59,887008
2025-06-26,1.64,1.94,1.59,1.93,5719152
2025-06-27,1.92,1.92,1.72,1.78,2414746
2025-06-30,1.86,1.945,1.78,1.78,1906872
2025-07-01,1.78,1.78,1.65,1.67,1894994
2025-07-02,1.68,1.79,1.65,1.77,1159717
2025-07-03,1.78,1.8,1.74,1.75,690549
2025-07-07,1.75,1.7582,1.635,1.68,1287246
2025-07-08,1.68,1.7395,1.63,1.63,1053868
2025-07-09,1.64,1.65,1.585,1.63,1344921
2025-07-10,1.63,1.65,1.58,1.63,1017177
2025-07-11,1.64,1.64,1.56,1.56,1104339
2025-07-14,1.55,1.59,1.53,1.57,906712
2025-07-15,1.61,1.61,1.51,1.51,999954
2025-07-16,1.505,1.55,1.435,1.53,2445011
2025-07-17,1.6,1.63,1.56,1.59,2547546
2025-07-18,1.62,1.64,1.495,1.51,1844662
2025-07-21,1.58,1.585,1.49,1.51,1386657
2025-07-22,1.52,1.525,1.46,1.48,1086807
2025-07-23,1.5,1.56,1.46,1.55,1552959
2025-07-24,1.56,1.67,1.53,1.6,2472010
2025-07-25,1.62,1.62,1.55,1.56,832478
2025-07-28,1.6,1.6,1.5,1.51,1136314
2025-07-29,1.54,1.54,1.38,1.38,1959742
2025-07-30,1.41,1.43,1.37,1.38,1134579
2025-07-31,1.43,1.43,1.33,1.35,1423255
2025-08-01,1.305,1.34,1.27,1.32,828933
2025-08-04,1.34,1.3991,1.34,1.37,967076
2025-08-05,1.38,1.39,1.34,1.38,635763
2025-08-06,1.37,1.39,1.33,1.37,1007954
2025-08-07,1.42,1.45,1.26,1.28,2295887
2025-08-08,1.32,1.33,1.26,1.28,1246594
2025-08-11,1.31,1.31,1.25,1.3,1199609
2025-08-12,1.3,1.36,1.3,1.34,859526
2025-08-13,1.36,1.3691,1.31,1.32,1011353
2025-08-14,1.28,1.34,1.26,1.33,625665
2025-08-15,1.32,1.33,1.29,1.29,783595
2025-08-18,1.29,1.32,1.29,1.29,761717
2025-08-19,1.29,1.31,1.2,1.2,1508050
2025-08-20,1.22,1.23,1.155,1.21,1156439
2025-08-21,1.21,1.23,1.2,1.22,459253
2025-08-22,1.23,1.3,1.215,1.3,939789
2025-08-25,1.3,1.39,1.271,1.32,1420420
2025-08-26,1.33,1.43,1.305,1.38,2001204
2025-08-27,1.39,1.46,1.38,1.39,2043599
2025-08-28,1.4,1.4,1.36,1.36,861743
2025-08-29,1.36,1.3799,1.3,1.3,797123
2025-09-02,1.27,1.31,1.24,1.25,940365
2025-09-03,1.27,1.3,1.21,1.25,912461
2025-09-04,1.25,1.26,1.21,1.25,947749
2025-09-05,1.25,1.3,1.22,1.29,617189
2025-09-08,1.3,1.34,1.285,1.3,1030997
2025-09-09,1.29,1.33,1.27,1.3,663597
2025-09-10,1.32,1.355,1.28,1.28,814181
2025-09-11,1.3,1.44,1.28,1.4,1977159
2025-09-12,1.42,1.4214,1.34,1.34,1365439
2025-09-15,1.35,1.47,1.35,1.45,2414372
2025-09-16,1.45,1.4689,1.3708,1.42,1427990
2025-09-17,1.43,1.48,1.38,1.4,1598830
2025-09-18,1.42,1.605,1.42,1.57,3242529
2025-09-19,1.6,1.7,1.5,1.61,3839696
2025-09-22,2.2,2.2,1.75,1.84,46221956
2025-09-23,1.99,2.0,1.76,1.77,7952677
2025-09-24,1.84,1.98,1.82,1.86,5582364
2025-09-25,1.73,1.82,1.69,1.77,3955484
2025-09-26,1.8,1.82,1.68,1.71,1678332
2025-09-29,1.74,1.77,1.68,1.68,2263871
2025-09-30,1.66,1.675,1.6,1.65,2202025
2025-10-01,1.61,1.72,1.605,1.69,2176506
2025-10-02,1.71,1.95,1.7,1.94,3875303
2025-10-03,1.93,2.1,1.85,2.05,7574786
2025-10-06,2.14,2.3,2.03,2.28,7644850
2025-10-07,2.36,2.48,2.15,2.29,9743087
2025-10-08,2.455,2.88,2.39,2.69,17821242
2025-10-09,2.72,2.725,2.48,2.52,6947106
2025-10-10,2.52,2.5533,2.2,2.2,9021636
2025-10-13,2.33,2.37,2.2008,2.36,4533138
2025-10-14,2.29,2.69,2.17,2.64,7361614
2025-10-15,2.73,2.73,2.39,2.5,6214617
2025-10-16,2.59,2.6,2.24,2.26,5203731
2025-10-17,2.2,2.27,2.15,2.18,2843587
2025-10-20,2.23,2.25,2.1201,2.16,3450832
2025-10-21,2.15,2.19,1.97,1.99,3705407
2025-10-22,1.915,1.95,1.8,1.89,4804790
2025-10-23,1.93,2.02,1.89,1.94,1903141
2025-10-24,2.07,2.11,1.96,2.01,2233026
2025-10-27,2.11,2.145,2.02,2.04,2611002
2025-10-28,2.04,2.05,1.9,1.93,2541634
2025-10-29,1.99,1.9999,1.9,1.93,1677042
2025-10-30,1.88,1.93,1.85,1.87,1506320
2025-10-31,1.92,1.98,1.88,1.96,1192951
2025-11-03,2.0,2.0,1.76,1.8,2487866
2025-11-04,1.7,1.78,1.65,1.66,2348372
2025-11-05,1.69,1.76,1.67,1.75,1236434
