Date,Open,High,Low,Close,Volume
2024-01-02,12.67,12.9,12.38,12.47,940387
2024-01-03,12.22,12.35,11.85,11.87,755405
2024-01-04,11.95,12.03,11.69,11.7,319801
2024-01-05,11.64,11.81,11.42,11.54,379614
2024-01-08,11.1,11.64,10.95,11.52,500907
2024-01-09,11.5,11.53,11.0021,11.07,634880
2024-01-10,11.04,11.11,10.7,10.83,549514
2024-01-11,10.96,11.48,10.7,11.36,673791
2024-01-12,11.38,11.54,11.02,11.11,301277
2024-01-16,11.02,11.03,10.5,10.52,599063
2024-01-17,10.5,10.5,9.94,10.0,910257
2024-01-18,10.13,10.25,9.83,10.23,499705
2024-01-19,10.27,10.37,10.08,10.35,295161
2024-01-22,10.37,10.81,10.33,10.64,467922
2024-01-23,10.75,10.85,10.275,10.3,237150
2024-01-24,10.4,10.46,9.62,9.69,471514
2024-01-25,9.82,9.9,9.48,9.87,288084
2024-01-26,9.96,10.09,9.8761,10.03,271673
2024-01-29,10.05,10.15,9.83,10.13,339307
2024-01-30,10.07,10.09,9.75,9.76,270844
2024-01-31,9.75,9.75,9.29,9.3,405491
2024-02-01,9.34,9.51,9.17,9.17,529588
2024-02-02,9.0,9.08,8.62,8.86,1429554
2024-02-05,8.8,8.84,8.325,8.58,709425
2024-02-06,8.56,9.18,8.55,9.06,563210
2024-02-07,9.02,9.18,8.73,8.75,777617
2024-02-08,8.74,9.14,8.72,9.02,487453
2024-02-09,9.16,9.5,9.02,9.27,894244
2024-02-12,9.25,9.745,9.25,9.6,1145769
2024-02-13,9.16,9.34,8.98,9.25,564251
2024-02-14,9.4,9.44,9.05,9.3,838213
2024-02-15,9.38,9.65,9.295,9.6,918848
2024-02-16,9.54,9.76,9.43,9.75,517077
2024-02-20,9.61,9.79,9.45,9.48,704403
2024-02-21,9.45,9.49,9.25,9.29,603886
2024-02-22,9.29,9.39,9.14,9.33,397440
2024-02-23,9.33,9.53,9.24,9.26,710104
2024-02-26,9.25,9.34,9.03,9.09,720818
2024-02-27,9.0,9.24,8.93,9.0,586527
2024-02-28,8.93,8.95,8.6,8.77,741605
2024-02-29,9.0,9.0475,8.75,8.84,558714
2024-03-01,8.87,9.05,8.68,9.05,457870
2024-03-04,9.07,9.15,8.59,8.69,468861
2024-03-05,8.63,8.95,8.63,8.83,394404
2024-03-06,8.89,9.18,8.75,9.17,520980
2024-03-07,9.15,9.49,9.14,9.4,778710
2024-03-08,7.3,8.11,6.73,6.965,3726903
2024-03-11,7.02,7.14,6.725,6.87,1767694
2024-03-12,6.89,7.18,6.59,7.15,1220814
2024-03-13,7.13,7.2399,6.75,6.84,852533
2024-03-14,7.13,7.42,7.05,7.23,778530
2024-03-15,7.23,7.6,7.21,7.53,2562276
2024-03-18,7.6,7.61,7.27,7.32,667337
2024-03-19,7.38,7.53,7.31,7.38,431079
2024-03-20,7.34,7.91,7.32,7.83,465644
2024-03-21,7.83,7.9,7.68,7.73,555133
2024-03-22,7.74,7.74,7.3575,7.38,392699
2024-03-25,7.39,7.56,7.38,7.56,247700
2024-03-26,7.59,7.62,7.395,7.49,337496
2024-03-27,7.55,7.62,7.49,7.57,208843
2024-03-28,7.55,7.64,7.05,7.18,1245337
2024-04-01,7.2,7.44,7.17,7.36,547218
2024-04-02,7.25,7.35,7.19,7.27,266906
2024-04-03,7.2,7.26,7.18,7.25,236813
2024-04-04,7.35,7.38,7.16,7.18,274635
2024-04-05,7.18,7.2,6.97,7.06,335931
2024-04-08,7.1,7.22,7.04,7.1,300248
2024-04-09,7.16,7.21,6.92,6.99,221259
2024-04-10,6.81,6.87,6.6,6.82,498192
2024-04-11,6.82,6.88,6.73,6.87,251165
2024-04-12,6.85,6.96,6.8,6.93,440777
2024-04-15,6.9,6.99,6.77,6.8,678088
2024-04-16,6.71,7.03,6.68,6.91,329309
2024-04-17,6.9,7.25,6.77,6.77,331587
2024-04-18,6.91,7.01,6.725,6.75,255843
2024-04-19,6.7,6.83,6.625,6.67,198265
2024-04-22,6.69,6.74,6.57,6.7,230749
2024-04-23,6.68,6.78,6.43,6.43,303710
2024-04-24,6.45,6.51,6.37,6.44,272680
2024-04-25,6.39,6.6,6.26,6.58,265494
2024-04-26,6.66,7.03,6.6,6.94,276445
2024-04-29,6.95,7.1,6.89,7.09,330488
2024-04-30,7.05,7.35,6.96,7.13,442790
2024-05-01,7.11,7.23,7.02,7.1,206746
2024-05-02,7.18,7.4,7.14,7.28,278419
2024-05-03,7.4,7.5,7.31,7.46,221646
2024-05-06,7.52,7.5999,7.44,7.5,213354
2024-05-07,7.47,7.59,7.455,7.5,243247
2024-05-08,7.41,7.7206,7.35,7.55,474963
2024-05-09,8.74,9.4,8.04,8.25,1186169
2024-05-10,8.25,8.26,7.8,7.96,580352
2024-05-13,7.97,8.07,7.82,7.85,404556
2024-05-14,8.0,8.28,7.95,7.97,324464
2024-05-15,8.08,8.08,7.7,7.71,295460
2024-05-16,7.85,7.9,7.67,7.77,308368
2024-05-17,7.78,7.78,7.62,7.74,218984
2024-05-20,7.72,7.76,7.695,7.71,248415
2024-05-21,7.69,7.76,7.53,7.65,325492
2024-05-22,7.73,7.86,7.64,7.79,384760
2024-05-23,7.78,7.84,7.58,7.62,290344
2024-05-24,7.67,7.67,7.48,7.51,149226
2024-05-28,7.6,7.79,7.5725,7.77,202763
2024-05-29,7.63,7.695,7.365,7.43,377499
2024-05-30,7.49,7.68,7.48,7.58,325380
2024-05-31,7.61,7.68,7.44,7.57,997955
2024-06-03,7.6,7.62,7.35,7.43,372266
2024-06-04,7.38,7.505,7.34,7.37,334296
2024-06-05,7.37,7.41,7.28,7.375,201625
2024-06-06,7.32,7.35,7.1,7.12,163398
2024-06-07,7.07,7.21,7.005,7.02,343909
2024-06-10,6.97,7.01,6.85,6.95,275773
2024-06-11,6.9,6.94,6.73,6.83,235271
2024-06-12,6.99,7.04,6.77,6.8,255338
2024-06-13,6.81,7.0,6.72,6.98,282767
2024-06-14,6.92,6.92,6.585,6.64,495977
2024-06-17,6.56,6.76,6.51,6.73,169931
2024-06-18,6.7,6.78,6.59,6.6,161943
2024-06-20,6.64,6.82,6.62,6.72,180344
2024-06-21,6.73,6.93,6.7,6.86,409789
2024-06-24,6.87,7.0375,6.6,6.6,158381
2024-06-25,6.6,6.64,6.5,6.55,193979
2024-06-26,6.49,6.62,6.4201,6.52,203020
2024-06-27,6.54,6.78,6.49,6.72,190562
2024-06-28,6.8,7.05,6.74,6.92,793333
2024-07-01,6.92,6.96,6.36,6.51,297342
2024-07-02,6.52,6.64,6.47,6.53,505487
2024-07-03,6.56,6.68,6.5,6.66,231897
2024-07-05,6.66,6.66,6.36,6.39,182246
2024-07-08,6.44,6.53,6.4,6.48,293005
2024-07-09,6.47,6.47,6.31,6.41,337950
2024-07-10,6.43,6.4599,6.34,6.42,208822
2024-07-11,6.5,6.89,6.46,6.68,298145
2024-07-12,6.79,6.8,6.56,6.6,232274
2024-07-15,6.64,6.84,6.5681,6.69,490751
2024-07-16,6.75,7.22,6.75,7.16,315355
2024-07-17,7.09,7.3,6.96,7.07,319941
2024-07-18,7.04,7.29,7.04,7.18,391086
2024-07-19,7.19,7.19,6.97,7.1,229254
2024-07-22,7.11,7.28,7.09,7.23,213665
2024-07-23,7.21,7.53,7.17,7.48,190783
2024-07-24,7.4,7.62,7.17,7.18,269904
2024-07-25,7.19,7.42,7.11,7.27,192831
2024-07-26,7.43,7.43,7.27,7.35,203470
2024-07-29,7.36,7.36,6.78,6.78,514609
2024-07-30,6.85,6.94,6.66,6.78,213926
2024-07-31,6.8,6.92,6.6485,6.74,311621
2024-08-01,6.75,6.835,6.3,6.59,341261
2024-08-02,6.34,6.485,6.01,6.09,395128
2024-08-05,5.73,5.93,5.55,5.86,481213
2024-08-06,5.86,5.86,5.62,5.77,299132
2024-08-07,5.83,5.92,5.5475,5.56,347565
2024-08-08,5.3,5.49,4.88,5.21,936443
2024-08-09,5.2,5.42,5.02,5.16,525412
2024-08-12,5.22,5.37,5.04,5.05,362579
2024-08-13,5.11,5.26,5.045,5.1,492910
2024-08-14,5.09,5.09,4.9802,5.0,344859
2024-08-15,5.1,5.2,5.04,5.05,321111
2024-08-16,5.06,5.36,5.06,5.27,495500
2024-08-19,5.21,5.2881,5.11,5.23,477337
2024-08-20,5.22,5.22,4.95,5.12,409907
2024-08-21,5.16,5.36,5.115,5.28,334249
2024-08-22,5.27,5.27,5.05,5.08,147913
2024-08-23,5.14,5.32,5.12,5.19,334621
2024-08-26,5.19,5.19,5.01,5.07,387058
2024-08-27,5.06,5.06,4.98,5.01,156186
2024-08-28,4.98,5.02,4.9,5.01,168746
2024-08-29,5.06,5.24,4.985,5.15,187076
2024-08-30,5.15,5.195,5.055,5.09,186746
2024-09-03,5.06,5.06,4.77,4.79,294939
2024-09-04,4.76,4.9,4.735,4.74,258359
2024-09-05,4.75,5.18,4.7,5.13,618423
2024-09-06,5.13,5.13,4.8501,4.91,253416
2024-09-09,4.92,5.27,4.92,5.13,340544
2024-09-10,5.12,5.165,4.99,5.15,196659
2024-09-11,5.12,5.14,4.97,5.11,189088
2024-09-12,5.16,5.2,5.03,5.13,148669
2024-09-13,5.19,5.4,5.13,5.19,288125
2024-09-16,5.19,5.3,5.03,5.16,177943
2024-09-17,5.2,5.425,5.11,5.13,326566
2024-09-18,5.17,5.21,5.04,5.07,260748
2024-09-19,5.44,5.54,5.3,5.47,415160
2024-09-20,5.37,5.43,5.3,5.32,421870
2024-09-23,5.36,5.36,5.07,5.1,261375
2024-09-24,5.16,5.16,5.03,5.06,271408
2024-09-25,5.05,5.14,4.95,4.99,459068
2024-09-26,5.04,5.22,5.04,5.11,427015
2024-09-27,5.18,5.2,5.015,5.09,242773
2024-09-30,5.07,5.09,4.97,5.05,224157
2024-10-01,5.03,5.22,4.98,5.06,405755
2024-10-02,5.08,5.12,5.0,5.06,271449
2024-10-03,5.01,5.035,4.8,4.8,554153
2024-10-04,4.89,4.92,4.74,4.75,497812
2024-10-07,4.75,4.825,4.66,4.78,808051
2024-10-08,4.78,4.9,4.74,4.88,1775416
2024-10-09,4.9,5.03,4.84,4.85,322749
2024-10-10,4.8,4.9,4.53,4.55,617142
2024-10-11,4.55,4.85,4.53,4.85,418601
2024-10-14,4.84,5.01,4.74,4.94,705069
2024-10-15,4.94,4.99,4.81,4.98,770925
2024-10-16,5.05,5.065,4.955,4.98,656867
2024-10-17,5.0,5.43,4.94,5.31,1090417
2024-10-18,5.31,5.34,5.21,5.33,763055
2024-10-21,5.29,5.36,5.2,5.33,680433
2024-10-22,5.32,5.37,5.25,5.35,694264
2024-10-23,5.34,5.38,5.27,5.33,515016
