Date,Open,High,Low,Close,Volume
2025-07-11,3.225,3.2505,3.1101,3.14,6279.0
2025-07-14,3.09,3.21,3.09,3.2,22715.0
2025-07-15,3.12,3.32,3.12,3.15,10323.0
2025-07-16,3.13,3.19,3.09,3.17,65574.0
2025-07-17,3.2,3.2368,3.1,3.1,20803.0
2025-07-18,3.2458,3.2458,3.05,3.08,11966.0
2025-07-21,3.1,3.28,3.1,3.12,68641.0
2025-07-22,3.165,3.2,3.07,3.07,22437.0
2025-07-23,3.13,3.13,3.0379,3.09,6097.0
2025-07-24,3.14,3.14,2.93,2.96,16734.0
2025-07-25,2.95,2.9503,2.87,2.88,6973.0
2025-07-28,2.95,2.986,2.73,2.8,28329.0
2025-07-29,2.77,2.921,2.77,2.84,10814.0
2025-07-30,2.89,2.89,2.8,2.8,3071.0
2025-07-31,2.8,2.81,2.64,2.81,32429.0
2025-08-01,2.7,2.93,2.7,2.93,61321.0
2025-08-04,2.9,2.92,2.85,2.91,17295.0
2025-08-05,2.825,2.91,2.82,2.91,18080.0
2025-08-06,2.88,2.91,2.88,2.9,22552.0
2025-08-07,2.8515,2.92,2.81,2.92,5361.0
2025-08-08,2.9,2.9,2.9,2.9,701.0
2025-08-11,2.9,2.93,2.9,2.93,3322.0
2025-08-12,2.9,3.1497,2.9,2.91,11753.0
2025-08-13,2.91,2.94,2.91,2.91,7864.0
2025-08-14,2.9,2.94,2.9,2.94,2279.0
2025-08-15,3.03,3.03,2.91,2.97,7148.0
2025-08-18,3.02,3.1368,2.9601,3.02,12678.0
2025-08-19,3.06,3.06,2.96,2.99,4403.0
2025-08-20,2.97,3.04,2.91,3.04,9904.0
2025-08-21,2.9107,2.98,2.9,2.95,4170.0
2025-08-22,2.96,3.05,2.96,3.0,1957.0
2025-08-25,3.0,3.07,3.0,3.05,10734.0
2025-08-26,3.06,3.09,3.05,3.05,3738.0
2025-08-27,3.0,3.09,3.0,3.07,8778.0
2025-08-28,3.02,3.085,2.95,3.06,3066.0
2025-08-29,2.95,2.98,2.9284,2.98,16374.0
2025-09-02,3.04,3.04,2.9,3.03,8126.0
2025-09-03,2.9261,3.0999,2.9261,2.98,9415.0
2025-09-04,3.0802,3.0802,2.9515,3.05,6757.0
2025-09-05,2.96,2.96,2.85,2.87,12717.0
2025-09-08,2.86,2.93,2.86,2.86,6378.0
2025-09-09,2.86,2.92,2.83,2.92,5019.0
2025-09-10,2.84,2.86,2.83,2.83,2999.0
2025-09-11,2.82,2.9299,2.81,2.85,11524.0
