Date,Open,High,Low,Close,Volume
2024-01-02,14.82,15.05,14.57,14.85,1300525
2024-01-03,14.65,14.65,13.99,14.11,1610268
2024-01-04,14.1,14.375,13.98,14.09,1074066
2024-01-05,13.92,14.1,13.62,13.74,1891497
2024-01-08,14.12,15.155,14.07,14.99,2218257
2024-01-09,14.72,15.125,14.6,14.77,1115253
2024-01-10,14.78,15.0,14.52,14.97,1176565
2024-01-11,14.93,15.11,14.785,14.95,1114529
2024-01-12,15.1,15.45,14.84,14.94,1596881
2024-01-16,14.77,15.2166,14.57,15.05,2307628
2024-01-17,14.79,15.16,14.68,15.11,1256617
2024-01-18,15.28,15.3975,15.01,15.28,952083
2024-01-19,15.35,15.52,15.115,15.44,1430443
2024-01-22,15.7,16.175,15.695,15.91,1539170
2024-01-23,16.08,16.08,15.575,16.0,1010276
2024-01-24,16.28,16.35,15.88,15.9,1092993
2024-01-25,16.19,16.34,16.01,16.13,1543089
2024-01-26,16.24,16.315,15.9995,16.25,983044
2024-01-29,16.3,16.715,16.15,16.67,939911
2024-01-30,16.68,16.81,16.17,16.34,1204709
2024-01-31,16.33,16.74,16.07,16.09,1583356
2024-02-01,16.24,16.835,16.2,16.68,1028462
2024-02-02,16.48,16.795,16.28,16.62,985655
2024-02-05,16.41,16.635,16.34,16.35,917824
2024-02-06,16.38,16.675,16.25,16.6,650927
2024-02-07,16.68,16.7399,16.3,16.3,1311990
2024-02-08,16.35,16.66,16.14,16.65,1165323
2024-02-09,17.0,17.339,16.73,16.78,2093772
2024-02-12,16.73,16.84,16.295,16.38,1563462
2024-02-13,15.65,16.25,15.28,15.97,1238234
2024-02-14,16.16,16.23,15.6,15.79,1754130
2024-02-15,15.96,16.2,15.57,15.64,1727905
2024-02-16,15.46,15.98,15.19,15.52,1952705
2024-02-20,15.22,15.43,14.97,15.4,1208577
2024-02-21,15.24,15.47,15.13,15.37,1729923
2024-02-22,15.4,15.505,15.25,15.39,1135717
2024-02-23,15.16,15.69,14.875,15.27,1542770
2024-02-26,15.12,15.18,14.93,15.09,1621730
2024-02-27,15.14,15.41,14.93,15.34,2009168
2024-02-28,14.46,15.01,13.5,13.98,4295332
2024-02-29,14.21,14.22,13.23,13.43,2580389
2024-03-01,13.46,13.64,13.103,13.42,2181280
2024-03-04,13.6,13.64,13.23,13.49,2036346
2024-03-05,13.4,13.535,13.09,13.18,1570712
2024-03-06,12.79,13.295,12.79,13.02,2014513
2024-03-07,13.15,13.23,12.705,12.89,1649968
2024-03-08,12.98,13.18,12.715,12.8,1518708
2024-03-11,12.98,13.16,12.83,13.16,2087907
2024-03-12,13.15,13.42,13.04,13.33,1725687
2024-03-13,13.45,13.865,13.3914,13.79,1849902
2024-03-14,13.83,13.87,13.24,13.35,1579304
2024-03-15,13.24,13.44,13.025,13.09,2274846
2024-03-18,13.12,13.815,12.845,13.51,2602083
2024-03-19,13.49,14.27,13.235,14.15,1932968
2024-03-20,14.65,14.88,13.625,13.78,2102046
2024-03-21,13.94,14.2,13.71,13.73,1589441
2024-03-22,13.69,13.69,12.895,13.22,2001304
2024-03-25,13.36,13.66,13.31,13.61,1606650
2024-03-26,13.77,13.77,13.23,13.41,1150738
2024-03-27,13.61,14.0,13.44,13.8,5904350
2024-03-28,13.88,14.18,13.74,13.79,1603275
2024-04-01,13.71,14.0,13.45,13.96,1793472
2024-04-02,13.68,13.68,13.005,13.49,2697698
2024-04-03,13.5,13.75,13.37,13.5,1613542
2024-04-04,13.63,13.74,13.31,13.39,1514359
2024-04-05,13.39,13.82,13.315,13.8,1141480
2024-04-08,13.88,14.155,13.69,14.0,1072387
2024-04-09,14.07,14.54,14.07,14.26,1567057
2024-04-10,13.86,14.18,13.7,14.13,972476
2024-04-11,14.28,14.28,13.78,13.78,908826
2024-04-12,13.61,13.72,13.02,13.3,1359090
2024-04-15,13.44,13.495,13.07,13.1,1065943
2024-04-16,13.04,13.2,12.845,13.19,957512
2024-04-17,13.34,13.34,12.51,12.51,1135703
2024-04-18,12.54,12.625,12.29,12.34,2314874
2024-04-19,12.27,12.79,12.27,12.53,1331366
2024-04-22,12.5,12.81,12.31,12.79,1659689
2024-04-23,12.81,13.02,12.59,12.93,1347768
2024-04-24,12.88,13.08,12.545,12.74,1273099
2024-04-25,12.51,12.62,12.115,12.24,1341186
2024-04-26,12.27,12.68,12.24,12.44,1260686
2024-04-29,12.5,12.7,12.32,12.59,1516565
2024-04-30,12.58,12.93,12.47,12.62,1132446
