Date,Open,High,Low,Close,Volume
2025-06-05,4.75,4.85,4.5926,4.8111,16959.0
2025-06-06,4.68,4.81,4.68,4.73,18212.0
2025-06-09,4.74,4.841,4.7264,4.8393,8975.0
2025-06-10,4.73,4.7517,4.48,4.63,33404.0
2025-06-11,4.54,4.7385,4.54,4.6697,4910.0
2025-06-12,4.585,4.85,4.54,4.59,9976.0
2025-06-13,4.5,4.625,4.3,4.4,22706.0
2025-06-16,4.34,4.49,4.32,4.415,15129.0
2025-06-17,4.35,4.5,4.33,4.33,4084.0
2025-06-18,4.3,4.46,4.3,4.34,11132.0
2025-06-20,4.35,4.37,4.2,4.2,19818.0
2025-06-23,4.54,4.54,4.33,4.37,30405.0
2025-06-24,4.41,4.6293,4.35,4.425,12673.0
2025-06-25,4.35,4.35,3.81,3.8449,137321.0
2025-06-26,4.03,4.15,3.81,3.92,90255.0
2025-06-27,3.8721,4.11,3.87,3.9334,66743.0
2025-06-30,3.95,4.23,3.95,4.0884,9929.0
2025-07-01,4.1686,4.1686,3.9,4.0098,21882.0
2025-07-02,4.01,4.2541,3.91,4.0432,9509.0
2025-07-03,3.88,4.15,3.88,4.15,11274.0
2025-07-07,3.88,4.0303,3.77,3.87,17533.0
2025-07-08,3.88,4.2,3.86,4.11,20740.0
2025-07-09,3.93,4.0,3.85,3.91,21103.0
2025-07-10,3.8639,3.99,3.8639,3.89,36319.0
2025-07-11,4.52,5.51,4.5,4.59,659368.0
2025-07-14,4.66,4.7,4.41,4.625,70046.0
2025-07-15,4.44,4.715,4.43,4.465,39588.0
2025-07-16,4.33,4.765,4.33,4.64,41025.0
2025-07-17,4.65,4.809,4.55,4.61,36628.0
2025-07-18,5.23,5.5,4.88,5.0,302954.0
2025-07-21,5.02,5.0628,4.8305,4.9,64179.0
2025-07-22,4.95,5.17,4.95,5.16,16717.0
2025-07-23,5.43,5.43,4.852,4.993,220689.0
2025-07-24,5.65,5.83,5.31,5.68,124584.0
2025-07-25,5.87,7.0,5.85,6.55,258162.0
2025-07-28,6.03,6.03,4.9791,5.58,1895455.0
2025-07-29,5.41,5.5201,5.13,5.34,159585.0
2025-07-30,5.28,5.36,5.12,5.17,57832.0
2025-07-31,5.23,5.3499,5.0,5.06,76106.0
2025-08-01,5.05,5.15,4.87,5.01,45943.0
2025-08-04,5.12,5.339,5.09,5.21,24925.0
2025-08-05,5.44,5.44,5.2102,5.4,38818.0
2025-08-06,5.42,5.42,5.1,5.15,27212.0
2025-08-07,5.43,5.43,5.1024,5.31,17822.0
2025-08-08,5.17,5.56,5.17,5.4,37068.0
2025-08-11,5.42,5.55,5.26,5.32,18628.0
2025-08-12,5.26,5.51,5.1471,5.3,39840.0
2025-08-13,5.2984,5.3349,5.13,5.14,18740.0
2025-08-14,5.13,5.2356,5.08,5.23,10236.0
2025-08-15,5.1506,5.25,5.1506,5.25,4866.0
2025-08-18,5.39,5.39,5.16,5.22,6153.0
2025-08-19,5.16,5.2746,4.95,4.95,15995.0
2025-08-20,4.93,5.14,4.895,5.03,19115.0
2025-08-21,5.06,5.11,4.898,5.1,8030.0
2025-08-22,5.05,5.13,4.95,5.02,13715.0
2025-08-25,5.02,5.1488,5.02,5.1,9004.0
2025-08-26,4.95,5.09,4.95,5.03,2827.0
2025-08-27,5.0,5.04,4.97,5.0,3639.0
2025-08-28,5.0,5.0637,4.9827,5.022,5580.0
2025-08-29,5.19,5.19,4.94,4.94,13939.0
2025-09-02,5.59,5.59,5.0,5.16,32763.0
2025-09-03,5.14,5.16,5.0,5.07,10521.0
2025-09-08,4.98,5.27,4.9201,5.17,26073.0
2025-09-09,5.0,5.27,4.92,5.018,9822.0
2025-09-10,4.9,5.12,4.9,5.072,5283.0
2025-09-11,5.04,5.12,4.9001,4.938,4375.0
2025-09-12,5.02,5.02,4.835,4.88,17747.0
2025-09-15,5.0,5.0,4.58,4.638,38905.0
2025-09-16,4.52,4.55,4.34,4.45,41887.0
2025-09-17,4.31,4.568,4.31,4.47,15210.0
2025-09-18,4.44,4.49,4.36,4.38,17035.0
2025-09-19,4.24,4.48,4.24,4.48,10505.0
2025-09-22,4.4875,4.49,4.4196,4.428,5051.0
2025-09-23,4.42,4.5,4.42,4.46,2867.0
2025-09-24,4.474,4.4913,4.38,4.39,6078.0
2025-09-25,4.21,4.21,4.01,4.058,34774.0
2025-09-26,4.09,4.1,3.888,3.95,19184.0
2025-09-29,4.06,4.06,3.8526,3.94,17578.0
2025-09-30,3.88,4.09,3.7504,3.76,39668.0
2025-10-01,3.92,4.01,3.87,3.95,13336.0
2025-10-02,3.97,4.19,3.93,4.19,18764.0
2025-10-03,4.22,4.27,4.0905,4.25,10350.0
2025-10-06,4.38,4.6,4.0603,4.33,33574.0
2025-10-07,4.404,4.404,4.2,4.275,5016.0
2025-10-08,4.165,4.49,4.12,4.31,11371.0
2025-10-09,4.48,4.66,4.16,4.5,4256413.0
2025-10-10,4.35,4.45,4.16,4.29,103615.0
2025-10-13,4.25,4.88,4.15,4.66,128259.0
2025-10-14,4.49,4.8,4.45,4.73,54455.0
2025-10-15,4.82,5.17,4.79,5.01,74996.0
2025-10-16,4.923,5.17,4.8,4.83,31301.0
2025-10-17,4.83,5.14,4.62,4.89,55259.0
2025-10-20,4.89,5.04,4.76,4.88,20163.0
2025-10-21,4.94,4.94,4.6,4.76,24326.0
2025-10-22,4.71,4.71,4.45,4.46,31814.0
2025-10-23,4.505,4.61,4.47,4.6,26144.0
2025-10-24,4.54,4.689,4.51,4.54,14881.0
2025-10-27,4.52,4.65,4.507,4.507,3444.0
2025-10-28,4.53,4.83,4.53,4.76,9517.0
2025-10-29,4.8545,4.8545,4.61,4.7,8367.0
2025-10-30,4.61,4.619,4.52,4.6,40817.0
2025-10-31,4.22,4.34,4.06,4.21,63089.0
2025-11-03,4.13,4.13,4.0105,4.03,29494.0
2025-11-04,3.95,4.0199,3.73,3.73,31145.0
2025-11-05,3.6508,3.9,3.5001,3.9,15637.0
2025-11-06,3.88,3.88,3.5,3.5,22144.0
2025-11-07,3.57,3.57,3.4035,3.46,11201.0
2025-11-10,3.605,3.7899,3.49,3.746,19853.0
2025-11-11,3.82,3.82,3.66,3.67,2962.0
2025-11-12,3.68,3.7899,3.68,3.7899,874.0
2025-11-13,3.77,3.77,3.56,3.69,7724.0
2025-11-14,3.7526,3.8896,3.75,3.84,15471.0
2025-11-17,3.79,3.8596,3.67,3.7942,5208.0
2025-11-18,3.55,3.6955,3.5212,3.6,18505.0
2025-11-19,3.6511,3.78,3.595,3.63,7394.0
2025-11-20,3.51,3.7499,3.47,3.52,9491.0
2025-11-21,3.49,3.61,3.4887,3.51,1950.0
2025-11-24,3.53,3.61,3.52,3.55,4004.0
2025-11-25,3.66,3.66,3.47,3.509,12518.0
2025-11-26,3.48,3.78,3.48,3.78,24898.0
2025-11-28,3.78,3.78,3.565,3.6,5975.0
2025-12-01,3.58,3.58,3.25,3.27,29225.0
2025-12-02,3.25,3.46,3.25,3.34,20032.0
2025-12-03,3.635,3.635,3.47,3.484,21422.0
2025-12-04,3.445,3.465,3.31,3.43,5598.0
2025-12-05,3.4827,3.4827,3.3612,3.42,8754.0
2025-12-08,3.34,3.3841,3.21,3.29,31895.0
2025-12-09,3.27,3.365,3.27,3.36,18995.0
2025-12-10,3.3401,3.35,3.325,3.35,9891.0
2025-12-11,3.39,3.45,3.3,3.42,4116.0
2025-12-12,3.38,3.3958,3.2701,3.29,17147.0
2025-12-15,3.2,3.2895,2.9101,3.01,17210.0
2025-12-16,3.07,3.31,3.02,3.07,40079.0
2025-12-17,3.03,3.14,2.92,2.92,10610.0
2025-12-18,2.94,3.1016,2.66,3.03,13943.0
2025-12-19,3.04,3.12,3.03,3.09,5924.0
2025-12-22,3.135,3.25,3.07,3.15,15934.0
2025-12-23,3.13,3.13,3.0128,3.09,7745.0
2025-12-24,3.1216,3.31,3.05,3.095,12173.0
2025-12-26,3.05,3.29,2.9001,3.17,14131.0
2025-12-29,3.133,3.33,2.95,3.02,17350.0
2025-12-30,3.0,3.24,2.97,3.06,44760.0
2025-12-31,3.05,3.24,3.04,3.08,27539.0
2026-01-02,3.19,3.3199,3.16,3.16,3047.0
2026-01-05,3.2,3.25,3.16,3.25,6458.0
2026-01-06,3.275,3.28,3.21,3.21,1923.0
2026-01-07,3.22,3.3,3.13,3.21,6448.0
2026-01-08,3.27,3.42,3.12,3.33,11957.0
2026-01-09,3.4,3.5244,3.36,3.52,16438.0
2026-01-12,3.56,3.59,3.45,3.52,8226.0
2026-01-13,3.4867,3.4867,3.4,3.4,6623.0
2026-01-14,3.4512,3.55,3.3222,3.3222,5977.0
2026-01-15,3.39,3.39,3.31,3.31,5221.0
2026-01-16,3.3,3.46,3.3,3.45,13212.0
2026-01-20,3.3,3.37,3.3,3.3,7250.0
2026-01-21,3.05,3.29,3.05,3.25,15021.0
2026-01-22,3.26,3.32,3.26,3.27,7014.0
2026-01-23,3.31,3.6,3.27,3.55,25517.0
2026-01-26,3.55,3.84,3.49,3.57,59766.0
2026-01-27,3.52,3.62,3.23,3.51,38727.0
2026-01-28,3.49,3.51,3.32,3.38,5883.0
2026-01-29,3.35,3.35,3.23,3.26,11719.0
2026-01-30,3.16,3.2486,3.07,3.17,14516.0
2026-02-02,3.03,3.18,3.03,3.11,6757.0
2026-02-03,3.2,3.2247,3.0208,3.0208,3079.0
2026-02-04,3.24,3.24,3.07,3.135,10364.0
2026-02-05,3.3199,3.3199,3.19,3.19,28896.0
2026-02-06,3.19,3.53,3.19,3.53,29067.0
2026-02-09,3.455,3.57,3.4027,3.57,11962.0
2026-02-10,3.48,3.57,3.48,3.48,4634.0
2026-02-11,3.52,3.55,3.43,3.53,7009.0
2026-02-12,3.62,3.62,3.5,3.5093,1747.0
2026-02-13,3.4001,3.49,3.4001,3.4855,9431.0
2026-02-17,3.53,3.56,3.4161,3.47,10548.0
2026-02-18,3.5,3.51,3.32,3.41,6489.0
2026-02-19,3.46,3.46,3.27,3.3682,3474.0
2026-02-20,3.32,3.44,3.2701,3.3,3404.0
2026-02-23,3.29,3.394,3.29,3.3,7007.0
2026-02-24,3.3,3.3261,3.29,3.3261,1600.0
2026-02-25,3.33,3.45,3.309,3.43,4600.0
2026-02-26,3.4,3.61,3.4,3.531,33984.0
2026-02-27,3.54,3.5817,3.3201,3.441,16830.0
2026-03-02,3.32,3.46,3.32,3.4499,13250.0
2026-03-03,3.3001,3.5456,3.3001,3.4,61.0
2026-03-04,3.5,3.845,3.4,3.4,26971.0
2026-03-05,3.38,3.61,3.38,3.522,12054.0
2026-03-06,3.5653,3.65,3.41,3.41,42.0
2026-03-09,3.35,3.6,3.35,3.59,6039.0
2026-03-10,3.58,3.63,3.4772,3.62,9902.0
2026-03-11,3.61,3.6899,3.57,3.57,16317.0
2026-03-12,3.52,3.61,3.47,3.55,2361.0
2026-03-13,3.47,3.6,3.468,3.6,2289.0
2026-03-16,3.61,3.66,3.555,3.61,9481.0
2026-03-17,3.5,3.5,3.325,3.3401,17633.0
2026-03-18,3.52,3.52,3.38,3.4999,3500.0
2026-03-19,3.31,3.45,3.31,3.45,1455.0
2026-03-20,3.49,3.49,3.275,3.29,10522.0
2026-03-23,3.27,3.48,3.27,3.3,1566.0
2026-03-24,3.34,3.4,3.33,3.33,6036.0
2026-03-25,3.35,3.4101,3.35,3.41,3176.0
2026-03-26,3.38,3.39,3.16,3.16,9334.0
2026-03-27,3.09,3.2678,3.09,3.16,4796.0
2026-03-30,3.3,3.7244,3.29,3.57,94715.0
2026-03-31,3.41,3.57,3.41,3.48,4457.0
2026-04-01,3.5648,3.67,3.5,3.6362,4453.0
2026-04-02,3.51,3.61,3.4914,3.5553,2896.0
2026-04-06,3.62,3.62,3.5144,3.6031,3205.0
2026-04-07,3.77,3.821,3.65,3.76,27754.0
2026-04-08,3.81,3.9,3.81,3.8991,13103.0
2026-04-09,3.82,3.8977,3.8,3.845,11804.0
2026-04-10,3.84,3.84,3.53,3.715,5977.0
2026-04-13,3.75,3.75,3.5,3.66,9128.0
2026-04-14,3.59,3.725,3.59,3.62,7811.0
2026-04-15,3.68,3.8197,3.63,3.73,8168.0
2026-04-16,3.8092,3.9799,3.652,3.97,10290.0
2026-04-17,3.965,4.55,3.965,4.47,56839.0
2026-04-20,4.5,5.25,4.5,5.15,120196.0
2026-04-21,5.15,5.15,4.6758,4.855,25904.0
2026-04-22,4.74,4.84,4.5,4.54,23791.0
2026-04-23,4.32,4.44,4.17,4.37,15141.0
2026-04-24,4.305,4.6999,4.3,4.41,8319.0
2026-04-27,4.8,4.9599,4.52,4.62,54448.0
2026-04-28,4.6,4.7376,4.52,4.5799,26996.0
