Date,Open,High,Low,Close,Volume
2025-06-09,6.35,6.55,6.02,6.04,323128
2025-06-10,6.08,6.29,6.0,6.12,284113
2025-06-11,6.2,6.38,6.04,6.25,261399
2025-06-12,6.21,6.33,5.775,5.79,496475
2025-06-13,5.61,5.64,5.28,5.28,469427
2025-06-16,5.39,5.52,5.26,5.31,322929
2025-06-17,5.26,5.2653,5.05,5.06,302520
2025-06-18,5.09,5.25,5.015,5.06,377277
2025-06-20,5.12,5.13,4.85,4.99,593368
2025-06-23,4.93,5.07,4.74,4.9,373829
2025-06-24,5.0,5.2691,5.0,5.14,308131
2025-06-25,5.18,5.25,4.895,4.92,342794
2025-06-26,4.92,5.275,4.88,5.19,429650
2025-06-27,5.19,5.27,4.89,5.02,4210612
2025-06-30,5.09,5.27,5.0132,5.04,576721
2025-07-01,4.99,5.16,4.85,4.96,426913
2025-07-02,4.96,5.17,4.938,4.97,434305
2025-07-03,5.05,5.09,4.9294,5.07,184787
2025-07-07,5.01,5.13,4.89,5.11,393427
2025-07-08,5.18,5.36,5.09,5.24,467061
2025-07-09,5.3,5.55,5.24,5.38,454440
2025-07-10,5.34,5.38,5.1,5.19,392927
2025-07-11,5.13,5.15,4.66,4.765,540074
2025-07-14,4.74,4.8,4.49,4.72,617749
2025-07-15,4.8,4.83,4.49,4.53,369594
2025-07-16,4.53,4.77,4.47,4.73,300655
2025-07-17,4.75,5.17,4.73,5.15,427026
2025-07-18,5.2,5.37,4.9425,4.97,526074
2025-07-21,5.06,5.42,5.0401,5.12,561259
2025-07-22,5.1,5.235,4.89,5.2,540090
2025-07-23,5.16,5.3037,5.1,5.29,371208
2025-07-24,5.31,5.32,5.22,5.25,174188
2025-07-25,5.26,5.315,5.2,5.28,198965
2025-07-28,5.35,5.4,5.2,5.24,399567
2025-07-29,5.29,5.3026,4.92,4.99,414888
2025-07-30,5.02,5.18,4.97,5.03,222629
2025-07-31,4.99,5.145,4.945,5.0,380725
2025-08-01,4.92,5.04,4.65,4.66,465301
2025-08-04,4.72,4.8064,4.5,4.57,452605
2025-08-05,4.57,4.72,4.44,4.66,438106
2025-08-06,3.73,3.8696,3.26,3.595,2050933
2025-08-07,3.65,3.8995,3.65,3.825,509036
2025-08-08,3.83,3.88,3.485,3.52,444251
2025-08-11,3.52,3.74,3.52,3.6,309426
2025-08-12,3.65,3.76,3.6,3.76,331889
2025-08-13,3.78,3.8,3.52,3.6,371105
2025-08-14,3.58,3.58,3.325,3.38,350945
2025-08-15,3.38,3.41,3.27,3.39,334098
2025-08-18,3.4,3.4398,3.25,3.26,278449
2025-08-19,3.28,3.295,3.11,3.24,452854
2025-08-20,3.24,3.34,3.12,3.32,296727
2025-08-21,3.32,3.32,3.24,3.31,204050
2025-08-22,3.34,3.5,3.2816,3.36,428897
2025-08-25,3.39,3.63,3.2758,3.31,314813
2025-08-26,3.34,3.44,3.31,3.38,167987
2025-08-27,3.38,3.42,3.31,3.39,220526
2025-08-28,3.46,3.47,3.3101,3.33,278231
2025-08-29,3.33,3.38,3.26,3.28,179307
2025-09-02,3.16,3.2832,3.15,3.22,292891
2025-09-03,3.22,3.22,3.06,3.1,344398
2025-09-04,3.09,3.28,3.07,3.28,272380
2025-09-05,3.34,3.36,3.11,3.17,237827
2025-09-08,3.18,3.44,3.17,3.42,321151
2025-09-09,3.41,3.41,3.255,3.31,207571
2025-09-10,3.33,3.43,3.17,3.21,368518
2025-09-11,3.21,3.345,3.2001,3.28,195937
2025-09-12,3.33,3.4496,3.27,3.37,313756
2025-09-15,3.4,3.4,3.29,3.33,211135
2025-09-16,3.365,3.48,3.3,3.46,243296
2025-09-17,3.43,3.615,3.39,3.39,288097
2025-09-18,3.43,3.65,3.43,3.65,318527
2025-09-19,3.65,3.77,3.56,3.72,515724
2025-09-22,3.72,4.61,3.65,4.41,1156618
2025-09-23,4.6,4.74,4.1901,4.36,710857
2025-09-24,4.34,4.34,4.03,4.14,416840
2025-09-25,4.07,4.13,3.77,3.91,456521
2025-09-26,3.92,3.9477,3.7,3.81,440112
2025-09-29,3.86,3.98,3.78,3.83,302787
2025-09-30,3.83,4.43,3.81,4.42,743656
2025-10-01,4.42,4.71,4.18,4.62,836770
2025-10-02,4.76,4.96,4.66,4.67,619187
2025-10-03,4.67,5.04,4.61,4.98,629404
2025-10-06,5.06,5.1,4.75,4.97,643250
2025-10-07,5.01,5.3556,4.81,4.84,601751
2025-10-08,4.9,5.13,4.8506,5.0,420533
2025-10-09,4.96,5.0,4.52,4.62,517636
2025-10-10,4.65,4.76,4.2,4.23,603600
2025-10-13,4.41,4.87,4.3802,4.85,318611
2025-10-14,4.76,5.09,4.66,4.97,507411
2025-10-15,5.03,5.2439,4.878,5.08,438318
2025-10-16,5.13,5.15,4.7268,4.74,301290
2025-10-17,4.66,4.82,4.5025,4.59,287359
2025-10-20,4.79,4.92,4.46,4.51,349764
2025-10-21,4.44,4.46,4.23,4.25,1292629
2025-10-22,2.5,3.0,2.4825,2.865,3766246
2025-10-23,2.97,3.28,2.93,3.23,1646648
2025-10-24,3.25,3.3,3.09,3.15,778799
2025-10-27,3.22,3.48,3.2088,3.3,613101
2025-10-28,3.28,3.35,3.145,3.25,716319
2025-10-29,3.1,3.475,3.0623,3.17,1028843
2025-10-30,3.13,3.22,2.98,3.01,451571
2025-10-31,3.02,3.2298,3.0001,3.16,287943
2025-11-03,3.14,3.2099,2.84,2.87,688693
2025-11-04,2.805,2.96,2.73,2.84,373456
2025-11-05,2.84,2.9,2.76,2.82,434258
2025-11-06,2.79,2.8109,2.57,2.58,642829
2025-11-07,2.53,2.71,2.5,2.7,361216
2025-11-10,2.76,2.839,2.51,2.51,477992
2025-11-11,2.5,2.5565,2.4327,2.45,436674
2025-11-12,2.49,2.5313,2.36,2.4,411350
2025-11-13,2.37,2.39,2.25,2.31,452727
2025-11-14,2.25,2.29,2.14,2.17,862946
2025-11-17,2.2,2.2,2.05,2.1,567106
2025-11-18,2.06,2.23,2.03,2.19,353765
2025-11-19,2.2,2.3,2.12,2.19,429238
2025-11-20,2.26,2.3036,1.98,1.99,546090
2025-11-21,2.0,2.06,1.8915,1.99,430210
2025-11-24,2.0,2.2,1.99,2.18,427827
2025-11-25,2.19,2.45,2.13,2.41,519287
2025-11-26,2.42,2.4375,2.29,2.38,412270
2025-11-28,2.4,2.5,2.39,2.48,105994
2025-12-01,2.39,2.48,2.37,2.4,208899
2025-12-02,2.41,2.45,2.27,2.29,463736
2025-12-03,2.31,2.5,2.215,2.46,918003
2025-12-04,2.47,2.62,2.445,2.51,431077
2025-12-05,2.58,2.73,2.41,2.49,1204966
2025-12-08,2.54,2.5789,2.385,2.41,346170
2025-12-09,2.4,2.67,2.3999,2.6,590033
2025-12-10,2.6,2.62,2.5,2.58,289295
2025-12-11,2.57,2.57,2.41,2.54,390298
2025-12-12,2.54,2.56,2.37,2.37,302672
2025-12-15,2.4,2.45,2.32,2.33,283735
2025-12-16,2.34,2.455,2.3199,2.44,228562
2025-12-17,2.44,2.48,2.26,2.29,471042
2025-12-18,2.36,2.3997,2.18,2.21,382096
2025-12-19,2.22,2.39,2.22,2.33,511236
2025-12-22,2.31,2.37,2.215,2.24,490258
2025-12-23,2.23,2.28,2.17,2.26,304887
2025-12-24,2.21,2.295,2.21,2.25,180039
2025-12-26,2.25,2.29,2.15,2.16,257192
2025-12-29,2.11,2.265,2.11,2.2,608642
2025-12-30,2.16,2.2999,2.16,2.19,491212
2025-12-31,2.19,2.27,2.1605,2.21,441979
2026-01-02,2.27,2.38,2.25,2.36,261256
2026-01-05,2.35,2.525,2.315,2.39,611250
2026-01-06,2.41,2.41,2.275,2.29,334651
2026-01-07,2.3,2.53,2.2717,2.47,1200290
2026-01-08,2.51,2.55,2.355,2.36,389625
2026-01-09,2.4,2.41,2.27,2.31,573546
2026-01-12,2.31,2.38,2.3,2.33,336042
2026-01-13,2.395,2.404,2.26,2.29,270557
2026-01-14,2.29,2.385,2.265,2.37,303450
2026-01-15,2.37,2.45,2.36,2.41,513239
2026-01-16,2.43,2.4399,2.365,2.37,213381
2026-01-20,2.32,2.43,2.29,2.34,476009
2026-01-21,2.35,2.5,2.34,2.45,556986
2026-01-22,2.5,2.7595,2.495,2.67,475281
2026-01-23,2.67,2.71,2.525,2.65,479531
2026-01-26,2.64,2.9,2.58,2.84,713340
2026-01-27,2.84,3.51,2.78,3.31,2205242
2026-01-28,3.31,3.43,2.73,2.8,1314140
2026-01-29,2.78,3.085,2.59,3.05,1064688
2026-01-30,3.025,3.04,2.83,2.93,636718
2026-02-02,2.86,2.95,2.76,2.77,476417
2026-02-03,2.88,2.9799,2.58,2.66,620138
2026-02-04,2.67,2.67,2.39,2.49,362627
2026-02-05,2.5,2.54,2.25,2.32,435946
2026-02-06,2.41,2.625,2.38,2.57,448170
2026-02-09,2.56,2.575,2.47,2.52,297671
2026-02-10,2.53,2.6,2.425,2.46,297613
