Date,Open,High,Low,Close,Volume
2025-06-09,5.28,5.4,5.02,5.23,104712.0
2025-06-10,5.23,5.47,5.1,5.11,168730.0
2025-06-11,5.19,5.3702,4.9101,4.95,156795.0
2025-06-12,4.94,5.08,4.62,4.77,250181.0
2025-06-13,4.83,4.83,4.16,4.4,184023.0
2025-06-16,4.5,4.99,4.5,4.99,84279.0
2025-06-17,4.91,5.03,4.56,4.78,151780.0
2025-06-18,4.79,5.0199,4.58,4.61,67330.0
2025-06-20,4.69,5.4781,4.69,4.87,216352.0
2025-06-23,4.83,5.13,4.7501,4.76,41527.0
2025-06-24,4.83,5.2987,4.761,5.12,125073.0
2025-06-25,5.14,5.205,4.8001,4.86,68093.0
2025-06-26,4.86,5.98,4.86,5.51,287011.0
2025-06-27,5.55,6.14,5.55,5.66,145714.0
2025-06-30,5.57,5.815,5.24,5.29,128586.0
2025-07-01,5.29,5.49,5.04,5.36,65457.0
2025-07-02,5.29,5.38,5.23,5.34,44029.0
2025-07-03,5.35,5.71,5.35,5.42,68587.0
2025-07-07,5.4,5.4,4.7999,4.92,73253.0
2025-07-08,5.1,5.39,4.91,4.945,133079.0
2025-07-09,4.95,4.9935,4.5,4.63,147759.0
2025-07-10,4.57,4.8545,4.22,4.37,209710.0
2025-07-11,4.36,4.36,3.6802,3.9,291194.0
2025-07-14,3.93,4.0,3.7303,3.93,62720.0
2025-07-15,3.95,4.17,3.9,3.99,82299.0
2025-07-16,4.02,4.2181,3.8014,3.88,35243.0
2025-07-17,3.92,4.16,3.8501,4.09,51985.0
2025-07-18,4.16,4.16,3.8948,3.99,17581.0
2025-07-21,4.06,4.2223,3.83,4.0,45434.0
2025-07-22,3.97,4.19,3.85,4.06,55776.0
2025-07-23,4.1,4.2,3.94,4.19,78689.0
2025-07-24,4.05,4.18,3.9012,3.93,53470.0
2025-07-25,4.0,4.01,3.77,3.78,59054.0
2025-07-28,3.88,4.0871,3.7,3.99,100311.0
2025-07-29,3.94,3.9786,3.585,3.65,63242.0
2025-07-30,3.7365,3.8387,3.57,3.63,53967.0
2025-07-31,3.7,4.04,3.6,3.91,130107.0
2025-08-01,3.732,3.9616,3.55,3.62,29605.0
2025-08-04,3.54,3.905,3.54,3.75,41460.0
2025-08-05,3.62,3.87,3.6,3.6,30452.0
2025-08-06,3.53,3.6265,3.3806,3.52,79494.0
2025-08-07,3.5616,3.625,3.41,3.53,21339.0
2025-08-08,3.485,3.52,3.42,3.52,11552.0
2025-08-11,3.47,3.9,3.4285,3.8,50191.0
2025-08-12,3.875,4.16,3.6502,4.08,31632.0
2025-08-13,4.1,4.63,3.935,4.06,80995.0
2025-08-14,4.06,4.2262,3.8396,3.92,56001.0
2025-08-15,4.05,4.7,4.05,4.48,228327.0
2025-08-18,4.59,4.64,4.05,4.05,87395.0
2025-08-19,4.03,4.25,3.65,3.9,198049.0
2025-08-20,3.91,4.18,3.8101,4.09,22825.0
2025-08-21,3.99,4.1,3.965,4.04,7842.0
2025-08-22,4.14,4.55,4.0548,4.42,51970.0
2025-08-25,4.42,4.58,4.17,4.305,19469.0
2025-08-26,4.25,4.5075,4.21,4.38,20720.0
2025-08-27,4.32,4.5822,4.32,4.42,8110.0
2025-08-28,4.56,4.57,4.3617,4.515,5264.0
2025-08-29,4.44,4.59,4.44,4.46,3359.0
2025-09-02,4.36,4.44,4.1653,4.27,26170.0
2025-09-03,4.06,4.59,4.06,4.09,18898.0
2025-09-04,4.09,4.33,3.88,3.9,29153.0
2025-09-05,3.9,3.9,3.6645,3.72,20448.0
2025-09-08,3.65,3.885,3.5,3.53,44437.0
2025-09-09,3.55,3.9339,3.4101,3.58,35271.0
2025-09-10,3.51,3.83,3.375,3.54,77358.0
2025-09-11,3.55,3.76,3.11,3.15,182332.0
2025-09-12,3.25,3.25,2.76,2.765,71248.0
2025-09-15,2.88,3.1176,2.74,3.11,99902.0
2025-09-16,3.05,3.1375,2.85,2.95,36189.0
2025-09-17,2.99,3.1,2.8311,2.945,36808.0
2025-09-18,2.97,3.18,2.9,3.08,45817.0
2025-09-19,3.08,3.2,3.0,3.11,68463.0
2025-09-22,3.1,3.1,2.65,2.75,124509.0
2025-09-23,2.96,3.1089,2.55,2.69,104991.0
2025-09-24,2.71,2.71,2.2,2.47,223701.0
2025-09-25,2.53,2.7,2.45,2.7,165104.0
2025-09-26,2.83,3.5102,2.7004,3.17,1212829.0
2025-09-29,3.58,3.7385,3.2,3.37,339079.0
2025-09-30,3.35,3.37,3.0,3.19,144260.0
2025-10-01,3.28,3.28,2.823,2.99,121842.0
2025-10-02,2.93,3.0855,2.85,2.97,89525.0
2025-10-03,2.99,3.0,2.7,2.85,278892.0
2025-10-06,2.88,3.0034,2.8045,2.86,102783.0
2025-10-07,2.89,2.9149,2.61,2.81,95483.0
2025-10-08,2.81,2.86,2.51,2.64,151745.0
2025-10-09,2.65,2.7652,2.615,2.73,58116.0
2025-10-10,2.74,2.75,2.5754,2.59,36084.0
2025-10-13,2.6,2.77,2.58,2.65,96636.0
2025-10-14,2.61,2.8499,2.5501,2.71,70271.0
2025-10-15,2.74,2.8598,2.285,2.66,261994.0
2025-10-16,2.65,2.65,2.4363,2.48,102617.0
