Date,Open,High,Low,Close,Volume
2025-06-09,5.51,5.61,5.31,5.47,432989
2025-06-10,5.44,5.8579,5.4,5.44,1367248
2025-06-11,5.45,5.76,5.24,5.25,443469
2025-06-12,5.18,5.18,4.99,5.08,466296
2025-06-13,5.01,5.0763,4.9,4.91,437916
2025-06-16,4.94,5.02,4.87,4.92,394876
2025-06-17,4.89,4.945,4.8,4.83,308648
2025-06-18,4.81,4.8179,4.6848,4.79,332514
2025-06-20,4.83,4.85,4.66,4.72,410293
2025-06-23,4.71,4.87,4.67,4.87,323377
2025-06-24,4.89,5.03,4.6889,4.97,445858
2025-06-25,4.96,5.1368,4.84,4.86,307834
2025-06-26,4.88,4.967,4.57,4.82,257484
2025-06-27,4.82,5.03,4.82,5.02,1217609
2025-06-30,5.0,5.25,4.94,5.23,688443
2025-07-01,5.12,5.135,4.93,5.0,606514
2025-07-02,4.9,4.91,4.44,4.46,706865
2025-07-03,4.44,4.65,4.39,4.65,480689
2025-07-07,4.55,4.57,4.28,4.3,827355
2025-07-08,4.29,4.33,4.2,4.28,550401
2025-07-09,4.28,4.34,4.19,4.27,325943
2025-07-10,4.24,4.29,4.1899,4.23,332253
2025-07-11,4.2,4.205,4.06,4.06,387222
2025-07-14,4.05,4.09,3.985,4.07,370831
2025-07-15,4.08,4.135,3.985,4.04,560529
2025-07-16,4.04,4.15,3.89,3.99,482446
2025-07-17,4.0,4.085,3.96,4.02,318079
2025-07-18,4.05,4.05,3.95,3.96,271146
2025-07-21,4.26,4.3499,4.02,4.03,427830
2025-07-22,4.03,4.105,3.9539,4.02,318958
2025-07-23,4.06,4.11,4.01,4.08,320955
2025-07-24,4.04,4.0457,3.93,3.94,377369
2025-07-25,3.96,3.97,3.88,3.96,231942
2025-07-28,3.97,4.02,3.92,3.95,224967
2025-07-29,3.96,4.0369,3.96,4.02,265363
2025-07-30,4.02,4.08,3.96,3.99,448003
2025-07-31,4.0,4.07,3.96,3.97,412024
2025-08-01,3.89,3.94,3.73,3.74,467445
2025-08-04,3.75,3.86,3.735,3.82,324468
2025-08-05,3.84,3.92,3.77,3.78,354970
2025-08-06,3.78,3.965,3.74,3.89,488875
2025-08-07,5.32,6.2,5.22,5.81,14408713
2025-08-08,5.83,6.4599,5.73,6.14,2498287
2025-08-11,6.53,6.98,6.4371,6.83,2045810
2025-08-12,6.89,7.255,6.8205,7.24,1953273
2025-08-13,7.3,7.615,7.14,7.15,1918559
2025-08-14,7.07,7.38,7.0401,7.2,1540650
2025-08-15,7.27,7.35,7.06,7.08,999510
