Date,Open,High,Low,Close,Volume
2025-06-09,1.8,1.97,1.8,1.83,403689
2025-06-10,1.84,1.97,1.802,1.94,252195
2025-06-11,1.94,2.08,1.94,1.98,658343
2025-06-12,2.16,2.7,2.09,2.35,6813530
2025-06-13,2.35,2.36,2.14,2.16,856448
2025-06-16,2.14,2.18,2.06,2.08,435765
2025-06-17,2.02,2.06,1.895,1.95,473055
2025-06-18,1.94,2.03,1.89,1.91,220139
2025-06-20,1.93,1.94,1.81,1.84,310456
2025-06-23,1.8,1.95,1.8,1.86,173153
2025-06-24,1.92,2.1,1.92,2.02,588337
2025-06-25,2.02,2.18,1.97,2.13,400942
2025-06-26,2.15,2.2301,2.1304,2.17,500494
2025-06-27,2.18,2.22,1.955,2.03,305484
2025-06-30,2.05,2.13,2.03,2.09,165070
2025-07-01,2.06,2.0992,1.9715,2.01,161087
2025-07-02,2.01,2.11,2.01,2.08,197900
2025-07-03,2.08,2.17,2.08,2.14,185468
2025-07-07,2.17,2.35,2.155,2.28,485869
2025-07-08,2.31,2.49,2.28,2.37,645624
2025-07-09,2.42,2.62,2.3794,2.54,1179551
2025-07-10,2.3,2.35,2.14,2.26,1364408
2025-07-11,2.25,2.25,2.1,2.2,469055
2025-07-14,2.2,2.33,2.1101,2.32,530766
2025-07-15,2.34,2.4,2.245,2.36,473662
2025-07-16,2.37,2.42,2.22,2.39,320950
2025-07-17,2.38,2.5691,2.38,2.5,776811
2025-07-18,2.55,2.55,2.42,2.44,542804
2025-07-21,2.49,2.4999,2.3,2.32,394143
2025-07-22,2.31,2.41,2.28,2.35,242625
2025-07-23,2.39,2.5499,2.3438,2.52,325055
2025-07-24,2.52,2.53,2.36,2.37,232374
2025-07-25,2.4,2.4,2.3202,2.35,193105
2025-07-28,2.34,2.5,2.34,2.44,287125
2025-07-29,2.47,2.4889,2.27,2.29,192195
2025-07-30,2.29,2.29,2.11,2.12,331679
2025-07-31,2.16,2.245,2.06,2.08,314225
2025-08-01,2.0,2.1092,1.85005,1.92,564329
2025-08-04,1.9,2.15,1.9,2.11,303757
2025-08-05,2.14,2.17,2.03,2.05,223953
2025-08-06,2.04,2.09,1.96,2.07,188974
2025-08-07,2.1,2.14,2.025,2.06,120195
2025-08-08,2.08,2.22,2.07,2.14,162639
2025-08-11,2.15,2.21,2.1345,2.18,135675
2025-08-12,2.2,2.23,2.145,2.23,204772
2025-08-13,2.22,2.24,2.16,2.18,127639
2025-08-14,2.14,2.18,2.08,2.16,162391
2025-08-15,2.14,2.14,2.05,2.05,149828
2025-08-18,2.06,2.11,2.06,2.07,144742
2025-08-19,2.1,2.19,2.07,2.14,232503
2025-08-20,2.245,2.6791,2.2,2.51,4445268
2025-08-21,2.48,2.545,2.3908,2.48,682945
2025-08-22,2.54,2.85,2.5,2.82,1501833
2025-08-25,2.8,2.91,2.6809,2.84,658622
2025-08-26,2.83,2.92,2.745,2.77,498452
2025-08-27,2.81,2.945,2.8,2.87,434061
2025-08-28,2.89,2.93,2.785,2.92,335646
2025-08-29,2.89,2.93,2.75,2.9,322138
2025-09-02,2.83,3.29,2.83,3.28,1352837
2025-09-03,3.29,3.29,3.01,3.08,740074
2025-09-04,3.06,3.08,2.91,2.96,442632
2025-09-05,3.01,3.15,2.98,3.11,512233
2025-09-08,3.25,3.43,3.095,3.11,1225718
2025-09-09,3.13,3.2,3.015,3.04,425926
2025-09-10,3.1,3.53,3.08,3.36,1826588
2025-09-11,3.4,3.569,3.36,3.39,1146739
2025-09-12,3.4,3.7153,3.29,3.66,1317351
2025-09-15,3.7,3.99,3.7,3.98,1808751
2025-09-16,4.0,4.1851,3.88,4.01,1635266
2025-09-17,4.0,4.075,3.854,3.94,741705
2025-09-18,4.05,4.19,3.945,3.96,714500
2025-09-19,3.96,4.463,3.93,4.34,2036639
2025-09-22,4.74,5.2181,4.6,5.14,3747187
2025-09-23,5.2,5.42,4.78,4.8,2762916
2025-09-24,4.81,5.025,4.7002,4.83,1686134
2025-09-25,4.73,4.95,4.51,4.75,1751501
2025-09-26,4.8,5.0363,4.6,4.66,994763
2025-09-29,4.88,5.38,4.86,4.89,2936708
2025-09-30,4.91,4.935,4.47,4.49,1710487
2025-10-01,4.49,4.96,4.37,4.91,1720915
2025-10-02,4.93,4.98,4.7,4.7,1205541
2025-10-03,4.83,5.48,4.83,5.13,4033741
2025-10-06,5.16,5.44,4.85,5.4,3055492
