Date,Open,High,Low,Close,Volume
2024-01-02,3.58,3.6699,3.21,3.33,36454.0
2024-01-03,3.3501,3.71,3.28,3.53,35554.0
2024-01-04,3.57,3.71,3.4,3.43,46756.0
2024-01-05,3.5,3.701,3.43,3.5501,17535.0
2024-01-08,3.65,3.8999,3.4701,3.78,21098.0
2024-01-09,3.66,3.7,3.4,3.65,13482.0
2024-01-10,3.7,3.7001,3.55,3.6,8971.0
2024-01-11,3.74,3.85,3.65,3.75,24542.0
2024-01-12,3.75,3.84,3.5501,3.65,17215.0
2024-01-16,3.59,3.6853,3.41,3.42,11211.0
2024-01-17,3.382,3.53,3.38,3.4,15956.0
2024-01-18,3.48,3.49,3.31,3.35,6927.0
2024-01-19,3.44,3.49,3.1001,3.2,11189.0
2024-01-22,3.2,3.38,3.11,3.37,16116.0
2024-01-23,3.44,3.4899,3.34,3.37,3594.0
2024-01-24,3.26,3.49,3.24,3.43,10888.0
2024-01-25,3.57,3.74,3.45,3.65,31832.0
2024-01-26,3.65,3.78,3.41,3.5,19350.0
2024-01-29,3.5,3.61,3.35,3.38,36789.0
2024-01-30,3.292,3.5405,3.29,3.29,2844.0
2024-01-31,3.2964,3.5,3.12,3.16,15163.0
2024-02-01,3.3917,3.3917,3.17,3.27,3747.0
2024-02-02,3.2,3.35,3.15,3.15,3373.0
2024-02-05,3.11,3.2499,3.06,3.06,4508.0
2024-02-06,3.1438,3.4799,3.1438,3.15,3451.0
2024-02-07,3.1629,3.4099,3.1629,3.33,4437.0
2024-02-08,3.32,4.45,3.32,3.81,478797.0
2024-02-09,4.03,4.17,3.42,4.0,158921.0
2024-02-12,3.78,4.19,3.6,4.18,27352.0
2024-02-13,3.98,4.1055,3.55,3.6,20706.0
2024-02-14,3.72,4.8872,3.72,4.29,431679.0
2024-02-15,4.2,4.5,3.9642,4.27,45831.0
2024-02-16,4.26,4.68,4.26,4.63,38252.0
2024-02-20,4.33,4.5272,3.73,3.89,61020.0
2024-02-21,3.9565,4.0699,3.65,3.825,47939.0
2024-02-22,3.83,4.0199,3.8,3.98,18236.0
2024-02-23,3.9182,4.0558,3.61,3.7,9561.0
2024-02-26,3.58,3.74,3.45,3.45,9083.0
2024-02-27,3.51,3.74,3.19,3.25,796655.0
2024-02-28,3.26,3.68,3.26,3.41,28416.0
2024-02-29,3.41,3.72,3.34,3.5101,35828.0
2024-03-01,3.55,3.75,3.55,3.73,16657.0
2024-03-04,3.74,4.0,3.6108,3.81,16627.0
2024-03-05,3.6092,3.8,3.5101,3.57,36934.0
2024-03-06,3.69,3.69,3.47,3.62,29207.0
2024-03-07,3.6,3.79,3.33,3.5215,17471.0
2024-03-08,3.4038,3.72,3.382,3.51,11964.0
2024-03-11,3.6,3.62,3.44,3.55,7643.0
2024-03-12,3.51,3.8077,3.45,3.54,25115.0
2024-03-13,3.6,3.8,3.49,3.73,32781.0
2024-03-14,3.65,3.7399,3.51,3.5382,21344.0
2024-03-15,3.41,3.67,3.26,3.41,23881.0
2024-03-18,3.31,3.485,3.3,3.33,15038.0
2024-03-19,3.33,3.385,3.214,3.3517,11942.0
2024-03-20,3.22,3.5,3.22,3.35,15442.0
2024-03-21,3.35,3.45,3.2,3.26,13907.0
2024-03-22,3.26,3.325,3.23,3.325,5028.0
2024-03-25,3.42,3.42,3.25,3.3,4140.0
2024-03-26,3.37,3.42,3.2944,3.3,4598.0
2024-03-27,3.3361,3.5,3.32,3.4818,23343.0
2024-03-28,3.5,3.68,3.38,3.57,34894.0
2024-04-01,3.56,3.56,3.33,3.3702,6155.0
2024-04-02,3.4,3.4,3.1,3.15,23826.0
2024-04-03,3.191,3.265,3.11,3.117,5488.0
2024-04-04,3.18,3.24,3.18,3.2,5746.0
2024-04-05,3.12,3.17,3.1,3.11,2978.0
2024-04-08,3.1001,3.25,3.1001,3.23,6088.0
2024-04-09,3.13,3.49,3.13,3.39,38864.0
2024-04-10,3.36,3.5,3.36,3.36,2068.0
2024-04-11,3.34,3.4428,3.25,3.27,12242.0
2024-04-12,3.2701,3.3,3.25,3.3,3693.0
2024-04-15,3.275,3.43,3.13,3.13,7283.0
2024-04-16,3.16,3.3,3.1,3.14,7433.0
2024-04-17,3.16,3.37,3.16,3.3,12028.0
2024-04-18,3.3,3.3857,3.0305,3.3857,17946.0
2024-04-19,3.28,3.53,3.28,3.5,35993.0
2024-04-22,3.32,3.32,3.1,3.298,805.0
2024-04-23,3.05,3.3,3.05,3.3,2479.0
2024-04-24,3.13,3.26,3.13,3.26,2390.0
2024-04-25,3.245,3.25,3.14,3.18,3005.0
2024-04-26,3.35,3.36,3.2545,3.255,3178.0
2024-04-29,3.15,3.3,3.13,3.13,6498.0
2024-04-30,3.205,3.205,3.1,3.1,1761.0
2024-05-01,3.07,3.185,3.07,3.0701,2372.0
2024-05-02,3.28,3.28,3.08,3.12,3554.0
2024-05-03,3.1101,3.1101,3.1101,3.1101,577.0
2024-05-06,3.2,3.2,3.2,3.2,594.0
2024-05-07,3.2779,3.2779,3.2779,3.2779,719.0
2024-05-08,3.2015,3.2015,3.2015,3.2015,898.0
2024-05-09,3.1992,3.1992,3.1992,3.1992,1167.0
2024-05-10,3.16,3.23,3.16,3.23,523.0
2024-05-13,3.21,3.2999,3.12,3.2927,3731.0
2024-05-14,3.24,3.56,3.2,3.3,42466.0
2024-05-15,3.35,3.51,3.2,3.23,15010.0
2024-05-16,3.2145,3.49,3.2145,3.4186,14859.0
2024-05-17,3.236,3.79,3.236,3.7,63591.0
2024-05-20,3.7,4.04,3.31,3.56,105951.0
2024-05-21,3.43,3.75,3.37,3.4852,14633.0
2024-05-22,3.5,3.5,3.33,3.4,10033.0
2024-05-23,3.3999,3.495,3.3,3.41,11556.0
2024-05-24,3.35,3.46,3.25,3.46,6387.0
2024-05-28,3.2747,3.5617,3.2747,3.45,1976.0
2024-05-29,3.3446,3.5499,3.34,3.38,3341.0
2024-05-30,3.32,3.52,3.2,3.2,16794.0
2024-05-31,3.1696,3.28,3.07,3.12,17403.0
2024-06-03,3.07,3.07,2.4701,2.73,19257.0
2024-06-04,2.5438,2.6224,2.0,2.3,19687.0
2024-06-05,2.44,2.6399,2.35,2.39,10186.0
2024-06-06,2.43,2.54,2.26,2.3,10533.0
2024-06-07,2.36,2.3999,2.0,2.38,27533.0
2024-06-10,2.24,2.36,2.24,2.31,4491.0
2024-06-11,2.05,2.3,2.05,2.12,16279.0
2024-06-12,2.2,2.2703,2.0801,2.25,8119.0
2024-06-13,2.13,2.25,2.13,2.237,3463.0
2024-06-14,2.2718,2.3391,2.12,2.2475,3248.0
2024-06-17,2.23,2.2611,2.15,2.16,2291.0
2024-06-18,2.16,2.16,2.16,2.16,344.0
2024-06-20,2.16,2.16,1.61,1.8,61898.0
2024-06-21,1.8618,1.9,1.63,1.7,11742.0
2024-06-24,1.7,1.93,1.7,1.85,16793.0
2024-06-25,1.72,1.8364,1.71,1.75,5367.0
2024-06-26,1.94,1.94,1.795,1.87,4077.0
2024-06-27,1.87,2.01,1.86,1.86,8254.0
2024-06-28,1.925,1.975,1.8616,1.975,1300.0
2024-07-01,1.9963,1.9963,1.9811,1.9811,722.0
2024-07-02,1.86,1.92,1.695,1.92,2517.0
2024-07-03,2.02,2.02,1.98,2.02,3025.0
2024-07-05,1.9,1.9118,1.9,1.9118,643.0
2024-07-08,1.81,1.99,1.81,1.87,5812.0
2024-07-10,1.87,1.88,1.87,1.88,2021.0
2024-07-11,1.71,1.8813,1.71,1.8813,7138.0
2024-07-12,1.95,2.9,1.95,2.21,338715.0
2024-07-15,2.29,2.49,2.02,2.305,25316.0
2024-07-16,2.28,2.3599,2.2,2.27,16835.0
2024-07-17,2.2,2.24,2.1189,2.1189,10678.0
2024-07-18,2.305,2.3499,2.13,2.3499,7456.0
2024-07-19,2.25,2.38,2.2001,2.21,1955.0
2024-07-22,2.3881,2.3881,2.35,2.36,4845.0
2024-07-23,2.24,2.37,2.17,2.29,5474.0
2024-07-24,2.27,2.64,2.27,2.44,9925.0
2024-07-25,2.294,2.4,2.23,2.4,5053.0
2024-07-29,2.23,2.45,2.0,2.45,13953.0
2024-07-30,2.46,2.46,2.09,2.24,6946.0
2024-07-31,2.24,2.24,2.24,2.24,304.0
2024-08-01,2.17,2.275,2.1,2.19,11643.0
2024-08-02,2.0226,2.1,2.02,2.02,1323.0
2024-08-05,1.91,2.12,1.91,2.0,2907.0
2024-08-06,2.0,2.21,1.97,2.17,5405.0
2024-08-07,2.03,2.1499,2.03,2.12,1512.0
2024-08-08,2.2,2.24,2.0,2.24,7053.0
2024-08-09,2.2,2.2,2.1898,2.1898,977.0
2024-08-12,2.12,2.12,2.12,2.12,345.0
2024-08-13,2.02,2.095,1.9,1.9,3351.0
2024-08-14,1.95,2.15,1.95,2.1499,1565.0
2024-08-15,2.11,2.12,2.11,2.12,1957.0
2024-08-16,2.03,2.03,2.03,2.03,203.0
2024-08-20,2.1,2.1,2.1,2.1,564.0
2024-08-21,2.0001,2.23,2.0001,2.14,2624.0
2024-08-22,2.12,2.12,2.12,2.12,1040.0
2024-08-23,2.12,2.55,2.12,2.53,24935.0
2024-08-26,2.52,2.54,2.31,2.44,6295.0
2024-08-27,2.32,2.45,2.32,2.4,1685.0
2024-08-28,2.4,2.47,2.4,2.43,2688.0
2024-08-29,2.4,2.43,2.36,2.43,2441.0
2024-08-30,2.45,2.4595,2.26,2.29,4795.0
2024-09-03,2.3,2.3,2.3,2.3,1097.0
2024-09-04,2.21,2.21,2.19,2.21,2529.0
2024-09-05,2.0,2.2664,1.982,2.2664,3291.0
2024-09-06,2.1501,2.2011,2.13,2.15,3328.0
2024-09-09,2.03,2.1829,2.03,2.06,4316.0
2024-09-10,2.09,2.17,2.09,2.16,4729.0
2024-09-11,2.1425,2.4199,2.13,2.205,10372.0
2024-09-12,2.2,2.215,2.1606,2.209,2261.0
2024-09-13,2.29,2.29,2.21,2.2899,2036.0
2024-09-16,2.2899,2.29,2.11,2.11,3580.0
2024-09-17,2.11,2.12,2.08,2.08,3307.0
2024-09-18,2.0601,2.28,2.0601,2.28,451.0
2024-09-20,2.205,2.205,2.151,2.151,648.0
2024-09-23,2.3,2.85,2.1767,2.1767,57043.0
2024-09-24,2.2,2.25,2.17,2.2,3022.0
2024-09-25,2.41,2.41,2.3,2.3098,2602.0
2024-09-26,2.3199,2.3875,2.275,2.35,2979.0
2024-09-27,2.35,2.55,2.35,2.5,38891.0
2024-09-30,2.52,2.76,2.43,2.7,28728.0
2024-10-01,2.5,2.7,2.29,2.59,11794.0
2024-10-02,2.64,3.0601,2.6,2.9501,89947.0
2024-10-03,2.86,2.97,2.5481,2.65,48977.0
2024-10-04,2.7506,2.82,2.6895,2.82,18416.0
2024-10-07,3.04,3.2,2.92,3.2,80062.0
2024-10-08,3.12,3.12,2.77,3.03,22769.0
2024-10-09,2.67,2.8343,2.65,2.6599,22059.0
2024-10-10,2.61,2.61,2.31,2.31,17138.0
2024-10-11,2.46,2.59,2.46,2.51,4761.0
2024-10-14,2.44,2.53,2.32,2.42,11395.0
2024-10-15,2.42,2.45,2.31,2.31,2412.0
2024-10-16,2.3379,2.555,2.31,2.311,17805.0
2024-10-17,2.321,2.321,2.2,2.319,8624.0
2024-10-18,2.3553,2.3553,2.08,2.155,7168.0
2024-10-21,2.29,2.29,2.13,2.16,4601.0
2024-10-22,2.15,2.18,2.0063,2.0928,14838.0
2024-10-23,2.1,2.1,1.9971,2.0065,3409.0
2024-10-24,2.04,2.44,2.02,2.25,32450.0
2024-10-25,2.2623,2.2623,1.99,2.21,13925.0
2024-10-28,2.1709,2.1709,1.96,2.08,21849.0
2024-10-29,2.09,2.21,2.0,2.0,17185.0
2024-10-30,2.085,2.1115,2.01,2.01,4808.0
2024-10-31,2.125,2.125,1.86,1.9801,18722.0
2024-11-01,1.8599,1.9542,1.76,1.8609,21634.0
2024-11-04,1.8601,1.8601,1.78,1.8601,13180.0
2024-11-05,2.09,2.09,1.83,1.8301,24348.0
2024-11-06,1.83,1.8799,1.785,1.865,5440.0
2024-11-07,1.88,1.92,1.8001,1.92,4574.0
2024-11-08,1.92,1.9844,1.92,1.9499,2331.0
2024-11-11,1.985,1.985,1.93,1.93,4660.0
2024-11-12,1.93,2.1,1.8701,2.0441,14396.0
2024-11-13,1.97,2.0,1.9241,1.93,2443.0
2024-11-14,1.97,2.0099,1.9201,2.0001,10647.0
2024-11-15,1.98,2.02,1.98,2.01,2691.0
2024-11-18,1.8709,1.88,1.7301,1.7583,10515.0
