Date,Open,High,Low,Close,Volume
2025-07-10,5.68,6.389,5.68,6.04,185326.0
2025-07-11,5.82,5.89,4.7609,5.09,335989.0
2025-07-14,4.91,4.91,3.85,3.97,265526.0
2025-07-15,3.84,3.8599,3.57,3.75,99920.0
2025-07-16,3.83,4.44,3.8205,4.25,127664.0
2025-07-17,4.92,7.05,4.51,6.63,6748168.0
2025-07-18,5.94,6.07,5.1,5.1,358902.0
2025-07-21,4.85,5.04,4.73,4.94,145686.0
2025-07-22,4.89,5.33,4.89,5.1,106953.0
2025-07-23,5.08,5.3005,5.0517,5.15,56413.0
2025-07-24,5.08,5.2,4.87,4.88,50698.0
2025-07-25,4.96,5.04,4.85,4.9,51155.0
2025-07-28,4.8,4.9051,4.5,4.55,113429.0
2025-07-29,4.51,4.595,4.4,4.46,38653.0
2025-07-30,7.66,8.98,5.9,7.18,58855110.0
2025-07-31,6.58,7.21,6.2,6.93,976485.0
2025-08-01,6.58,7.2,6.11,6.47,482106.0
2025-08-04,6.09,6.78,6.08,6.64,159598.0
2025-08-05,6.64,6.64,5.55,5.73,176347.0
2025-08-06,5.6,5.74,5.55,5.66,45266.0
2025-08-07,5.53,5.85,5.53,5.66,34465.0
2025-08-08,5.56,5.83,5.47,5.57,94574.0
2025-08-11,5.76,5.76,5.28,5.44,54551.0
2025-08-12,5.35,5.795,5.33,5.795,218662.0
2025-08-13,5.85,5.85,5.4,5.57,49037.0
2025-08-14,5.5,5.5,5.26,5.36,33636.0
2025-08-15,5.33,5.4699,5.13,5.34,61025.0
2025-08-18,5.25,5.44,5.25,5.32,32455.0
2025-08-19,5.36,5.37,5.25,5.32,28875.0
2025-08-20,5.25,5.33,5.21,5.33,28357.0
2025-08-21,5.25,5.72,5.25,5.72,31901.0
2025-08-22,5.65,5.6894,5.4737,5.63,32270.0
2025-08-25,5.59,5.65,5.446,5.64,29368.0
2025-08-26,5.6,5.6004,5.49,5.59,45520.0
2025-08-27,5.5,5.64,5.5,5.59,41013.0
2025-08-28,5.6,5.8,5.6,5.77,72218.0
2025-08-29,5.66,5.81,5.6501,5.68,27134.0
2025-09-02,5.65,5.7597,5.65,5.69,52019.0
2025-09-03,5.79,5.7903,5.63,5.66,54286.0
2025-09-04,5.65,5.72,5.53,5.69,53942.0
2025-09-05,5.56,5.56,5.0,5.04,41644.0
2025-09-08,4.95,4.9834,4.89,4.965,30962.0
2025-09-09,4.68,4.7282,4.34,4.41,40465.0
2025-09-10,4.47,4.47,4.2913,4.37,26901.0
2025-09-11,4.22,4.4199,4.2,4.3005,36202.0
2025-09-12,5.14,5.65,4.68,5.43,2650049.0
2025-09-15,5.04,5.25,4.86,5.02,101970.0
2025-09-16,5.04,5.32,5.04,5.22,70328.0
2025-09-17,5.15,6.0,5.15,5.7,76495.0
2025-09-18,5.62,5.8,5.5665,5.7,35836.0
2025-09-19,5.73,5.73,5.33,5.37,44131.0
2025-09-22,5.49,5.6202,5.32,5.49,47954.0
2025-09-23,5.47,5.47,5.16,5.26,37089.0
2025-09-24,5.19,5.77,5.1001,5.69,88944.0
2025-09-25,5.74,6.1,5.55,6.0,116035.0
2025-09-26,5.93,5.93,5.4323,5.65,39596.0
2025-09-29,5.59,5.6799,5.4301,5.47,10480.0
2025-09-30,5.53,5.53,5.4,5.47,5649.0
2025-10-01,5.43,5.54,5.19,5.48,46282.0
2025-10-02,5.56,5.56,5.2014,5.36,23879.0
2025-10-03,5.28,5.4707,5.24,5.29,17621.0
2025-10-06,5.28,5.4738,5.2505,5.26,11225.0
2025-10-07,5.28,5.4685,5.18,5.23,45754.0
2025-10-08,5.14,5.58,5.14,5.53,54662.0
2025-10-09,5.5,5.59,5.2501,5.38,28777.0
2025-10-10,5.39,5.4999,5.17,5.19,29246.0
2025-10-13,5.175,5.4918,5.175,5.34,33931.0
2025-10-14,5.29,5.3287,5.03,5.045,17143.0
2025-10-15,5.1,5.24,5.1,5.19,27258.0
2025-10-16,5.26,5.26,5.11,5.16,26211.0
2025-10-17,5.1,5.255,5.0,5.13,28928.0
2025-10-20,4.72,5.65,4.6921,5.19,1396002.0
2025-10-21,5.11,5.25,5.11,5.2,28727.0
2025-10-22,5.08,5.8876,5.07,5.42,80889.0
2025-10-23,5.35,5.5211,5.12,5.19,20240.0
2025-10-24,5.35,5.35,5.09,5.09,29967.0
2025-10-27,5.4,5.4,5.02,5.06,43919.0
2025-10-28,5.06,5.245,5.06,5.19,6989.0
2025-10-29,5.16,5.37,5.12,5.12,22941.0
2025-10-30,5.15,5.23,5.0,5.19,9491.0
2025-10-31,5.11,5.45,5.11,5.42,25456.0
2025-11-03,5.3,5.67,5.29,5.48,31632.0
2025-11-04,5.3674,5.3881,5.235,5.31,14383.0
2025-11-05,5.33,5.495,5.33,5.39,9949.0
2025-11-06,5.3,5.315,5.21,5.22,6322.0
2025-11-07,5.26,5.32,4.99,5.09,26563.0
2025-11-10,5.17,5.41,5.1,5.24,42270.0
2025-11-11,5.15,5.15,5.1,5.15,9678.0
2025-11-12,4.25,5.1299,4.25,4.84,2208439.0
2025-11-13,4.51,4.7622,4.51,4.52,23351.0
2025-11-14,4.36,4.7,4.36,4.53,14671.0
2025-11-17,4.47,4.68,4.4401,4.68,18300.0
2025-11-18,4.55,4.94,4.55,4.81,27644.0
2025-11-19,4.67,4.79,4.55,4.79,3916.0
2025-11-20,4.65,4.68,4.35,4.35,10583.0
2025-11-21,4.41,4.515,4.41,4.455,3798.0
2025-11-24,4.5,4.51,4.35,4.41,6844.0
2025-11-25,4.4197,4.43,4.31,4.32,10386.0
2025-11-26,4.34,4.9711,4.32,4.54,27611.0
2025-11-28,4.5,4.54,4.5,4.54,3221.0
2025-12-01,4.5,4.5479,4.4,4.43,5981.0
2025-12-02,4.4,4.54,4.11,4.35,2936390.0
2025-12-03,4.39,4.5983,4.2,4.4,727133.0
2025-12-04,4.16,4.37,4.0505,4.33,94131.0
2025-12-05,4.08,4.18,4.05,4.11,42254.0
2025-12-08,4.05,4.3,4.0,4.28,30285.0
2025-12-09,4.2,4.295,4.085,4.26,22622.0
2025-12-10,4.06,4.34,4.0206,4.34,43238.0
2025-12-11,4.1586,4.3,4.1001,4.26,14079.0
2025-12-12,4.24,4.24,4.1,4.15,26784.0
2025-12-15,4.05,4.17,4.05,4.14,23174.0
2025-12-16,4.17,4.17,4.08,4.12,14071.0
2025-12-17,4.12,4.12,4.05,4.11,16049.0
2025-12-18,4.09,4.13,4.03,4.13,21033.0
2025-12-19,4.13,4.29,4.0105,4.23,35203.0
2025-12-22,4.21,4.22,4.08,4.1,24105.0
2025-12-23,4.035,4.23,4.01,4.1,22036.0
2025-12-24,3.98,4.15,3.98,4.15,2708.0
2025-12-26,4.02,4.14,4.02,4.14,4748.0
2025-12-29,4.12,4.12,4.06,4.09,5981.0
2025-12-30,4.0,4.03,3.94,3.95,11207.0
2025-12-31,3.94,4.04,3.9,3.95,6551.0
2026-01-02,3.92,3.96,3.89,3.94,5666.0
2026-01-05,3.93,4.14,3.895,4.07,17073.0
2026-01-06,3.98,4.065,3.84,3.86,12308.0
2026-01-07,3.96,4.0858,3.91,4.01,5473.0
2026-01-08,3.9,3.99,3.89,3.9,2334.0
2026-01-09,3.99,4.0,3.935,3.935,4699.0
2026-01-12,3.88,3.94,3.6899,3.75,7369.0
2026-01-13,3.84,3.87,3.71,3.76,2560.0
2026-01-14,3.76,3.89,3.76,3.76,4345.0
2026-01-15,3.8,3.8,3.69,3.69,5360.0
2026-01-16,3.61,3.735,3.61,3.637,13117.0
2026-01-20,3.58,3.68,3.29,3.31,16836.0
2026-01-21,3.575,3.7999,3.067,3.067,13200.0
2026-01-22,3.02,3.22,3.02,3.22,5740.0
2026-01-23,3.27,3.5194,3.1,3.12,12807.0
2026-01-26,3.15,3.15,3.02,3.08,8732.0
2026-01-27,3.04,3.05,2.71,2.72,19149.0
2026-01-28,2.8,2.9594,2.6001,2.76,361337.0
2026-01-29,2.85,2.85,2.62,2.65,28570.0
2026-01-30,2.61,2.7548,2.51,2.5968,13240.0
2026-02-02,2.64,2.91,2.6,2.825,15520.0
2026-02-03,2.77,2.77,2.63,2.65,323705.0
2026-02-04,2.47,2.5,2.34,2.35,50667.0
2026-02-05,2.08,2.2439,1.976,1.99,31633.0
2026-02-06,2.05,2.16,2.04,2.11,9019.0
2026-02-09,2.1219,2.142,1.9601,2.015,14542.0
2026-02-10,2.05,2.05,1.92,1.94,11760.0
2026-02-11,1.97,2.0386,1.93,1.95,4234.0
2026-02-12,2.0241,2.0862,2.01,2.03,10873.0
2026-02-13,2.0891,2.2,2.03,2.14,24800.0
2026-02-17,2.1201,2.2099,2.1008,2.2,15872.0
2026-02-18,2.19,2.2899,2.17,2.28,8734.0
2026-02-19,2.2451,2.4,2.22,2.39,16493.0
2026-02-20,2.2671,2.45,2.2671,2.43,13368.0
2026-02-23,2.42,2.4213,2.33,2.38,4900.0
2026-02-24,2.407,2.54,2.407,2.54,3100.0
2026-02-25,2.54,2.61,2.525,2.525,4900.0
2026-02-26,2.5,2.56,2.5,2.5,5249.0
2026-02-27,2.51,2.73,2.51,2.7,23288.0
2026-03-02,2.66,2.7,2.54,2.65,2722.0
2026-03-03,2.58,2.6212,2.475,2.53,2555.0
2026-03-04,2.65,2.7099,2.541,2.57,6067.0
2026-03-05,2.5511,2.7199,2.5511,2.58,5363.0
2026-03-06,2.5301,2.5301,2.5,2.5,5706.0
2026-03-09,2.47,2.47,2.12,2.314,11942.0
2026-03-10,2.34,2.34,2.18,2.18,6085.0
2026-03-11,2.29,2.29,2.132,2.19,10644.0
2026-03-12,2.2446,2.32,2.21,2.23,4320.0
2026-03-13,2.265,2.2999,2.23,2.24,4829.0
2026-03-16,2.25,2.258,2.2406,2.25,1293.0
2026-03-17,2.24,2.68,2.24,2.54,51538.0
2026-03-18,2.6,2.6,2.5142,2.5142,1160.0
