Date,Open,High,Low,Close,Volume
2024-01-02,30.2,30.2,26.6,27.5,19179.7
2024-01-03,27.3,29.3,23.5,28.0,13200.4
2024-01-04,28.0,34.3,25.6,26.45,129395.0
2024-01-05,26.2,26.7,23.4,23.699,18997.8
2024-01-08,23.3,24.1,21.2,22.6,16742.2
2024-01-09,23.0,24.1,21.9,21.9,5264.8
2024-01-10,22.2,25.8,21.2,22.5,75161.3
2024-01-11,23.8,24.1,18.9,20.7,220922.0
2024-01-12,20.6,21.8,18.2,20.3,23129.4
2024-01-16,18.4,19.6,18.1,19.1,17469.0
2024-01-17,18.7,19.5,17.5,18.5,10567.4
2024-01-18,18.0,19.099,18.0,18.1,11730.2
2024-01-19,17.9,18.9,17.351,17.8,6256.0
2024-01-22,18.3,19.6,18.3,18.7,10724.0
2024-01-23,19.0,19.4,18.3,18.8,8547.0
2024-01-24,19.0,20.2,18.72,19.9,6718.3
2024-01-25,19.1,20.6,18.9,19.5,6410.5
2024-01-26,19.5,21.728,19.01,19.9,36512.9
2024-01-29,19.9,23.4,19.684,22.12,21079.2
2024-01-30,21.3,22.5,21.1,21.4,7505.6
2024-01-31,20.6,21.036,19.7,20.0,5668.6
2024-02-01,20.2,20.5,19.0,19.15,7373.0
2024-02-02,19.6,20.1,18.5,19.0,3287.6
2024-02-05,18.5,18.9,17.6,18.0,4759.3
2024-02-06,18.244,18.6,17.9,18.0,1948.8
2024-02-07,17.6,18.799,17.6,18.5,1109.7
2024-02-08,18.7,18.999,17.8,18.2,2437.8
2024-02-09,17.8,19.2,17.8,18.7,4356.0
2024-02-12,18.7,20.0,18.7,19.699,4194.1
2024-02-13,19.1,19.5,18.8,19.4,5594.6
2024-02-14,19.15,19.3,18.5,19.1,3054.3
2024-02-15,18.7,19.6,18.3,18.3,5751.5
2024-02-16,17.9,19.226,17.9,18.5,5612.3
2024-02-20,20.9,22.7,18.3,19.8,120701.0
2024-02-21,19.6,19.7,18.2,18.7,7051.3
2024-02-22,19.9,20.1,18.063,19.497,9738.6
2024-02-23,18.8,19.5,18.8,19.1,1551.3
2024-02-26,18.9,21.099,18.9,20.193,6006.3
2024-02-27,19.201,21.0,19.2,20.0,3877.3
2024-02-28,20.9,21.3,20.5,20.7,5853.9
2024-02-29,20.3,21.425,19.602,21.0,4381.3
2024-03-01,21.9,21.9,20.35,20.9,2546.0
2024-03-04,22.2,22.6,20.2,20.3,1349.6
2024-03-05,21.1,21.1,18.5,19.7,4399.9
2024-03-06,19.5,21.001,18.8,20.3,3783.5
2024-03-07,19.7,21.3,19.601,20.0,4804.3
2024-03-08,19.7,20.8,19.1,19.8,2176.0
2024-03-11,19.8,21.0,19.8,20.3,2647.0
2024-03-12,20.9,24.3,19.8,22.18,35812.9
2024-03-13,21.1,21.3,20.0,20.2,8039.9
2024-03-14,19.835,21.0,18.003,19.0,3986.0
2024-03-15,19.7,20.8,18.901,19.7,1673.6
2024-03-18,19.6,21.1,19.6,20.0,2468.4
2024-03-19,20.9,20.9,19.501,19.7,1597.5
2024-03-20,20.1,20.1,18.235,19.0,4314.8
2024-03-21,19.179,19.9,18.8,18.8,2238.5
2024-03-22,18.5,20.3,18.5,20.3,1843.6
2024-03-25,20.0,20.899,19.5,20.4,578.4
2024-03-26,20.3,20.3,19.5,20.0,2587.6
2024-03-27,20.0,21.0,19.603,21.0,2065.5
2024-03-28,20.5,21.0,20.5,21.0,957.4
2024-04-01,20.2,22.499,20.2,21.6,5184.7
2024-04-02,21.5,21.5,19.6,20.0,4638.5
2024-04-03,20.8,20.8,19.003,19.2,3663.2
2024-04-04,19.9,19.9,18.8,18.8,2466.9
2024-04-05,19.3,19.3,18.1,18.1,3014.9
2024-04-08,19.0,19.0,17.0,18.1,4367.0
2024-04-09,18.5,20.5,17.9,19.6,4080.1
2024-04-10,19.5,20.0,18.1,19.1,987.2
2024-04-11,19.8,19.8,18.101,18.9,897.7
2024-04-12,19.2,19.6,18.3,18.3,743.3
2024-04-15,18.766,18.766,18.0,18.0,1609.2
2024-04-16,18.0,19.0,18.0,18.3,650.0
2024-04-17,18.4,18.4,15.0,17.0,2543.9
2024-04-18,17.4,17.472,16.5,16.8,1428.6
2024-04-19,16.925,17.4,16.925,17.05,839.7
2024-04-22,17.3,17.399,16.6,16.6,2463.2
2024-04-23,16.4,16.85,14.9,16.4,4887.7
2024-04-24,16.0,16.3,15.6,15.9,1414.2
2024-04-25,15.7,16.0,15.0,15.0,480.8
2024-04-26,15.2,16.299,14.801,15.8,635.6
2024-04-29,15.9,17.9,15.9,17.5,965.1
2024-04-30,17.25,17.25,15.9,16.5,1002.8
2024-05-01,16.4,17.595,16.4,17.0,666.6
2024-05-02,16.033,17.344,15.508,16.9,528.2
2024-05-03,16.6,17.0,16.6,17.0,1363.7
2024-05-06,16.5,17.9,16.5,17.5,775.9
2024-05-07,17.5,17.6,16.7,16.7,592.0
2024-05-08,16.8,17.05,15.509,16.406,926.5
2024-05-09,16.785,16.785,16.3,16.4,177.1
2024-05-10,16.25,16.5,16.2,16.5,305.4
2024-05-13,16.1,16.499,16.0,16.001,1175.7
2024-05-14,16.3,16.6,16.0,16.6,875.3
2024-05-15,16.35,16.35,16.298,16.298,351.5
2024-05-16,16.401,16.8,16.1,16.392,1270.0
2024-05-17,16.8,17.1,16.8,17.1,547.7
2024-05-20,16.8,16.8,16.0,16.0,242.0
2024-05-21,16.0,17.005,16.0,17.005,294.8
2024-05-22,17.4,17.486,16.0,17.199,607.8
2024-05-23,17.004,17.201,16.6,17.2,259.6
