Date,Open,High,Low,Close,Volume
2025-07-11,1.19,1.47,1.15,1.39,2658391.0
2025-07-14,1.44,1.46,1.31,1.32,1243070.0
2025-07-15,1.35,1.63,1.305,1.38,3863841.0
2025-07-16,1.48,1.6,1.36,1.48,2713836.0
2025-07-17,1.46,1.46,1.32,1.41,1536729.0
2025-07-18,1.43,1.64,1.3491,1.56,2589266.0
2025-07-21,1.655,1.82,1.5506,1.66,4163221.0
2025-07-22,1.67,2.75,1.61,2.59,19158525.0
2025-07-23,2.57,2.88,2.0,2.15,7091727.0
2025-07-24,2.215,2.379,2.07,2.22,3000650.0
2025-07-25,2.2,2.2,1.66,1.95,1963410.0
2025-07-28,2.0,2.35,1.98,2.14,2313893.0
2025-07-29,2.12,2.17,1.94,1.99,1465661.0
2025-07-30,1.9,2.08,1.8617,1.94,904372.0
2025-07-31,1.96,2.14,1.9,1.92,1083421.0
2025-08-01,1.83,2.135,1.71,2.12,1546878.0
2025-08-04,2.08,2.21,2.01,2.2,937444.0
2025-08-05,2.18,2.35,2.11,2.17,1198845.0
2025-08-06,2.15,2.24,2.1,2.11,554107.0
2025-08-07,2.11,2.1497,2.0,2.01,635158.0
2025-08-08,2.01,2.0432,1.96,2.02,458792.0
2025-08-11,2.02,2.1,1.86,1.96,683715.0
2025-08-12,1.97,2.16,1.97,2.1,1109603.0
2025-08-13,2.07,2.1,1.935,2.01,964438.0
2025-08-14,1.95,2.25,1.95,2.22,1658365.0
2025-08-15,1.92,1.93,1.4425,1.63,3445199.0
2025-08-18,1.68,1.69,1.47,1.63,962469.0
2025-08-19,1.6,1.74,1.5,1.53,1247193.0
2025-08-20,1.51,1.5648,1.3,1.41,1754626.0
2025-08-21,1.42,1.4502,1.34,1.41,691491.0
2025-08-22,1.41,1.55,1.41,1.48,1793755.0
2025-08-25,1.5,1.52,1.41,1.45,617318.0
2025-08-26,1.48,1.5,1.43,1.46,325487.0
2025-08-27,1.745,2.07,1.535,1.54,13758838.0
2025-08-28,1.61,1.79,1.565,1.72,2336951.0
2025-08-29,1.71,1.77,1.58,1.58,1495303.0
2025-09-02,1.56,1.68,1.5121,1.68,1052979.0
2025-09-03,1.68,1.68,1.6,1.61,579912.0
2025-09-04,1.72,2.01,1.66,1.91,3258187.0
2025-09-05,2.02,2.44,2.01,2.35,5417563.0
2025-09-08,2.38,2.85,2.24,2.62,4090239.0
2025-09-09,2.59,2.95,2.37,2.6,3278456.0
2025-09-10,2.56,2.63,1.88,2.14,3224078.0
2025-09-11,2.23,2.4394,2.19,2.42,1748719.0
2025-09-12,2.55,2.71,2.47,2.5,1765140.0
2025-09-15,2.69,3.53,2.66,3.41,5494115.0
2025-09-16,3.62,4.11,3.3,3.87,4061331.0
2025-09-17,3.7,4.09,3.45,3.56,2651924.0
2025-09-18,3.66,3.8,3.33,3.58,1633271.0
2025-09-19,3.63,4.29,3.47,4.24,2438642.0
2025-09-22,4.25,4.35,3.9,4.1,1580321.0
2025-09-23,3.96,4.13,3.61,3.64,1924840.0
2025-09-24,3.7,4.53,3.7,4.31,2113856.0
2025-09-25,4.01,4.65,3.99,4.35,1636007.0
2025-09-26,4.4,4.41,3.88,4.04,1241765.0
2025-09-29,3.85,4.0,3.67,3.79,1386129.0
