Date,Open,High,Low,Close,Volume
2025-06-09,2.58,2.65,2.375,2.63,1553823
2025-06-10,2.7,2.7138,2.4501,2.53,952088
2025-06-11,2.54,2.63,2.34,2.5,1223823
2025-06-12,2.5,2.6499,2.435,2.61,976668
2025-06-13,2.57,2.5793,2.36,2.36,921461
2025-06-16,2.36,2.7391,2.24,2.63,1582846
2025-06-17,2.63,3.08,2.6,2.9,2356837
2025-06-18,2.06,2.23,1.84,1.91,11663872
2025-06-20,1.95,1.95,1.79,1.81,2504085
2025-06-23,1.82,1.82,1.63,1.69,1918920
2025-06-24,1.77,1.89,1.72,1.88,1681464
2025-06-25,1.89,1.95,1.805,1.94,1666776
2025-06-26,1.9,1.99,1.815,1.99,1555291
2025-06-27,1.98,1.99,1.81,1.81,4507676
2025-06-30,1.83,1.92,1.74,1.8,1267477
2025-07-01,1.8,1.8,1.63,1.72,2197124
2025-07-02,1.71,1.71,1.625,1.65,1601346
2025-07-03,1.67,1.7,1.58,1.66,1289449
2025-07-07,1.67,1.73,1.595,1.69,1547647
2025-07-08,1.695,1.865,1.67,1.86,1728659
2025-07-09,1.93,2.0299,1.9,1.95,2429795
2025-07-10,1.95,2.0,1.89,1.93,1020045
2025-07-11,1.91,2.01,1.87,2.0,729698
2025-07-14,1.97,2.0,1.87,1.94,747923
2025-07-15,1.95,1.95,1.77,1.78,1035773
2025-07-16,1.85,1.93,1.82,1.91,703531
2025-07-17,1.9,1.965,1.87,1.88,631569
2025-07-18,1.88,1.9098,1.835,1.85,401682
2025-07-21,1.89,1.89,1.8,1.83,606049
2025-07-22,1.84,1.84,1.79,1.82,559477
2025-07-23,1.85,1.89,1.7906,1.85,1033745
2025-07-24,1.86,1.9,1.785,1.81,658773
2025-07-25,1.83,1.84,1.72,1.83,1035056
2025-07-28,1.82,1.85,1.7706,1.8,800746
2025-07-29,1.8,1.81,1.65,1.65,890074
2025-07-30,1.69,1.74,1.64,1.66,539468
2025-07-31,1.68,1.75,1.64,1.66,989369
2025-08-01,1.64,1.65,1.53,1.57,1060428
2025-08-04,1.58,1.6378,1.5606,1.61,596938
2025-08-05,1.63,1.65,1.56,1.58,732703
2025-08-06,1.61,1.62,1.5,1.59,1070030
2025-08-07,1.64,1.7,1.58,1.63,1379736
2025-08-08,1.62,1.63,1.53,1.54,1088532
2025-08-11,1.55,1.56,1.51,1.53,641433
