Date,Open,High,Low,Close,Volume
2025-06-09,1.82,1.84,1.71,1.81,2210568
2025-06-10,1.85,1.85,1.72,1.81,131652
2025-06-11,1.8,1.92,1.7001,1.88,385094
2025-06-12,1.88,2.045,1.84,2.0,665952
2025-06-13,1.88,1.89,1.65,1.68,669669
2025-06-16,1.68,1.68,1.6,1.62,113397
2025-06-17,1.66,1.79,1.6011,1.72,391822
2025-06-18,1.72,1.73,1.65,1.7,128525
2025-06-20,1.68,1.7,1.58,1.58,96774
2025-06-23,1.59,1.66,1.5724,1.64,43642
2025-06-24,1.66,1.7194,1.61,1.7088,59149
2025-06-25,1.69,1.71,1.6201,1.65,44669
2025-06-26,1.64,1.72,1.625,1.67,54257
2025-06-27,1.6701,1.7,1.61,1.61,36815
2025-06-30,1.61,1.6969,1.61,1.6656,30565
2025-07-01,1.66,1.67,1.6,1.63,16719
2025-07-02,1.64,1.65,1.57,1.59,76766
2025-07-03,1.56,1.59,1.5401,1.55,43517
2025-07-07,1.55,1.57,1.51,1.52,41737
2025-07-08,1.58,1.725,1.5518,1.72,259241
2025-07-09,1.73,1.79,1.56,1.62,208023
2025-07-10,1.57,1.65,1.57,1.6,51246
2025-07-11,1.68,1.68,1.59,1.62,18038
2025-07-14,1.61,1.65,1.519,1.6,296444
2025-07-15,1.59,1.5967,1.43,1.5399,134123
2025-07-16,1.56,1.64,1.55,1.59,35192
2025-07-17,1.6,1.63,1.58,1.59,26253
2025-07-18,1.59,1.645,1.55,1.57,84308
2025-07-21,1.56,1.6165,1.55,1.59,36777
2025-07-22,1.56,1.78,1.56,1.66,183590
2025-07-23,1.7,1.7,1.6609,1.7,34997
2025-07-24,1.7,1.75,1.61,1.645,156394
2025-07-25,1.65,1.68,1.61,1.62,23388
2025-07-28,1.62,1.6462,1.5507,1.57,97919
2025-07-29,1.6,1.6,1.5,1.53,37994
2025-07-30,1.52,1.67,1.42,1.48,350863
2025-07-31,1.5,1.52,1.46,1.47,21888
2025-08-01,1.45,1.4687,1.39,1.41,31960
2025-08-04,1.42,1.49,1.4006,1.48,27598
2025-08-05,1.49,1.49,1.4501,1.49,20686
2025-08-06,1.49,1.5,1.45,1.4646,37892
2025-08-07,1.48,1.48,1.41,1.43,18219
2025-08-08,1.41,1.45,1.38,1.45,26055
2025-08-11,1.45,1.45,1.4,1.41,19975
2025-08-12,1.41,1.47,1.405,1.47,30043
2025-08-13,1.41,1.52,1.41,1.5,26345
2025-08-14,1.51,1.51,1.47,1.5,22243
2025-08-15,1.4912,1.52,1.4912,1.52,25791
2025-08-18,1.49,1.555,1.49,1.54,20555
2025-08-19,1.53,1.53,1.4857,1.505,16087
2025-08-20,1.5,1.51,1.48,1.484,44427
2025-08-21,1.47,1.51,1.47,1.5098,33088
2025-08-22,1.505,1.54,1.5,1.53,23781
2025-08-25,1.53,1.55,1.5,1.51,33930
2025-08-26,1.5101,1.55,1.5101,1.5242,6472
2025-08-27,1.5335,1.59,1.51,1.56,56642
2025-08-28,1.58,1.88,1.58,1.829,1088279
2025-08-29,1.82,1.89,1.75,1.84,182026
2025-09-02,1.86,1.86,1.68,1.73,105702
2025-09-03,1.73,1.73,1.68,1.73,73758
2025-09-04,1.7,1.7,1.56,1.63,60514
2025-09-05,1.65,1.6773,1.59,1.6,36315
2025-09-08,1.6,1.62,1.592,1.61,23944
2025-09-09,1.57,1.62,1.55,1.57,38416
2025-09-10,1.55,1.63,1.55,1.57,14745
2025-09-11,1.59,1.62,1.57,1.6,39357
2025-09-12,1.61,1.61,1.5204,1.54,70548
2025-09-15,1.52,1.55,1.5,1.51,49851
2025-09-16,1.51,1.515,1.47,1.48,45908
2025-09-17,1.45,1.485,1.42,1.43,68914
2025-09-18,1.44,1.4751,1.44,1.45,14529
2025-09-19,1.48,1.48,1.39,1.45,78996
2025-09-22,1.46,1.48,1.4302,1.48,18330
2025-09-23,1.48,1.4999,1.45,1.45,25304
2025-09-24,1.45,1.47,1.41,1.45,38932
2025-09-25,1.45,1.4875,1.42,1.45,48471
2025-09-26,1.43,1.4843,1.42,1.43,170733
2025-09-29,1.45,1.48,1.39,1.45,42152
2025-09-30,1.46,1.46,1.395,1.45,43017
2025-10-01,1.3855,1.4671,1.348,1.43,31479
2025-10-02,1.46,1.46,1.43,1.43,9565
2025-10-03,1.44,1.51,1.41,1.5,44933
2025-10-06,1.48,1.56,1.19,1.53,544427
2025-10-07,1.58,1.64,1.52,1.62,79882
2025-10-08,1.65,1.71,1.6311,1.66,71134
2025-10-09,1.64,1.73,1.56,1.67,79261
2025-10-10,1.72,1.72,1.59,1.62,56541
2025-10-13,1.62,1.6466,1.555,1.6,39798
2025-10-14,1.61,1.62,1.5609,1.61,27327
2025-10-15,1.62,1.62,1.58,1.6,26877
2025-10-16,1.59,1.62,1.55,1.58,30355
2025-10-17,1.56,1.6,1.56,1.585,35087
2025-10-20,1.61,1.72,1.5706,1.62,55873
2025-10-21,1.62,1.65,1.56,1.59,15304
2025-10-22,1.62,1.635,1.56,1.6,14975
2025-10-23,1.6,1.6299,1.57,1.575,16063
2025-10-24,1.58,1.6185,1.57,1.57,15152
2025-10-27,1.6,1.69,1.45,1.59,5014868
2025-10-28,1.58,1.7,1.57,1.65,298373
2025-10-29,1.6,1.69,1.49,1.56,111772
2025-10-30,1.55,1.5696,1.495,1.51,35977
2025-10-31,1.478,1.54,1.4663,1.54,55987
2025-11-03,1.55,1.55,1.465,1.5,19091
2025-11-04,1.46,1.5084,1.4414,1.46,15658
2025-11-05,1.48,1.49,1.445,1.46,23785
2025-11-06,1.45,1.465,1.4,1.4,35058
2025-11-07,1.39,1.4273,1.32,1.37,21570
2025-11-10,1.41,1.43,1.35,1.38,22019
2025-11-11,1.32,1.45,1.32,1.41,34870
2025-11-12,1.42,1.44,1.36,1.38,39488
2025-11-13,1.35,1.35,1.24,1.25,42508
2025-11-14,1.27,1.33,1.27,1.33,32688
2025-11-17,1.37,1.37,1.1001,1.24,345679
2025-11-18,1.21,1.26,1.2002,1.24,14058
2025-11-19,1.22,1.4496,1.1932,1.43,334923
2025-11-20,1.41,1.41,1.09,1.11,397627
2025-11-21,1.1,1.1099,1.04,1.098,60097
2025-11-24,1.08,1.08,1.0,1.05,55126
2025-11-25,1.06,1.1115,1.04,1.11,14558
2025-11-26,1.08,1.11,1.045,1.1,29717
2025-11-28,1.11,1.13,1.042,1.0787,12189
2025-12-01,1.13,1.13,0.9841,1.04,61149
2025-12-02,1.03,1.1299,1.01,1.04,38513
2025-12-03,1.0728,1.12,1.05,1.08,17454
2025-12-04,1.05,1.17,1.05,1.11,32200
2025-12-05,1.11,1.15,1.11,1.11,18580
2025-12-08,1.12,1.15,1.055,1.08,26495
2025-12-09,1.072,1.12,1.07,1.07,17228
2025-12-10,1.07,1.16,1.0,1.1,44428
2025-12-11,1.08,1.15,1.08,1.1,24927
2025-12-12,1.11,1.15,1.1,1.11,11760
2025-12-15,1.15,1.15,1.07,1.11,48747
2025-12-16,1.1074,1.12,1.08,1.08,25786
2025-12-17,1.06,1.13,1.04,1.1,31832
2025-12-18,1.1206,1.229,1.11,1.18,99304
2025-12-19,1.19,1.23,1.15,1.15,46875
2025-12-22,1.15,1.2,1.15,1.16,14376
2025-12-23,1.16,1.1828,1.16,1.16,7376
2025-12-24,1.15,1.2,1.15,1.19,18444
2025-12-26,1.16,1.204,1.06,1.12,39021
2025-12-29,1.21,1.21,1.0,1.1,112278
2025-12-30,1.09,1.1654,1.0831,1.1654,15115
2025-12-31,1.11,1.2,1.11,1.175,37432
2026-01-02,1.17,1.22,1.16,1.22,26663
2026-01-05,1.22,1.2799,1.1686,1.195741,56672
2026-01-06,1.2,1.2359,1.16,1.17,13486
2026-01-07,1.21,1.22,1.16,1.18,12591
2026-01-08,1.1799,1.2,1.155,1.2,25089
2026-01-09,1.24,1.24,1.19,1.195,9119
2026-01-12,1.2,1.22,1.16,1.1823,19189
2026-01-13,1.22,1.22,1.16,1.18,15774
2026-01-14,1.18,1.19,1.16,1.1801,13930
2026-01-15,1.1601,1.185,1.09,1.11,55197
2026-01-16,1.1237,1.15,1.1101,1.15,15211
2026-01-20,1.13,1.13,1.1,1.12,15402
2026-01-21,1.1105,1.17,1.1105,1.15,6793
2026-01-22,1.17,1.18,1.1212,1.155,14952
2026-01-23,1.1616,1.1938,1.1284,1.14,20299
2026-01-26,1.15,1.17,1.1,1.12,36478
2026-01-27,1.125,1.1274,1.0642,1.1,51198
2026-01-28,1.08,1.1451,1.08,1.14,25146
2026-01-29,1.12,1.14,1.11,1.14,6277
2026-01-30,1.14,1.17,1.13,1.14,20256
