Date,Open,High,Low,Close,Volume
2025-06-09,9.3,9.546,9.042,9.288,42284.0334179014
2025-06-10,9.708,9.708,9.06,9.162,27748.683388830697
2025-06-11,9.45,10.476,9.216,9.795,119326.2335719858
2025-06-12,10.314,10.38,9.81,10.02,72425.85014485169
2025-06-13,9.9,10.68,9.864,9.936,84535.95016907189
2025-06-16,9.96,10.404,9.78,10.26,39761.7834128569
2025-06-17,10.44,10.4939,9.69,9.816,53206.0501064121
2025-06-18,9.792,10.308,9.792,10.092,30179.016727024697
2025-06-20,10.2,10.698,10.02,10.38,52227.4334377882
2025-06-23,10.248,10.374,9.78,9.78,27361.9333880572
2025-06-24,9.9,10.1399,9.9,10.038,17993.6333693206
2025-06-25,10.5,10.5,9.9,10.038,25415.7000508314
2025-06-26,9.99,9.99,9.66,9.864,24155.500048311
2025-06-27,10.194,10.194,9.48,9.516,19923.61670651389
2025-06-30,9.6,9.87,9.12,9.48,28143.1000562862
2025-07-01,9.6,9.6,8.7,9.354,24469.6333822726
2025-07-02,9.6,10.14,9.12,10.134,40528.250081056496
2025-07-03,11.658,12.3,9.6,10.32,1064679.4021293588
2025-07-07,12.0,15.78,11.406,15.36,4632984.742599303
2025-07-08,14.1,16.2,12.678,12.99,632784.1679322349
2025-07-09,12.768,12.936,11.4,11.694,310125.98395358527
2025-07-10,11.826,22.086,11.4,17.4,4450498.092234329
2025-07-11,25.62,27.0,19.266,26.406,3554379.157108758
2025-07-14,25.788,27.9,21.0,21.144,643110.0846195534
2025-07-15,19.464,23.4,19.2,20.622,250449.8671675664
2025-07-16,20.55,21.36,19.2,19.908,218777.8504375557
2025-07-17,25.314,41.76,22.2,37.86,7827416.9823215
2025-07-18,48.702,60.6,42.6,46.8,6043075.46208615
2025-07-21,55.488,55.5,42.354,42.978,1419646.336172626
2025-07-22,42.6,45.3,34.302,40.692,489620.4676459076
2025-07-23,38.574,39.276,31.206,33.33,391367.0341160674
2025-07-24,34.8,36.6,30.426,31.386,299167.9172650025
2025-07-25,30.534,31.194,26.466,31.14,303923.3172745133
2025-07-28,31.614,34.752,27.6,28.338,183526.000367052
2025-07-29,27.06,27.636,22.86,25.05,196237.3170591413
2025-07-30,23.532,27.186,21.708,23.712,156622.70031324538
2025-07-31,25.398,25.398,23.13,23.46,86152.1335056376
2025-08-01,23.4,23.4,19.8,20.31,138478.7336102908
2025-08-04,21.15,22.7999,20.646,21.09,103849.8168743663
2025-08-05,21.6,21.6,19.2,19.602,110664.3168879953
2025-08-06,18.66,21.222,18.66,20.004,157984.1336493016
2025-08-07,23.394,30.984,23.394,25.62,2234445.954468892
2025-08-08,28.698,33.0,27.162,29.316,791481.6849162966
