Date,Open,High,Low,Close,Volume
2024-01-02,11.34,11.35,11.04,11.1,1306419
2024-01-03,11.0,11.09,10.9,10.91,1333015
2024-01-04,10.6,10.88,10.6,10.67,10171410
2024-01-05,10.7,10.815,10.62,10.73,3300485
2024-01-08,10.84,10.925,10.695,10.92,3781857
2024-01-09,10.86,10.92,10.77,10.86,1591393
2024-01-10,10.86,11.02,10.815,10.97,2084278
2024-01-11,10.95,11.1,10.83,11.02,2307281
2024-01-12,11.06,11.11,10.885,10.93,2011727
2024-01-16,10.94,10.985,10.825,10.91,1479429
2024-01-17,10.83,10.94,10.8,10.88,1279720
2024-01-18,10.91,10.96,10.84,10.89,1301842
2024-01-19,10.93,11.035,10.82,10.94,1047203
2024-01-22,10.96,11.08,10.945,11.02,1539350
2024-01-23,11.07,11.1,10.96,11.03,1030797
2024-01-24,11.05,11.0799,10.94,11.01,1848626
2024-01-25,11.11,11.11,10.91,10.97,958483
2024-01-26,10.98,11.075,10.95,11.05,1370183
2024-01-29,11.11,11.19,11.055,11.18,1323063
2024-01-30,11.18,11.265,11.035,11.11,1889612
2024-01-31,11.08,11.14,10.9,10.99,1386896
2024-02-01,11.01,11.1,10.95,11.05,2596768
2024-02-02,11.02,11.065,10.93,11.0,1413383
2024-02-05,10.98,11.02,10.845,10.87,1434498
2024-02-06,10.92,11.01,10.76,10.86,1187735
2024-02-07,10.93,11.025,10.865,11.01,1456191
2024-02-08,11.07,11.31,11.065,11.21,1777450
2024-02-09,11.27,11.32,11.17,11.25,1703667
2024-02-12,11.22,11.42,11.15,11.24,2344664
2024-02-13,11.03,11.17,10.92,11.08,1987975
2024-02-14,11.14,11.35,11.14,11.31,2374554
2024-02-15,11.34,11.62,11.28,11.59,4012900
2024-02-16,11.57,11.635,11.455,11.48,1428416
2024-02-20,11.41,11.43,11.29,11.32,1484114
2024-02-21,11.23,11.275,11.09,11.2,1964502
2024-02-22,11.36,11.43,11.22,11.27,1496884
2024-02-23,11.27,11.4,11.21,11.36,1569107
2024-02-26,11.36,11.65,11.35,11.58,3045997
2024-02-27,11.51,11.61,11.44,11.54,2102319
2024-02-28,11.59,11.65,11.5,11.6,3206042
2024-02-29,11.95,12.22,11.5,11.71,7321789
2024-03-01,11.47,11.71,11.43,11.66,16783331
2024-03-04,11.52,11.91,11.52,11.86,11432571
2024-03-05,11.75,11.75,11.365,11.52,9084193
2024-03-06,11.67,11.89,11.61,11.85,3494698
2024-03-07,11.81,12.18,11.795,12.17,5661057
2024-03-08,12.25,12.68,12.22,12.63,4777054
2024-03-11,12.58,12.61,12.38,12.4,3364059
