Date,Open,High,Low,Close,Volume
2025-06-09,4.42,4.58,4.21,4.54,75633.0
2025-06-10,4.58,5.493,4.58,4.95,282402.0
2025-06-11,4.96,4.96,4.62,4.63,147330.0
2025-06-12,4.3,4.65,4.22,4.4,183613.0
2025-06-13,4.3,4.46,4.12,4.2,66890.0
2025-06-16,4.2,4.57,4.2,4.51,155270.0
2025-06-17,4.46,4.5796,4.2613,4.45,102910.0
2025-06-18,4.4,4.69,4.35,4.45,147688.0
2025-06-20,4.5,4.545,4.0,4.14,152504.0
2025-06-23,4.15,4.1823,3.9,4.04,161936.0
2025-06-24,4.05,4.2461,4.05,4.08,86287.0
2025-06-25,4.1,4.2,4.0,4.11,78605.0
2025-06-26,4.15,4.26,4.0,4.1,97893.0
2025-06-27,4.15,4.195,4.0,4.05,48605.0
2025-06-30,4.1,4.155,4.06,4.07,47369.0
2025-07-01,4.14,4.14,3.97,4.14,59236.0
2025-07-02,4.16,4.35,4.05,4.34,51916.0
2025-07-03,4.35,4.49,4.2721,4.28,40442.0
2025-07-07,4.57,4.63,4.26,4.42,115728.0
2025-07-08,4.52,4.597,4.44,4.51,103242.0
2025-07-09,4.49,4.69,4.45,4.53,75441.0
2025-07-10,4.6,4.6,4.41,4.43,33064.0
2025-07-11,4.36,4.43,4.25,4.35,81495.0
2025-07-14,4.36,4.8,4.35,4.73,187249.0
2025-07-15,4.73,4.78,4.41,4.52,82423.0
2025-07-16,4.44,4.75,4.41,4.72,97998.0
2025-07-17,4.77,5.0,4.65,4.81,120731.0
2025-07-18,4.87,5.25,4.77,5.17,154634.0
2025-07-21,5.18,6.01,5.18,5.66,273107.0
2025-07-22,5.79,5.8386,5.41,5.73,241509.0
2025-07-23,5.71,5.75,5.52,5.57,114353.0
2025-07-24,5.59,5.59,5.32,5.37,112360.0
2025-07-25,5.37,5.6,5.2864,5.5,57789.0
2025-07-28,5.5,5.5348,5.21,5.22,54974.0
2025-07-29,5.4,5.4,4.95,5.16,258595.0
2025-07-30,5.23,5.3991,5.13,5.19,94956.0
2025-07-31,5.24,5.4,5.1,5.18,60913.0
2025-08-01,5.08,5.14,4.8,5.1,64182.0
2025-08-04,5.13,5.74,4.8502,5.61,162969.0
2025-08-05,5.46,5.5563,5.2815,5.42,62283.0
2025-08-06,5.3,5.3,4.24,4.52,408986.0
2025-08-07,4.65,4.65,4.2,4.21,121041.0
2025-08-08,4.28,4.3799,4.01,4.17,162087.0
2025-08-11,4.23,4.25,4.02,4.05,92601.0
2025-08-12,4.15,4.3,4.03,4.09,169361.0
2025-08-13,4.02,4.1256,3.5,3.68,473300.0
2025-08-14,3.93,4.31,3.82,4.13,369334.0
2025-08-15,4.29,4.3072,3.91,4.04,116170.0
2025-08-18,4.01,4.21,3.96,4.16,65725.0
2025-08-19,4.15,4.1891,3.75,3.76,175921.0
2025-08-20,3.84,3.9217,3.71,3.9,77277.0
2025-08-21,3.91,4.19,3.81,3.99,137714.0
2025-08-22,4.02,4.19,3.9525,4.19,133686.0
2025-08-25,4.26,4.28,4.1101,4.205,106049.0
2025-08-26,4.19,4.43,4.12,4.3,144031.0
2025-08-27,4.36,4.3719,4.16,4.18,77162.0
2025-08-28,4.22,4.2271,3.88,3.94,240459.0
2025-08-29,3.98,4.07,3.904,3.99,79602.0
2025-09-02,3.99,3.99,3.71,3.73,173659.0
2025-09-03,3.79,3.899,3.62,3.7,176575.0
2025-09-04,3.7,3.79,3.605,3.79,72739.0
2025-09-05,3.83,3.9699,3.8087,3.9,147066.0
2025-09-08,3.86,4.1229,3.72,3.75,96527.0
2025-09-09,3.79,3.87,3.7,3.86,88963.0
2025-09-10,3.87,3.97,3.775,3.84,110782.0
2025-09-11,3.84,4.05,3.84,3.93,152304.0
2025-09-12,3.88,4.0638,3.85,3.95,78714.0
2025-09-15,3.89,3.97,3.85,3.91,61248.0
2025-09-16,3.89,4.0037,3.86,3.93,65140.0
2025-09-17,3.83,3.93,3.62,3.7,488920.0
2025-09-18,3.73,3.82,3.515,3.52,295673.0
2025-09-19,3.53,3.6771,3.46,3.54,244007.0
2025-09-22,3.58,3.84,3.47,3.82,231618.0
2025-09-23,3.8,3.89,3.65,3.65,123245.0
2025-09-24,3.73,3.87,3.68,3.83,227262.0
2025-09-25,3.75,3.85,3.7,3.79,60136.0
2025-09-26,3.73,3.8558,3.7,3.81,92667.0
2025-09-29,3.88,3.95,3.82,3.89,103699.0
2025-09-30,3.88,3.934,3.8,3.92,100131.0
2025-10-01,3.88,4.2,3.8601,4.19,139813.0
2025-10-02,4.17,4.26,4.0,4.06,129766.0
2025-10-03,4.04,4.18,4.0,4.18,131645.0
