Date,Open,High,Low,Close,Volume
2025-06-09,1.0,1.065,0.986,1.03,755889.0
2025-06-10,1.01,1.05,0.9901,1.03,959416.0
2025-06-11,1.01,1.04,0.9823,1.01,690791.0
2025-06-12,1.01,1.07,1.0,1.04,717262.0
2025-06-13,1.01,1.0474,0.9408,0.96,888256.0
2025-06-16,0.99,1.1,0.99,1.07,1255520.0
2025-06-17,1.08,1.2,1.07,1.15,1856144.0
2025-06-18,1.18,1.315,1.17,1.29,1799222.0
2025-06-20,1.35,1.39,1.2698,1.33,1735592.0
2025-06-23,1.3,1.37,1.2102,1.29,1050842.0
2025-06-24,1.29,1.33,1.26,1.3,491255.0
2025-06-25,1.3,1.3174,1.09,1.15,1232261.0
2025-06-26,1.12,1.27,1.12,1.25,1066774.0
2025-06-27,1.23,1.24,1.08,1.18,1126716.0
2025-06-30,1.17,1.19,1.14,1.15,614944.0
2025-07-01,1.15,1.18,1.12,1.17,589275.0
2025-07-02,1.17,1.25,1.17,1.2,688559.0
2025-07-03,1.2,1.24,1.16,1.2,311692.0
2025-07-07,1.2,1.2,1.155,1.19,338789.0
2025-07-08,1.19,1.24,1.17,1.17,528818.0
2025-07-09,1.18,1.18,1.12,1.17,617300.0
2025-07-10,1.16,1.165,1.06,1.08,938391.0
2025-07-11,1.09,1.105,1.04,1.06,561137.0
2025-07-14,1.07,1.0883,1.0,1.03,599213.0
2025-07-15,1.03,1.06,0.9741,0.9745,589847.0
2025-07-16,1.11,1.17,1.08,1.16,3595537.0
2025-07-17,1.18,1.1903,1.1,1.15,1158831.0
2025-07-18,1.15,1.1539,1.0435,1.08,1554943.0
2025-07-21,1.09,1.12,1.04,1.06,1138109.0
2025-07-22,1.07,1.075,1.03,1.07,385873.0
2025-07-23,1.07,1.14,1.04,1.12,646119.0
2025-07-24,1.12,1.15,1.04,1.06,1028946.0
2025-07-25,1.06,1.09,1.04,1.09,326185.0
2025-07-28,1.09,1.09,1.04,1.04,322778.0
2025-07-29,1.06,1.06,1.01,1.04,461754.0
2025-07-30,1.06,1.06,1.0,1.01,383944.0
2025-07-31,1.03,1.0394,1.0,1.02,264472.0
2025-08-01,1.001,1.02,0.95,0.9957,750844.0
2025-08-04,1.03,1.05,0.96245,0.985,521125.0
2025-08-05,0.99,1.02,0.9702,1.01,455987.0
2025-08-06,1.03,1.03,0.9522,0.99,514362.0
2025-08-07,1.0,1.0073,0.94,0.9408,454081.0
2025-08-08,0.9401,0.97,0.92,0.9418,309704.0
2025-08-11,0.93,0.951,0.90855,0.93,277476.0
2025-08-12,0.9056,0.926,0.83,0.8778,876958.0
2025-08-13,0.9,0.99,0.89,0.98,482107.0
2025-08-14,0.981,1.09,0.951001,1.04,850921.0
2025-08-15,1.03,1.0359,0.9364,0.9592,768710.0
2025-08-18,0.957,0.9799,0.91,0.9221,355031.0
2025-08-19,0.95,0.9599,0.88,0.8843,399508.0
2025-08-20,0.86,0.9479,0.851,0.9206,1008239.0
2025-08-21,0.9036,0.93,0.9003,0.9262,174585.0
2025-08-22,0.9101,0.9918,0.91,0.9637,313773.0
2025-08-25,0.9696,0.995,0.95,0.9524,205053.0
2025-08-26,0.9574,0.9587,0.9143,0.9325,200579.0
2025-08-27,0.95,0.95,0.9,0.9372,261982.0
2025-08-28,0.9599,0.9599,0.9223,0.9314,179116.0
2025-08-29,0.95,0.95,0.9117,0.9229,187311.0
2025-09-02,0.93,0.93,0.9,0.9085,243209.0
2025-09-03,0.9192,0.9192,0.88,0.8984,265125.0
2025-09-04,0.9,0.9149,0.864,0.8799,199482.0
2025-09-05,0.9,1.075,0.9,1.04,1698221.0
2025-09-08,1.05,1.17,1.0,1.08,1630910.0
2025-09-09,1.09,1.14,1.05,1.14,924620.0
2025-09-10,1.15,1.18,1.05,1.14,892108.0
2025-09-11,1.11,1.32,1.11,1.24,1835282.0
2025-09-12,1.25,1.28,1.2106,1.23,499601.0
2025-09-15,1.24,1.325,1.21,1.25,607569.0
2025-09-16,1.24,1.47,1.215,1.35,1984647.0
2025-09-17,1.32,1.39,1.29,1.29,576439.0
2025-09-18,1.32,1.32,1.215,1.22,917480.0
2025-09-19,1.23,1.26,1.01,1.19,1287713.0
2025-09-22,1.19,1.258,1.13,1.14,616420.0
2025-09-23,1.17,1.21,1.0,1.05,1383374.0
2025-09-24,1.12,1.2,1.07,1.12,817772.0
2025-09-25,1.08,1.135,1.053,1.1,525521.0
2025-09-26,1.12,1.1438,1.05,1.07,436584.0
2025-09-29,1.1,1.19,1.02,1.08,1693239.0
2025-09-30,1.1,1.1048,1.0,1.05,823321.0
2025-10-01,1.07,1.1099,1.05,1.08,558044.0
2025-10-02,1.09,1.19,1.0836,1.19,850590.0
2025-10-03,1.2,1.22,1.09,1.11,880920.0
2025-10-06,1.15,1.16,1.09,1.15,630730.0
