Date,Open,High,Low,Close,Volume
2024-01-02,6.21,6.62,5.76,6.05,10942
2024-01-03,5.99,6.135,5.8301,6.0,14233
2024-01-04,6.0,6.37,5.9527,6.1,27507
2024-01-05,6.19,6.73,6.07,6.15,10357
2024-01-08,6.23,6.23,5.96,6.15,14398
2024-01-09,6.04,6.04,5.97,5.97,6116
2024-01-10,5.89,6.1,5.82,5.8565,9551
2024-01-11,5.86,5.954,5.75,5.7566,10602
2024-01-12,5.88,5.9669,5.7,5.7,7271
2024-01-16,5.75,5.8886,5.75,5.75,8698
2024-01-17,5.64,5.64,5.33,5.33,11390
2024-01-18,5.4,5.4,5.205,5.29,4910
2024-01-19,5.32,5.35,5.26,5.3,13401
2024-01-22,5.37,5.6,5.24,5.24,13648
2024-01-23,5.24,5.4269,5.24,5.39,4723
2024-01-24,5.6644,5.7,5.31,5.44,15844
2024-01-25,5.3,5.3199,5.0,5.17,12060
2024-01-26,5.28,5.28,4.94,5.0,9869
2024-01-29,5.01,5.25,5.01,5.25,1637
2024-01-30,5.27,5.27,5.155,5.25,16787
2024-01-31,5.29,5.48,5.2522,5.48,7951
2024-02-01,5.34,5.63,5.34,5.49,7907
2024-02-02,5.31,5.8023,5.31,5.8,6450
2024-02-05,5.75,5.75,5.55,5.7,9772
2024-02-06,5.7,5.75,5.65,5.75,9428
2024-02-07,5.69,5.7,5.5387,5.68,14903
2024-02-08,5.75,5.75,5.2644,5.6,17781
2024-02-09,5.59,5.6,5.5001,5.515,3089
2024-02-12,5.5,5.58,5.35,5.35,11457
2024-02-13,5.22,5.38,5.0767,5.16,4148
2024-02-14,5.37,5.44,5.37,5.44,1750
2024-02-16,5.35,5.7179,5.35,5.49,4839
2024-02-20,5.3,5.75,5.3,5.55,16147
2024-02-21,5.46,5.8,5.3062,5.42,18857
2024-02-22,5.3,5.487,5.3,5.37,5458
2024-02-23,5.4244,5.731,5.4,5.68,2132
2024-02-26,5.67,5.67,5.3492,5.65,2807
2024-02-27,5.67,5.67,5.3,5.46,1952
2024-02-28,5.5118,5.525,5.4,5.5,1717
2024-02-29,5.4,5.5,5.19,5.22,9832
2024-03-01,5.21,5.67,5.21,5.21,3083
2024-03-04,5.32,5.32,5.0,5.0,26731
2024-03-05,5.0001,5.13,5.0001,5.01,4306
2024-03-06,5.0657,5.09,4.22,4.72,27553
2024-03-07,4.82,5.2,4.72,5.01,19607
2024-03-08,5.01,5.01,4.72,4.9,12134
2024-03-11,5.03,5.0782,5.0,5.0782,2390
2024-03-12,5.5999,5.5999,5.08,5.0807,3220
2024-03-13,5.22,5.22,4.93,5.0657,9163
2024-03-14,5.06,5.32,5.06,5.32,3243
2024-03-15,5.15,5.15,5.01,5.01,2692
2024-03-18,5.03,5.08,5.03,5.05,2549
2024-03-19,5.05,5.2399,5.05,5.2324,2069
2024-03-20,5.23,5.23,5.145,5.16,4640
2024-03-21,5.16,5.1601,5.01,5.02,4805
2024-03-22,5.1,5.1,5.1,5.1,491
2024-03-25,5.19,5.25,5.0796,5.25,33005
2024-03-26,5.4453,5.4453,5.2,5.24,3062
2024-03-27,5.3,5.3,5.23,5.23,5243
2024-03-28,5.32,5.4683,5.2537,5.35,2648
2024-04-01,5.31,5.31,5.26,5.26,1247
2024-04-02,5.2852,5.3722,5.26,5.26,1692
2024-04-03,5.39,5.4599,5.29,5.455,3855
2024-04-04,5.42,5.42,5.2218,5.26,6739
2024-04-05,5.27,5.27,5.1,5.1,3637
2024-04-08,5.1,5.185,5.1,5.1114,3085
2024-04-09,5.16,5.2514,5.11,5.225,7919
2024-04-10,5.2,5.295,5.2,5.24,7362
2024-04-11,5.17,5.3,5.15,5.225,6362
2024-04-12,5.22,5.27,5.22,5.245,1782
2024-04-15,5.23,5.23,5.15,5.175,6478
2024-04-16,5.1,5.19,5.1,5.1614,4396
2024-04-17,5.2,5.2499,5.1,5.24,6672
2024-04-18,5.21,5.24,5.1,5.22,8592
2024-04-19,5.22,5.22,5.2,5.2,1228
2024-04-22,5.19,5.27,5.19,5.26,4270
2024-04-23,5.28,5.44,5.25,5.4,12622
2024-04-24,5.4225,5.4225,5.41,5.41,1040
2024-04-25,5.3211,5.53,5.3211,5.3601,5882
2024-04-26,5.42,5.89,5.42,5.89,5873
2024-04-29,5.88,5.97,5.31,5.97,6414
2024-04-30,5.86,5.97,5.56,5.88,15212
2024-05-01,5.865,5.865,5.7801,5.7801,472
2024-05-02,5.8,6.24,5.78,6.185,7422
2024-05-03,6.1,6.24,5.82,5.95,2834
2024-05-06,5.85,5.9732,5.85,5.85,5103
2024-05-07,5.91,5.915,5.88,5.915,5271
2024-05-08,5.9,6.2419,5.88,6.24,5313
2024-05-09,5.96,6.75,5.9014,6.75,13256
2024-05-10,6.628,6.628,6.628,6.628,1707
2024-05-13,6.35,6.6452,6.35,6.565,3176
2024-05-14,6.65,6.65,6.5,6.5275,1713
2024-05-15,6.65,6.65,6.26,6.39,5365
2024-05-16,6.39,6.4,5.9,6.4,2719
2024-05-17,6.39,6.39,6.3,6.34,3178
2024-05-20,6.3,6.33,5.85,6.19,11745
2024-05-21,6.17,6.17,6.05,6.1,3151
2024-05-22,6.1,6.1,5.8,5.979,6444
2024-05-23,5.6963,6.2239,5.5101,6.2239,1424
2024-05-24,5.73,5.7615,5.71,5.7615,2605
2024-05-28,5.79,6.0,5.78,5.95,11932
2024-05-29,5.8,5.895,5.15,5.6668,16448
2024-05-30,5.49,5.63,5.49,5.5,4166
2024-05-31,5.5,5.61,5.5,5.605,7146
2024-06-03,5.6,5.6,5.5,5.5,9025
2024-06-04,5.5005,5.5546,5.1324,5.4,13518
2024-06-05,5.47,5.47,5.1306,5.25,8431
2024-06-06,5.44,5.44,5.2986,5.2986,3221
2024-06-07,5.1,5.3299,5.08,5.1299,12089
2024-06-10,5.33,5.33,5.07,5.225,19655
2024-06-11,5.24,5.24,5.2,5.2,5522
2024-06-12,5.01,5.19,5.01,5.104,7542
2024-06-13,5.01,5.01,4.975,5.0,9967
2024-06-14,5.0723,5.18,5.0723,5.13,5920
2024-06-17,5.02,5.215,5.02,5.1,4984
2024-06-18,5.1,5.25,5.045,5.1,15936
2024-06-20,4.85,5.03,4.6,4.87,23046
2024-06-21,4.81,4.99,4.715,4.845,18405
2024-06-24,4.95,5.1464,4.8266,5.1464,17329
2024-06-25,5.13,5.13,5.065,5.1,1568
2024-06-26,5.08,5.08,4.99,4.99,12206
2024-06-27,5.09,5.1899,4.726,5.0,6407
2024-06-28,4.96,4.98,4.935,4.97,2091
2024-07-01,5.0,5.05,4.91,4.9995,11032
2024-07-02,5.0,5.0,4.95,4.96,5805
2024-07-03,4.98,5.0,4.98,5.0,11754
2024-07-05,5.05,5.2,4.91,5.15,13832
2024-07-08,5.3,5.48,5.28,5.375,6178
2024-07-09,5.45,5.48,5.34,5.34,6447
2024-07-10,5.27,5.27,4.84,5.1,14573
2024-07-11,5.14,5.15,5.07,5.1,3106
2024-07-12,5.01,5.01,4.83,5.0,9389
2024-07-15,4.771,5.18,4.771,5.06,4605
2024-07-16,5.14,5.14,4.9,4.9407,5961
2024-07-17,4.82,5.055,4.82,5.04,2720
2024-07-18,5.0394,5.0394,4.83,4.96,32841
2024-07-19,4.88,4.88,4.8629,4.8629,1008
2024-07-22,4.8,5.178,4.78,4.785,6797
2024-07-23,4.85,4.945,4.8,4.8,13717
2024-07-24,4.8,4.855,4.74,4.79,5846
2024-07-25,4.8,4.8712,4.65,4.68,7715
2024-07-26,4.78,4.8,4.735,4.78,4197
2024-07-29,4.81,4.8535,4.6001,4.7,15931
2024-07-30,4.61,4.7,4.6,4.6682,14949
2024-07-31,4.51,4.6899,4.25,4.2799,41656
2024-08-01,4.25,4.402,4.15,4.39,224500
2024-08-02,4.45,4.74,4.4002,4.74,25761
2024-08-05,4.66,4.85,4.27,4.7,10493
2024-08-06,4.67,4.67,4.47,4.5048,2010
2024-08-07,4.565,4.62,4.565,4.62,314
2024-08-08,4.6903,4.6903,4.31,4.31,2246
2024-08-09,4.38,4.48,4.38,4.4799,1883
2024-08-12,4.45,4.45,4.18,4.45,14833
2024-08-13,4.24,4.57,4.2,4.44,6249
2024-08-14,4.53,4.7,4.44,4.49,2452
2024-08-15,4.48,4.8499,4.48,4.6,1513
2024-08-16,4.9204,4.9204,4.6,4.65,2929
2024-08-19,4.53,5.0,4.53,4.905,32318
2024-08-20,4.85,4.85,4.1,4.85,15032
2024-08-21,4.68,5.1499,4.68,4.86,12359
2024-08-22,5.01,5.19,4.95,5.19,8873
2024-08-23,5.31,5.31,5.06,5.06,1423
2024-08-26,5.0601,5.185,5.0601,5.1,1764
2024-08-27,5.1665,5.1665,5.11,5.11,328
2024-08-28,5.14,5.3,5.14,5.25,1995
2024-08-29,5.264,5.45,5.264,5.4499,2598
2024-08-30,5.33,5.33,5.25,5.295,3157
2024-09-03,5.25,5.26,5.22,5.26,1777
2024-09-04,5.25,5.45,4.8301,5.42,19958
2024-09-05,5.41,5.41,5.27,5.27,552
2024-09-06,5.32,5.32,5.0,5.12,7926
2024-09-09,5.07,5.45,4.9455,5.39,9644
2024-09-10,5.44,5.45,4.9,4.9,15174
2024-09-11,5.1,5.14,5.09,5.13,10156
2024-09-12,5.12,5.12,4.83,4.83,4570
2024-09-13,4.75,5.0099,4.35,5.0099,17393
2024-09-16,5.0,5.0,4.9,5.0,2080
2024-09-17,5.0,5.0,4.53,4.8531,8381
2024-09-18,4.865,4.87,4.669,4.765,8325
2024-09-19,4.67,4.9999,4.67,4.72,3957
2024-09-20,4.76,5.0,4.61,4.61,4913
2024-09-23,4.61,4.9419,4.61,4.8162,2541
2024-09-24,4.74,4.8986,4.74,4.76,3310
2024-09-25,4.7822,4.7822,4.7822,4.7822,1056
2024-09-26,4.74,5.0,4.74,5.0,16582
2024-09-27,4.79,5.0,4.79,4.93,2510
2024-09-30,4.9,4.965,4.9,4.965,2038
2024-10-01,4.93,5.0,4.7349,4.92,16634
2024-10-02,4.75,4.86,4.5375,4.75,12541
2024-10-03,4.67,4.95,4.66,4.71,5238
2024-10-04,4.96,4.96,4.8,4.8082,1074
2024-10-07,4.83,4.9885,4.65,4.79,9652
2024-10-08,4.79,4.79,4.5,4.621,26406
2024-10-09,4.63,4.63,4.52,4.55,3630
2024-10-10,4.5167,4.81,4.45,4.5631,17817
2024-10-11,4.6,4.73,4.46,4.666,2599
2024-10-15,4.99,4.99,4.45,4.46,7690
2024-10-16,4.5001,4.75,4.4,4.51,23002
2024-10-17,4.4,4.43,4.28,4.28,18716
2024-10-18,4.3831,4.3831,4.184,4.184,4617
2024-10-21,4.14,4.2635,3.92,3.92,8434
2024-10-22,3.86,3.98,3.85,3.8999,11024
2024-10-23,3.89,3.97,3.8823,3.97,5594
2024-10-24,3.9752,4.13,3.76,3.852,31572
2024-10-25,3.849,4.0,3.84,3.9724,9577
2024-10-28,3.96,3.96,3.8001,3.9,8365
2024-10-29,3.85,3.9794,3.85,3.92,3941
2024-10-30,3.85,3.99,3.76,3.76,16242
2024-10-31,3.76,3.87,3.65,3.682176,22322
2024-11-01,3.64,3.748,3.64,3.74,2795
2024-11-04,3.68,3.73,3.68,3.71,2338
