Date,Open,High,Low,Close,Volume
2025-06-09,1.41,1.46,1.39,1.425,70160
2025-06-10,1.42,1.4242,1.4,1.41,65944
2025-06-11,1.41,1.4599,1.4,1.4297,22866
2025-06-12,1.44,1.44,1.36,1.3668,52599
2025-06-13,1.39,1.43,1.3271,1.33,63798
2025-06-16,1.38,1.42,1.35,1.385,49830
2025-06-17,1.4008,1.415,1.35,1.37,24628
2025-06-18,1.42,1.42,1.35,1.4,36066
2025-06-20,1.36,1.47,1.36,1.47,77990
2025-06-23,1.4,1.49,1.35,1.44,65346
2025-06-24,1.41,1.48,1.41,1.47,32669
2025-06-25,1.465,1.51,1.4,1.5,42348
2025-06-26,1.5,1.51,1.45,1.4878,32320
2025-06-27,1.45,1.51,1.41,1.45,50843
2025-06-30,1.45,1.6,1.42,1.525,55219
2025-07-01,1.51,1.62,1.51,1.55,33446
2025-07-02,1.5791,1.65,1.545,1.65,100483
2025-07-03,1.62,1.65,1.5715,1.58,37406
2025-07-07,1.57,1.65,1.5577,1.6,57556
2025-07-08,1.605,1.63,1.5646,1.61,53770
2025-07-09,1.5701,1.64,1.5701,1.625,60325
2025-07-10,1.62,1.65,1.59,1.65,33641
2025-07-11,1.64,1.65,1.59,1.59,17680
2025-07-14,1.62,2.28,1.62,2.15,1281897
2025-07-15,2.3,2.3594,1.96,2.11,328354
2025-07-16,1.97,2.06,1.89,1.99,131472
2025-07-17,1.91,1.9494,1.85,1.93,44074
2025-07-18,1.92,1.9318,1.8,1.82,133063
2025-07-21,1.79,1.8698,1.77,1.83,80176
2025-07-22,1.79,1.87,1.79,1.85,60566
2025-07-23,2.19,2.3904,2.1,2.33,729729
2025-07-24,2.32,2.4,2.0,2.0,304111
2025-07-25,2.27,2.66,2.27,2.52,954828
2025-07-28,2.9,3.05,2.761,2.85,784127
2025-07-29,3.08,3.1,2.63,2.805,474537
2025-07-30,2.82,2.8836,2.62,2.67,99105
2025-07-31,2.68,2.75,2.43,2.51,143611
2025-08-01,2.95,3.07,2.75,2.95,433342
2025-08-04,3.21,3.24,2.92,3.02,368889
2025-08-05,3.08,3.08,2.51,2.53,340529
2025-08-06,2.66,2.74,2.56,2.71,173221
2025-08-07,2.76,2.81,2.6,2.66,81553
2025-08-08,2.79,2.79,2.48,2.6,151039
2025-08-11,2.63,2.68,2.56,2.65,83492
2025-08-12,2.62,2.73,2.5901,2.66,40009
2025-08-13,2.87,2.9,2.71,2.79,194363
2025-08-14,2.81,2.93,2.6992,2.86,104784
2025-08-15,2.92,2.95,2.7823,2.85,102898
2025-08-18,2.89,2.935,2.7402,2.9,135071
2025-08-19,3.0,3.08,2.93,2.98,136037
