Date,Open,High,Low,Close,Volume
2024-01-02,86.7,96.0,83.4,85.8,77493.7999225062
2024-01-03,88.5,93.9,84.0,84.9,63805.66660286099
2024-01-04,86.7,91.941,83.421,84.9,48488.8332848445
2024-01-05,87.3,87.3,76.5,81.3,73440.6332598927
2024-01-08,93.6,107.7,87.6,96.0,1033503.998966496
2024-01-09,98.4,112.5,97.8,109.5,168576.33316475697
2024-01-10,111.0,113.4,99.0,104.1,93547.3999064526
2024-01-11,105.0,107.1,96.9,103.2,62546.19993745379
2024-01-12,102.0,107.1,99.9,105.3,40045.0666266216
2024-01-16,104.7,114.0,102.3,111.0,86020.9332473124
2024-01-17,110.7,111.9,99.9,102.0,71713.06659495359
2024-01-18,102.6,107.1,100.5,106.2,24422.866642243796
2024-01-19,104.4,108.15,101.4,104.4,39751.299960248696
2024-01-22,106.5,116.7,105.9,109.2,103143.69989685628
2024-01-23,109.8,112.8,105.921,110.7,38617.79996138219
2024-01-24,112.2,112.2,100.5,100.8,63212.666603454
2024-01-25,102.0,107.7,99.918,107.7,39481.0332938523
2024-01-26,108.0,114.3,105.0,112.5,53856.76661280989
2024-01-29,110.7,128.4,109.8,126.3,95723.0665709436
2024-01-30,125.7,131.4,116.85,119.1,42298.59995770139
2024-01-31,118.5,127.182,117.06,117.3,54358.39994564159
2024-02-01,120.3,120.3,111.6,117.9,43282.7666233839
2024-02-02,115.2,118.8,109.8,112.8,38511.7999614882
2024-02-05,111.0,111.0,100.8,102.6,64953.63326837969
2024-02-06,102.0,107.7,102.0,106.5,17491.5999825084
2024-02-07,106.8,108.0,102.3,105.9,18457.9333148754
2024-02-08,105.3,108.6,103.5,105.3,18272.4999817275
2024-02-09,105.9,107.7,104.1,105.0,15513.633317819698
2024-02-12,105.0,106.2,102.6,105.0,30508.5333028248
2024-02-13,102.3,104.4,99.75,101.7,43129.9666235367
2024-02-14,103.2,107.7,101.4,105.0,23812.199976187796
2024-02-15,105.0,109.2,102.903,107.7,37927.4999620725
2024-02-16,107.4,108.897,103.2,103.35,17206.7999827932
2024-02-20,102.9,103.95,97.5,98.7,35362.0999646379
2024-02-21,98.7,100.5,97.5,98.25,17634.033315699297
2024-02-22,101.1,104.7,100.2,100.5,18514.0666481526
2024-02-23,100.5,101.1,97.2,100.2,29294.0666373726
2024-02-26,100.5,105.3,100.5,104.7,38979.6332943537
2024-02-27,107.1,118.5,106.2,116.4,65049.79993495019
2024-02-28,115.5,123.9,113.103,118.2,54890.49994510949
2024-02-29,120.0,121.2,115.5,117.6,13612.966653053698
2024-03-01,120.0,126.0,117.6,126.0,26922.133306411197
2024-03-04,132.0,133.5,118.2,127.2,99038.69990096128
2024-03-05,126.3,130.2,120.45,121.5,35870.533297462796
2024-03-06,123.0,126.45,119.25,120.0,32286.233301047097
2024-03-07,120.0,123.9,119.1,122.1,24715.899975284097
2024-03-08,122.4,126.6,117.9,120.0,42464.2666242024
2024-03-11,119.7,121.5,112.5,113.1,25186.233308147097
2024-03-12,113.7,113.7,108.0,108.9,21928.0333114053
2024-03-13,108.3,111.45,106.2,106.2,16135.7666505309
2024-03-14,106.2,106.95,101.4,101.4,33304.933300028395
2024-03-15,102.0,105.75,101.742,104.4,50850.366615816296
2024-03-18,105.3,105.3,100.5,100.5,15723.4999842765
2024-03-19,107.4,119.1,105.3,113.4,82783.0999172169
2024-03-20,114.0,115.5,108.0,111.9,45173.8332881595
2024-03-21,114.0,118.8,112.8,116.1,32211.2666344554
2024-03-22,115.2,123.9,114.0,121.5,39726.1332936072
2024-03-25,121.5,125.1,115.35,116.1,45478.6332878547
2024-03-26,116.4,119.7,113.403,115.5,22285.5666443811
2024-03-27,114.9,116.4,105.9,109.05,49689.199950310795
2024-03-28,114.9,122.1,113.7,119.4,58973.4666076932
2024-04-01,121.5,122.1,114.6,117.6,40482.033292851294
2024-04-02,116.1,121.35,112.5,119.7,57538.699942461295
2024-04-03,120.0,120.6,117.6,119.4,20692.999979307
2024-04-04,120.9,124.497,111.3,111.6,55632.299944367696
2024-04-05,111.6,113.652,109.8,112.8,28379.733304953596
2024-04-08,114.294,115.2,109.95,114.3,17944.7999820552
2024-04-09,113.4,115.011,110.415,111.9,19869.6333134637
2024-04-10,109.8,110.4,103.5,104.7,37776.6999622233
2024-04-11,104.7,111.9,104.7,111.3,17226.0999827739
2024-04-12,110.7,112.005,104.25,105.3,18739.666647927
2024-04-15,105.3,106.2,98.4,99.6,28096.566638570097
2024-04-16,98.4,100.74,96.9,99.3,25396.033307937298
2024-04-17,99.6,101.1,94.95,96.3,28291.399971708597
2024-04-18,96.3,96.3,90.3,91.2,54723.999945275995
2024-04-19,90.9,94.8,90.3,90.9,26898.8666397678
2024-04-22,90.9,96.864,88.8,95.7,28888.666637778
2024-04-23,95.1,98.379,93.3,93.3,29973.233303360095
2024-04-24,92.7,95.25,90.0,91.8,34773.73329855959
2024-04-25,92.1,93.0,88.26,90.6,23026.7333103066
2024-04-26,91.2,93.6,89.4,90.9,22889.2333104441
2024-04-29,90.9,96.0,90.75,93.0,23881.333309452
2024-04-30,93.0,94.2,91.2,92.7,17797.4999822025
2024-05-01,93.0,99.9,92.4,94.8,32155.899967844096
2024-05-02,98.7,102.3,97.5,100.2,21497.666645168996
2024-05-03,100.2,105.3,100.2,102.6,17024.5999829754
2024-05-06,103.5,104.4,99.3,99.9,23819.399976180597
2024-05-07,99.6,100.5,95.4,98.7,24734.166641932497
2024-05-08,98.4,99.0,94.35,96.0,12488.266654178398
2024-05-09,96.0,97.5,95.25,97.2,6017.0666606496
2024-05-10,97.5,97.5,91.5,92.1,37287.39996271259
2024-05-13,92.4,94.8,89.4,91.8,21346.266645320396
2024-05-14,90.6,96.6,90.0,95.4,22580.4666440862
2024-05-15,97.5,104.697,96.9,100.8,36910.7666297559
2024-05-16,100.2,103.5,98.85,99.9,15745.833317587498
2024-05-17,99.9,102.6,98.4,99.0,21205.199978794797
2024-05-20,99.0,99.0,93.6,94.8,17585.0333157483
2024-05-21,94.8,99.6,94.8,97.5,12076.433321256898
2024-05-22,98.1,98.25,95.103,96.0,10737.0333225963
2024-05-23,96.3,97.2,90.6,91.8,13113.466653553198
2024-05-24,91.8,93.3,90.45,93.3,8548.666658118
2024-05-28,93.0,94.5,87.603,88.8,17137.3999828626
2024-05-29,88.2,88.8,86.4,88.5,9982.666656684
2024-05-30,88.8,92.25,88.8,91.2,8437.866658228799
2024-05-31,91.5,94.797,91.5,92.7,8517.1666581495
2024-06-03,92.4,94.5,88.5,88.5,12256.5999877434
2024-06-04,89.4,89.4,86.4,87.3,10064.0333232693
2024-06-05,87.6,93.3,86.4,93.3,12221.633321111698
2024-06-06,93.3,93.9,90.3,90.9,5506.566661160099
2024-06-07,90.3,102.3,88.8,99.9,38850.9332944824
2024-06-10,98.4,100.5,96.3,98.4,7391.5666592750995
2024-06-11,97.5,98.7,95.7,97.8,6077.799993922199
2024-06-12,99.3,102.6,98.94,99.9,10813.3999891866
2024-06-13,99.9,102.6,99.3,100.8,8382.7333249506
2024-06-14,99.9,100.2,96.3,96.6,7125.533326207799
2024-06-17,96.6,96.9,86.97,87.0,34590.4666320762
2024-06-18,87.0,87.645,79.5,80.1,35168.399964831595
2024-06-20,81.9,86.85,81.0,84.0,15951.333317382
2024-06-21,86.7,87.45,84.3,85.8,13521.7333198116
2024-06-24,85.5,88.2,85.5,85.8,7584.199992415799
2024-06-25,85.8,88.8,81.0,81.0,14133.4333191999
2024-06-26,84.0,88.2,84.0,86.7,9522.133323811198
2024-06-27,84.0,84.9,67.8,69.9,78967.66658769899
2024-06-28,71.7,76.5,70.203,75.0,30447.999969552
2024-07-01,74.7,78.45,74.7,76.5,9665.699990334298
2024-07-02,77.1,77.4,70.95,71.4,17513.599982486397
