Date,Open,High,Low,Close,Volume
2024-01-02,16.2,17.1,15.3,16.5,11144.0
2024-01-03,16.65,16.65,15.75,16.05,4784.73
2024-01-04,16.05,16.0545,14.9235,15.45,6000.13
2024-01-05,15.0,15.75,14.85,14.925,3155.53
2024-01-08,14.925,15.75,14.85,15.6,2618.86
2024-01-09,15.6,15.75,14.85,14.9985,3586.8
2024-01-10,15.0,15.0,14.925,15.0,1951.6
2024-01-11,15.3,15.3,14.85,15.0,969.4
2024-01-12,15.15,15.45,15.0315,15.225,1368.13
2024-01-16,16.35,16.35,15.3,15.45,2171.26
2024-01-17,15.15,15.591,15.15,15.45,1401.2
2024-01-18,15.75,15.75,15.0,15.0,2752.93
2024-01-19,15.15,15.5985,15.03,15.225,1123.0
2024-01-22,15.75,15.75,14.814,15.0,7799.53
2024-01-23,15.3,15.3,14.88,15.15,804.6
2024-01-24,15.15,15.15,14.697,15.075,1705.46
2024-01-25,15.15,15.75,14.6295,15.3,4342.6
2024-01-26,15.15,15.165,14.7015,14.7045,1649.93
2024-01-29,15.15,15.15,14.7,15.15,2598.86
2024-01-30,15.15,15.75,15.15,15.75,1865.6
2024-01-31,15.75,16.05,15.3,15.3,2711.2
2024-02-01,15.6,15.6,15.3,15.6,1219.6
2024-02-02,15.75,15.75,15.45,15.6,1246.86
2024-02-05,15.75,15.75,14.7,15.45,3820.2
2024-02-06,15.525,15.75,15.3,15.6,1143.6
2024-02-07,15.45,15.45,15.0,15.45,3660.26
2024-02-08,15.15,15.45,15.15,15.15,994.733
2024-02-09,15.3,15.3,14.85,15.15,4506.0
2024-02-12,15.15,15.447,14.9445,14.9865,3438.73
2024-02-13,15.0,15.15,14.25,14.43,4804.2
2024-02-14,14.4,15.0,14.364,15.0,654.066
2024-02-15,14.7,15.0,14.3835,14.6565,3287.66
2024-02-16,14.6565,15.0,14.6565,14.85,2108.53
2024-02-20,14.55,14.85,14.4,14.553,1467.46
2024-02-21,14.7,14.9685,14.5125,14.9235,598.733
2024-02-22,13.875,14.6985,13.2,14.4585,11854.9
2024-02-23,14.3265,14.3535,13.8855,14.3535,1499.53
