Date,Open,High,Low,Close,Volume
2024-01-02,8.69,9.3343,8.6,8.99,582445
2024-01-03,8.9,9.12,8.44,8.94,494137
2024-01-04,8.91,9.8937,8.75,9.61,681503
2024-01-05,9.65,9.65,8.65,8.94,557349
2024-01-08,9.1,10.0,8.78,9.93,800932
2024-01-09,10.0,10.18,9.546,9.79,702097
2024-01-10,9.89,10.01,9.54,9.85,523295
2024-01-11,9.7,9.79,8.3,8.56,953925
2024-01-12,8.71,9.1226,8.27,8.44,384566
2024-01-16,8.27,8.37,8.0,8.35,375680
2024-01-17,8.18,8.3,7.96,8.2,270126
2024-01-18,8.25,8.515,7.9,8.13,606383
2024-01-19,8.1,8.2,7.66,8.03,494465
2024-01-22,8.03,8.8,7.91,8.74,756722
2024-01-23,8.77,8.9379,8.4,8.77,236565
2024-01-24,8.76,9.49,8.64,9.46,570387
2024-01-25,9.46,10.25,9.26,9.96,1497673
2024-01-26,9.96,10.95,9.96,10.69,1495806
2024-01-29,10.65,11.5386,10.37,11.48,1373741
2024-01-30,11.4,11.88,11.16,11.45,691296
2024-01-31,11.5,12.3,11.1205,11.27,921715
2024-02-01,11.22,11.84,10.9056,11.34,760779
2024-02-02,11.25,11.6,10.48,10.89,750594
2024-02-05,10.85,11.24,9.88,11.01,624289
2024-02-06,11.0,11.0803,10.44,10.52,492662
2024-02-07,10.45,10.8347,10.0436,10.62,527775
2024-02-08,10.66,11.35,10.62,11.09,403510
2024-02-09,10.87,11.0371,10.16,10.32,797686
2024-02-12,10.56,11.42,10.4,11.29,947223
2024-02-13,10.62,11.09,10.4,10.52,422968
2024-02-14,10.77,10.825,10.3101,10.42,531712
2024-02-15,10.68,10.8,10.43,10.62,434679
2024-02-16,10.62,10.73,10.43,10.51,309847
2024-02-20,10.61,11.32,9.9,10.17,1264091
2024-02-21,9.99,10.1,9.56,9.92,787457
2024-02-22,9.95,10.1125,9.6309,10.01,288864
2024-02-23,10.0,10.26,9.75,10.19,265027
2024-02-26,10.13,10.74,10.13,10.68,506039
2024-02-27,10.99,11.94,10.96,11.71,748142
2024-02-28,11.98,12.75,11.34,12.37,965616
2024-02-29,11.88,12.01,9.8,10.27,2050381
2024-03-01,10.21,11.92,10.21,11.48,1044930
2024-03-04,11.73,12.57,11.33,11.5,807009
2024-03-05,11.53,11.9,10.76,10.87,728093
2024-03-06,11.2,11.58,10.87,10.91,513393
2024-03-07,11.37,11.72,10.87,11.28,1519666
2024-03-08,11.405,11.57,10.5244,10.88,1425244
2024-03-11,10.88,11.33,10.62,10.67,714225
2024-03-12,10.69,10.79,10.33,10.755,333058
2024-03-13,10.87,11.18,10.58,10.66,458615
2024-03-14,10.58,10.6437,9.68,9.795,739481
2024-03-15,9.9,9.98,9.74,9.9,376261
2024-03-18,9.9,9.965,9.16,9.79,607142
2024-03-19,9.7,9.87,9.44,9.53,352635
2024-03-20,9.53,9.9307,9.39,9.78,273954
2024-03-21,9.91,10.012,9.3,9.5,335682
2024-03-22,9.45,9.5,8.91,8.98,575107
2024-03-25,8.98,9.37,8.95,9.17,274462
2024-03-26,9.3,9.5,9.18,9.31,332410
2024-03-27,9.37,9.6,9.22,9.5,232835
2024-03-28,9.33,9.35,8.12,8.32,3563752
2024-04-01,8.78,9.7,8.58,9.68,1116093
2024-04-02,9.26,9.49,8.6,9.45,663953
2024-04-03,9.36,10.03,9.32,9.7,816740
2024-04-04,9.96,10.31,9.79,9.8,765343
2024-04-05,9.8,9.8,9.16,9.5,842573
2024-04-08,9.6,9.97,9.36,9.74,559736
2024-04-09,9.51,9.7997,9.51,9.57,356902
2024-04-10,9.25,9.45,9.002,9.17,278857
2024-04-11,9.22,9.3154,9.02,9.18,462022
2024-04-12,9.12,9.22,8.6,8.66,465896
2024-04-15,8.63,8.84,8.2,8.32,540383
2024-04-16,8.3,8.86,8.17,8.78,529417
2024-04-17,8.72,8.9,8.51,8.53,322626
2024-04-18,8.56,8.69,8.311,8.42,291847
2024-04-19,8.33,8.7,8.23,8.36,369848
2024-04-22,8.38,8.4942,8.19,8.36,363673
2024-04-23,8.33,8.65,8.21,8.25,355413
2024-04-24,8.3,8.38,7.885,8.1,887823
2024-04-25,8.1,8.1,7.64,7.86,1493530
2024-04-26,7.9,8.07,7.78,7.94,258441
2024-04-29,7.94,8.23,7.8581,8.11,246927
2024-04-30,7.99,8.6,7.88,8.57,317978
2024-05-01,8.5,8.85,8.325,8.48,282629
2024-05-02,8.63,8.8524,8.18,8.25,244637
2024-05-03,8.6,9.36,8.47,8.53,520609
2024-05-06,8.68,8.835,8.56,8.61,189237
2024-05-07,8.73,8.73,8.235,8.54,484060
2024-05-08,8.68,9.63,8.2,8.5,808179
2024-05-09,8.56,8.87,8.21,8.54,365611
2024-05-10,8.78,8.79,7.84,7.86,623166
2024-05-13,8.04,8.2,7.97,8.12,227491
2024-05-14,8.16,8.47,8.14,8.17,264361
2024-05-15,8.34,8.43,8.17,8.28,208975
2024-05-16,8.27,8.3881,7.99,7.99,244680
2024-05-17,8.01,8.1899,7.71,7.84,336393
2024-05-20,7.9,8.0,7.75,7.92,201602
2024-05-21,7.94,8.05,7.7698,7.87,274757
2024-05-22,7.86,7.99,7.69,7.75,225320
2024-05-23,7.81,7.81,7.36,7.46,404355
2024-05-24,7.51,7.615,7.45,7.48,231375
2024-05-28,7.61,7.73,7.28,7.44,441832
2024-05-29,7.37,7.49,7.25,7.45,192017
2024-05-30,7.41,7.67,7.37,7.42,261093
2024-05-31,7.4,7.64,7.24,7.38,397960
2024-06-03,7.41,7.9,7.37,7.6,379657
2024-06-04,7.67,7.94,7.49,7.67,446347
2024-06-05,6.49,7.49,6.14,7.47,2587887
2024-06-06,7.4,7.45,6.875,6.91,586724
2024-06-07,6.95,7.1,6.82,6.94,280769
2024-06-10,6.94,6.94,6.55,6.55,550101
2024-06-11,6.5,6.6576,6.38,6.39,389587
2024-06-12,6.64,6.945,6.53,6.84,315178
2024-06-13,6.95,7.11,6.8,6.94,265716
2024-06-14,6.85,6.85,6.61,6.66,205185
2024-06-17,6.65,7.04,6.5151,6.8,373164
2024-06-18,6.74,6.8076,6.4,6.43,265863
2024-06-20,6.41,6.43,6.23,6.32,422146
2024-06-21,6.33,6.43,6.17,6.24,220446
2024-06-24,6.31,6.44,6.21,6.29,264063
2024-06-25,6.3,6.44,6.07,6.07,286403
2024-06-26,6.06,6.13,5.79,5.81,383347
2024-06-27,5.81,6.05,5.73,5.99,425105
2024-06-28,6.04,6.13,5.9017,6.04,192503
2024-07-01,6.04,6.13,5.89,5.95,315796
2024-07-02,5.96,6.0598,5.85,5.96,187579
2024-07-03,5.98,6.4,5.975,6.27,302095
2024-07-05,6.15,6.29,6.1001,6.2,271492
2024-07-08,6.26,6.41,6.19,6.25,266528
2024-07-09,6.32,6.32,6.03,6.29,205171
2024-07-10,6.3,6.62,6.135,6.6,287483
2024-07-11,6.75,7.44,6.7,7.22,872475
2024-07-12,7.32,7.42,6.85,6.97,513895
2024-07-15,7.08,7.21,6.8012,7.12,366281
2024-07-16,7.19,7.7,7.16,7.67,591369
2024-07-17,7.72,7.76,7.25,7.46,390041
2024-07-18,7.51,7.55,7.19,7.27,280403
2024-07-19,7.24,7.395,7.17,7.3,169923
2024-07-22,7.46,7.465,7.25,7.43,371221
2024-07-23,7.74,7.74,7.22,7.27,654842
2024-07-24,7.29,7.49,6.94,6.94,264235
2024-07-25,7.12,7.59,6.9551,7.46,310709
2024-07-26,7.59,8.13,7.4766,8.03,518109
2024-07-29,8.15,8.21,7.83,7.96,442345
2024-07-30,8.01,8.08,7.5,7.61,393938
2024-07-31,7.65,7.83,7.28,7.63,421138
2024-08-01,7.72,7.76,6.81,6.88,877353
2024-08-02,6.66,7.12,6.4286,7.04,598895
2024-08-05,6.27,7.13,6.222,6.88,686602
2024-08-06,6.89,7.17,6.8,7.02,469999
2024-08-07,7.14,7.15,6.67,6.83,458660
2024-08-08,6.9,7.16,6.75,7.0,474699
2024-08-09,7.19,7.19,6.88,7.06,504791
2024-08-12,6.82,7.0,6.7,6.89,654864
2024-08-13,6.93,7.05,6.87,7.01,252986
2024-08-14,7.01,7.133,6.825,6.87,172912
2024-08-15,7.04,7.14,6.79,7.05,231117
2024-08-16,6.98,7.1593,6.86,6.98,213287
2024-08-19,7.02,7.125,6.89,7.05,240888
2024-08-20,7.03,7.0675,6.86,6.93,218129
2024-08-21,6.99,7.07,6.78,7.04,231566
2024-08-22,7.09,7.2483,6.87,6.95,196601
2024-08-23,7.18,7.27,6.91,7.19,536468
2024-08-26,8.3,8.5367,7.52,8.0,2989430
2024-08-27,8.11,8.15,7.62,8.0,839141
2024-08-28,8.0,8.05,7.68,7.9,560883
2024-08-29,7.89,8.08,7.63,7.64,414749
2024-08-30,7.77,7.83,7.44,7.48,468388
2024-09-03,7.55,7.74,7.14,7.225,701227
2024-09-04,7.09,7.23,6.73,6.785,793722
2024-09-05,6.837,7.0,6.66,6.725,545002
2024-09-06,6.67,6.78,6.35,6.625,725180
2024-09-09,6.65,6.82,6.59,6.75,177240
2024-09-10,6.74,6.86,6.63,6.81,149750
2024-09-11,6.81,6.915,6.61,6.85,211700
2024-09-12,6.87,6.92,6.715,6.78,174615
2024-09-13,6.88,7.3769,6.86,7.25,442438
2024-09-16,7.3,7.5,7.12,7.2,213492
2024-09-17,7.29,7.48,7.18,7.22,248233
2024-09-18,7.23,7.53,6.93,7.3,434374
2024-09-19,7.48,7.525,7.35,7.4,385737
2024-09-20,7.39,7.43,7.17,7.25,192308
2024-09-23,7.24,7.2999,6.96,6.98,184087
2024-09-24,7.01,7.09,6.83,6.96,1398506
2024-09-25,6.94,7.07,6.82,6.83,389139
2024-09-26,6.91,7.06,6.83,6.91,188639
2024-09-27,6.98,7.08,6.74,6.81,236470
2024-09-30,6.75,6.82,6.15,6.3,857842
2024-10-01,6.29,6.339754,5.87,5.96,1080798
2024-10-02,5.95,6.0,5.64,5.64,1404291
2024-10-03,5.65,5.9582,5.57,5.89,885231
2024-10-04,6.0,6.37,5.975,6.21,456983
2024-10-07,6.17,6.28,5.9301,6.1,410914
2024-10-08,6.1,6.37,5.9702,6.03,1170531
2024-10-09,6.03,6.085,5.91,6.03,363849
2024-10-10,5.99,6.08,5.94,6.05,195780
2024-10-11,6.02,6.06,5.8907,6.02,273705
2024-10-14,5.97,6.239,5.935,6.12,515152
2024-10-15,6.13,6.24,5.93,5.94,398915
2024-10-16,6.02,6.345,5.96,6.28,369618
2024-10-17,6.22,6.34,6.12,6.27,604100
2024-10-18,6.25,6.5,6.1,6.39,412411
2024-10-21,6.36,6.5201,6.28,6.31,256462
2024-10-22,6.3,6.47,6.2708,6.37,332078
2024-10-23,6.37,6.47,6.23,6.44,505011
2024-10-24,6.44,6.61,6.38,6.43,307289
2024-10-25,6.47,6.5,6.25,6.28,2385979
2024-10-28,6.32,6.5,6.26,6.36,851749
2024-10-29,6.31,6.48,6.2,6.22,504482
2024-10-30,6.25,6.425,6.15,6.19,760006
2024-10-31,4.25,4.96,4.05,4.76,6424325
2024-11-01,4.75,4.83,4.47,4.75,2081860
2024-11-04,4.74,4.79,4.57,4.68,854168
2024-11-05,4.67,4.745,4.19,4.52,1258510
2024-11-06,4.7,4.83,4.48,4.73,1682659
2024-11-07,4.75,5.47,4.75,5.3,2288846
2024-11-08,5.27,5.5,4.99,5.45,1970835
2024-11-11,5.46,5.57,5.17,5.31,959042
2024-11-12,5.27,5.4,5.0,5.05,935320
2024-11-13,5.1,5.24,4.94,4.98,891479
2024-11-14,5.02,5.055,4.7904,4.89,736894
2024-11-15,5.15,6.04,4.97,5.04,3601061
2024-11-18,5.08,5.16,4.65,4.66,887335
2024-11-19,4.59,4.82,4.467,4.76,877952
2024-11-20,4.77,4.88,4.59,4.66,504020
2024-11-21,4.66,4.6883,4.4,4.45,608375
2024-11-22,4.46,4.5869,4.34,4.41,725423
2024-11-25,4.52,4.64,4.37,4.57,823541
2024-11-26,4.64,4.68,4.47,4.52,541661
2024-11-27,4.55,4.65,4.48,4.56,430734
2024-11-29,4.56,4.66,4.5,4.595,369669
2024-12-02,4.59,4.63,4.41,4.49,580874
2024-12-03,4.49,4.54,4.28,4.35,585414
2024-12-04,4.38,4.38,4.13,4.14,619518
2024-12-05,4.19,4.2,4.0,4.095,981544
2024-12-06,4.12,4.675,4.11,4.67,1383281
2024-12-09,4.68,4.91,4.67,4.81,727529
2024-12-10,4.71,4.74,4.46,4.54,748531
2024-12-11,4.55,4.59,4.3508,4.53,799419
2024-12-12,4.5,4.58,4.31,4.41,552950
2024-12-13,4.4,4.43,4.165,4.22,533195
2024-12-16,4.21,4.42,4.1557,4.33,400276
2024-12-17,4.25,4.4,4.18,4.2,550711
2024-12-18,4.25,4.3,3.855,3.93,974258
2024-12-19,4.0,4.1906,3.9,3.92,619938
2024-12-20,3.91,4.2,3.9,3.97,1170381
2024-12-23,4.02,4.17,3.92,4.05,517424
2024-12-24,4.05,4.13,3.96,4.03,238244
2024-12-26,3.99,4.18,3.88,4.14,606533
2024-12-27,4.14,4.14,3.92,3.99,556129
2024-12-30,3.94,3.965,3.71,3.75,1009974
2024-12-31,3.76,3.83,3.59,3.78,738103
2025-01-02,3.85,4.28,3.82,4.15,1133328
2025-01-03,4.2,4.56,4.06,4.45,1767705
2025-01-06,4.6,5.01,4.42,4.75,1664180
2025-01-07,4.8,5.22,4.56,4.58,991207
2025-01-08,4.61,4.6821,4.075,4.14,886810
2025-01-10,4.04,4.09,3.165,3.53,4160933
2025-01-13,3.54,3.57,3.315,3.37,1289002
2025-01-14,3.45,3.49,3.285,3.36,1205959
2025-01-15,3.4,3.62,3.355,3.45,1145145
2025-01-16,3.45,3.568,3.285,3.41,1467996
2025-01-17,3.48,3.65,3.37,3.49,946167
2025-01-21,3.57,3.78,3.52,3.64,1008326
2025-01-22,3.64,3.81,3.59,3.73,1153945
2025-01-23,3.74,4.0,3.56,3.87,1731675
2025-01-24,3.86,4.1,3.805,3.89,1002799
2025-01-27,3.86,3.905,3.6,3.61,756855
2025-01-28,3.64,3.975,3.54,3.94,830787
2025-01-29,3.93,4.18,3.9082,4.09,1197691
2025-01-30,4.12,4.375,4.03,4.17,1417414
2025-01-31,4.24,4.32,4.1085,4.31,865475
2025-02-03,4.135,4.38,3.89,4.31,1085600
2025-02-04,4.31,4.775,4.23,4.73,2642644
2025-02-05,4.75,5.0,4.43,4.99,2530492
2025-02-06,5.07,5.08,4.56,4.63,1007516
2025-02-07,4.64,4.64,4.27,4.41,850817
2025-02-10,4.5,4.51,4.335,4.475,462472
2025-02-11,4.43,4.475,4.065,4.11,961134
2025-02-12,4.07,4.3,3.9938,4.25,905454
2025-02-13,4.34,4.47,4.09,4.42,942591
2025-02-14,4.42,4.639,4.36,4.57,1309989
2025-02-18,4.66,4.88,4.36,4.43,1525695
2025-02-19,4.46,4.66,4.4,4.5,953803
2025-02-20,4.5,4.55,4.26,4.54,804313
2025-02-21,4.59,4.85,4.185,4.21,1850900
2025-02-24,4.21,4.21,3.69,3.695,1302341
2025-02-25,3.7,3.77,3.56,3.65,778400
2025-02-26,3.7,3.88,3.645,3.7,687383
2025-02-27,4.266,4.3,3.86,3.92,1179801
2025-02-28,3.895,4.01,3.65,3.93,1248171
2025-03-03,3.96,4.1,3.655,3.67,1263370
2025-03-04,3.6,3.9,3.5596,3.85,992775
2025-03-05,3.85,4.05,3.8101,4.04,781894
2025-03-06,3.98,4.14,3.89,4.02,578628
2025-03-07,4.13,4.13,3.74,3.74,1090026
2025-03-10,3.78,3.799,3.44,3.54,1933586
2025-03-11,3.52,3.665,3.39,3.6,1157160
2025-03-12,3.61,3.85,3.585,3.73,1075212
2025-03-13,3.74,3.765,3.49,3.49,664434
2025-03-14,3.54,3.66,3.45,3.48,814034
2025-03-17,3.51,3.54,3.41,3.46,573676
2025-03-18,3.45,3.455,3.2,3.22,1248973
2025-03-19,3.29,3.29,3.05,3.06,1925485
2025-03-20,3.02,3.165,2.88,2.965,1459166
2025-03-21,2.94,3.135,2.92,3.1,1905180
2025-03-24,3.16,3.26,3.035,3.11,753386
2025-03-25,3.1,3.11,2.95,3.07,903139
2025-03-26,3.03,3.04,2.912778,2.98,688665
2025-03-27,2.95,3.16,2.91,3.09,681185
2025-03-28,3.06,3.115,2.91,2.94,566033
2025-03-31,2.9,2.91,2.72,2.86,1188887
2025-04-01,2.85,2.86,2.69,2.79,1029049
2025-04-02,2.77,3.11,2.76,3.09,1846562
2025-04-03,2.89,2.99,2.82,2.83,779283
2025-04-04,2.76,2.77,2.56,2.71,1501906
2025-04-07,2.51,2.77,2.49,2.7,1435376
2025-04-08,2.84,2.905,2.64,2.66,739190
2025-04-09,2.64,2.93,2.6,2.85,1155741
2025-04-10,2.79,2.845,2.6501,2.7,993796
2025-04-11,2.71,2.86,2.66,2.85,378459
2025-04-14,2.93,3.03,2.855,3.02,402719
2025-04-15,3.02,3.11,2.95,3.02,499536
2025-04-16,3.0,3.04,2.94,2.99,305449
2025-04-17,3.0,3.14,2.95,3.13,519983
2025-04-21,3.138,3.4092,3.0801,3.38,1017274
2025-04-22,3.42,3.7,3.4,3.57,2550535
2025-04-23,3.605,4.035,3.57,3.98,2821674
2025-04-24,3.99,4.055,3.615,3.99,1485995
2025-04-25,4.01,4.0539,3.79,3.82,584906
2025-04-28,3.82,3.91,3.755,3.88,496528
2025-04-29,3.87,4.0,3.735,3.77,453044
2025-04-30,3.71,4.055,3.62,3.98,1321262
2025-05-01,3.98,4.1499,3.855,4.1,713735
2025-05-02,4.12,4.275,4.03,4.19,633201
2025-05-05,4.19,4.2376,4.03,4.04,747594
2025-05-06,4.0,4.0001,3.63,3.645,859698
2025-05-07,3.695,3.75,3.64,3.74,473450
2025-05-08,3.99,4.0,3.62,3.76,585097
2025-05-09,3.7,3.87,3.7,3.79,309567
2025-05-12,4.0,4.03,3.865,3.91,587606
2025-05-13,3.94,3.9477,3.755,3.9,490255
2025-05-14,3.92,4.026,3.8,3.86,493654
2025-05-15,3.91,3.9676,3.75,3.95,400249
2025-05-16,3.95,4.045,3.91,3.98,580195
2025-05-19,3.92,4.4399,3.845,4.35,1975797
2025-05-20,4.5,5.03,4.3604,4.62,4001258
2025-05-21,4.58,4.65,4.11,4.34,1220645
2025-05-22,4.25,4.29,4.1,4.18,664920
2025-05-23,4.07,4.38,3.8601,4.36,983225
2025-05-27,4.51,4.52,4.16,4.28,2120670
2025-05-28,4.28,4.4,4.12,4.22,1827492
2025-05-29,4.27,4.2899,4.11,4.14,1034145
2025-05-30,4.15,4.195,3.95,4.16,815240
2025-06-02,4.2,4.43,3.95,4.37,1634928
2025-06-03,4.37,4.72,4.26,4.59,1191398
2025-06-04,4.65,4.73,4.445,4.52,1738940
2025-06-05,4.6,4.745,4.49,4.53,970349
2025-06-06,4.57,4.99,4.56,4.8,1209718
2025-06-09,4.91,5.138,4.6025,4.67,1765921
2025-06-10,4.67,5.05,4.64,4.76,2556371
2025-06-11,4.79,4.86,4.56,4.59,2144484
2025-06-12,4.55,4.75,4.36,4.52,2846309
2025-06-13,4.35,4.54,4.3266,4.39,1371338
2025-06-16,4.5,4.67,4.41,4.64,1706213
2025-06-17,4.63,4.86,4.43,4.48,1777856
2025-06-18,4.57,5.15,4.55,4.8,3071363
2025-06-20,4.998,4.998,4.46,4.63,2120470
2025-06-23,3.08,3.13,2.25,2.35,36057535
2025-06-24,2.5,2.61,2.35,2.53,12038989
2025-06-25,2.575,2.82,2.4707,2.76,7871428
2025-06-26,2.715,2.7481,2.585,2.66,4351397
2025-06-27,2.68,2.84,2.61,2.77,3359199
2025-06-30,2.785,2.905,2.68,2.8,2888247
2025-07-01,2.84,3.2393,2.82,3.16,5779221
2025-07-02,3.15,3.5,3.1145,3.38,3462867
2025-07-03,3.45,3.47,3.24,3.26,1368820
2025-07-07,3.26,3.43,3.24,3.31,1947409
