Date,Open,High,Low,Close,Volume
2024-01-02,1.56,1.6,1.46,1.48,586460
2024-01-03,1.47,1.525,1.39,1.45,700352
2024-01-04,1.44,1.595,1.44,1.55,323109
2024-01-05,1.55,1.705,1.47,1.63,449256
2024-01-08,1.69,1.88,1.64,1.81,415697
2024-01-09,1.88,2.01,1.74,1.93,568753
2024-01-10,1.92,1.96,1.77,1.82,7396680
2024-01-11,1.79,1.82,1.76,1.77,235764
2024-01-12,1.82,1.925,1.8,1.81,268705
2024-01-16,1.8,1.8499,1.56,1.58,276505
2024-01-17,1.54,1.54,1.43,1.5,652448
2024-01-18,1.54,1.54,1.42,1.44,169336
2024-01-19,1.46,1.46,1.33,1.39,409633
2024-01-22,1.49,1.49,1.36,1.45,1238752
2024-01-23,1.49,1.49,1.38,1.44,165756
2024-01-24,1.44,1.45,1.36,1.385,112384
2024-01-25,1.42,1.45,1.385,1.45,130350
2024-01-26,1.45,1.45,1.38,1.39,206735
2024-01-29,1.41,1.45,1.33,1.44,383629
2024-01-30,1.41,1.44,1.36,1.4,256644
2024-01-31,1.39,1.41,1.29,1.3,267441
2024-02-01,1.31,1.3279,1.22,1.25,414268
2024-02-02,1.23,1.28,1.18,1.22,245006
2024-02-05,1.2,1.2599,1.15,1.2,461468
2024-02-06,1.19,1.38,1.1639,1.36,678171
2024-02-07,1.44,1.44,1.33,1.34,310474
2024-02-08,1.39,1.51,1.32,1.45,325545
2024-02-09,1.47,1.62,1.44,1.57,356401
2024-02-12,1.6,1.85,1.59,1.62,664785
2024-02-13,1.49,1.57,1.42,1.46,284227
2024-02-14,1.56,1.61,1.46,1.58,250016
2024-02-15,1.6,1.76,1.58,1.76,323820
2024-02-16,1.76,1.94,1.68,1.89,423020
2024-02-20,1.89,1.92,1.84,1.85,355082
2024-02-21,1.83,1.86,1.711,1.8,149965
2024-02-22,1.78,1.84,1.67,1.7,132171
2024-02-23,1.71,1.81,1.67,1.79,95701
2024-02-26,1.82,1.95,1.82,1.9,125875
2024-02-27,1.94,1.98,1.73,1.76,3028535
2024-02-28,1.76,1.85,1.74,1.74,162854
2024-02-29,1.83,1.85,1.68,1.78,215969
2024-03-01,1.82,1.944,1.77,1.9,234060
2024-03-04,1.92,2.0507,1.85,1.98,285044
2024-03-05,1.98,1.98,1.76,1.83,141511
2024-03-06,1.84,1.986,1.84,1.96,208771
2024-03-07,1.99,2.0,1.81,1.92,404373
2024-03-08,1.98,2.0,1.9327,1.96,189283
2024-03-11,1.94,2.14,1.94,2.0,440054
2024-03-12,2.0,2.14,1.99,2.07,225788
2024-03-13,2.23,2.2359,2.05,2.19,497123
2024-03-14,2.16,2.16,1.91,1.94,351703
2024-03-15,1.92,2.34,1.92,2.29,696166
2024-03-18,2.25,2.2846,2.12,2.25,396259
2024-03-19,2.22,2.28,2.1125,2.14,617995
2024-03-20,2.12,2.16,1.96,2.12,741718
2024-03-21,2.18,2.25,2.11,2.24,336349
2024-03-22,2.28,2.28,2.08,2.13,217905
2024-03-25,2.19,2.24,2.03,2.05,187170
2024-03-26,2.12,2.209,1.97,1.98,137958
2024-03-27,2.015,2.05,1.95,2.05,145929
2024-03-28,2.0,2.04,1.951,1.98,176678
2024-04-01,1.98,1.98,1.75,1.84,591864
2024-04-02,1.78,1.87,1.735,1.8,132047
2024-04-03,1.78,1.88,1.7205,1.85,157761
2024-04-04,1.82,1.93,1.71,1.74,150869
2024-04-05,1.78,1.785,1.7,1.7,67350
2024-04-08,1.71,1.8,1.65,1.7,976049
2024-04-09,1.69,1.79,1.65,1.67,243120
2024-04-10,1.58,1.77,1.54,1.6,1074438
2024-04-11,1.55,1.73,1.5105,1.6,817488
2024-04-12,1.6,1.75,1.5,1.62,596002
2024-04-15,1.62,1.65,1.52,1.58,127996
2024-04-16,1.58,1.64,1.5,1.57,718709
2024-04-17,1.59,1.68,1.5,1.53,120088
2024-04-18,1.6,1.79,1.48,1.49,237451
2024-04-19,1.47,1.5827,1.41,1.47,231356
2024-04-22,1.51,1.54,1.44,1.49,106512
2024-04-23,1.49,1.56,1.48,1.52,72067
2024-04-24,1.56,1.59,1.44,1.48,147907
2024-04-25,1.42,1.48,1.33,1.48,468630
2024-04-26,1.51,1.51,1.4,1.45,65666
2024-04-29,1.47,1.5,1.4,1.46,82457
2024-04-30,1.45,1.47,1.41,1.44,102956
2024-05-01,1.46,1.61,1.44,1.57,273114
2024-05-02,1.67,1.69,1.62,1.65,475536
2024-05-03,1.77,1.79,1.68,1.7,465125
2024-05-06,1.7,1.75,1.675,1.7,289335
2024-05-07,1.7,1.73,1.65,1.68,257690
2024-05-08,1.66,1.68,1.57,1.58,114380
2024-05-09,1.56,1.61,1.52,1.59,138523
2024-05-10,1.59,1.64,1.49,1.6,254288
2024-05-13,1.71,1.71,1.41,1.56,258143
2024-05-14,1.52,1.635,1.52,1.615,371572
2024-05-15,1.65,1.69,1.54,1.54,684177
2024-05-16,1.56,1.61,1.56,1.6,301574
2024-05-17,1.65,1.65,1.59,1.6,181395
2024-05-20,1.59,1.63,1.56,1.6,99406
2024-05-21,1.6,1.6169,1.52,1.6,137213
2024-05-22,1.6,1.6,1.53,1.56,100823
2024-05-23,1.54,1.5999,1.475,1.495,170719
2024-05-24,1.52,1.52,1.46,1.47,108506
2024-05-28,1.47,1.57,1.47,1.53,143089
2024-05-29,1.44,1.53,1.43,1.47,215941
2024-05-30,1.49,1.52,1.35,1.36,209873
2024-05-31,1.39,1.49,1.381,1.41,160171
2024-06-03,1.43,1.46,1.33,1.36,533040
2024-06-04,1.35,1.38,1.34,1.34,233743
2024-06-05,1.36,1.3799,1.26,1.29,459801
2024-06-06,1.3,1.4,1.3,1.31,164568
2024-06-07,1.3,1.34,1.28,1.31,78486
2024-06-10,1.35,1.35,1.21,1.21,268688
2024-06-11,1.21,1.25,1.18,1.22,443429
2024-06-12,1.23,1.29,1.19,1.2,596230
2024-06-13,1.2,1.245,1.1001,1.16,341729
2024-06-14,1.14,1.2,1.06,1.11,310615
2024-06-17,1.11,1.2,1.08,1.17,904209
2024-06-18,1.19,1.19,1.12,1.12,683092
2024-06-20,1.12,1.14,1.09,1.11,381411
2024-06-21,1.11,1.15,1.09,1.1,503265
2024-06-24,1.14,1.16,1.1,1.11,159885
2024-06-25,1.1,1.13,1.05,1.06,109839
2024-06-26,1.05,1.08,0.918,1.06,286437
2024-06-27,1.08,1.24,1.06,1.2,479796
2024-06-28,1.2,1.2,1.0,1.0,2464427
2024-07-01,1.04,1.06,0.9411,0.9455,437971
2024-07-02,0.95,1.0,0.8694,0.88,291081
2024-07-03,0.905,0.93,0.8,0.82,324309
