Date,Open,High,Low,Close,Volume
2024-01-02,1.15,1.25,1.15,1.24,130898
2024-01-03,1.2,1.24,1.19,1.22,29908
2024-01-04,1.1508,1.26,1.14,1.25,59762
2024-01-05,1.23,1.26,1.17,1.1926,70317
2024-01-08,1.19,1.19,1.12,1.14,43361
2024-01-09,1.18,1.23,1.1686,1.22,29651
2024-01-10,1.25,1.25,1.1512,1.21,29512
2024-01-11,1.19,1.2,1.112,1.17,10885
2024-01-12,1.19,1.24,1.1,1.19,33832
2024-01-16,1.19,1.19,1.07,1.14,13052
2024-01-17,1.14,1.14,1.07,1.075,1666
2024-01-18,1.05,1.1,1.05,1.1,22089
2024-01-19,1.0801,1.15,1.07,1.12,7964
2024-01-22,1.09,1.11,1.0406,1.045,15923
2024-01-23,1.06,1.06,1.01,1.02,28277
2024-01-24,1.02,1.05,0.95,0.95,36098
2024-01-25,0.95,0.975,0.89,0.9203,69016
2024-01-26,0.9202,0.9798,0.9202,0.9701,9504
2024-01-29,0.9989,1.04,0.9225,1.03,31411
2024-01-30,1.0,1.06,0.964,1.06,10745
2024-01-31,1.06,1.06,0.995,1.02,14884
2024-02-01,0.97,1.04,0.97,1.03,13732
2024-02-02,0.9551,1.03,0.9551,1.03,8184
2024-02-05,1.0,1.03,0.98,1.03,5466
2024-02-06,1.005,1.03,0.986,1.02,7359
2024-02-07,1.05,1.05,0.986,1.02,5989
2024-02-08,1.01,1.03,0.99,0.99,7962
2024-02-09,0.986,1.05,0.986,1.05,17086
2024-02-12,1.03,1.1571,1.0,1.14,34550
2024-02-13,1.05,1.165,1.05,1.16,4609
2024-02-14,1.12,1.12,1.055,1.06,30728
2024-02-15,1.12,1.14,0.99,1.02,27598
2024-02-16,1.02,1.08,1.02,1.0399,14575
2024-02-20,1.1,1.17,1.1,1.146,149417
2024-02-21,1.08,1.2,1.08,1.2,53587
2024-02-22,1.2,1.28,1.16,1.17,115014
2024-02-23,1.14,1.17,1.0909,1.16,8061
2024-02-26,1.14,1.18,1.1,1.1301,7982
2024-02-27,1.11,1.2,1.11,1.19,44082
2024-02-28,1.19,1.19,1.1118,1.19,33101
2024-02-29,1.17,1.21,1.1,1.14,23315
2024-03-01,1.12,1.18,1.12,1.15,11261
2024-03-04,1.15,1.18,1.09,1.14,45046
2024-03-05,1.135,1.1901,1.07,1.17,80374
2024-03-06,1.13,1.22,1.03,1.05,104649
2024-03-07,1.1,1.18,1.1,1.15,46888
2024-03-08,1.14,1.255,1.1285,1.2,226094
2024-03-11,1.18,1.24,1.17,1.19,6138
2024-03-12,1.16,1.22,1.16,1.17,6858
2024-03-13,1.1501,1.19,1.15,1.15,20460
2024-03-14,1.122,1.17,1.06,1.11,10252
2024-03-15,1.09,1.12,1.06,1.09,41704
2024-03-18,1.14,1.14,1.07,1.08,21243
2024-03-19,1.097,1.16,1.0851,1.1,56630
2024-03-20,1.08,1.18,1.08,1.15,53284
2024-03-21,1.16,1.2387,1.06,1.07,104570
2024-03-22,1.09,1.18,1.08,1.165,118794
2024-03-25,1.2,1.3,1.17,1.26,236442
2024-03-26,1.3,1.3,1.1999,1.27,64685
2024-03-27,1.25,1.47,1.2476,1.382,221900
2024-03-28,1.38,1.49,1.38,1.38,56044
2024-04-01,1.5,1.57,1.3125,1.37,488239
2024-04-02,1.38,1.4,1.3,1.36,61235
2024-04-03,1.33,1.4,1.24,1.24,61775
2024-04-04,1.24,1.3,1.23,1.28,12914
2024-04-05,1.28,1.36,1.26,1.27,9929
2024-04-08,1.37,1.47,1.28,1.3,35358
2024-04-09,1.28,1.34,1.27,1.31,26466
2024-04-10,1.35,1.3822,1.3002,1.35,42542
2024-04-11,1.37,1.6,1.34,1.52,179421
2024-04-12,1.48,1.58,1.4151,1.49,115081
2024-04-15,1.45,1.58,1.45,1.5,34979
2024-04-16,1.465,1.5799,1.4312,1.46,36225
2024-04-17,1.475,1.5242,1.365,1.39,34077
2024-04-18,1.44,1.5,1.37,1.41,45929
2024-04-19,1.38,1.45,1.32,1.32,5692
2024-04-22,1.3,1.4,1.3,1.36,13917
2024-04-23,1.4499,1.48,1.38,1.41,23977
2024-04-24,1.39,1.44,1.3,1.3,36608
2024-04-25,1.32,1.38,1.32,1.38,27931
2024-04-26,1.42,1.4498,1.37,1.4101,20134
2024-04-29,1.41,1.44,1.31,1.37,20173
2024-04-30,1.36,1.36,1.3,1.3444,33913
2024-05-01,1.357,1.39,1.31,1.36,37162
2024-05-02,1.76,1.88,1.3601,1.75,26536165
2024-05-03,1.7,1.88,1.66,1.85,1197178
2024-05-06,1.82,1.83,1.7,1.78,370566
2024-05-07,1.71,1.85,1.531,1.72,738223
2024-05-08,1.73,1.85,1.68,1.81,111889
2024-05-09,1.82,2.0099,1.76,1.83,598811
2024-05-10,1.86,1.95,1.76,1.87,177298
2024-05-13,1.87,1.89,1.65,1.68,255979
2024-05-14,1.66,1.7395,1.6301,1.71,101414
2024-05-15,1.73,1.785,1.66,1.69,231708
2024-05-16,1.77,1.86,1.68,1.8,817195
2024-05-17,1.84,2.1,1.78,2.0,617683
2024-05-20,2.04,2.06,1.83,1.99,225331
2024-05-21,2.0,2.04,1.92,2.03,148329
2024-05-22,2.04,2.05,1.9,1.95,113896
2024-05-23,1.9,2.0,1.87,1.95,134747
2024-05-24,1.88,2.0,1.88,2.0,180288
2024-05-28,2.0,2.12,1.9,2.04,219339
2024-05-29,2.04,2.0868,1.99,2.0,58724
2024-05-30,2.0,2.0325,1.98,2.0,67837
2024-05-31,2.02,2.03,1.94,1.98,110043
2024-06-03,2.0,2.06,1.97,2.04,103343
2024-06-04,2.0,2.02,1.352,1.81,452413
2024-06-05,1.76,1.82,1.7,1.78,164948
2024-06-06,1.76,1.77,1.7,1.75,46127
2024-06-07,1.74,1.76,1.7029,1.71,66589
2024-06-10,1.72,2.05,1.64,1.93,419243
2024-06-11,1.94,2.24,1.911,2.05,421486
2024-06-12,2.12,2.13,1.97,2.0,233171
2024-06-13,2.0,2.05,1.86,1.97,177671
2024-06-14,1.8655,2.01,1.8655,1.96,135247
2024-06-17,1.97,2.02,1.92,1.94,104531
2024-06-18,1.92,2.0293,1.8301,2.02,692551
2024-06-20,2.03,2.17,1.87,2.17,1179461
2024-06-21,2.17,2.23,1.95,2.16,4119550
2024-06-24,2.05,2.2,2.04,2.18,1170636
2024-06-25,2.18,2.22,2.07,2.19,987275
2024-06-26,2.09,2.12,1.98,1.98,482525
2024-06-27,1.99,2.01,1.91,2.01,212704
2024-06-28,2.03,2.05,1.945,2.005,135930
2024-07-01,1.98,2.02,1.81,1.81,108319
2024-07-02,1.88,1.88,1.7654,1.84,115511
