Date,Open,High,Low,Close,Volume
2024-01-02,4.87,5.055,4.81,4.87,79906
2024-01-03,4.84,4.88,4.61,4.71,84858
2024-01-04,4.72,4.75,4.65,4.71,70624
2024-01-05,4.71,4.82,4.68,4.72,220465
2024-01-08,4.68,4.7,4.43,4.66,69917
2024-01-09,4.54,4.64,4.45,4.48,65734
2024-01-10,4.47,4.579,4.31,4.41,81138
2024-01-11,4.36,4.4985,4.24,4.36,66790
2024-01-12,4.48,4.5,4.26,4.3,42690
2024-01-16,4.25,4.37,4.23,4.29,76752
2024-01-17,4.22,4.31,4.1308,4.2,88291
2024-01-18,4.12,4.19,3.45,3.615,313595
2024-01-19,3.65,3.67,3.34,3.54,163259
2024-01-22,3.62,3.72,3.44,3.69,102597
2024-01-23,3.75,3.8,3.58,3.75,83333
2024-01-24,3.78,3.85,3.64,3.74,103773
2024-01-25,3.86,3.86,3.72,3.82,52628
2024-01-26,3.82,3.89,3.73,3.76,74794
2024-01-29,3.76,3.78,3.66,3.75,88780
2024-01-30,3.7,3.8899,3.6,3.68,120146
2024-01-31,3.65,3.7206,3.44,3.47,111828
2024-02-01,3.57,3.57,3.18,3.23,229219
2024-02-02,3.21,3.27,3.05,3.21,137369
2024-02-05,3.12,3.28,3.05,3.23,172527
2024-02-06,3.21,3.42,3.2,3.36,196701
2024-02-07,3.37,3.37,3.08,3.19,142149
2024-02-08,3.22,3.56,3.22,3.51,197907
2024-02-09,3.58,3.65,3.35,3.4,156989
2024-02-12,3.42,3.47,3.23,3.32,207842
2024-02-13,3.12,3.3567,3.05,3.05,308508
2024-02-14,3.1,3.17,2.93,3.08,265344
2024-02-15,3.11,3.17,2.99,3.08,274824
2024-02-16,3.06,3.12,2.92,2.98,260393
2024-02-20,2.97,3.06,2.71,2.75,247667
2024-02-21,2.75,2.756,2.63,2.71,129842
2024-02-22,2.73,2.75,2.61,2.695,127624
2024-02-23,2.7,2.79,2.54,2.76,207321
2024-02-26,2.77,2.885,2.74,2.76,102822
2024-02-27,2.77,2.92,2.71,2.86,207649
2024-02-28,2.83,2.95,2.8018,2.89,139896
2024-02-29,2.97,2.97,2.8101,2.91,75482
2024-03-01,2.92,2.95,2.8,2.9,117300
2024-03-04,2.9,2.94,2.72,2.72,131383
2024-03-05,2.7,2.75,2.62,2.62,184470
2024-03-06,2.68,2.7249,2.49,2.5,167691
2024-03-07,2.52,2.6,2.46,2.6,125051
2024-03-08,2.65,2.81,2.65,2.8,242541
2024-03-11,2.81,3.0999,2.81,3.08,167076
2024-03-12,3.1,3.21,3.02,3.18,257887
2024-03-13,3.22,3.39,3.05,3.08,239239
2024-03-14,3.01,3.17,2.93,3.07,226998
2024-03-15,3.06,3.15,2.99,3.13,262551
2024-03-18,3.16,3.19,2.84,2.85,161075
2024-03-19,2.84,2.9,2.7,2.82,216497
2024-03-20,2.88,3.06,2.81,3.02,181237
2024-03-21,3.03,3.0336,2.73,2.75,140685
2024-03-22,2.75,2.751,2.66,2.66,130326
2024-03-25,2.71,2.92,2.7,2.85,197831
2024-03-26,2.91,3.13,2.85,3.07,317498
2024-03-27,3.13,3.43,3.07,3.33,326184
2024-03-28,3.34,3.35,3.1,3.16,279809
2024-04-01,3.19,3.246,2.98,3.07,131382
2024-04-02,3.02,3.04,2.91,3.01,135751
2024-04-03,3.04,3.07,2.96,3.02,123292
2024-04-04,3.08,3.18,3.05,3.1,90768
2024-04-05,3.1,3.22,3.05,3.19,103816
2024-04-08,3.21,3.35,3.16,3.32,174076
2024-04-09,3.31,3.43,3.29,3.33,114863
2024-04-10,3.38,3.42,3.16,3.27,140010
2024-04-11,3.25,3.38,3.1612,3.35,138934
2024-04-12,3.31,3.39,3.25,3.26,129523
2024-04-15,3.3,3.3,3.16,3.21,114890
2024-04-16,3.16,3.22,3.0766,3.11,118521
2024-04-17,3.12,3.17,3.1,3.14,86589
2024-04-18,3.17,3.18,2.8966,2.91,160498
2024-04-19,2.9,3.0,2.85,2.94,115988
2024-04-22,2.93,3.05,2.9,3.02,102173
2024-04-23,2.99,3.15,2.99,3.11,73143
2024-04-24,3.1,3.14,3.0309,3.12,99135
2024-04-25,3.07,3.07,2.93,2.99,92097
2024-04-26,3.02,3.03,2.94,3.0,65980
2024-04-29,3.05,3.23,3.04,3.1,119692
2024-04-30,3.06,3.06,2.95,2.97,91487
2024-05-01,2.99,3.01,2.9,2.91,76757
2024-05-02,2.93,3.12,2.905,3.11,100829
2024-05-03,3.18,3.215,3.06,3.1,32642
2024-05-06,3.14,3.29,3.12,3.23,81184
2024-05-07,3.25,3.25,3.065,3.09,51428
