Date,Open,High,Low,Close,Volume
2024-01-02,1.845,2.08,1.72,1.89,44275
2024-01-03,1.79,1.85,1.6,1.69,21293
2024-01-04,1.69,2.0495,1.69,1.9,262056
2024-01-05,1.97,1.97,1.72,1.79,92830
2024-01-08,1.69,1.8,1.545,1.56,59355
2024-01-09,1.52,1.62,1.52,1.54,8341
2024-01-10,1.5,1.732,1.29,1.38,35551
2024-01-11,1.39,1.5,1.27,1.28,16712
2024-01-12,1.23,1.41,1.23,1.31,22021
2024-01-16,1.39,1.528,1.1701,1.528,24202
2024-01-17,1.71,1.71,1.38,1.43,24351
2024-01-18,1.45,1.47,1.3,1.42,10525
2024-01-19,1.45,1.47,1.3,1.3469,31236
2024-01-22,1.39,1.53,1.26,1.4,27878
2024-01-23,1.44,1.48,1.3,1.36,12250
2024-01-24,1.48,1.48,1.29,1.35,26518
2024-01-25,1.45,1.45,1.2804,1.31,10106
2024-01-26,1.27,1.3703,1.27,1.35,2890
2024-01-29,1.44,1.44,1.2193,1.26,5580
2024-01-30,1.43,1.43,1.08,1.3,20968
2024-01-31,1.3006,1.3006,1.12,1.16,17695
2024-02-01,1.23,1.34,1.19,1.2,14844
2024-02-02,1.3,1.3,1.14,1.14,12782
2024-02-05,1.14,1.73,1.14,1.445,49079
2024-02-06,1.5,1.5,1.35,1.44,22239
2024-02-07,1.35,1.35,1.14,1.2,10117
2024-02-08,1.16,1.3724,1.15,1.3724,6854
2024-02-09,1.45,1.4888,1.26,1.31,35085
2024-02-12,1.32,1.4999,1.16,1.29,22952
2024-02-13,1.2801,1.59,1.27,1.35,28799
2024-02-14,1.3615,1.4599,1.25,1.3,17756
2024-02-15,1.28,1.5,1.25,1.25,20448
2024-02-16,1.4,1.435,1.22,1.37,38919
2024-02-20,1.26,1.35,1.2,1.25,40955
2024-02-21,1.23,1.33,1.22,1.3,13463
2024-02-22,1.22,1.2799,1.2,1.21,9656
2024-02-23,1.25,1.27,1.2,1.26,30187
2024-02-26,1.25,1.2856,1.19,1.2856,16936
2024-02-27,1.21,1.2599,1.1701,1.24,13996
2024-02-28,1.2599,4.0,1.21,3.51,2914189
2024-02-29,4.13,5.91,3.56,4.71,8031861
2024-03-01,4.71,8.8,4.64,6.25,6171899
2024-03-04,6.0,10.0,6.0,8.7,2551429
2024-03-05,9.57,9.92,8.0,9.24,740109
2024-03-06,8.85,10.0,8.61,9.95,538353
2024-03-07,10.0,11.46,6.7,7.69,662502
2024-03-08,7.76,9.8806,7.76,9.0,424807
2024-03-11,8.79,9.6,7.0,7.5,221825
2024-03-12,7.75,8.6,7.5,7.6,172719
2024-03-13,7.29,7.5599,5.81,5.86,248291
2024-03-14,5.89,6.41,4.01,4.11,255073
2024-03-15,4.13,5.0,4.0101,5.0,238046
2024-03-18,5.15,5.38,3.25,3.66,285783
2024-03-19,3.27,4.75,3.2513,4.55,667353
2024-03-20,4.25,4.49,4.01,4.08,93184
2024-03-21,4.17,4.4999,3.77,3.87,115221
2024-03-22,4.0,4.27,3.55,3.7,121300
2024-03-25,3.84,4.1717,3.7301,3.95,80465
2024-03-26,4.02,4.05,3.85,4.05,101754
2024-03-27,4.1,4.1,3.87,3.91,133791
2024-03-28,4.0,4.1,3.85,3.92,80255
2024-04-01,3.97,4.63,3.9176,4.4,256868
2024-04-02,4.48,4.87,4.2,4.48,183585
2024-04-03,4.79,6.49,4.48,5.48,639387
2024-04-04,5.38,6.15,5.26,5.86,120717
2024-04-05,5.87,7.2,5.87,6.16,225175
2024-04-08,6.05,6.89,6.05,6.4,67108
2024-04-09,6.49,7.1,6.3,6.85,130843
2024-04-10,7.06,7.08,6.02,6.19,121923
2024-04-11,6.2,6.61,6.07,6.08,42964
2024-04-12,6.08,6.23,4.7001,5.05,164083
2024-04-15,5.66,6.25,5.22,6.07,125719
2024-04-16,6.1,6.19,5.7601,5.95,28605
2024-04-17,6.09,6.24,5.5,5.53,70091
2024-04-18,5.51,5.93,4.78,5.11,55713
2024-04-19,4.9,5.56,4.9,5.07,52017
2024-04-22,5.09,5.21,4.9896,5.04,12926
2024-04-23,5.01,5.77,5.01,5.17,18434
2024-04-24,5.08,5.22,4.98,4.98,16603
2024-04-25,4.83,5.23,4.74,5.06,99325
2024-04-26,5.05,5.4199,4.97,5.18,59498
2024-04-29,5.01,5.26,4.9,4.91,23853
2024-04-30,5.07,5.07,4.1,4.25,60770
2024-05-01,4.3114,4.6,4.25,4.43,21457
2024-05-02,4.67,4.99,4.67,4.85,23545
2024-05-03,4.69,5.0,4.35,4.35,35584
2024-05-06,4.35,4.4899,3.36,3.44,106123
2024-05-07,3.47,3.47,2.85,2.88,143876
2024-05-08,3.1,3.505,3.06,3.28,56089
2024-05-09,3.45,3.6386,3.315,3.35,47154
2024-05-10,3.32,3.4399,3.1,3.19,34986
2024-05-13,3.16,3.42,3.07,3.1,15108
2024-05-14,3.03,3.31,2.98,3.04,41408
2024-05-15,3.0,3.38,2.965,2.99,46839
2024-05-16,2.89,3.15,2.89,3.02,19732
2024-05-17,3.06,3.42,3.06,3.11,45743
2024-05-20,3.0,3.59,3.0,3.24,27954
2024-05-21,3.22,3.315,3.02,3.05,17361
2024-05-22,3.01,3.18,3.01,3.03,11246
2024-05-23,3.1,3.18,3.0,3.05,43881
2024-05-24,3.02,3.08,2.61,2.76,58869
2024-05-28,2.67,2.9219,2.5605,2.62,48585
2024-05-29,2.59,2.99,2.25,2.33,86821
2024-05-30,2.43,2.43,2.35,2.405,17626
2024-05-31,2.41,2.49,2.37,2.37,34160
2024-06-03,2.31,2.4011,2.3,2.34,34175
2024-06-04,2.41,2.95,2.2101,2.27,76156
2024-06-05,2.21,2.39,2.05,2.09,36072
2024-06-06,2.25,2.25,2.04,2.12,15837
2024-06-07,2.03,2.46,2.03,2.4,33989
2024-06-10,2.33,2.79,2.2426,2.63,27215
2024-06-11,2.66,2.66,2.19,2.49,15409
2024-06-12,2.47,2.7099,2.47,2.52,11077
2024-06-13,2.61,2.7,2.52,2.69,6477
2024-06-14,2.59,2.87,2.55,2.62,8866
2024-06-17,2.62,2.68,2.45,2.46,7683
2024-06-18,2.47,2.73,2.11,2.43,9584
2024-06-20,2.5,2.6906,2.4,2.4,13198
2024-06-21,2.4,2.51,2.29,2.29,7113
2024-06-24,2.55,2.8764,2.255,2.33,50739
2024-06-25,2.36,2.59,2.3,2.3,31528
2024-06-26,2.26,2.45,2.11,2.15,55410
2024-06-27,2.16,2.32,2.16,2.29,24931
2024-06-28,2.29,2.44,2.29,2.36,25333
2024-07-01,2.36,2.38,2.3,2.38,13732
2024-07-02,2.4,2.42,2.18,2.21,10743
2024-07-03,2.18,2.41,2.17,2.34,6066
2024-07-05,2.3575,2.43,2.24,2.35,19557
2024-07-08,2.47,2.4899,2.32,2.32,11708
2024-07-09,2.26,2.3882,2.25,2.34,2938
2024-07-10,2.38,2.3831,2.25,2.25,4942
2024-07-11,2.23,2.39,2.23,2.31,9113
2024-07-12,2.31,2.4,2.3001,2.39,5926
2024-07-15,2.33,2.3769,2.28,2.28,16207
2024-07-16,2.31,2.36,2.28,2.28,8891
2024-07-17,2.29,2.37,2.28,2.28,19038
2024-07-18,2.3,2.3562,2.28,2.28,10358
2024-07-19,2.29,2.29,2.24,2.24,10777
2024-07-22,2.29,2.3,2.23,2.25,21922
2024-07-23,2.4,2.4,2.15,2.28,42845
2024-07-24,2.18,2.28,2.1508,2.19,10164
2024-07-25,2.1501,2.1917,2.11,2.15,12557
2024-07-26,2.2,2.25,2.11,2.14,18762
2024-07-29,2.1,2.13,2.005,2.06,21018
2024-07-30,2.0601,2.0866,1.87,1.87,20000
2024-07-31,2.02,2.14,1.9001,2.14,61824
2024-08-01,2.23,2.3,2.14,2.3,33061
2024-08-02,2.27,2.59,2.0101,2.59,90248
