Date,Open,High,Low,Close,Volume
2025-06-09,0.48,0.499,0.46,0.4799,692679.0
2025-06-10,0.49,0.492,0.471,0.489,210411.0
2025-06-11,0.475,0.5,0.4733,0.4931,243788.0
2025-06-12,0.478,0.478,0.465,0.4776,132220.0
2025-06-13,0.46,0.47,0.4451,0.451,98190.0
2025-06-16,0.44,0.4474,0.415,0.44,368543.0
2025-06-17,0.43,0.4397,0.42,0.42,87332.0
2025-06-18,0.454,0.454,0.4211,0.4322,56461.0
2025-06-20,0.42,0.44,0.42,0.4317,61910.0
2025-06-23,0.4208,0.430799,0.41,0.4204,121248.0
2025-06-24,0.44,0.473599,0.4216,0.4398,403244.0
2025-06-25,0.43,0.44999,0.4201,0.435,170870.0
2025-06-26,0.432499,0.44,0.4228,0.4369,53092.0
2025-06-27,0.44,0.4437,0.421,0.4269,56222.0
2025-06-30,0.425,0.432,0.405,0.42,161137.0
2025-07-01,0.4074,0.416,0.39,0.3939,279073.0
2025-07-02,0.395,0.4199,0.395,0.4164,124126.0
2025-07-03,0.42,0.4372,0.4161,0.424,175785.0
2025-07-07,0.431,0.449,0.4271,0.4455,221696.0
2025-07-08,0.44,0.47,0.43,0.4601,288500.0
2025-07-09,0.45,0.48,0.4468,0.47,149037.0
2025-07-10,0.471,0.4831,0.4551,0.463,107337.0
2025-07-11,0.465,0.4795,0.4604,0.4778,66956.0
2025-07-14,0.4795,0.499,0.4795,0.494,258275.0
2025-07-15,0.474,0.4866,0.430001,0.4501,199609.0
2025-07-16,0.45,0.48,0.445,0.4508,166716.0
2025-07-17,0.45,0.472716,0.445,0.4575,88945.0
2025-07-18,0.4493,0.4622,0.43,0.4403,99456.0
2025-07-21,0.45,0.482,0.448,0.48,241816.0
2025-07-22,0.4656,0.49,0.4656,0.4789,204286.0
2025-07-23,0.4884,0.495512,0.47,0.489,126008.0
2025-07-24,0.4793,0.64,0.4793,0.5898,2665029.0
2025-07-25,0.562,0.72,0.5611,0.6966,1494799.0
2025-07-28,0.72,0.72,0.621,0.7011,400228.0
2025-07-29,0.7,0.86,0.7,0.839,2065341.0
2025-07-30,0.9275,0.9599,0.7113,0.9,2484041.0
2025-07-31,0.9,0.939,0.85,0.9249,641949.0
2025-08-01,0.9058,0.9058,0.8301,0.8635,306198.0
2025-08-04,0.9,0.9197,0.86,0.9001,284702.0
2025-08-05,0.9,0.9,0.8073,0.878,499471.0
2025-08-06,0.7595,1.28,0.725,1.15,11592139.0
2025-08-07,1.11,1.14,1.02,1.05,1803065.0
2025-08-08,1.07,1.1,0.749,0.7975,1561939.0
2025-08-11,0.838,1.0,0.77,0.777,1232725.0
2025-08-12,0.7759,0.9365,0.7365,0.7961,1364889.0
2025-08-13,0.8657,0.895,0.7906,0.805,1827353.0
2025-08-14,0.814,0.8898,0.779,0.8847,817249.0
2025-08-15,0.85,0.93,0.85,0.8953,502271.0
2025-08-18,0.8965,0.92,0.848,0.8481,370224.0
2025-08-19,0.8327,0.87505,0.8022,0.83,173010.0
2025-08-20,0.8,0.8299,0.7621,0.7736,256949.0
2025-08-21,0.762,0.7789,0.740201,0.7578,192294.0
2025-08-22,0.77,0.8495,0.75,0.8411,282716.0
2025-08-25,0.8148,0.8495,0.8,0.8167,147614.0
2025-08-26,0.7943,0.8357,0.7922,0.8268,157251.0
2025-08-27,0.8268,0.85,0.79,0.8028,103484.0
2025-08-28,0.785,0.845,0.785,0.8288,106392.0
2025-08-29,0.800301,0.829999,0.7853,0.79,90966.0
2025-09-02,0.7705,0.800226,0.76,0.7892,82548.0
2025-09-03,0.766,0.7976,0.76,0.7836,141398.0
2025-09-04,0.7699,0.7758,0.6179,0.6369,517888.0
2025-09-05,0.6405,0.6796,0.6087,0.649,244014.0
2025-09-08,0.631,0.657,0.6001,0.612,297833.0
2025-09-09,0.609,0.6898,0.5554,0.6685,830516.0
2025-09-10,0.718,0.789199,0.6697,0.76,890615.0
2025-09-11,0.76,0.879999,0.7131,0.8399,1775899.0
2025-09-12,0.8342,1.0656,0.8342,0.9355,2461430.0
2025-09-15,0.97,1.03,0.8851,0.9,517104.0
2025-09-16,0.9075,0.9464,0.8596,0.9464,320854.0
2025-09-17,0.909,0.946,0.8891,0.9299,281956.0
2025-09-18,0.93,0.98,0.9207,0.9319,320168.0
2025-09-19,0.91,0.9533,0.865,0.9533,381428.0
2025-09-22,0.979,1.19,0.9578,1.1,2293685.0
2025-09-23,1.13,1.16,1.07,1.08,750750.0
2025-09-24,1.08,1.13,1.08,1.09,350153.0
2025-09-25,1.02,1.13,1.0,1.09,490721.0
2025-09-26,1.12,1.13,1.05,1.08,334334.0
2025-09-29,1.1,1.1,1.02,1.07,594325.0
2025-09-30,1.08,1.2,1.08,1.11,969749.0
2025-10-01,1.13,1.16,1.08,1.1,554593.0
2025-10-02,1.15,1.1862,1.08,1.11,1276894.0
2025-10-03,1.12,1.27,1.03,1.08,7346375.0
2025-10-06,0.92,1.09,0.92,1.02,2068105.0
2025-10-07,1.04,1.09,1.02,1.03,878699.0
2025-10-08,1.03,1.08,1.0,1.06,746130.0
2025-10-09,1.03,1.12,1.01,1.1,792160.0
2025-10-10,1.165,1.32,1.05,1.07,3431814.0
2025-10-13,1.07,1.15,0.9626,1.02,1257090.0
2025-10-14,1.02,1.13,1.0,1.095,739799.0
2025-10-15,1.12,1.2552,1.105,1.25,1224832.0
2025-10-16,1.22,1.2441,1.08,1.09,1034864.0
2025-10-17,1.06,1.09,1.0225,1.035,291263.0
2025-10-20,1.06,1.1083,1.04,1.04,577525.0
2025-10-21,1.04,1.14,1.02,1.05,730702.0
2025-10-22,1.07,1.07,0.9809,1.02,640343.0
2025-10-23,1.01,1.06,1.0,1.03,255776.0
2025-10-24,1.04,1.07,1.01,1.02,658875.0
2025-10-27,1.02,1.0456,0.9119,0.9156,671925.0
2025-10-28,0.93,0.975,0.91,0.9396,447348.0
2025-10-29,0.9492,0.95,0.9001,0.9262,268372.0
2025-10-30,0.97,1.04,0.8909,0.9002,1548595.0
2025-10-31,0.9495,0.9495,0.77,0.8101,1184015.0
2025-11-03,0.8101,0.834,0.7701,0.7758,362904.0
2025-11-04,0.7501,0.7702,0.66,0.6749,546981.0
2025-11-05,0.68,0.7634,0.68,0.7235,200754.0
2025-11-06,0.725,0.725,0.6573,0.6725,219664.0
2025-11-07,0.6617,0.695,0.638,0.69,144660.0
2025-11-10,0.74,0.8198,0.722,0.7294,272419.0
2025-11-11,0.7294,0.744,0.7008,0.7261,92863.0
2025-11-12,0.72,0.76,0.7057,0.7301,76269.0
2025-11-13,0.76,0.77,0.7142,0.7266,145844.0
2025-11-14,0.7047,0.7699,0.700501,0.7222,202184.0
2025-11-17,0.73,0.7696,0.6811,0.7,452271.0
2025-11-18,0.71,0.7397,0.6611,0.7001,394157.0
2025-11-19,0.69,0.705,0.6413,0.6492,191522.0
2025-11-20,0.6492,0.6753,0.6235,0.6236,526626.0
2025-11-21,0.634,0.6898,0.634,0.6776,168148.0
2025-11-24,0.6776,0.712,0.6644,0.6889,186685.0
2025-11-25,0.71,0.7184,0.6218,0.628,714014.0
2025-11-26,0.637,0.6496,0.5622,0.6334,798828.0
2025-11-28,0.64,0.6609,0.6175,0.6417,250333.0
2025-12-01,0.62,0.63,0.5616,0.5628,486749.0
2025-12-02,0.57,0.5999,0.54795,0.5504,930256.0
2025-12-03,0.55,0.595,0.4902,0.4909,1824383.0
2025-12-04,0.48,0.533799,0.48,0.496,889230.0
2025-12-05,0.5017,0.5099,0.457,0.4616,1278804.0
2025-12-08,0.4748,0.5022,0.44,0.456,919540.0
2025-12-09,0.474,0.474,0.4363,0.4501,779443.0
2025-12-10,0.4592,0.4592,0.44,0.45,524626.0
2025-12-11,0.4447,0.45,0.4372,0.4459,454313.0
2025-12-12,0.45,0.4551,0.421,0.4414,397256.0
2025-12-15,0.422,0.4291,0.405,0.4155,224023.0
2025-12-16,0.4133,0.515,0.41,0.5019,1551576.0
2025-12-17,0.54,0.59,0.4801,0.5049,1200156.0
2025-12-18,0.51,0.54,0.5001,0.507,267945.0
2025-12-19,0.51,0.51,0.47,0.4869,280685.0
2025-12-22,0.499,0.55,0.488201,0.53,478773.0
2025-12-23,0.5331,0.54,0.5001,0.52,183162.0
2025-12-24,0.539,0.54,0.51,0.526,149502.0
2025-12-26,0.539,0.539,0.5123,0.5143,185980.0
2025-12-29,0.501,0.51,0.48,0.4916,200347.0
2025-12-30,0.5,0.5199,0.49411,0.5036,368781.0
2025-12-31,0.496,0.5123,0.4799,0.498,180672.0
2026-01-02,0.5058,0.5182,0.49,0.515,134149.0
2026-01-05,0.5272,0.5489,0.5189,0.5307,435869.0
2026-01-06,0.5307,0.56,0.52,0.5375,376402.0
2026-01-07,0.5509,0.5509,0.4967,0.5205,631925.0
2026-01-08,0.5385,0.539,0.5035,0.5186,924002.0
2026-01-09,0.52,0.57,0.5111,0.5499,1072512.0
2026-01-12,0.5451,0.55,0.5036,0.5036,990680.0
2026-01-13,0.52,0.53,0.461,0.4676,1544030.0
2026-01-14,0.49,0.505,0.4282,0.4458,2573529.0
2026-01-15,0.466,0.58,0.416,0.5418,6804605.0
2026-01-16,0.54,0.545,0.505,0.5245,1144658.0
2026-01-20,0.52,0.59,0.4901,0.4953,3063044.0
2026-01-21,0.505,0.55,0.4981,0.52,2066646.0
2026-01-22,0.539,0.55,0.5027,0.5064,1325395.0
2026-01-23,0.506,0.51,0.4816,0.4982,636243.0
2026-01-26,0.4981,0.52,0.4701,0.5062,854764.0
2026-01-27,0.52,0.5289,0.4934,0.5054,512953.0
2026-01-28,0.5,0.515,0.4822,0.4919,519966.0
2026-01-29,0.49,0.5,0.441,0.47,854342.0
2026-01-30,0.4601,0.4883,0.460001,0.4804,457812.0
2026-02-02,0.4749,0.5,0.46,0.46,705990.0
2026-02-03,0.47,0.495,0.4439,0.468,659122.0
2026-02-04,0.4947,0.495,0.448,0.468,936882.0
2026-02-05,0.451,0.462,0.4291,0.4397,757061.0
2026-02-06,0.435,0.4653,0.422,0.4495,832322.0
2026-02-09,0.45,0.4508,0.423,0.4251,445134.0
2026-02-10,0.422,0.4386,0.41,0.4212,554471.0
2026-02-11,0.415,0.4292,0.4013,0.412,609013.0
2026-02-12,0.4127,0.4127,0.3463,0.3732,1058222.0
2026-02-13,0.3635,0.3999,0.363,0.3833,938415.0
2026-02-17,0.3833,0.385,0.3512,0.365,848672.0
2026-02-18,0.3666,0.425,0.3666,0.3998,1304232.0
2026-02-19,0.4006,0.417899,0.3661,0.3763,1058708.0
2026-02-20,0.3853,0.4111,0.37,0.3734,754966.0
2026-02-23,0.37,0.3833,0.3612,0.3731,448711.0
2026-02-24,0.3692,0.3781,0.3512,0.3638,652000.0
2026-02-25,0.3515,0.4,0.3515,0.3959,990759.0
2026-02-26,0.3852,0.3906,0.37455,0.38955,1452.0
2026-02-27,0.389,0.3999,0.373,0.3933,451065.0
2026-03-02,0.3619,0.41,0.3611,0.4029,617668.0
2026-03-03,0.409,0.409,0.3601,0.3831,368742.0
2026-03-04,0.3845,0.3997,0.3741,0.3866,444265.0
2026-03-05,0.3811,0.3855,0.36,0.3682,487568.0
2026-03-06,0.3687,0.382,0.35,0.3707,374672.0
2026-03-09,0.3679,0.3919,0.36501,0.3854,226464.0
2026-03-10,0.3879,0.3999,0.3622,0.3622,606141.0
2026-03-11,0.381,0.39,0.3622,0.366,468849.0
2026-03-12,0.379,0.38,0.357,0.3574,123750.0
2026-03-13,0.3577,0.3776,0.355,0.356,82430.0
2026-03-16,0.3688,0.3688,0.345,0.35,246336.0
2026-03-17,0.343,0.358,0.343,0.3499,105546.0
2026-03-18,0.34,0.348,0.315,0.316,452788.0
2026-03-19,0.3146,0.3589,0.295,0.3147,1807846.0
2026-03-20,0.32,0.3448,0.3,0.3448,614926.0
2026-03-23,0.3345,0.3475,0.32,0.3443,234642.0
2026-03-24,0.3374,0.347,0.3211,0.3364,161693.0
2026-03-25,0.3201,0.3536,0.3189,0.3414,216178.0
2026-03-26,0.3369,0.34,0.3218,0.3236,146958.0
2026-03-27,0.32,0.3314,0.3122,0.3249,207520.0
2026-03-30,0.3193,0.3343,0.3123,0.3262,76553.0
2026-03-31,0.3192,0.3328,0.2805,0.3172,366265.0
2026-04-01,0.3175,0.3326,0.31,0.3191,422664.0
2026-04-02,0.3173,0.3178,0.3035,0.3068,158325.0
2026-04-06,0.3012,0.32,0.3012,0.3096,95993.0
2026-04-07,0.316351,0.31935,0.2925,0.2983,565162.0
2026-04-08,0.3076,0.3144,0.2924,0.3,637165.0
2026-04-09,0.294,0.2998,0.2848,0.29,338453.0
