Date,Open,High,Low,Close,Volume
2025-06-09,6.149,6.149,5.745,5.75,5179.9
2025-06-10,5.8,5.899,5.2,5.499,21069.7
2025-06-11,5.85,5.85,5.325,5.35,5826.0
2025-06-12,5.67,5.67,5.205,5.22,7191.4
2025-06-13,5.35,5.78,5.3,5.78,7506.4
2025-06-16,6.011,14.7,2.958,3.6,7406302.0
2025-06-17,3.3,3.499,2.862,2.929,581550.0
2025-06-18,2.898,2.898,2.45,2.7,121347.0
2025-06-20,2.68,2.85,1.98,2.053,428209.0
2025-06-23,2.043,2.55,2.02,2.136,372008.0
2025-06-24,21.0,22.0,21.0,22.0,5400.0
2025-06-25,23.0,23.0,20.0,21.0,6218.0
2025-06-26,23.0,23.0,21.0,22.0,7684.0
2025-06-27,24.0,24.0,22.0,23.0,5860.0
2025-06-30,23.0,24.0,22.0,23.0,6172.0
2025-07-01,23.0,23.0,22.0,23.0,2097.0
2025-07-02,24.0,24.0,22.0,23.0,3643.0
2025-07-03,23.0,25.0,23.0,24.0,10966.0
2025-07-07,23.0,24.0,21.0,21.0,7535.0
2025-07-08,21.0,24.0,21.0,23.0,5189.0
2025-07-09,23.0,24.0,22.0,24.0,4590.0
2025-07-10,23.0,24.0,23.0,24.0,3344.0
2025-07-11,24.0,26.0,23.0,25.0,7114.0
2025-07-14,24.0,25.0,22.0,23.0,6709.0
2025-07-15,23.0,23.0,23.0,23.0,3372.0
2025-07-16,19.0,20.0,18.0,19.0,27389.0
2025-07-17,20.0,20.0,18.0,19.0,8097.0
2025-07-18,19.0,23.0,18.200000762939453,22.100000381469727,31200.0
2025-07-21,22.39999961853028,22.39999961853028,20.0,20.299999237060547,9570.0
2025-07-22,20.5,22.600000381469727,20.299999237060547,22.100000381469727,6460.0
2025-07-23,22.0,22.700000762939453,21.0,21.299999237060547,6710.0
2025-07-24,21.299999237060547,22.100000381469727,20.89999961853028,21.39999961853028,5020.0
2025-07-25,21.0,22.299999237060547,20.600000381469727,21.0,2760.0
2025-07-28,21.100000381469727,21.299999237060547,18.799999237060547,19.0,8280.0
2025-07-29,19.100000381469727,20.100000381469727,18.600000381469727,19.0,6710.0
2025-07-30,19.0,19.600000381469727,18.600000381469727,18.89999961853028,3700.0
2025-07-31,19.200000762939453,19.39999961853028,15.600000381469728,16.5,1386450.0
2025-08-01,13.5,14.699999809265137,13.199999809265137,13.699999809265137,20830.0
2025-08-04,13.699999809265137,14.5,12.0,14.0,14420.0
2025-08-05,14.100000381469728,16.600000381469727,13.800000190734863,15.0,19310.0
2025-08-06,16.200000762939453,16.299999237060547,14.899999618530272,15.5,975660.0
2025-08-07,18.100000381469727,26.100000381469727,14.0,16.200000762939453,6343050.0
2025-08-08,15.300000190734863,15.399999618530272,14.0,14.100000381469728,69470.0
2025-08-11,13.199999809265137,13.600000381469728,11.699999809265137,11.800000190734863,43710.0
2025-08-12,11.100000381469728,15.100000381469728,11.100000381469728,14.800000190734863,61060.0
2025-08-13,13.600000381469728,16.799999237060547,13.600000381469728,15.5,32490.0
2025-08-14,15.0,15.399999618530272,14.300000190734863,14.600000381469728,13080.0
2025-08-15,14.600000381469728,14.600000381469728,13.399999618530272,13.899999618530272,9430.0
2025-08-18,13.899999618530272,14.100000381469728,13.199999809265137,13.899999618530272,8450.0
2025-08-19,13.399999618530272,13.800000190734863,13.199999809265137,13.5,9540.0
2025-08-20,13.199999809265137,15.199999809265137,13.199999809265137,14.800000190734863,8590.0
2025-08-21,15.100000381469728,15.100000381469728,13.800000190734863,14.0,2180.0
2025-08-22,14.0,14.899999618530272,13.800000190734863,14.5,9830.0
2025-08-25,14.0,14.800000190734863,14.0,14.5,5010.0
2025-08-26,15.199999809265137,16.399999618530273,14.5,16.200000762939453,20810.0
2025-08-27,15.899999618530272,16.899999618530273,15.0,16.200000762939453,25190.0
2025-08-28,16.200000762939453,16.700000762939453,15.0,15.199999809265137,12570.0
2025-08-29,16.399999618530273,16.399999618530273,15.300000190734863,15.5,7440.0
2025-09-02,15.600000381469728,15.600000381469728,14.100000381469728,14.199999809265137,10560.0
2025-09-03,14.199999809265137,14.800000190734863,13.0,13.399999618530272,21320.0
2025-09-04,13.5,13.5,13.0,13.300000190734863,7770.0
2025-09-05,13.699999809265137,15.899999618530272,13.100000381469728,14.699999809265137,165870.0
2025-09-08,13.699999809265137,16.0,13.300000190734863,13.899999618530272,66320.0
2025-09-09,13.600000381469728,16.700000762939453,13.600000381469728,16.0,58360.0
2025-09-10,17.0,18.600000381469727,16.700000762939453,16.700000762939453,49730.0
2025-09-11,16.0,17.0,15.300000190734863,15.899999618530272,14960.0
2025-09-12,15.699999809265137,15.800000190734863,15.300000190734863,15.399999618530272,5050.0
2025-09-15,15.5,16.700000762939453,14.699999809265137,15.800000190734863,11320.0
2025-09-16,15.800000190734863,16.5,15.600000381469728,15.699999809265137,8610.0
2025-09-17,15.899999618530272,16.5,15.0,16.0,4880.0
2025-09-18,16.5,16.5,15.199999809265137,15.800000190734863,4350.0
2025-09-19,15.800000190734863,17.700000762939453,15.600000381469728,16.399999618530273,26270.0
2025-09-22,16.100000381469727,18.0,16.100000381469727,16.899999618530273,17010.0
2025-09-23,17.0,20.0,16.600000381469727,19.5,92940.0
2025-09-24,19.200000762939453,21.5,18.89999961853028,20.700000762939453,85740.0
2025-09-25,19.700000762939453,21.39999961853028,19.200000762939453,20.89999961853028,121570.0
2025-09-26,20.299999237060547,22.299999237060547,18.600000381469727,19.89999961853028,74600.0
2025-09-29,20.0,20.799999237060547,16.0,16.200000762939453,30960.0
2025-09-30,12.100000381469728,13.5,10.199999809265137,12.199999809265137,102610.0
2025-10-01,12.399999618530272,16.5,12.399999618530272,13.399999618530272,84250.0
2025-10-02,13.5,14.399999618530272,13.5,14.0,16090.0
2025-10-03,14.0,14.5,13.899999618530272,14.5,6790.0
2025-10-06,14.699999809265137,15.0,14.0,14.199999809265137,7340.0
2025-10-07,14.199999809265137,14.800000190734863,14.199999809265137,14.699999809265137,5570.0
2025-10-08,14.800000190734863,16.0,13.800000190734863,15.600000381469728,23970.0
2025-10-09,15.600000381469728,15.699999809265137,14.699999809265137,15.100000381469728,17320.0
2025-10-10,15.100000381469728,15.199999809265137,12.600000381469728,13.5,35640.0
2025-10-13,13.5,15.300000190734863,13.5,14.899999618530272,15410.0
2025-10-14,14.800000190734863,15.5,14.300000190734863,14.699999809265137,12750.0
2025-10-15,14.699999809265137,15.399999618530272,14.699999809265137,15.100000381469728,13290.0
2025-10-16,15.0,15.399999618530272,14.100000381469728,14.100000381469728,8430.0
2025-10-17,14.199999809265137,14.899999618530272,13.100000381469728,13.399999618530272,13980.0
2025-10-20,13.5,14.300000190734863,11.699999809265137,12.5,24080.0
2025-10-21,12.600000381469728,13.300000190734863,12.199999809265137,12.5,8120.0
2025-10-22,12.899999618530272,12.899999618530272,11.800000190734863,11.800000190734863,7230.0
2025-10-23,11.800000190734863,12.5,11.699999809265137,12.199999809265137,8680.0
2025-10-24,12.300000190734863,12.600000381469728,12.199999809265137,12.600000381469728,3060.0
2025-10-27,12.899999618530272,13.199999809265137,12.699999809265137,12.800000190734863,4660.0
2025-10-28,12.699999809265137,12.699999809265137,11.800000190734863,12.100000381469728,11030.0
2025-10-29,12.100000381469728,12.600000381469728,11.699999809265137,12.0,20090.0
2025-10-30,12.0,12.300000190734863,11.699999809265137,12.199999809265137,7680.0
2025-10-31,11.899999618530272,12.0,11.699999809265137,11.800000190734863,2380.0
2025-11-03,11.5,11.800000190734863,11.5,11.600000381469728,2950.0
2025-11-04,11.5,11.699999809265137,10.899999618530272,11.300000190734863,4460.0
2025-11-05,11.199999809265137,11.800000190734863,11.100000381469728,11.5,4980.0
2025-11-06,11.399999618530272,12.600000381469728,11.0,12.5,16870.0
2025-11-07,12.100000381469728,13.300000190734863,11.699999809265137,13.0,9680.0
2025-11-10,12.800000190734863,13.899999618530272,12.800000190734863,13.899999618530272,7720.0
2025-11-11,13.600000381469728,15.5,12.800000190734863,14.699999809265137,32970.0
2025-11-12,14.5,15.199999809265137,14.199999809265137,14.300000190734863,1750.0
2025-11-13,14.100000381469728,14.300000190734863,13.300000190734863,13.300000190734863,4450.0
2025-11-14,12.699999809265137,14.800000190734863,12.699999809265137,13.600000381469728,15780.0
2025-11-17,13.100000381469728,15.0,13.100000381469728,14.199999809265137,6770.0
2025-11-18,14.100000381469728,15.0,12.899999618530272,14.699999809265137,3240.0
2025-11-19,14.899999618530272,14.899999618530272,13.0,14.0,7880.0
2025-11-20,13.699999809265137,13.899999618530272,12.600000381469728,12.699999809265137,3280.0
2025-11-21,12.899999618530272,13.699999809265137,12.699999809265137,13.0,2880.0
2025-11-24,13.0,13.300000190734863,12.699999809265137,13.100000381469728,1090.0
2025-11-25,12.800000190734863,13.100000381469728,12.300000190734863,12.399999618530272,5970.0
2025-11-26,12.199999809265137,13.0,12.0,12.699999809265137,2300.0
2025-11-28,12.899999618530272,13.100000381469728,12.100000381469728,12.5,1920.0
2025-12-01,12.100000381469728,12.5,11.899999618530272,12.0,2840.0
2025-12-02,12.0,12.0,11.5,11.5,3390.0
2025-12-03,11.5,11.899999618530272,11.5,11.600000381469728,1290.0
2025-12-04,11.699999809265137,12.699999809265137,11.100000381469728,11.300000190734863,9660.0
2025-12-05,11.100000381469728,11.600000381469728,11.0,11.399999618530272,3170.0
2025-12-08,11.399999618530272,11.800000190734863,11.100000381469728,11.199999809265137,3840.0
2025-12-09,11.199999809265137,12.600000381469728,11.100000381469728,12.0,12070.0
2025-12-10,11.699999809265137,12.5,11.5,12.399999618530272,2480.0
2025-12-11,12.100000381469728,12.199999809265137,11.899999618530272,12.199999809265137,1530.0
2025-12-12,11.899999618530272,12.199999809265137,11.5,11.600000381469728,4550.0
2025-12-15,11.600000381469728,11.600000381469728,11.100000381469728,11.100000381469728,5210.0
2025-12-16,11.100000381469728,11.199999809265137,10.5,10.5,3190.0
2025-12-17,10.899999618530272,10.899999618530272,9.699999809265137,9.699999809265137,9000.0
2025-12-18,9.899999618530272,10.0,9.300000190734863,9.399999618530272,5430.0
2025-12-19,9.5,9.600000381469728,9.5,9.600000381469728,1940.0
2025-12-22,9.699999809265137,10.300000190734863,9.699999809265137,10.0,2320.0
2025-12-23,10.399999618530272,11.199999809265137,9.699999809265137,10.800000190734863,12410.0
2025-12-24,10.800000190734863,11.899999618530272,10.100000381469728,11.600000381469728,8740.0
2025-12-26,11.600000381469728,13.899999618530272,11.600000381469728,13.600000381469728,9610.0
2025-12-29,13.600000381469728,13.600000381469728,12.300000190734863,13.5,13230.0
2025-12-30,13.199999809265137,13.699999809265137,11.800000190734863,13.300000190734863,5350.0
2025-12-31,13.699999809265137,13.899999618530272,12.699999809265137,13.300000190734863,24620.0
2026-01-02,12.699999809265137,13.899999618530272,12.300000190734863,13.5,8510.0
2026-01-05,13.199999809265137,14.0,12.699999809265137,13.800000190734863,6340.0
2026-01-06,13.5,14.0,12.5,13.600000381469728,6080.0
2026-01-07,13.0,13.699999809265137,12.899999618530272,13.5,3200.0
2026-01-08,13.699999809265137,13.899999618530272,13.199999809265137,13.899999618530272,1920.0
2026-01-09,13.5,13.899999618530272,13.300000190734863,13.600000381469728,5440.0
2026-01-12,13.5,13.800000190734863,13.100000381469728,13.800000190734863,5690.0
2026-01-13,13.5,14.100000381469728,13.100000381469728,13.800000190734863,11760.0
2026-01-14,14.0,14.0,13.199999809265137,13.699999809265137,2250.0
2026-01-15,13.600000381469728,14.699999809265137,13.199999809265137,14.300000190734863,10820.0
2026-01-16,14.100000381469728,14.300000190734863,13.100000381469728,14.100000381469728,1600.0
2026-01-20,14.100000381469728,14.100000381469728,13.100000381469728,13.199999809265137,3380.0
2026-01-21,13.300000190734863,13.899999618530272,11.699999809265137,12.100000381469728,20750.0
2026-01-22,12.0,13.5,11.600000381469728,12.399999618530272,14390.0
2026-01-23,12.399999618530272,13.300000190734863,12.399999618530272,12.800000190734863,5780.0
2026-01-26,13.0,13.399999618530272,12.0,12.5,14320.0
2026-01-27,12.5,13.100000381469728,11.699999809265137,12.199999809265137,8820.0
2026-01-28,12.300000190734863,12.699999809265137,11.5,11.800000190734863,31370.0
2026-01-29,11.5,12.199999809265137,11.0,11.199999809265137,4100.0
2026-01-30,11.399999618530272,11.5,10.800000190734863,11.5,5620.0
2026-02-02,11.199999809265137,11.5,11.0,11.5,490.0
2026-02-03,11.5,11.5,11.5,11.5,60.0
2026-02-04,13.0,13.0,11.100000381469728,11.600000381469728,5150.0
2026-02-05,11.399999618530272,11.5,11.100000381469728,11.300000190734863,1060.0
2026-02-06,11.800000190734863,12.300000190734863,11.0,12.100000381469728,7560.0
2026-02-09,12.0,12.300000190734863,11.699999809265137,12.300000190734863,1420.0
2026-02-10,12.600000381469728,12.800000190734863,10.800000190734863,12.300000190734863,13540.0
2026-02-11,12.199999809265137,12.899999618530272,11.699999809265137,12.800000190734863,2650.0
2026-02-12,12.600000381469728,12.800000190734863,11.800000190734863,12.399999618530272,6080.0
2026-02-13,12.600000381469728,12.899999618530272,11.899999618530272,12.0,5530.0
2026-02-17,11.899999618530272,12.899999618530272,11.300000190734863,12.699999809265137,6670.0
2026-02-18,12.399999618530272,13.5,11.800000190734863,13.399999618530272,23140.0
