Date,Open,High,Low,Close,Volume
2025-06-09,2.47,2.48,2.41,2.47,965960
2025-06-10,2.46,2.56,2.43,2.45,951694
2025-06-11,2.46,2.47,2.3811,2.4,819312
2025-06-12,2.39,2.4,2.34,2.36,500231
2025-06-13,2.29,2.34,2.22,2.24,811278
2025-06-16,2.29,2.3235,2.255,2.28,606659
2025-06-17,2.27,2.28,2.24,2.26,572411
2025-06-18,2.26,2.34,2.24,2.29,659917
2025-06-20,2.32,2.3394,2.23,2.25,681102
2025-06-23,2.23,2.3,2.21,2.3,631539
2025-06-24,2.33,2.48,2.33,2.46,833645
2025-06-25,2.48,2.48,2.41,2.42,655281
2025-06-26,2.42,2.49,2.4,2.48,640177
2025-06-27,2.48,2.48,2.41,2.45,826417
2025-06-30,2.45,2.52,2.43,2.46,1050645
2025-07-01,2.45,2.55,2.4,2.53,753493
2025-07-02,2.54,2.578,2.5,2.53,502218
2025-07-03,2.55,2.61,2.53,2.6,554208
2025-07-07,2.6,2.6408,2.53,2.55,876548
2025-07-08,2.55,2.64,2.55,2.58,948928
2025-07-09,2.6,2.63,2.53,2.62,606008
2025-07-10,2.62,2.63,2.5,2.51,1014802
2025-07-11,2.5,2.51,2.4401,2.46,884023
2025-07-14,2.45,2.4863,2.39,2.43,822794
2025-07-15,2.45,2.47,2.35,2.36,582082
2025-07-16,2.36,2.4,2.32,2.39,833541
2025-07-17,2.39,2.41,2.37,2.39,537392
2025-07-18,2.38,2.4,2.28,2.28,1027576
2025-07-21,2.28,2.3,2.225,2.24,1602243
2025-07-22,2.24,2.29,2.21,2.26,693076
2025-07-23,2.28,2.4,2.2787,2.4,1072466
2025-07-24,2.38,2.4,2.32,2.32,749961
2025-07-25,2.34,2.34,2.27,2.29,538374
2025-07-28,2.27,2.365,2.27,2.35,711879
2025-07-29,2.35,2.3999,2.29,2.3,1029802
2025-07-30,2.3,2.32,2.26,2.28,730955
2025-07-31,2.261,2.3,2.21,2.21,650511
2025-08-01,2.21,2.2449,2.15,2.16,938616
2025-08-04,2.18,2.29,2.17,2.26,834590
2025-08-05,2.28,2.31,2.225,2.26,953501
2025-08-06,1.98,2.06,1.82,1.93,3676792
2025-08-07,1.94,1.95,1.83,1.84,1608250
2025-08-08,1.86,2.04,1.85,1.99,1418346
2025-08-11,2.0,2.0093,1.88,1.94,989205
2025-08-12,1.96,1.99,1.94,1.94,852986
2025-08-13,1.98,2.06,1.93,2.03,955634
2025-08-14,1.99,2.0378,1.945,1.97,614435
2025-08-15,2.0,2.02,1.89,1.92,778986
2025-08-18,1.92,1.97,1.915,1.93,686490
2025-08-19,1.95,1.95,1.85,1.88,886309
