Date,Open,High,Low,Close,Volume
2024-01-02,1.34,1.34,1.23,1.25,540629
2024-01-03,1.24,1.2596,1.17,1.2,388436
2024-01-04,1.21,1.23,1.18,1.2,212850
2024-01-05,1.2,1.24,1.195,1.21,126782
2024-01-08,1.21,1.2312,1.12,1.19,618257
2024-01-09,1.19,1.23,1.16,1.22,188505
2024-01-10,1.22,1.26,1.2,1.25,189899
2024-01-11,1.25,1.25,1.17,1.21,172594
2024-01-12,1.22,1.2412,1.15,1.18,115971
2024-01-16,1.16,1.17,1.06,1.08,339297
2024-01-17,1.05,1.07,1.03,1.06,141941
2024-01-18,1.09,1.09,1.04,1.04,104704
2024-01-19,1.07,1.15,1.03,1.14,216840
2024-01-22,1.12,1.62,1.112,1.38,5709051
2024-01-23,1.43,1.7,1.22,1.32,2322307
2024-01-24,1.37,1.37,1.23,1.25,566873
2024-01-25,1.29,1.32,1.145,1.17,388122
2024-01-26,1.16,1.28,1.16,1.22,267345
2024-01-29,1.24,1.32,1.2,1.22,542488
2024-01-30,1.21,1.27,1.17,1.21,238277
2024-01-31,1.22,1.22,1.08,1.12,449884
2024-02-01,1.16,1.18,1.11,1.15,196868
2024-02-02,1.13,1.17,1.1128,1.13,203334
2024-02-05,1.14,1.2,1.1,1.19,371770
2024-02-06,1.18,1.26,1.125,1.205,393753
2024-02-07,1.22,1.23,1.1501,1.2,152099
2024-02-08,1.23,1.28,1.22,1.25,415391
2024-02-09,1.3,1.47,1.27,1.3,1063200
2024-02-12,1.3,1.45,1.3,1.33,510874
2024-02-13,1.27,1.3299,1.22,1.28,288700
2024-02-14,1.3,1.38,1.27,1.36,317609
2024-02-15,1.51,1.6573,1.4,1.55,2159954
2024-02-16,1.63,1.79,1.45,1.54,1903757
2024-02-20,1.47,1.52,1.35,1.48,473244
2024-02-21,1.41,1.4474,1.36,1.38,201637
2024-02-22,1.41,1.4591,1.32,1.34,376743
2024-02-23,1.32,1.3362,1.2,1.275,353948
2024-02-26,1.27,1.63,1.27,1.55,1344449
2024-02-27,1.67,3.45,1.53,2.82,100179102
2024-02-28,2.8,2.9,2.31,2.37,7942077
2024-02-29,2.47,3.45,2.37,2.98,19911840
2024-03-01,2.72,3.45,2.61,2.82,6535967
2024-03-04,2.96,3.27,2.35,2.54,5532200
2024-03-05,2.59,2.5998,1.91,2.11,2648852
2024-03-06,2.09,2.35,1.96,2.13,2305304
2024-03-07,2.11,2.3,2.06,2.12,1369416
2024-03-08,2.19,2.305,1.75,1.88,1964531
2024-03-11,1.85,1.97,1.78,1.93,688972
2024-03-12,1.98,2.09,1.83,2.03,961780
2024-03-13,2.26,3.33,2.17,3.24,25039216
2024-03-14,3.09,3.11,2.47,2.655,5418862
2024-03-15,2.69,3.31,2.66,2.91,6139640
2024-03-18,3.0,3.0,2.66,2.83,2068601
2024-03-19,2.7,2.77,2.22,2.57,1812730
2024-03-20,2.61,2.96,2.48,2.81,1568704
2024-03-21,2.88,2.96,2.42,2.48,1822852
2024-03-22,2.43,2.5249,2.33,2.39,651136
2024-03-25,2.36,2.44,2.31,2.34,839122
2024-03-26,2.35,2.383,2.22,2.3,384315
2024-03-27,2.3,2.47,2.15,2.38,796399
2024-03-28,2.43,2.635,2.3902,2.45,893952
2024-04-01,3.78,7.07,3.53,6.15,239762081
2024-04-02,4.89,5.16,4.11,4.48,18410933
2024-04-03,4.75,5.6099,4.73,4.94,30724828
2024-04-04,4.89,5.15,4.308,4.69,6150147
2024-04-05,4.61,5.4,4.61,4.95,7420872
2024-04-08,5.0,6.58,4.95,5.51,24241611
2024-04-09,5.48,5.74,4.75,4.84,7364388
2024-04-10,4.68,5.155,4.5105,4.73,3369077
2024-04-11,4.65,4.828,4.22,4.33,2740025
2024-04-12,4.22,4.42,3.94,4.39,2001801
2024-04-15,4.28,4.58,4.1,4.23,1757823
2024-04-16,3.99,4.15,3.8,3.91,3416809
2024-04-17,5.19,5.43,4.08,4.2,23233816
2024-04-18,4.08,4.11,3.105,3.17,4860071
2024-04-19,3.17,3.63,3.1503,3.48,2818841
2024-04-22,3.49,3.68,3.39,3.62,1428411
2024-04-23,3.56,3.64,3.42,3.52,1171867
2024-04-24,3.6,3.61,3.34,3.48,879222
2024-04-25,3.44,3.4999,3.16,3.21,930629
2024-04-26,3.26,3.75,3.22,3.69,1972649
2024-04-29,3.65,3.78,3.4107,3.51,880810
2024-04-30,3.44,3.56,3.34,3.36,582795
2024-05-01,3.32,3.635,3.25,3.37,1268599
2024-05-02,3.43,3.56,3.31,3.44,627410
2024-05-03,3.53,3.53,3.32,3.37,541556
2024-05-06,3.4,4.06,3.4,3.78,2293446
2024-05-07,3.85,3.9,3.41,3.56,1045864
2024-05-08,3.58,3.6,3.42,3.52,369366
2024-05-09,3.49,3.6,3.41,3.47,437193
2024-05-10,3.5,3.8191,3.47,3.54,1033403
2024-05-13,3.55,3.68,3.27,3.35,1139650
2024-05-14,3.28,3.38,3.175,3.26,1088546
2024-05-15,3.26,3.3499,3.11,3.33,772039
2024-05-16,3.29,3.32,3.2,3.2,449846
2024-05-17,3.17,3.2,2.955,3.06,1020549
2024-05-20,3.08,3.3,2.9851,3.26,658502
2024-05-21,3.33,3.3769,3.1,3.14,868358
2024-05-22,3.15,3.2912,3.09,3.26,665642
2024-05-23,3.47,3.47,3.18,3.3,2773179
2024-05-24,3.16,3.19,2.75,2.885,2775652
2024-05-28,2.9,2.91,2.62,2.7,1092470
2024-05-29,2.55,2.5595,2.02,2.28,1705217
2024-05-30,2.29,2.3963,2.21,2.38,961904
2024-05-31,2.33,2.47,2.31,2.36,448167
2024-06-03,2.34,2.69,2.3,2.67,1169473
2024-06-04,2.72,2.78,2.51,2.65,628209
2024-06-05,2.66,2.76,2.56,2.71,387100
2024-06-06,2.72,2.72,2.53,2.56,288800
2024-06-07,2.54,2.68,2.48,2.62,359869
2024-06-10,2.62,2.63,2.51,2.51,256627
2024-06-11,2.49,2.51,2.4,2.495,215524
2024-06-12,2.56,2.625,2.46,2.51,352687
2024-06-13,2.47,2.5,2.37,2.41,276846
2024-06-14,2.36,2.4187,2.3,2.38,206881
2024-06-17,2.4,2.4,2.33,2.34,220462
2024-06-18,2.32,2.33,2.25,2.26,258721
2024-06-20,2.25,2.28,2.16,2.21,386045
2024-06-21,2.19,2.3,2.15,2.28,204414
2024-06-24,2.3,2.3,2.05,2.11,279441
2024-06-25,2.13,2.15,2.06,2.065,203758
2024-06-26,2.04,2.28,2.04,2.22,281833
2024-06-27,2.22,2.22,2.11,2.15,222731
2024-06-28,2.17,2.18,2.01,2.02,655729
2024-07-01,2.03,2.08,2.0,2.01,262770
2024-07-02,2.0,2.1,2.0,2.08,181047
2024-07-03,2.08,2.17,2.06,2.07,157895
2024-07-05,2.11,2.17,2.07,2.16,199453
2024-07-08,2.21,2.31,2.13,2.23,334936
2024-07-09,2.26,2.395,2.17,2.35,326213
2024-07-10,2.31,2.55,2.31,2.48,457085
2024-07-11,2.55,2.6602,2.32,2.37,561106
2024-07-12,2.42,2.5094,2.4,2.47,194141
2024-07-15,2.56,2.6,2.46,2.5,241631
2024-07-16,2.52,2.56,2.48,2.52,174317
2024-07-17,2.45,2.5499,2.31,2.34,222451
2024-07-18,2.33,2.3838,2.16,2.23,188177
2024-07-19,2.29,2.31,2.1,2.17,234172
2024-07-22,2.17,2.24,2.0973,2.2,220869
2024-07-23,2.15,2.26,2.14,2.19,152763
2024-07-24,2.13,2.21,2.11,2.13,104128
2024-07-25,2.11,2.36,2.1,2.21,322697
2024-07-26,2.24,2.39,2.18,2.25,192684
2024-07-29,2.23,2.25,2.1,2.17,150089
2024-07-30,2.2,2.2,2.08,2.09,185207
2024-07-31,2.12,2.23,2.06,2.06,267895
2024-08-01,2.06,2.13,1.93,1.95,298448
2024-08-02,1.88,1.93,1.85,1.89,301376
