Date,Open,High,Low,Close,Volume
2024-01-02,952.848,952.848,907.2,921.744,2.73054
2024-01-03,964.8,1007.28,892.8,919.872,18.2888
2024-01-04,871.344,936.0,866.88,878.544,23.8554
2024-01-05,882.72,935.998,806.4,923.04,23.736
2024-01-08,886.32,993.6,878.4,955.872,4.36458
2024-01-09,986.112,986.112,892.944,959.616,6.3736
2024-01-10,909.504,950.4,878.4,948.96,9.41733
2024-01-11,913.68,948.96,878.4,948.96,8.50758
2024-01-12,948.96,1139.62,878.4,878.4,145.756
2024-01-16,891.36,914.256,822.24,858.24,26.7221
2024-01-17,864.0,895.478,839.088,885.6,7.76249
2024-01-18,856.8,907.2,815.04,863.856,9.86316
2024-01-19,820.8,863.856,820.8,860.4,5.6111
2024-01-22,835.2,847.801,774.72,784.8,57.9089
2024-01-23,784.8,784.8,741.6,777.312,25.9895
2024-01-24,804.67,839.52,748.8,819.36,11.1958
2024-01-25,849.456,849.6,720.0,750.24,13.6638
2024-01-26,763.198,820.8,734.545,792.0,7.37221
2024-01-29,820.8,835.054,784.08,784.08,12.9534
2024-01-30,767.52,789.84,756.0,789.84,2.34652
2024-01-31,748.8,835.2,720.288,790.56,16.2277
2024-02-01,806.4,835.2,725.76,804.96,17.0964
2024-02-02,775.44,804.96,750.24,784.8,3.13124
2024-02-05,763.2,784.656,743.04,784.656,5.55694
2024-02-06,743.472,806.256,743.472,806.256,3.5861
2024-02-07,793.44,819.072,763.344,810.432,2.68471
2024-02-08,813.6,820.944,759.456,784.8,18.5138
2024-02-09,806.4,820.8,762.049,819.36,10.7458
2024-02-12,835.2,835.2,806.4,806.976,2.21874
2024-02-13,806.976,806.976,743.616,744.624,18.5902
2024-02-14,744.624,827.136,743.616,826.416,20.3312
2024-02-15,836.64,849.6,755.856,849.6,11.3749
2024-02-16,835.2,1135.87,756.288,834.624,102.342
2024-02-20,857.376,857.376,797.328,814.464,4.05208
2024-02-21,806.544,864.0,738.72,820.944,56.5145
2024-02-22,820.8,886.32,763.2,804.96,10.502
2024-02-23,777.6,849.6,777.6,830.736,7.52221
2024-02-26,792.0,861.12,763.201,861.12,5.77846
2024-02-27,835.2,892.8,806.4,892.512,18.9062
2024-02-28,863.712,936.0,842.4,933.12,11.0374
2024-02-29,933.12,964.8,893.088,964.8,17.5985
2024-03-01,964.656,1135.87,921.6,948.96,77.27
2024-03-04,950.4,950.4,895.08,936.0,7.9611
2024-03-05,950.4,979.2,902.88,979.2,17.995
2024-03-06,979.2,979.2,928.8,979.2,6.80554
2024-03-07,964.8,1061.86,950.4,964.8,6.77985
2024-03-08,964.8,1048.32,921.6,978.336,27.0319
2024-03-11,993.6,1017.94,923.184,951.696,15.1874
2024-03-12,936.0,979.2,894.384,919.872,16.9423
2024-03-13,936.0,936.0,876.96,892.8,4.03888
2024-03-14,979.2,979.2,865.584,915.264,10.3138
2024-03-15,915.408,936.0,864.0,936.0,8.24235
2024-03-18,907.2,935.986,864.288,869.76,11.47
2024-03-19,849.6,950.4,849.6,948.312,5.12429
2024-03-20,949.824,949.824,851.04,864.145,19.711
2024-03-21,849.6,892.8,835.2,842.545,6.70416
2024-03-22,849.6,892.8,835.056,892.8,974.674
2024-03-25,1077.12,1077.12,687.6,734.4,2366.5
2024-03-26,705.6,806.4,660.384,705.6,188.792
2024-03-27,704.16,791.856,619.632,698.4,246.364
2024-03-28,720.0,789.984,705.6,761.184,51.7034
2024-04-01,801.504,806.4,690.912,711.36,80.1812
2024-04-02,676.8,699.12,619.2,651.168,78.8791
2024-04-03,669.6,748.8,636.48,701.424,53.1152
2024-04-04,709.344,759.888,649.728,730.8,37.4645
2024-04-05,691.92,744.48,655.2,705.6,31.7395
2024-04-08,676.8,748.8,667.152,681.12,27.7791
2024-04-09,685.44,758.88,662.4,691.2,35.9471
2024-04-10,676.8,755.136,662.4,678.528,22.0513
2024-04-11,720.0,733.824,695.52,705.6,7.19583
2024-04-12,705.6,728.248,676.801,720.0,10.3742
2024-04-15,685.728,714.816,678.528,714.816,4.04166
2024-04-16,680.832,720.0,673.92,720.0,14.5694
2024-04-17,693.504,806.4,676.8,735.192,73.8985
2024-04-18,735.264,738.72,698.112,698.112,6.12429
2024-04-19,692.928,748.08,692.928,710.134,4.25763
2024-04-22,698.4,747.792,684.576,736.92,29.8027
2024-04-23,736.848,748.8,721.44,721.44,12.5479
2024-04-24,733.824,746.496,691.488,731.52,13.4624
2024-04-25,685.44,727.2,685.44,718.56,2.57708
2024-04-26,684.721,723.6,684.72,712.944,2.82708
2024-04-29,704.16,720.0,669.888,696.96,8.49583
2024-04-30,708.982,720.0,671.04,718.56,6.92638
2024-05-01,721.44,782.208,676.8,772.272,27.477
2024-05-02,721.44,766.8,692.64,759.744,67.8874
2024-05-03,740.16,759.744,705.6,721.44,13.9624
2024-05-06,708.48,759.744,677.088,692.64,47.3166
2024-05-07,719.28,720.0,662.4,685.44,24.0263
2024-05-08,685.44,701.627,679.968,701.568,8.51174
2024-05-09,677.088,730.8,677.088,730.656,8.15416
2024-05-10,692.784,738.793,692.784,720.0,2.99027
2024-05-13,692.64,716.4,676.8,705.6,11.0145
2024-05-14,670.032,715.68,649.584,655.344,48.4242
2024-05-15,689.76,689.904,650.88,659.52,10.1354
2024-05-16,689.76,712.512,659.52,705.454,22.2513
2024-05-17,676.8,720.0,663.84,712.08,29.7798
2024-05-20,720.0,720.288,666.864,719.712,18.5596
2024-05-21,705.168,718.56,678.24,678.24,23.1839
2024-05-22,688.824,708.336,667.152,708.336,3.44929
2024-05-23,691.2,704.16,667.008,682.488,12.1471
2024-05-24,681.12,716.681,667.008,696.672,5.53749
