Date,Open,High,Low,Close,Volume
2024-01-02,51.3,57.204,50.4,53.316,13905.6
2024-01-03,53.1,54.0,48.618,50.13,4916.98
2024-01-04,50.4,51.57,47.619,47.97,5450.91
2024-01-05,47.97,48.015,46.8,46.854,4269.54
2024-01-08,48.6,48.717,46.08,48.15,3840.84
2024-01-09,48.483,49.41,46.809,48.969,2100.39
2024-01-10,47.205,48.96,46.008,47.628,2499.36
2024-01-11,47.7,48.6,45.9,45.909,3719.52
2024-01-12,47.7,47.79,42.75,43.803,4725.61
2024-01-16,45.612,45.612,41.454,42.597,4614.19
2024-01-17,42.678,42.678,38.25,39.762,5246.89
2024-01-18,39.582,41.904,39.582,40.257,3077.86
2024-01-19,40.5,42.489,38.7,39.609,3080.54
2024-01-22,38.484,40.725,38.25,39.51,2929.37
2024-01-23,38.601,43.2,38.349,42.813,2547.09
2024-01-24,42.966,44.01,40.878,42.498,1750.53
2024-01-25,45.0,45.891,40.086,40.77,2993.64
2024-01-26,40.5,44.892,40.5,42.705,2123.54
2024-01-29,42.3,48.15,40.8781,45.36,3646.46
2024-01-30,45.09,46.566,44.001,45.0,1635.21
2024-01-31,43.2,47.709,42.3,42.3,1471.37
2024-02-01,42.129,44.0577,41.454,41.49,1570.62
2024-02-02,43.947,45.126,39.285,39.996,2664.52
2024-02-05,40.824,41.247,38.808,38.97,1480.83
2024-02-06,38.907,45.9,38.7,43.776,2950.75
2024-02-07,45.0,45.0,40.509,40.716,1669.94
2024-02-08,41.85,45.9,41.4181,45.09,2943.95
2024-02-09,45.45,45.63,43.2,44.649,1802.51
2024-02-12,43.47,45.9,43.2,45.099,2839.11
2024-02-13,45.405,45.9,41.472,42.3,1843.55
2024-02-14,43.173,45.324,42.3,44.1,1467.33
2024-02-15,41.895,45.9,41.4,45.0,2331.18
2024-02-16,44.991,48.15,44.595,45.09,3064.61
2024-02-20,46.8,46.8,43.2,44.235,2558.49
2024-02-21,46.791,46.944,45.0,45.351,1862.42
2024-02-22,46.413,47.061,44.991,46.26,1881.96
2024-02-23,47.61,50.4,45.0,48.78,3584.54
2024-02-26,48.609,50.3999,46.8,47.574,1428.06
2024-02-27,47.565,52.2,45.9,49.509,3552.28
2024-02-28,50.436,53.1,50.4,50.4,2996.33
2024-02-29,52.47,61.002,51.84,59.04,6719.57
2024-03-01,61.02,62.595,54.045,55.476,5967.89
2024-03-04,55.8,58.473,52.659,53.109,3072.33
2024-03-05,53.1,54.0,45.477,46.449,3237.19
2024-03-06,48.978,52.605,47.979,51.219,1556.18
2024-03-07,52.344,53.82,46.809,47.736,2119.36
2024-03-08,50.76,50.76,46.35,47.16,1464.93
2024-03-11,48.6,50.31,48.177,49.509,1442.02
2024-03-12,49.338,52.29,48.951,51.03,1902.76
2024-03-13,51.768,53.091,48.816,48.843,2701.41
2024-03-14,50.58,50.58,45.45,46.8,2858.54
2024-03-15,46.44,47.952,45.918,47.52,2358.72
2024-03-18,46.548,48.24,45.45,45.45,1809.77
2024-03-19,45.549,47.565,45.45,45.9,996.933
2024-03-20,47.043,50.4,44.109,46.575,2586.12
2024-03-21,47.574,51.246,47.007,48.816,2373.11
2024-03-22,49.815,49.815,47.304,47.349,947.733
2024-03-25,49.851,51.615,45.9,45.9,3721.62
2024-03-26,47.7,49.311,46.35,46.8,1278.53
2024-03-27,46.593,48.609,45.9,47.511,1299.88
2024-03-28,47.151,48.6,46.8,48.6,1412.53
2024-04-01,48.51,49.5,45.117,46.89,2342.57
2024-04-02,45.9,46.566,44.55,44.55,3052.48
2024-04-03,44.55,45.567,43.65,43.65,1953.54
2024-04-04,43.2,45.9,43.2,43.326,2342.29
2024-04-05,42.75,45.0,42.75,44.55,1656.66
2024-04-08,41.913,41.913,40.5,41.913,3505.51
2024-04-09,42.3,43.362,38.79,41.22,5045.08
2024-04-10,42.3,42.6082,39.6,40.41,2155.92
2024-04-11,40.41,42.327,39.15,41.22,1891.86
2024-04-12,41.4,42.282,39.96,40.95,1830.24
2024-04-15,40.617,41.94,39.6,40.5,59258.6
2024-04-16,51.273,58.266,42.57,55.287,192170.0
2024-04-17,49.5,57.573,44.028,55.395,26187.4
2024-04-18,54.9,78.3,53.991,68.094,59896.6
2024-04-19,70.2,81.0,69.831,74.673,31714.7
2024-04-22,74.241,74.25,57.6,66.015,14828.1
2024-04-23,63.0,77.4,63.0,72.909,8275.58
2024-04-24,72.909,78.3,68.859,75.843,8078.39
2024-04-25,74.7,75.6,63.09,71.523,5358.82
2024-04-26,69.3,79.2,68.256,69.228,14663.1
2024-04-29,71.118,75.222,67.5,72.441,5141.57
2024-04-30,72.45,78.336,70.389,77.202,7340.14
2024-05-01,78.3,80.82,75.762,80.361,5756.06
2024-05-02,80.109,91.8,79.2,90.9,9174.75
2024-05-03,92.7,92.7,85.932,88.2,7281.85
2024-05-06,90.0,91.8,84.6,87.642,4587.64
2024-05-07,90.0,107.1,85.59,104.4,11333.5
2024-05-08,108.0,128.763,104.463,126.9,25599.6
2024-05-09,129.6,131.4,99.0,124.2,26943.7
2024-05-10,126.9,126.9,103.5,111.6,9535.66
2024-05-13,107.1,115.2,98.1,107.1,11796.8
2024-05-14,108.9,112.5,99.0,110.7,9787.68
2024-05-15,92.7,98.1,81.045,82.8,26896.2
2024-05-16,86.4,91.8,82.8,90.9,8794.03
2024-05-17,92.7,104.4,90.9,100.8,10518.5
2024-05-20,95.4,99.9,94.5,95.4,6201.53
2024-05-21,98.1,102.6,94.5,99.0,5760.32
2024-05-22,99.0,104.4,83.7,87.12,17812.2
2024-05-23,89.1,91.8,81.0,86.85,5116.48
2024-05-24,87.3,87.3,77.4,84.321,6050.51
2024-05-28,88.2,92.7,84.888,92.25,9621.23
2024-05-29,90.9,93.51,88.2,90.0,5570.59
2024-05-30,92.7,92.7,85.5,85.5,6397.55
2024-05-31,85.491,89.757,83.25,86.85,4117.82
2024-06-03,85.5,87.777,83.7,85.986,2426.42
2024-06-04,86.49,87.57,82.8,83.439,3237.57
2024-06-05,83.7,88.65,83.7,86.184,7469.61
2024-06-06,86.445,91.8,86.4,90.0,5197.34
2024-06-07,88.812,88.911,81.0,83.232,7188.51
2024-06-10,81.0,85.5,81.0,83.268,4734.39
2024-06-11,83.727,87.03,81.018,85.23,5498.72
2024-06-12,84.888,84.888,73.989,78.93,6234.98
2024-06-13,80.325,82.71,77.4,81.315,4801.87
2024-06-14,82.116,82.26,73.008,76.095,5650.23
2024-06-17,75.6,80.802,73.44,78.579,5520.12
2024-06-18,78.57,78.57,74.745,77.301,2906.33
2024-06-20,76.5,77.13,73.8,76.905,5724.23
2024-06-21,74.079,76.338,72.549,73.818,3909.28
2024-06-24,72.018,79.884,72.018,79.884,4484.89
2024-06-25,78.246,79.146,73.8,78.552,3498.98
2024-06-26,76.5,87.408,75.627,80.793,6246.41
2024-06-27,79.2,88.92,79.2,86.823,5575.05
2024-06-28,89.1,90.0,76.131,76.131,34183.4
2024-07-01,77.202,78.939,69.93,69.93,6773.22
2024-07-02,72.9,74.574,65.718,67.176,4476.46
2024-07-03,72.0,74.214,66.798,67.176,5790.81
2024-07-05,69.687,73.116,69.3,72.747,5210.57
2024-07-08,72.9,73.8,69.507,71.19,4163.96
2024-07-09,70.2,73.746,70.2,72.018,2967.55
2024-07-10,72.954,80.352,72.954,77.445,9678.86
2024-07-11,79.74,80.28,76.455,78.39,3251.23
2024-07-12,77.607,83.61,77.562,81.036,3648.01
2024-07-15,78.3,83.7,77.4,81.918,3634.76
2024-07-16,81.918,83.304,79.794,80.01,2303.67
2024-07-17,79.2,79.893,73.998,75.834,3887.12
2024-07-18,75.852,78.354,72.108,73.305,2505.63
2024-07-19,73.503,75.186,72.189,74.259,1124.67
2024-07-22,74.7,75.591,72.018,74.673,1513.45
2024-07-23,74.7,80.469,72.018,79.002,2715.56
2024-07-24,79.02,79.578,73.818,74.664,1535.46
2024-07-25,73.881,77.895,73.881,76.509,1565.47
2024-07-26,76.743,78.03,74.97,76.05,1328.04
2024-07-29,74.16,76.5,73.359,75.249,2755.79
2024-07-30,81.351,83.682,64.8,64.8,58556.8
2024-07-31,68.4,73.8,67.5,70.2,9791.95
2024-08-01,71.082,72.09,63.9,64.368,7050.94
2024-08-02,63.0,64.395,56.709,56.907,8219.34
2024-08-05,54.0,58.491,53.46,54.0,6611.46
2024-08-06,56.7,59.328,55.638,58.869,5671.32
2024-08-07,58.869,59.49,54.414,54.414,5588.47
2024-08-08,54.657,58.05,51.3,56.673,4904.93
2024-08-09,57.6,59.382,56.7,58.293,1481.94
2024-08-12,57.501,59.382,55.035,55.791,4207.83
2024-08-13,56.7,60.642,53.55,60.012,4655.36
