Date,Open,High,Low,Close,Volume
2024-01-02,9.82,10.48,9.7008,10.15,635336
2024-01-03,9.92,9.96,9.615,9.68,789328
2024-01-04,9.7,9.7,8.635,8.83,1304104
2024-01-05,8.23,9.055,8.23,9.0,1208206
2024-01-08,9.05,9.58,8.89,9.44,875740
2024-01-09,9.24,9.555,9.03,9.36,590506
2024-01-10,9.34,9.38,9.02,9.08,466897
2024-01-11,9.08,9.58,8.78,9.4,842726
2024-01-12,9.53,9.64,9.325,9.41,525825
2024-01-16,9.38,9.41,9.11,9.19,736890
2024-01-17,7.76,8.75,7.75,8.585,2069382
2024-01-18,8.73,8.75,8.15,8.25,1006950
2024-01-19,8.37,8.8,8.16,8.7,545582
2024-01-22,8.96,9.34,8.96,9.29,626940
2024-01-23,9.46,9.46,9.12,9.24,378929
2024-01-24,9.43,9.47,9.19,9.26,388382
2024-01-25,9.41,9.55,9.19,9.21,338773
2024-01-26,9.24,9.255,8.98,9.12,479613
2024-01-29,9.13,9.37,8.61,9.36,443719
2024-01-30,9.36,9.36,8.93,9.03,495250
2024-01-31,9.01,9.01,8.5,8.5,430288
2024-02-01,8.59,8.765,8.54,8.59,471992
2024-02-02,8.44,8.77,8.3,8.61,1105996
2024-02-05,8.56,8.56,8.26,8.3,424555
2024-02-06,8.37,8.9,8.37,8.71,508384
2024-02-07,8.76,8.76,8.34,8.58,652282
2024-02-08,8.68,9.17,8.535,9.06,675068
2024-02-09,9.13,9.34,9.0,9.34,521096
2024-02-12,9.36,9.74,9.36,9.62,517049
2024-02-13,9.13,9.37,9.11,9.19,499289
2024-02-14,9.38,9.73,9.16,9.61,530801
2024-02-15,9.78,10.3,9.73,10.26,766090
2024-02-16,10.05,10.21,9.85,9.99,827024
2024-02-20,9.81,9.93,9.67,9.72,408171
2024-02-21,9.58,9.58,9.135,9.22,396147
2024-02-22,9.35,9.4,9.13,9.25,417075
2024-02-23,9.24,9.32,9.07,9.16,375677
2024-02-26,9.1,9.25,8.9,9.15,473715
2024-02-27,9.31,9.6,9.23,9.31,554746
2024-02-28,9.17,9.35,9.045,9.2,478467
2024-02-29,9.98,10.62,9.14,9.52,1262328
2024-03-01,9.57,9.63,8.7,8.97,740931
2024-03-04,9.01,9.11,8.83,8.92,591125
2024-03-05,8.82,8.82,8.32,8.35,423763
2024-03-06,8.45,8.45,8.08,8.14,431884
2024-03-07,8.21,8.49,8.21,8.38,255314
2024-03-08,8.44,8.7143,8.44,8.48,266119
2024-03-11,8.43,8.705,8.28,8.37,327161
2024-03-12,8.4,8.41,8.15,8.22,255191
2024-03-13,8.22,8.36,8.14,8.185,298296
2024-03-14,7.96,8.19,7.96,8.09,411565
2024-03-15,8.06,8.22,7.81,7.89,641700
2024-03-18,7.92,8.1,7.81,8.05,403735
2024-03-19,7.96,8.07,7.82,7.85,570814
2024-03-20,7.86,8.11,7.75,8.02,389220
2024-03-21,8.09,8.17,7.87,7.91,343295
2024-03-22,7.82,7.86,7.6,7.61,275167
2024-03-25,7.66,7.96,7.66,7.86,493724
2024-03-26,7.96,7.96,7.75,7.78,401151
2024-03-27,7.89,8.06,7.83,7.91,354076
2024-03-28,7.88,8.15,7.88,8.07,622191
2024-04-01,8.18,8.35,7.89,8.0,582735
2024-04-02,7.71,7.865,7.59,7.71,437354
2024-04-03,7.63,8.05,7.6,8.02,592298
2024-04-04,8.14,8.33,7.96,8.01,576597
2024-04-05,7.94,8.09,7.87,7.92,277157
2024-04-08,7.98,8.02,7.785,7.81,338473
2024-04-09,7.83,7.98,7.8,7.86,424177
2024-04-10,7.57,7.74,7.54,7.73,396734
2024-04-11,7.78,7.82,7.625,7.68,286235
2024-04-12,7.63,7.66,7.27,7.35,310499
2024-04-15,7.37,7.37,6.92,7.09,371405
2024-04-16,7.01,7.385,6.9804,7.31,2111656
2024-04-17,7.29,7.31,7.07,7.19,478569
2024-04-18,7.18,7.42,7.03,7.04,413092
2024-04-19,6.99,7.08,6.97,7.06,451119
2024-04-22,7.11,7.35,7.02,7.33,1083082
2024-04-23,7.3,7.57,7.24,7.27,733074
2024-04-24,7.24,7.2875,7.0,7.25,691373
2024-04-25,7.1,7.14,6.66,6.73,384340
2024-04-26,6.77,6.99,6.735,6.99,437526
2024-04-29,7.01,7.28,7.01,7.15,294707
2024-04-30,7.04,7.07,6.92,6.94,294536
2024-05-01,6.94,7.2,6.87,6.97,277142
2024-05-02,7.05,7.07,6.87,6.99,312479
2024-05-03,7.17,7.2,6.97,7.03,288422
2024-05-06,7.1,7.36,7.025,7.34,389585
2024-05-07,7.34,7.471,7.22,7.25,481782
2024-05-08,4.56,5.355,4.38,5.35,5269088
2024-05-09,5.33,5.44,5.03,5.17,3323524
2024-05-10,5.2,5.3725,4.93,5.32,2905589
2024-05-13,5.38,5.66,5.35,5.43,1002071
2024-05-14,5.5,5.7,5.43,5.45,937465
2024-05-15,5.54,5.645,5.35,5.57,2015514
2024-05-16,5.65,5.65,5.43,5.5,680871
2024-05-17,5.53,5.54,5.435,5.5,690582
2024-05-20,5.49,5.72,5.46,5.67,906576
2024-05-21,5.64,5.82,5.62,5.65,916494
