Date,Open,High,Low,Close,Volume
2025-06-09,1.95,2.19,1.95,2.05,70848
2025-06-10,2.06,2.2,1.95,2.07,61335
2025-06-11,2.06,2.1187,1.99,2.0,42680
2025-06-12,2.0,2.025,1.9,1.94,59662
2025-06-13,1.91,1.94,1.82,1.83,101466
2025-06-16,1.88,1.9216,1.84,1.86,30514
2025-06-17,1.895,1.895,1.83,1.85,21139
2025-06-18,1.85,1.98,1.85,1.98,62699
2025-06-20,2.04,2.07,2.0,2.02,30297
2025-06-23,2.02,2.02,1.91,1.95,19434
2025-06-24,1.95,2.01,1.94,1.98,26417
2025-06-25,1.98,2.01,1.94,1.94,23045
2025-06-26,1.9433,1.97,1.94,1.97,28858
2025-06-27,1.97,2.02,1.9415,2.02,26883
2025-06-30,2.04,2.11,2.02,2.1,38672
2025-07-01,2.08,2.2,2.05,2.14,49483
2025-07-02,2.13,2.18,2.115,2.18,28525
2025-07-03,2.2,2.3,2.14,2.2,30769
2025-07-07,2.18,2.18,2.01,2.12,67791
2025-07-08,2.15,2.24,2.0784,2.2,44138
2025-07-09,2.178,2.33,2.178,2.33,24955
2025-07-10,2.29,2.29,2.19,2.28,26328
2025-07-11,2.25,2.26,2.09,2.09,31983
2025-07-14,2.1,2.2,2.06,2.2,64342
2025-07-15,2.22,2.22,2.08,2.08,20281
2025-07-16,2.09,2.11,2.06,2.08,16455
2025-07-17,2.15,2.22,2.11,2.22,38503
2025-07-18,2.23,2.23,2.095,2.14,17953
2025-07-21,2.13,2.25,2.0701,2.22,34535
2025-07-22,2.25,2.38,2.22,2.33,224944
2025-07-23,2.35,2.45,2.33,2.4,33281
2025-07-24,2.38,2.4,2.27,2.32,50379
2025-07-25,2.31,2.4,2.26,2.31,22006
2025-07-28,2.3,2.37,2.28,2.3,30676
2025-07-29,2.28,2.3399,2.14,2.21,46809
2025-07-30,2.3027,2.3027,2.21,2.24,31016
2025-07-31,2.29,2.29,2.09,2.1,11062
2025-08-01,2.09,2.13,2.04,2.11,26811
2025-08-04,2.11,2.1356,2.09,2.12,16097
2025-08-05,2.12,2.27,2.12,2.26,17933
2025-08-06,2.3,2.36,2.21,2.3,10284
2025-08-07,2.32,2.3287,2.1101,2.29,18322
2025-08-08,2.28,2.35,2.2144,2.28,19382
2025-08-11,2.28,2.35,2.16,2.2,31044
2025-08-12,2.22,2.3299,2.22,2.27,4896
2025-08-13,2.27,2.31,2.2,2.2,24235
2025-08-14,2.18,2.265549,2.12,2.21,32330
2025-08-15,2.15,2.24,2.13,2.1435,16741
2025-08-18,2.16,2.2,2.08,2.08,57362
2025-08-19,2.1368,2.17,2.1368,2.14,35103
2025-08-20,2.17,2.24,2.14,2.17,36127
2025-08-21,2.18,2.19,2.14,2.14,8284
2025-08-22,2.2,2.33,2.2,2.27,91663
2025-08-25,2.27,2.27,2.2,2.21,14804
2025-08-26,2.21,2.32,2.2,2.25,26218
2025-08-27,2.26,2.34,2.25,2.28,45202
2025-08-28,2.33,2.35,2.3104,2.33,10768
