Date,Open,High,Low,Close,Volume
2025-06-09,2.38,2.44,2.23,2.37,119440.0
2025-06-10,2.3405,2.39,2.31,2.35,53976.0
2025-06-11,2.31,2.34,2.2,2.24,113955.0
2025-06-12,2.2,2.22,2.1,2.1,214794.0
2025-06-13,2.12,2.1774,2.11,2.12,43771.0
2025-06-16,2.2499,2.2499,2.09,2.14,26508.0
2025-06-17,2.1,2.1716,2.08,2.08,53741.0
2025-06-18,2.18,2.18,2.03,2.04,41455.0
2025-06-20,2.04,2.1229,2.01,2.03,45207.0
2025-06-23,2.07,2.07,1.91,1.99,45392.0
2025-06-24,1.99,2.0499,1.95,2.0,23884.0
2025-06-25,1.97,2.1,1.96,2.04,10478.0
2025-06-26,1.98,2.15,1.97,1.99,158216.0
2025-06-27,2.0,2.015,1.97,1.99,27926.0
2025-06-30,2.0,2.01,1.93,1.94,34977.0
2025-07-01,1.9437,1.98,1.91,1.945,37245.0
2025-07-02,1.92,1.9569,1.9,1.94,49473.0
2025-07-03,1.93,1.96,1.9052,1.9154,19099.0
2025-07-07,1.92,1.9439,1.85,1.935,61191.0
2025-07-08,1.91,2.0,1.91,1.9999,21934.0
2025-07-09,1.98,2.04,1.89,2.0206,46789.0
2025-07-10,2.0,2.0986,1.99,2.0954,20218.0
2025-07-11,2.11,2.11,2.0,2.04,17937.0
2025-07-14,2.0117,2.0924,2.0117,2.02,5878.0
2025-07-15,2.0081,2.05,1.89,1.9531,85477.0
2025-07-16,2.01,2.08,1.93,2.0002,157512.0
2025-07-17,2.03,2.0392,1.95,2.01,23459.0
2025-07-18,2.04,2.1199,2.01,2.01,60592.0
2025-07-21,2.2,2.25,2.12,2.23,193528.0
2025-07-22,2.17,2.21,2.11,2.17,52298.0
2025-07-23,2.16,2.16,2.12,2.133,41394.0
2025-07-24,2.11,2.155,2.04,2.06,34545.0
2025-07-25,2.12,2.1743,2.02,2.165,84969.0
2025-07-28,2.1116,2.13,2.07,2.13,43566.0
2025-07-29,2.13,2.13,2.0,2.0,80094.0
2025-07-30,2.08,2.08,1.95,1.953,39075.0
2025-07-31,1.977,1.99,1.91,1.9566,19228.0
2025-08-01,1.92,1.9722,1.9101,1.955,12738.0
2025-08-04,1.93,2.07,1.93,1.9441,27789.0
2025-08-05,1.935,1.94,1.9,1.9,33294.0
2025-08-06,1.9599,1.9599,1.92,1.92,9434.0
2025-08-07,1.96,1.99,1.8,1.8131,118554.0
2025-08-08,1.84,1.91,1.81,1.85,16627.0
2025-08-11,1.86,1.8831,1.81,1.84,12707.0
2025-08-12,1.8443,1.855,1.8,1.84,6179.0
2025-08-13,1.9,1.9,1.76,1.8294,31105.0
2025-08-14,1.81,1.84,1.8,1.82,19637.0
2025-08-15,1.85,1.8593,1.792199,1.8161,22096.0
2025-08-18,1.81,2.0,1.76,1.89,346909.0
2025-08-19,1.969,1.97,1.87,1.89,89977.0
2025-08-20,1.9,1.91,1.85,1.89,15814.0
2025-08-21,1.8938,1.8963,1.8,1.8378,16426.0
2025-08-22,1.88,1.91,1.8533,1.91,26962.0
2025-08-25,1.905,2.1499,1.9,2.105,135853.0
2025-08-26,2.12,2.25,2.05,2.22,156671.0
2025-08-27,2.2,2.2,2.13,2.15,45732.0
2025-08-28,2.09,2.11,2.01,2.08,67070.0
2025-08-29,2.08,2.088,2.04,2.06,12030.0
2025-09-02,2.03,2.1899,2.0001,2.1683,57442.0
2025-09-03,2.112,2.1533,2.0302,2.05,37398.0
2025-09-04,2.0383,2.08,2.03,2.07,14636.0
2025-09-05,2.0301,2.06,1.95,2.0362,61889.0
2025-09-08,2.0,2.1399,1.99,2.08,71183.0
2025-09-09,2.15,2.1933,2.06,2.18,59182.0
2025-09-10,2.24,2.28,2.13,2.25,162541.0
2025-09-11,2.25,2.3,2.05,2.13,337299.0
2025-09-12,2.1698,2.18,2.01,2.09,128203.0
2025-09-15,2.06,2.15,2.01,2.08,92280.0
2025-09-16,2.12,2.1999,2.08,2.18,144050.0
2025-09-17,2.16,2.18,2.13,2.13,37021.0
2025-09-18,2.14,2.1899,2.12,2.16,61442.0
2025-09-19,2.16,2.2,2.0502,2.075,36708.0
2025-09-22,2.08,2.17,2.06,2.13,54601.0
2025-09-23,2.14,2.3,2.1162,2.2951,168185.0
2025-09-24,2.27,2.34,2.21,2.2985,156457.0
2025-09-25,2.34,2.348,2.16,2.3,113417.0
2025-09-26,2.4,2.5,2.05,2.0662,555217.0
