Date,Open,High,Low,Close,Volume
2024-01-02,10.0,10.36,9.81,9.98,1613845
2024-01-03,9.754,9.94,9.4,9.47,1380842
2024-01-04,9.55,9.69,9.36,9.54,1767902
2024-01-05,9.38,9.3883,9.035,9.09,1482287
2024-01-08,9.03,9.445,8.785,9.41,1484322
2024-01-09,9.27,9.46,9.03,9.22,1249817
2024-01-10,9.19,9.47,9.0,9.46,1932368
2024-01-11,9.3,9.36,9.05,9.16,1316726
2024-01-12,9.25,9.45,8.92,9.07,1260007
2024-01-16,8.95,8.95,8.719,8.83,1032156
2024-01-17,8.6,8.675,8.3112,8.41,1157781
2024-01-18,8.48,8.51,8.1,8.17,1075607
2024-01-19,8.29,8.29,7.97,8.09,1143637
2024-01-22,8.17,8.49,8.135,8.33,1863267
2024-01-23,8.4,8.53,8.17,8.34,1396584
2024-01-24,8.43,8.51,8.0,8.04,1533889
2024-01-25,8.07,8.1788,7.74,7.78,1572533
2024-01-26,7.86,7.93,7.26,7.29,2169458
2024-01-29,7.29,7.6511,6.95,7.63,1680395
2024-01-30,7.52,7.52,7.165,7.21,1399114
2024-01-31,7.23,7.45,7.02,7.03,1298178
2024-02-01,7.07,7.28,6.97,7.22,1352517
2024-02-02,7.09,7.17,6.88,7.11,1200531
2024-02-05,6.98,7.13,6.91,7.08,1191803
2024-02-06,7.04,7.28,6.92,7.21,1813351
2024-02-07,7.16,7.185,6.96,7.11,1611043
2024-02-08,7.15,7.285,7.01,7.17,1683668
2024-02-09,7.25,7.48,7.12,7.45,1410141
2024-02-12,7.45,8.15,7.38,8.13,2007953
2024-02-13,7.75,7.76,7.325,7.4,2427390
2024-02-14,7.6,7.94,7.5447,7.92,2001798
2024-02-15,8.02,8.48,7.99,8.31,2005203
2024-02-16,8.18,8.24,8.04,8.15,1270985
2024-02-20,8.0,8.23,7.82,7.95,1288390
2024-02-21,7.95,8.0979,7.62,8.01,1204838
2024-02-22,8.0,8.13,7.7811,7.93,1568663
2024-02-23,7.89,7.92,7.675,7.81,1047016
2024-02-26,7.67,8.17,7.67,8.06,1499062
2024-02-27,8.3,9.015,8.15,8.86,3199636
2024-02-28,10.24,11.58,9.58,11.07,7179821
2024-02-29,11.29,11.38,10.02,10.06,3876535
2024-03-01,10.08,11.055,9.97,10.53,2700209
2024-03-04,10.57,10.7289,9.77,9.92,1964849
2024-03-05,9.77,9.95,9.05,9.14,2416997
2024-03-06,9.21,9.41,8.945,9.08,1868210
2024-03-07,9.16,9.34,8.69,8.85,2198492
2024-03-08,8.995,9.33,8.785,9.16,1690956
2024-03-11,9.16,9.6,8.91,9.0,1598758
2024-03-12,9.02,9.08,8.58,8.61,1459445
2024-03-13,8.56,8.86,8.485,8.59,1329836
2024-03-14,8.5,8.585,8.0739,8.15,1471370
2024-03-15,8.15,8.31,8.05,8.13,6638645
2024-03-18,8.1,8.15,7.7,7.72,2658315
2024-03-19,7.68,7.98,7.6,7.75,1993573
2024-03-20,7.67,8.12,7.59,7.92,2354479
2024-03-21,8.0,8.44,7.81,7.83,1985821
2024-03-22,7.76,7.775,7.44,7.47,1267855
2024-03-25,7.46,7.595,7.32,7.36,1171132
2024-03-26,7.46,7.585,7.2,7.22,1850850
2024-03-27,7.31,7.53,7.185,7.44,1281507
2024-03-28,7.46,7.52,7.365,7.42,1561233
2024-04-01,7.41,7.41,7.145,7.28,1246942
2024-04-02,7.12,7.13,6.86,6.87,2221444
2024-04-03,6.82,7.0247,6.654,6.86,1812638
2024-04-04,7.0,7.09,6.77,6.81,2094770
2024-04-05,6.77,6.845,6.62,6.72,1255334
2024-04-08,6.74,6.87,6.68,6.72,1040296
2024-04-09,6.74,7.03,6.665,7.01,1568958
2024-04-10,6.8,6.8,6.54,6.63,2134892
2024-04-11,6.65,6.767,6.44,6.58,1476420
2024-04-12,6.53,6.53,6.13,6.21,2024621
2024-04-15,6.25,6.29,5.975,6.08,1771828
2024-04-16,5.98,6.03,5.85,5.85,1338818
2024-04-17,5.89,5.93,5.6,5.61,1910234
2024-04-18,5.6,5.68,5.5112,5.55,1715551
2024-04-19,5.52,5.68,5.285,5.5,2264211
2024-04-22,5.59,5.79,5.38,5.6,1745138
2024-04-23,5.66,5.92,5.46,5.46,1648540
2024-04-24,5.51,5.59,5.28,5.35,1908326
2024-04-25,5.27,5.27,5.11,5.22,1543788
2024-04-26,5.25,5.395,5.1299,5.32,1352190
2024-04-29,5.38,5.545,5.3,5.37,1266095
2024-04-30,5.33,5.36,5.2,5.21,1467552
2024-05-01,5.21,5.67,5.21,5.47,2617619
2024-05-02,5.54,5.64,5.41,5.62,1664383
2024-05-03,5.8,5.97,5.64,5.67,1613699
2024-05-06,5.73,5.78,5.55,5.66,1492893
2024-05-07,5.7,5.81,5.595,5.68,1567154
2024-05-08,5.4,5.4,4.91,5.035,4346916
2024-05-09,5.19,5.76,5.1599,5.56,2718539
2024-05-10,5.52,5.69,5.25,5.32,1637650
2024-05-13,5.43,6.04,5.4,5.71,1925180
2024-05-14,5.86,6.18,5.67,5.68,1625855
2024-05-15,6.09,6.69,5.915,6.0,2445652
2024-05-16,6.02,6.126,5.8,5.89,1650447
2024-05-17,5.89,5.935,5.585,5.62,1741808
2024-05-20,5.68,5.72,5.485,5.52,1151734
2024-05-21,5.49,5.645,5.38,5.51,1557143
2024-05-22,5.51,6.18,5.505,6.02,2764031
2024-05-23,6.01,6.0512,5.655,5.83,2710692
2024-05-24,5.89,5.96,5.5892,5.63,1305042
2024-05-28,5.72,5.8,5.255,5.32,1716183
2024-05-29,5.24,5.24,4.9901,5.1,1874663
2024-05-30,5.15,5.38,5.05,5.17,1745214
2024-05-31,5.19,5.42,5.16,5.2,2429981
2024-06-03,5.28,5.685,5.27,5.41,2194653
2024-06-04,5.41,5.81,5.35,5.75,2449863
2024-06-05,5.81,5.93,5.475,5.6,2096295
