Date,Open,High,Low,Close,Volume
2025-06-09,0.954951,0.99,0.932101,0.94,34746
2025-06-10,0.94,0.99,0.94,0.96,41646
2025-06-11,0.9457,0.978,0.93,0.942,30165
2025-06-12,0.9353,0.9777,0.931,0.94,16736
2025-06-13,0.924,0.924,0.9,0.9,21988
2025-06-16,0.9359,1.07,0.9271,1.03,289152
2025-06-17,1.0,1.06,0.99,1.03,38921
2025-06-18,1.0,1.0799,1.0,1.045,93700
2025-06-20,1.06,1.17,1.034,1.09,139267
2025-06-23,1.11,1.2159,1.11,1.16,228887
2025-06-24,1.19,1.27,1.15,1.19,237912
2025-06-25,1.17,1.3,1.1501,1.26,209207
2025-06-26,1.26,1.27,1.18,1.21,67240
2025-06-27,1.24,1.24,1.1501,1.2,68219
2025-06-30,1.18,1.23,1.11,1.12,196647
2025-07-01,1.14,1.16,1.11,1.12,54537
2025-07-02,1.11,1.16,1.11,1.13,33878
2025-07-03,1.16,1.2115,1.15,1.18,141087
2025-07-07,1.19,1.22,1.19,1.21,100617
2025-07-08,1.2,1.2,1.14,1.18,62809
2025-07-09,1.2,1.38,1.18,1.3,319600
2025-07-10,1.29,1.36,1.26,1.34,241821
2025-07-11,1.34,1.36,1.23,1.28,108051
2025-07-14,1.27,1.34,1.25,1.28,133511
2025-07-15,1.26,1.27,1.22,1.23,31040
2025-07-16,1.24,1.2414,1.19,1.23,26903
2025-07-17,1.22,1.31,1.2,1.2,60646
2025-07-18,1.2,1.27,1.16,1.19,74357
2025-07-21,1.21,1.235,1.18,1.19,95904
2025-07-22,1.18,1.32,1.16,1.18,138463
2025-07-23,1.1708,1.19,1.16,1.17,97368
2025-07-24,1.17,1.19,1.13,1.142,55709
2025-07-25,1.17,1.1799,1.12,1.122,39390
2025-07-28,1.2,1.29,1.16,1.26,1049529
2025-07-29,1.3,1.44,1.28,1.42,670998
2025-07-30,1.49,1.6592,1.44,1.54,1012091
2025-07-31,1.5,1.6,1.48,1.49,312174
2025-08-01,1.45,1.52,1.41,1.45,250684
2025-08-04,1.5,1.66,1.47,1.48,819597
2025-08-05,1.49,1.5299,1.34,1.39,526349
2025-08-06,1.398,1.4,1.31,1.35,329142
2025-08-07,1.33,1.39,1.32,1.35,214110
2025-08-08,1.37,1.4856,1.3539,1.43,245313
2025-08-11,1.49,1.58,1.43,1.47,467775
2025-08-12,1.47,1.64,1.47,1.57,509140
2025-08-13,1.62,1.7799,1.5,1.56,1040181
2025-08-14,1.59,1.84,1.55,1.78,949948
2025-08-15,1.93,2.1,1.762,1.82,2287069
2025-08-18,1.73,1.75,1.22,1.25,10584035
2025-08-19,1.24,1.24,1.02,1.05,2931160
2025-08-20,1.12,1.15,1.0303,1.1,883715
2025-08-21,1.1,1.12,1.01,1.03,944741
2025-08-22,1.01,1.05,0.98,1.05,904020
2025-08-25,1.07,1.12,1.05,1.08,636882
2025-08-26,1.085,1.11,1.0646,1.08,383318
2025-08-27,1.13,1.13,1.075,1.09,438608
2025-08-28,1.1,1.1,1.03,1.04,302244
2025-08-29,1.04,1.06,1.02,1.05,208950
2025-09-02,1.04,1.0664,1.01,1.06,194727
2025-09-03,1.07,1.07,1.02,1.06,218135
2025-09-04,1.04,1.07,1.02,1.07,276191
2025-09-05,1.06,1.08,1.05,1.06,185738
2025-09-08,1.07,1.0759,1.04,1.04,255681
2025-09-09,1.04,1.05,1.01,1.03,184614
2025-09-10,1.03,1.04,1.0,1.015,236891
2025-09-11,1.03,1.08,1.03,1.07,289824
2025-09-12,1.05,1.08,1.05,1.07,228734
2025-09-15,1.07,1.0801,1.05,1.065,143976
2025-09-16,1.07,1.08,1.05,1.08,129695
2025-09-17,1.08,1.09,1.03,1.05,134880
2025-09-18,1.05,1.05,1.01,1.05,160503
2025-09-19,1.05,1.06,1.04,1.045,70526
2025-09-22,1.04,1.06,1.02,1.0553,74894
2025-09-23,1.05,1.08,1.05,1.05,273433
2025-09-24,1.05,1.06,1.03,1.045,88622
2025-09-25,1.03,1.055,1.02,1.03,140311
2025-09-26,1.03,1.035,1.01,1.03,124339
2025-09-29,1.02,1.04,1.01,1.01,244638
2025-09-30,1.03,1.04,1.02,1.04,163845
2025-10-01,1.02,1.05,1.02,1.03,92787
2025-10-02,1.03,1.05,1.01,1.04,117616
2025-10-03,1.04,1.06,1.03,1.06,137737
2025-10-06,1.07,1.15,1.045,1.145,466294
2025-10-07,1.15,1.15,1.12,1.13,234468
2025-10-08,1.14,1.19,1.1,1.17,304912
2025-10-09,1.17,1.21,1.16,1.175,261200
2025-10-10,1.17,1.21,1.1301,1.15,129196
2025-10-13,1.1,1.12,1.07,1.1,281166
2025-10-14,1.1,1.13,1.09,1.11,98367
2025-10-15,1.14,1.16,1.1301,1.16,223314
2025-10-16,1.15,1.15,1.09,1.095,83307
2025-10-17,1.07,1.1,1.06,1.06,84728
2025-10-20,1.07,1.072,1.05,1.06,108134
2025-10-21,1.04,1.095,1.03,1.095,114376
2025-10-22,1.08,1.1,1.05,1.06,275210
2025-10-23,1.06,1.065,1.04,1.055,75052
2025-10-24,1.06,1.09,1.05,1.065,125024
2025-10-27,1.1,1.1,1.06,1.08,85842
2025-10-28,1.08,1.12,1.08,1.08,197096
2025-10-29,1.09,1.16,1.03,1.07,508861
2025-10-30,1.07,1.075,1.04,1.05,68836
2025-10-31,1.05,1.0686,1.0286,1.05,66179
2025-11-03,1.06,1.0699,1.04,1.05,80220
2025-11-04,1.03,1.0537,1.03,1.03,57763
2025-11-05,1.02,1.02,0.98,0.9999,177617
2025-11-06,1.01,1.01,0.98,1.01,117218
2025-11-07,1.0,1.0099,0.981,1.0,88963
2025-11-10,1.0,1.03,0.994,1.0,107419
2025-11-11,1.01,1.04,1.0043,1.04,58563
2025-11-12,1.02,1.05,1.01,1.02,78761
2025-11-13,1.02,1.03,0.97,0.9901,79238
2025-11-14,0.97,0.9999,0.97,0.9913,104884
2025-11-17,0.97,0.9999,0.97,0.9751,69089
2025-11-18,0.971,1.0,0.9604,0.9784,130237
2025-11-19,0.98,0.9898,0.92,0.9386,177600
2025-11-20,0.9401,0.9669,0.91,0.9125,135206
2025-11-21,0.9098,0.9408,0.8313,0.8968,220129
2025-11-24,1.595,1.81,1.0,1.02,208570510
2025-11-25,0.99,1.02,0.8969,0.98,5438077
2025-11-26,1.02,1.06,0.88,0.9,2989117
2025-11-28,0.94,0.98,0.9,0.9699,1222147
2025-12-01,0.96,0.96,0.8926,0.919,740687
2025-12-02,0.9482,0.9699,0.91,0.9545,840642
2025-12-03,0.96,1.14,0.9574,1.09,2379706
2025-12-04,1.06,1.18,1.06,1.16,940194
2025-12-05,1.2,1.245,1.13,1.21,1053041
2025-12-08,1.22,1.24,1.09,1.1,1473810
2025-12-09,1.12,1.125,1.01,1.02,1108934
2025-12-10,1.04,1.06,0.95,0.96,666185
2025-12-11,1.0,1.0,0.913,0.959,989413
2025-12-12,0.99,0.9998,0.9,0.9289,923533
2025-12-15,0.9576,0.9587,0.85,0.861,1127568
2025-12-16,0.8736,0.8759,0.7936,0.846,1240705
2025-12-17,0.879,0.8798,0.8,0.8339,816429
2025-12-18,0.84,0.8722,0.8316,0.8316,493009
2025-12-19,0.83,0.86,0.8,0.8349,574917
2025-12-22,0.84,0.8511,0.81,0.825,410655
2025-12-23,0.82,0.848,0.811,0.826,247906
2025-12-24,0.8221,0.8221,0.74005,0.773,864160
2025-12-26,0.79,0.79,0.73,0.7477,408512
2025-12-29,0.74,0.777,0.7356,0.7449,424337
2025-12-30,0.72,0.721,0.667,0.672,575323
2025-12-31,0.66,0.7199,0.66,0.7032,363117
2026-01-02,0.7215,0.77,0.7034,0.7549,396906
2026-01-05,0.8125,0.8125,0.755,0.7814,292135
2026-01-06,0.7998,0.8215,0.76,0.8191,260187
2026-01-07,0.85,0.86,0.8003,0.8221,361091
2026-01-08,0.82,0.86,0.8049,0.8379,180310
2026-01-09,0.86,0.94,0.8432,0.9017,465987
2026-01-12,0.946,0.9748,0.9,0.9527,555749
2026-01-13,0.9305,0.9305,0.8538,0.8846,455721
2026-01-14,0.9412,0.97,0.8946,0.9665,565840
2026-01-15,0.9507,1.03,0.9166,0.9338,1116961
2026-01-16,0.97,0.986262,0.9326,0.94,383855
2026-01-20,0.9566,0.99,0.945,0.98,382418
2026-01-21,0.982,1.02,0.9201,0.981,616129
2026-01-22,0.97,1.08,0.97,1.05,603166
2026-01-23,1.09,1.105,1.05,1.08,534922
2026-01-26,1.09,1.2,1.05,1.17,675875
2026-01-27,1.18,1.26,1.17,1.2,536851
2026-01-28,1.17,1.18,1.14,1.15,265877
2026-01-29,1.14,1.14,1.015,1.04,564846
2026-01-30,1.0,1.04,0.99,1.01,356812
2026-02-02,1.0,1.08,1.0,1.04,250872
2026-02-03,1.04,1.09,1.0191,1.09,263817
2026-02-04,1.09,1.1,1.01,1.1,304000
2026-02-05,1.09,1.26,1.06,1.16,1220516
2026-02-06,1.2,1.2001,1.1389,1.16,314814
2026-02-09,1.19,1.2,1.13,1.15,363213
2026-02-10,1.16,1.19,1.1,1.15,311281
2026-02-11,1.15,1.17,1.13,1.14,315394
2026-02-12,1.15,1.155,1.1,1.1,265730
2026-02-13,1.12,1.14,1.085,1.11,108201
2026-02-17,1.09,1.12,1.08,1.1,131673
2026-02-18,1.06,1.13,1.06,1.12,154094
2026-02-19,1.07,1.11,1.05,1.05,150984
2026-02-20,1.02,1.04,1.0,1.01,66744
2026-02-23,1.02,1.07,1.0,1.04,448418
2026-02-24,1.03,1.25,1.03,1.16,858017
2026-02-25,1.17,1.17,1.085,1.1,235900
2026-02-26,1.08,1.16,1.06,1.15,153337
2026-02-27,1.13,1.16,1.11,1.15,161803
2026-03-02,1.09,1.18,1.09,1.17,341198
2026-03-03,1.12,1.16,1.12,1.14,199197
2026-03-04,1.13,1.2,1.13,1.2,180700
2026-03-05,1.17,1.18,1.12,1.13,107569
2026-03-06,1.11,1.1746,1.1,1.15,195157
2026-03-09,1.12,1.17,1.12,1.16,98258
2026-03-10,1.17,1.17,1.12,1.16,124324
2026-03-11,1.14,1.155,1.11,1.12,109663
2026-03-12,1.12,1.1375,1.06,1.07,222455
2026-03-13,1.05,1.0987,1.0301,1.04,105926
2026-03-16,1.04,1.09,1.04,1.08,119481
2026-03-17,1.09,1.14,1.08,1.1,153918
2026-03-18,1.09,1.11,1.07,1.09,246729
2026-03-19,1.08,1.09,1.0601,1.08,88600
2026-03-20,1.11,1.11,1.015,1.02,240224
2026-03-23,1.07,1.115,1.06,1.11,277229
2026-03-24,1.09,1.13,1.05,1.1,298212
2026-03-25,1.305,1.32,1.05,1.2,12601370
2026-03-26,1.17,1.17,1.08,1.09,780689
2026-03-27,1.09,1.09,1.05,1.05,230927
2026-03-30,1.01,1.02,0.8743,0.9,379348
2026-03-31,0.9201,0.9578,0.8915,0.9301,337301
2026-04-01,0.98,1.06,0.94,0.9623,481997
2026-04-02,0.955,0.9946,0.9,0.952,307478
2026-04-06,0.938,0.938,0.8529,0.8736,329269
2026-04-07,0.9024,0.92,0.8334,0.8334,182038
2026-04-08,0.861,1.01,0.86,0.9331,1492276
2026-04-09,0.9367,0.9497,0.9,0.9496,235334
2026-04-10,0.9313,0.975,0.93,0.9615,177093
2026-04-13,0.8749,0.9137,0.741,0.8382,1831963
2026-04-14,0.8197,0.8549,0.7822,0.816,734792
2026-04-15,0.7999,0.83,0.782601,0.82,345750
2026-04-16,0.8196,0.8982,0.8,0.8886,1802990
