Date,Open,High,Low,Close,Volume
2025-06-09,2.1666,2.1666,1.9,2.12,29312
2025-06-10,2.08,2.25,2.08,2.125,40106
2025-06-11,2.19,2.28,2.04,2.1,46685
2025-06-12,2.08,2.09,2.0101,2.09,11537
2025-06-13,2.01,2.067,1.84,1.86,52053
2025-06-16,1.84,2.0495,1.84,2.0,46747
2025-06-17,1.94,2.18,1.9022,2.09,117325
2025-06-18,2.06,2.09,1.99,1.99,5076
2025-06-20,1.99,2.06,1.975,1.98,9151
2025-06-23,1.99,2.0608,1.8557,1.96,96000
2025-06-24,1.96,2.01,1.92,1.96,13875
2025-06-25,2.0,2.02,1.91,1.97,17923
2025-06-26,2.0153,2.04,1.96,2.0,14291
2025-06-27,2.0,2.0,1.91,1.9799,15703
2025-06-30,1.91,2.02,1.8401,1.9,11842
2025-07-01,1.95,1.96,1.85,1.86,46461
2025-07-02,1.89,1.94,1.8712,1.91,13911
2025-07-03,1.88,1.9586,1.88,1.8901,18161
2025-07-07,1.89,1.9899,1.8,1.83,26541
2025-07-08,1.85,1.86,1.75,1.78,130151
2025-07-09,1.8,1.8807,1.7706,1.83,32963
2025-07-10,1.86,1.86,1.82,1.84,9077
2025-07-11,1.8274,1.83,1.72,1.73,19154
2025-07-14,1.74,1.8414,1.73,1.8,21013
2025-07-15,1.77,1.94,1.76,1.88,57228
2025-07-16,1.99,2.04,1.94,2.04,63000
2025-07-17,2.04,2.09,2.0,2.04,55400
2025-07-18,2.09,2.09,2.0188,2.05,44516
2025-07-21,2.05,2.078,1.97,1.9892,78458
2025-07-22,2.02,2.02,1.91,1.95,34069
2025-07-23,2.0358,2.0358,1.92,1.93,24240
2025-07-24,2.03,2.03,1.9,1.91,71175
2025-07-25,1.91,1.91,1.85,1.86,37732
2025-07-28,2.02,2.35,1.94,2.06,4288228
2025-07-29,2.15,2.16,2.02,2.02,153648
2025-07-30,2.0,2.07,1.99,2.02,110210
2025-07-31,2.0,2.01,1.92,1.93,93230
2025-08-01,1.92,1.98,1.9153,1.95,30635
2025-08-04,1.99,2.1394,1.99,2.08,190742
2025-08-05,2.08,2.135,2.02,2.02,64915
2025-08-06,2.11,2.11,1.9601,1.98,95671
2025-08-07,1.96,1.975,1.795,1.8,204195
2025-08-08,1.85,1.885,1.76,1.82,114846
2025-08-11,1.81,1.89,1.8,1.88,43322
2025-08-12,1.8849,1.915,1.875,1.89,39390
2025-08-13,1.92,1.94,1.89,1.94,40461
2025-08-14,1.98,1.98,1.87,1.97,89820
2025-08-15,1.96,2.03,1.96,2.0,76704
2025-08-18,1.99,2.03,1.9808,2.0,63462
2025-08-19,1.99,1.99,1.89,1.89,26953
2025-08-20,1.89,1.9223,1.8,1.9,29219
2025-08-21,1.93,1.96,1.9,1.95,14034
2025-08-22,2.015,2.015,1.91,1.94,35454
2025-08-25,1.89,1.99,1.89,1.95,48389
2025-08-26,1.98,1.99,1.94,1.98,22275
2025-08-27,1.95,2.0134,1.95,1.96,23335
2025-08-28,1.99,2.01,1.94,1.94,50297
2025-08-29,2.01,2.01,1.915,1.93,21517
2025-09-02,1.93,2.01,1.93,1.98,84603
2025-09-03,2.01,2.1,2.001,2.03,79953
2025-09-04,2.07,2.22,2.0,2.16,205504
2025-09-05,2.19,2.19,2.0066,2.06,210794
2025-09-08,2.09,2.09,1.9505,2.0,237515
2025-09-09,2.01,2.03,1.825,1.86,117131
2025-09-10,1.88,1.9727,1.84,1.86,50179
2025-09-11,1.83,1.87,1.83,1.85,35320
2025-09-12,1.85,1.86,1.8,1.8,101365
2025-09-15,1.82,1.89,1.8,1.83,125293
2025-09-16,1.83,1.8866,1.81,1.82,32934
2025-09-17,1.815,1.8552,1.77,1.77,56138
2025-09-18,1.8,1.87,1.798,1.8,51607
2025-09-19,1.81,1.82,1.78,1.8,46236
2025-09-22,1.86,1.86,1.76,1.81,53552
2025-09-23,1.93,1.93,1.82,1.83,44972
2025-09-24,1.84,1.86,1.8,1.8,45279
2025-09-25,1.81,1.8637,1.78,1.79,24690
2025-09-26,1.78,1.9186,1.78,1.82,67355
2025-09-29,1.81,1.96,1.81,1.95,63043
2025-09-30,1.98,1.98,1.86,1.92,31025
2025-10-01,1.9,1.94,1.85,1.8509,34860
2025-10-02,1.89,1.91,1.85,1.88,18851
2025-10-03,1.9,1.93,1.89,1.9,67203
2025-10-06,1.9,1.92,1.84,1.84,62063
2025-10-07,1.87,1.91,1.87,1.89,37728
2025-10-08,1.88,2.175,1.88,2.17,232346
2025-10-09,2.18,2.5458,2.15,2.51,625419
2025-10-10,2.5,2.71,2.3501,2.65,526456
2025-10-13,2.69,2.95,2.51,2.7,345111
2025-10-14,2.55,2.81,2.5161,2.54,184319
2025-10-15,2.45,2.5,2.27,2.38,247324
2025-10-16,2.46,2.51,2.34,2.41,86149
2025-10-17,2.42,2.4302,2.25,2.35,61831
2025-10-20,2.36,2.53,2.36,2.47,73257
2025-10-21,2.51,2.51,2.3201,2.39,42820
2025-10-22,2.38,2.38,2.25,2.3,57019
2025-10-23,2.41,2.43,2.12,2.14,2533853
2025-10-24,2.13,2.2699,2.13,2.22,86873
2025-10-27,2.22,2.37,2.2,2.33,199180
2025-10-28,2.36,2.54,2.272,2.52,171929
2025-10-29,2.55,2.75,2.55,2.73,241591
2025-10-30,2.75,2.85,2.6,2.82,127156
2025-10-31,2.85,2.93,2.7475,2.91,240723
2025-11-03,2.87,2.97,2.77,2.84,184763
2025-11-04,2.73,2.92,2.45,2.8,266466
2025-11-05,2.79,3.11,2.7601,3.04,364029
2025-11-06,3.09,3.22,3.05,3.11,93365
2025-11-07,3.1,3.15,3.0007,3.14,129613
2025-11-10,3.15,3.15,2.9201,3.0,89887
2025-11-11,2.8488,3.07,2.82,3.01,67530
2025-11-12,3.01,3.07,2.84,2.91,56124
2025-11-13,2.89,2.922,2.607,2.74,56777
2025-11-14,2.61,2.79,2.61,2.71,49406
2025-11-17,2.72,2.7764,2.65,2.68,29604
2025-11-18,2.63,2.7226,2.5701,2.6,66008
2025-11-19,2.76,2.76,2.5939,2.65,21241
2025-11-20,2.71,2.795,2.52,2.58,132851
2025-11-21,2.58,2.6,2.4495,2.53,66979
2025-11-24,2.52,2.68,2.31,2.375,106077
2025-11-25,2.35,2.7299,2.26,2.49,225588
2025-11-26,2.4,2.49,2.34,2.38,67937
2025-11-28,2.39,2.53,2.38,2.38,39206
2025-12-01,2.35,2.474,2.27,2.29,46704
2025-12-02,2.26,2.39,2.175,2.22,71646
2025-12-03,2.22,2.3,2.05,2.06,123398
2025-12-04,2.07,2.25,2.07,2.11,94078
2025-12-05,2.15,2.23,2.05,2.15,115667
2025-12-08,2.14,2.19,2.1,2.13,24561
2025-12-09,2.14,2.16,2.07,2.07,59112
2025-12-10,2.15,2.15,2.08,2.12,37219
2025-12-11,2.16,2.27,2.09,2.21,51940
2025-12-12,2.185,2.19,2.12,2.16,95814
2025-12-15,2.17,2.22,2.04,2.08,75870
2025-12-16,2.06,2.12,2.0284,2.09,20073
2025-12-17,2.06,2.11,1.97,1.97,77541
2025-12-18,2.07,2.0799,1.92,1.94,31730
2025-12-19,1.95,2.0591,1.75,1.77,269475
2025-12-22,1.83,1.94,1.7464,1.88,460181
2025-12-23,1.85,1.9,1.69,1.76,375557
2025-12-24,1.78,1.815,1.74,1.74,127220
2025-12-26,1.76,1.7793,1.5948,1.72,291513
2025-12-29,1.67,1.86,1.53,1.8,146319
2025-12-30,1.87,2.04,1.8,2.0,186201
2025-12-31,1.96,1.98,1.81,1.94,117607
2026-01-02,1.96,1.9875,1.76,1.77,157268
2026-01-05,1.77,1.81,1.75,1.77,82189
2026-01-06,1.77,1.81,1.57,1.57,1477479
2026-01-07,1.6,1.6999,1.57,1.59,240356
2026-01-08,1.61,1.755,1.6,1.74,395593
2026-01-09,1.73,1.7788,1.6,1.6,258087
2026-01-12,1.6,1.7135,1.55,1.57,257455
2026-01-13,1.61,1.6337,1.45,1.46,175179
2026-01-14,1.49,1.8,1.46,1.63,829261
2026-01-15,1.63,1.7,1.58,1.58,102961
2026-01-16,1.59,1.665,1.55,1.62,137088
