Date,Open,High,Low,Close,Volume
2025-07-11,0.3378,0.37,0.331,0.3499,250246
2025-07-14,0.3478,0.3666,0.331,0.3666,69833
2025-07-15,0.34,0.41,0.34,0.381,569339
2025-07-16,0.3925,0.45,0.367401,0.4149,290210
2025-07-17,0.41,0.43,0.4001,0.421,115472
2025-07-18,0.422,0.4558,0.41,0.4151,287027
2025-07-21,0.4,0.4242,0.371,0.4141,243713
2025-07-22,0.4105,0.4265,0.37,0.391,310003
2025-07-23,0.4186,0.4249,0.393,0.412,333484
2025-07-24,0.37,0.4483,0.3603,0.367,473436
2025-07-25,0.4,0.41,0.38,0.4027,252472
2025-07-28,0.4096,0.47,0.3861,0.4456,505333
2025-07-29,0.4322,0.445,0.38,0.399,337406
2025-07-30,0.387,0.42,0.37,0.3846,265519
2025-07-31,0.3731,0.400601,0.3731,0.391,18285
2025-08-01,0.4,1.36,0.3702,0.71,144394517
2025-08-04,0.63,0.685,0.51,0.5633,8007943
2025-08-05,0.565,0.6,0.5279,0.596,2327988
2025-08-06,0.57,0.7961,0.55,0.6375,5911371
2025-08-07,0.65,0.652671,0.5201,0.553,1538207
2025-08-08,0.543,0.57,0.456,0.4952,538162
2025-08-11,1.09,1.25,0.8338,0.8858,245705348
2025-08-12,1.08,1.1,0.86,0.9341,13266351
2025-08-13,0.94,1.04,0.9136,0.93,2988457
2025-08-14,0.9888,1.0391,0.78,0.9801,2714518
2025-08-15,1.0,1.24,0.9349,1.14,5575067
2025-08-18,1.13,1.47,1.07,1.34,5276258
2025-08-19,1.35,1.39,1.11,1.2,1904915
2025-08-20,1.13,1.2192,1.1101,1.14,894684
2025-08-21,1.14,1.57,1.14,1.56,4863798
2025-08-22,1.52,2.26,1.51,1.9,14088705
2025-08-25,2.05,2.06,1.81,1.9,4176703
2025-08-26,1.9,2.23,1.755,1.95,2484087
2025-08-27,1.97,2.0,1.7,1.91,1860065
2025-08-28,1.89,1.96,1.73,1.82,1424414
2025-08-29,1.83,1.83,1.5,1.74,1607522
2025-09-02,1.67,1.73,1.56,1.72,811566
2025-09-03,1.67,1.9,1.59,1.87,1527138
2025-09-04,1.87,1.89,1.68,1.75,1300179
2025-09-05,1.73,2.35,1.73,1.91,7310389
2025-09-08,1.91,2.28,1.84,1.88,2271459
2025-09-09,1.85,2.102,1.815,1.83,1801703
2025-09-10,1.83,1.9868,1.78,1.84,909467
2025-09-11,1.87,2.0,1.8001,1.99,906058
2025-09-12,1.96,2.02,1.86,1.87,691407
2025-09-15,1.87,1.9169,1.71,1.71,878362
2025-09-16,1.74,1.772,1.59,1.63,952195
2025-09-17,1.61,1.685,1.53,1.53,660842
2025-09-18,1.53,1.5957,1.485,1.5,898280
2025-09-19,1.53,1.58,1.435,1.46,1167725
2025-09-22,1.43,1.5,1.34,1.45,1259322
2025-09-23,1.41,1.555,1.41,1.41,651087
2025-09-24,1.41,1.53,1.41,1.44,569861
2025-09-25,1.41,1.51,1.39,1.4,402207
2025-09-26,1.4,1.52,1.395,1.5,743375
2025-09-29,1.48,1.5498,1.46,1.46,590225
2025-09-30,1.42,1.46,1.4,1.43,454405
2025-10-01,1.43,1.4813,1.41,1.48,288865
2025-10-02,1.48,1.54,1.455,1.47,1048598
2025-10-03,1.45,1.4837,1.3101,1.33,741499
2025-10-06,1.38,1.51,1.33,1.5,1396677
2025-10-07,1.56,1.6384,1.45,1.49,732252
2025-10-08,1.49,1.49,1.41,1.47,379566
2025-10-09,1.48,1.49,1.42,1.44,328641
2025-10-10,1.44,1.44,1.33,1.34,361035
2025-10-13,1.35,1.4094,1.22,1.28,630093
2025-10-14,1.25,1.29,1.21,1.24,468889
2025-10-15,1.24,1.29,1.22,1.27,600930
2025-10-16,1.25,1.29,1.17,1.23,928459
2025-10-17,1.21,1.55,1.19,1.46,2794871
2025-10-20,1.45,1.52,1.42,1.46,445523
2025-10-21,1.48,1.48,1.36,1.38,349752
2025-10-22,1.406,1.406,1.25,1.29,563138
2025-10-23,1.29,1.39,1.29,1.33,76072
2025-10-24,1.36,1.44,1.35,1.41,176774
2025-10-27,1.41,1.45,1.32,1.37,160547
2025-10-28,1.35,1.39,1.31,1.35,160288
2025-10-29,1.35,1.4,1.3164,1.37,183447
2025-10-30,1.38,1.45,1.3501,1.42,216362
2025-10-31,1.44,1.455,1.38,1.41,190116
2025-11-03,1.42,1.58,1.38,1.55,675798
2025-11-04,1.51,1.56,1.44,1.44,481333
2025-11-05,1.44,1.44,1.25,1.26,615266
2025-11-06,1.25,1.32,1.23,1.265,449226
2025-11-07,1.24,1.24,1.07,1.1,382310
2025-11-10,1.14,1.19,0.9301,0.9682,688010
2025-11-11,0.93,1.0,0.9246,0.971,294919
2025-11-12,0.98,1.0,0.915,0.924,310371
2025-11-13,0.9078,0.949,0.814,0.84,389274
2025-11-14,0.84,1.06,0.7562,1.04,1352251
2025-11-17,1.07,1.16,1.01,1.05,482884
2025-11-18,1.03,1.05,0.9804,1.0,139211
2025-11-19,0.9902,1.03,0.99,1.01,162074
2025-11-20,1.03,1.18,0.9518,1.01,937699
2025-11-21,1.04,1.11,0.96,0.96,317482
2025-11-24,0.9924,1.1068,0.901,0.9466,677097
2025-11-25,0.964,0.995,0.9301,0.9344,254432
2025-11-26,0.91,1.02,0.91,1.02,310571
2025-11-28,0.9869,0.9966,0.89,0.9024,392763
2025-12-01,0.8887,0.9235,0.8599,0.86,201417
2025-12-02,0.87,0.8899,0.8228,0.8593,283112
2025-12-03,0.8521,0.885,0.812,0.8715,686454
2025-12-04,0.89,0.9176,0.87,0.8725,259935
2025-12-05,0.8642,0.899,0.8405,0.8524,154360
2025-12-08,0.847,0.8799,0.8355,0.8744,52927
2025-12-09,0.8578,0.96,0.8578,0.9,453832
2025-12-10,0.9898,1.14,0.915,1.07,1382460
2025-12-11,1.09,1.44,1.04,1.34,1219385
2025-12-12,1.34,1.38,1.231,1.28,555380
2025-12-15,1.34,1.345,1.1702,1.22,481766
