Date,Open,High,Low,Close,Volume
2025-07-11,4.13,4.1398,4.07,4.07,29351
2025-07-14,4.04,4.135,4.0391,4.12,62895
2025-07-15,4.31,4.31,4.18,4.2,57488
2025-07-16,4.23,4.24,4.1621,4.22,34998
2025-07-17,4.25,4.3,4.225,4.24,24819
2025-07-18,4.36,4.36,4.26,4.26,38466
2025-07-21,3.71,3.74,3.64,3.69,377337
2025-07-22,3.7,3.739,3.6604,3.72,111462
2025-07-23,3.77,3.85,3.7412,3.82,186399
2025-07-24,4.0,4.07,3.9972,4.05,96826
2025-07-25,4.2,4.265,4.17,4.26,87055
2025-07-28,4.41,4.415,4.25,4.26,85972
2025-07-29,4.32,4.32,4.2005,4.24,42754
2025-07-30,4.31,4.31,4.15,4.17,26509
2025-07-31,4.05,4.07,3.956827,3.98,37195
2025-08-01,3.96,4.03,3.95,4.02,29391
2025-08-04,3.9,3.92,3.88,3.88,58322
2025-08-05,3.87,3.88,3.83,3.88,19727
2025-08-06,3.82,3.82,3.75,3.75,64313
2025-08-07,3.86,3.88,3.7752,3.86,50826
2025-08-08,3.95,3.98,3.91,3.93,57832
2025-08-11,3.78,3.81,3.77,3.81,55664
2025-08-12,3.78,3.848,3.78,3.81,44472
2025-08-13,3.75,3.86,3.74,3.81,67165
2025-08-14,3.85,3.86,3.7601,3.82,55918
2025-08-15,3.7,3.78,3.6802,3.76,43217
2025-08-18,3.69,3.73,3.6654,3.68,65149
2025-08-19,3.7,3.74,3.61,3.61,56769
2025-08-20,3.56,3.6,3.545,3.57,39152
2025-08-21,3.52,3.58,3.4991,3.54,71065
2025-08-22,3.54,3.66,3.54,3.64,50424
2025-08-25,3.58,3.62,3.56,3.57,33224
2025-08-26,3.53,3.55,3.48,3.49,30323
2025-08-27,3.46,3.51,3.43,3.49,65382
2025-08-28,3.54,3.56,3.51,3.51,27923
2025-08-29,3.51,3.58,3.5,3.5,23954
2025-09-02,3.47,3.49,3.4,3.4,39644
2025-09-03,3.41,3.48,3.398,3.44,88300
2025-09-04,3.39,3.42,3.36,3.37,41281
2025-09-05,3.46,3.52,3.4431,3.48,85938
2025-09-08,3.47,3.51,3.43,3.49,26866
2025-09-09,3.47,3.48,3.44,3.44,17134
2025-09-10,3.4745,3.5,3.4,3.41,43081
2025-09-11,3.48,3.55,3.4501,3.48,47946
2025-09-12,3.51,3.51,3.43,3.47,15309
2025-09-15,3.5,3.55,3.4812,3.5,24231
2025-09-16,3.65,3.71,3.616,3.69,50143
2025-09-17,3.69,3.71,3.625,3.64,28893
2025-09-18,3.73,3.77,3.7,3.73,22956
2025-09-19,3.7,3.74,3.57,3.64,76706
2025-09-22,3.71,3.76,3.66,3.75,92017
