Date,Open,High,Low,Close,Volume
2025-07-11,2.33,2.356,2.18,2.19,828875
2025-07-14,2.21,2.2492,2.142,2.19,907161
2025-07-15,2.2,2.22,2.165,2.18,899297
2025-07-16,2.21,2.21,2.075,2.13,917868
2025-07-17,2.12,2.15,2.11,2.13,605184
2025-07-18,2.16,2.19,2.08,2.12,745377
2025-07-21,2.12,2.21,2.1029,2.17,729260
2025-07-22,2.18,2.31,2.15,2.29,713239
2025-07-23,2.31,2.35,2.29,2.33,717954
2025-07-24,2.32,2.32,2.22,2.22,486689
2025-07-25,2.22,2.25,2.18,2.22,363670
2025-07-28,2.23,2.26,2.22,2.25,456347
2025-07-29,2.25,2.25,2.1,2.12,540242
2025-07-30,2.14,2.18,2.06,2.08,553635
2025-07-31,2.09,2.1395,2.02,2.03,332546
2025-08-01,2.0,2.01,1.915,1.98,794082
2025-08-04,2.0,2.04,1.98,2.03,271280
2025-08-05,2.08,2.125,2.02,2.07,571737
2025-08-06,2.105,2.105,1.98,1.98,478205
2025-08-07,1.98,2.02,1.93,1.94,832718
2025-08-08,1.89,1.94,1.6001,1.705,1967772
2025-08-11,1.69,1.85,1.68,1.79,992814
2025-08-12,1.8,1.83,1.75,1.8,917509
2025-08-13,1.82,1.92,1.82,1.9,951892
2025-08-14,1.87,1.9085,1.75,1.8,1402460
2025-08-15,1.82,1.84,1.79,1.8,517995
2025-08-18,1.79,1.83,1.785,1.81,590902
2025-08-19,1.83,1.83,1.73,1.75,729775
2025-08-20,1.76,1.76,1.69,1.71,624941
2025-08-21,1.7,1.77,1.7,1.74,424161
2025-08-22,1.75,1.83,1.74,1.83,501177
2025-08-25,1.84,1.86,1.795,1.83,636917
2025-08-26,1.83,1.885,1.82,1.86,603787
2025-08-27,1.9,2.06,1.87,1.92,1053596
2025-08-28,1.96,1.975,1.91,1.95,422845
2025-08-29,1.96,1.98,1.91,1.96,368747
2025-09-02,1.94,1.94,1.88,1.92,463516
2025-09-03,1.92,1.93,1.88,1.88,331155
2025-09-04,1.89,1.92,1.875,1.91,388239
2025-09-05,1.91,1.965,1.89,1.92,351805
2025-09-08,1.92,1.99,1.8965,1.95,495367
2025-09-09,1.94,1.9465,1.91,1.94,304278
2025-09-10,1.94,1.955,1.87,1.88,354025
2025-09-11,1.87,1.97,1.87,1.96,436226
2025-09-12,1.96,1.96,1.91,1.92,347459
2025-09-15,1.92,1.941,1.89,1.9,335915
2025-09-16,1.9,1.93,1.86,1.92,432631
2025-09-17,1.91,2.0,1.89,1.94,560923
2025-09-18,1.98,2.02,1.96,1.99,524789
2025-09-19,1.98,2.03,1.91,1.95,1600160
2025-09-22,1.89,1.995,1.87,1.97,550150
2025-09-23,2.0,2.025,1.94,1.97,491531
2025-09-24,1.98,1.99,1.88,1.93,821942
2025-09-25,1.92,2.0,1.8901,1.94,490771
2025-09-26,1.94,1.975,1.92,1.95,282257
2025-09-29,1.95,1.98,1.92,1.93,280629
2025-09-30,1.93,1.94,1.84,1.85,477089
2025-10-01,1.85,1.8586,1.74,1.76,649352
2025-10-02,1.77,1.7789,1.74,1.77,433226
2025-10-03,1.79,1.83,1.7762,1.8,350570
2025-10-06,1.8,1.815,1.77,1.79,546719
2025-10-07,1.79,1.8,1.6835,1.7,614136
2025-10-08,1.71,1.755,1.69,1.73,460898
2025-10-09,1.73,1.74,1.69,1.73,532277
2025-10-10,1.76,1.77,1.62,1.64,759894
2025-10-13,1.65,1.7,1.639,1.69,620561
2025-10-14,1.66,1.745,1.65,1.71,339159
2025-10-15,1.71,1.7475,1.675,1.7,300186
2025-10-16,1.72,1.72,1.66,1.67,329930
2025-10-17,1.65,1.68,1.63,1.63,299274
2025-10-20,1.64,1.69,1.64,1.66,388363
2025-10-21,1.66,1.7,1.6462,1.69,307068
2025-10-22,1.68,1.7,1.65,1.68,338714
2025-10-23,1.67,1.69,1.63,1.68,289880
2025-10-24,1.69,1.745,1.69,1.73,429030
2025-10-27,1.76,1.76,1.69,1.71,329264
2025-10-28,1.71,1.73,1.67,1.69,188888
2025-10-29,1.68,1.69,1.6,1.62,388332
2025-10-30,1.6,1.615,1.58,1.59,506457
2025-10-31,1.59,1.63,1.58,1.63,374570
2025-11-03,1.63,1.66,1.59,1.61,414534
2025-11-04,1.6,1.63,1.57,1.58,524335
2025-11-05,1.59,1.63,1.57,1.62,298052
2025-11-06,1.62,1.6293,1.5001,1.57,983466
2025-11-07,1.5,1.5,1.35,1.37,717672
2025-11-10,1.42,1.43,1.36,1.36,338046
2025-11-11,1.35,1.4599,1.33,1.43,636871
2025-11-12,1.45,1.4781,1.4,1.4,345141
2025-11-13,1.4,1.49,1.4,1.42,293310
2025-11-14,1.44,1.53,1.4,1.52,900720
2025-11-17,1.51,1.555,1.45,1.49,732312
2025-11-18,1.48,1.515,1.45,1.48,518700
2025-11-19,1.46,1.5,1.46,1.47,386903
2025-11-20,1.5,1.5279,1.44,1.44,425483
2025-11-21,1.43,1.5,1.424,1.45,596827
2025-11-24,1.46,1.475,1.42,1.45,362878
2025-11-25,1.44,1.53,1.4387,1.52,370179
2025-11-26,1.53,1.5378,1.505,1.52,321226
