Date,Open,High,Low,Close,Volume
2024-01-02,3.0,3.07,2.59,2.69,1155479.0
2024-01-03,2.72,2.87,2.3,2.48,1311312.0
2024-01-04,2.42,2.78,2.38,2.5,881008.0
2024-01-05,2.48,2.58,2.11,2.42,769779.0
2024-01-08,2.41,2.4507,2.23,2.26,686411.0
2024-01-09,2.42,2.44,2.11,2.12,2494994.0
2024-01-10,2.18,2.2,1.87,1.94,1407295.0
2024-01-11,1.94,1.9499,1.81,1.86,665628.0
2024-01-12,1.87,1.98,1.84,1.92,465518.0
2024-01-16,1.95,2.03,1.79,1.81,490157.0
2024-01-17,1.76,1.885,1.6587,1.88,565090.0
2024-01-18,1.92,1.92,1.8,1.84,365952.0
2024-01-19,1.84,1.91,1.76,1.9,255647.0
2024-01-22,1.94,1.99,1.85,1.99,366742.0
2024-01-23,1.99,2.13,1.91,2.0,343825.0
2024-01-24,2.03,2.04,1.93,2.01,297577.0
2024-01-25,2.03,2.13,1.95,2.09,541303.0
2024-01-26,2.11,2.17,2.04,2.06,264523.0
2024-01-29,2.01,2.15,1.99,2.1,357274.0
2024-01-30,2.11,2.11,1.99,2.0,195066.0
2024-01-31,2.01,2.1,1.97,2.04,396137.0
2024-02-01,2.05,2.08,1.94,1.97,233642.0
2024-02-02,1.95,1.95,1.8101,1.85,396956.0
2024-02-05,1.83,1.83,1.7,1.72,507537.0
2024-02-06,1.72,1.75,1.63,1.72,528922.0
2024-02-07,1.72,1.75,1.6631,1.75,184883.0
2024-02-08,1.76,1.825,1.7,1.8,285401.0
2024-02-09,1.79,1.875,1.78,1.87,264266.0
2024-02-12,1.87,1.975,1.87,1.92,277803.0
2024-02-13,1.88,1.9,1.75,1.77,369297.0
2024-02-14,1.84,1.93,1.775,1.88,237164.0
2024-02-15,1.78,1.93,1.78,1.88,301677.0
2024-02-16,1.9,1.94,1.835,1.86,353147.0
2024-02-20,1.84,1.89,1.77,1.78,149505.0
2024-02-21,1.77,1.81,1.7,1.73,218582.0
2024-02-22,1.76,1.78,1.685,1.75,189130.0
