Date,Open,High,Low,Close,Volume
2025-06-09,19.6,19.6,18.02,18.896,15023.8
2025-06-10,19.298,19.8,17.886,18.72,18966.1
2025-06-11,19.258,19.258,17.352,17.4,9699.05
2025-06-12,17.6,17.946,16.724,17.45,8279.5
2025-06-13,17.2,17.2,15.888,16.174,11081.7
2025-06-16,17.196,17.196,15.4,15.94,12948.8
2025-06-17,16.0,16.2,15.058,15.066,18032.4
2025-06-18,15.318,15.55,14.192,14.36,14076.2
2025-06-20,14.6,15.398,13.912,13.912,15490.2
2025-06-23,14.0,15.49,13.8,14.418,19892.6
2025-06-24,14.368,15.148,14.2,14.918,13695.3
2025-06-25,14.8,14.88,14.244,14.406,11964.8
2025-06-26,15.0,15.0,13.94,14.24,40499.4
2025-06-27,14.4,14.8,12.362,12.362,167973.0
2025-06-30,14.04,14.04,12.438,12.444,23484.4
2025-07-01,12.444,12.6,12.01,12.012,33401.3
2025-07-02,12.0,12.49,11.88,12.204,18007.1
2025-07-03,12.6,13.0,12.032,12.24,18347.2
2025-07-07,12.65,13.2,11.866,12.1,16924.8
2025-07-08,12.0,12.3,11.666,12.106,24304.0
2025-07-09,12.4,13.308,12.2,13.2,34285.2
2025-07-10,13.0,13.176,12.402,12.98,16769.4
2025-07-11,13.4,13.594,12.276,12.586,15693.4
2025-07-14,12.8,12.91,12.242,12.8,20766.1
2025-07-15,13.0,14.398,12.902,13.942,27748.7
2025-07-16,13.8,14.518,12.792,14.34,22029.6
2025-07-17,14.12,14.678,13.456,13.8,28150.2
2025-07-18,14.0,14.0,12.9,13.428,20685.1
2025-07-21,13.8,13.8,13.22,13.344,14705.3
2025-07-22,13.52,13.8,12.908,13.402,23218.1
2025-07-23,13.4,13.402,12.12,13.24,25224.9
2025-07-24,13.4,13.4,12.802,13.132,15221.9
2025-07-25,13.4,13.998,12.9,13.534,23723.7
2025-07-28,14.394,14.396,12.776,13.12,43013.5
2025-07-29,12.8,13.002,12.0,12.138,47430.0
2025-07-30,12.0,13.148,11.602,12.694,29098.9
2025-07-31,12.6,12.966,12.38,12.74,9100.05
2025-08-01,12.74,13.16,12.062,12.972,37345.9
2025-08-04,12.698,13.0,12.1,12.17,20933.6
2025-08-05,12.2,12.598,10.92,11.106,38495.8
2025-08-06,11.234,11.776,10.678,10.728,18096.2
2025-08-07,11.0,11.2,10.564,10.684,21515.6
2025-08-08,10.806,12.09,10.752,11.648,50582.3
2025-08-11,12.0,12.096,10.946,11.094,21674.9
2025-08-12,11.094,11.58,10.806,11.496,13232.3
2025-08-13,11.32,12.148,11.2,11.784,15709.5
2025-08-14,11.43,12.0,11.2,11.76,13898.2
2025-08-15,11.526,11.876,11.21,11.47,14671.1
2025-08-18,11.6,12.6,11.322,12.344,18391.3
2025-08-19,12.0,12.398,11.76,11.78,13300.5
2025-08-20,12.2,12.2,11.322,11.4,15719.9
2025-08-21,11.628,12.15,11.4,11.778,15371.8
2025-08-22,11.61,12.498,11.438,11.772,49969.5
2025-08-25,12.266,12.8,11.994,12.226,38246.7
