Date,Open,High,Low,Close,Volume
2024-01-02,47.4,49.8,45.75,46.2,407089.7329262436
2024-01-03,45.3,45.6,43.5,44.7,406869.19959313073
2024-01-04,44.7,46.2,43.5,44.4,453693.96621297265
2024-01-05,44.1,45.3,41.7,42.0,384816.43294851686
2024-01-08,41.7,42.9,40.2,42.0,280077.29971992265
2024-01-09,41.4,42.0,40.2,40.2,234837.29976516264
2024-01-10,39.9,40.5,38.4,39.6,338883.43299444986
2024-01-11,39.3,39.3,36.6,37.5,341462.0996585379
2024-01-12,37.5,39.9,36.3,36.3,370094.999629905
2024-01-16,36.0,36.9,34.5,34.65,334932.33299840096
2024-01-17,34.2,34.5,32.7,33.3,385602.33294773096
2024-01-18,33.9,34.8,33.0,34.2,411347.93292198534
2024-01-19,34.8,35.4,33.0,34.95,386687.4662799791
2024-01-22,36.0,38.1,34.5,36.0,415661.89958433807
2024-01-23,37.5,39.3,36.6,38.4,474594.39952540555
2024-01-24,39.0,40.5,36.0,36.3,449140.79955085914
2024-01-25,36.6,37.5,35.4,36.3,306686.29969331366
2024-01-26,36.9,38.1,36.3,36.6,236659.7664300069
2024-01-29,36.6,38.4,35.7,37.8,268475.29973152466
2024-01-30,37.5,38.4,36.9,37.2,238004.93309532836
2024-01-31,36.3,39.51,36.0,36.0,689122.5326442107
2024-02-01,37.5,41.7,37.2,39.3,912169.6657544968
2024-02-02,37.8,38.55,37.2,38.1,423758.1329095752
2024-02-05,36.9,36.9,34.5,35.1,508406.4661582601
2024-02-06,36.6,37.5,35.1,36.9,444402.29955559765
2024-02-07,37.35,38.7,36.0,37.5,480122.7995198772
2024-02-08,36.9,38.1,36.3,37.5,374185.79962581414
2024-02-09,37.5,41.4,37.374,41.1,549968.1661166984
2024-02-12,41.1,45.6,40.575,45.0,537115.6661295509
2024-02-13,41.4,42.897,39.6,40.35,443278.8328900544
2024-02-14,41.7,42.9,40.2,42.15,360020.9329733124
2024-02-15,42.3,43.2,40.8,42.0,279295.8663873708
2024-02-16,41.4,42.3,40.5,41.4,323447.7996765522
2024-02-20,40.2,41.1,38.4,39.0,325217.96634144866
2024-02-21,38.7,38.7,37.2,37.8,290849.8997091501
2024-02-22,38.7,38.7,35.1,35.4,404568.19959543174
2024-02-23,36.3,36.3,33.9,34.2,430912.9662357537
2024-02-26,34.2,35.4,33.3,34.2,373853.6996261463
2024-02-27,35.4,37.5,34.5,37.2,490741.9995092579
2024-02-28,36.9,38.4,36.0,36.6,368516.1662981505
2024-02-29,36.9,39.0,35.4,35.7,453178.6995468213
2024-03-01,36.3,38.4,34.8,37.2,399976.4329333569
2024-03-04,37.5,38.1,36.0,37.2,298649.43303468387
2024-03-05,36.6,36.9,35.1,35.4,376377.26629028935
2024-03-06,36.0,37.5,34.5,36.6,593353.6327399797
2024-03-07,36.0,36.9,33.0,33.3,797582.3658690843
2024-03-08,33.9,35.1,33.3,33.9,579511.666087155
2024-03-11,33.9,35.7,33.3,33.3,412537.13292079617
2024-03-12,33.6,33.9,31.8,31.8,423410.83290992246
2024-03-13,32.4,33.0,30.6,30.9,378546.46628812014
2024-03-14,30.9,31.2,29.409,30.0,546292.332787041
2024-03-15,30.0,33.6,29.382,33.0,573374.1994266257
2024-03-18,33.0,33.0,31.8,32.1,232357.26643430936
2024-03-19,30.9,32.7,30.9,31.8,232740.89976725908
2024-03-20,31.5,35.4,31.2,34.5,360516.93297281634
2024-03-21,34.5,36.6,34.2,36.0,561250.6327720827
2024-03-22,36.0,36.0,33.75,34.2,248619.96641804668
2024-03-25,33.9,36.0,33.3,33.6,314097.89968590206
2024-03-26,33.6,35.4,33.0,33.0,359034.4996409655
2024-03-27,33.45,35.4,33.0,34.8,318952.5996810474
2024-03-28,34.8,36.6,34.8,35.7,380206.76628645987
2024-04-01,36.0,36.0,34.2,36.0,285611.03304772225
2024-04-02,35.1,35.106,33.6,33.9,247077.16641958948
2024-04-03,33.9,34.2,33.0,33.9,269778.33306355495
2024-04-04,33.9,36.3,33.6,34.2,384827.36628183926
2024-04-05,33.9,35.1,33.3,33.9,260645.69973935428
2024-04-08,34.65,35.4,33.9,34.5,309326.7996906732
2024-04-09,34.8,37.2,34.65,36.3,381473.9329518594
2024-04-10,35.1,35.4,33.9,34.5,428493.8995715061
2024-04-11,34.5,35.4,33.15,34.2,395091.8996049081
2024-04-12,33.9,34.8,33.0,33.0,264667.2664019994
2024-04-15,33.6,33.6,30.345,30.6,449627.1995503728
2024-04-16,30.6,31.2,30.0,30.0,324851.5330084818
