Date,Open,High,Low,Close,Volume
2024-01-02,5.04,5.05,4.98,5.01,4075
2024-01-03,5.08,5.64,5.08,5.38,105974
2024-01-04,5.1349,5.51,5.1349,5.32,16044
2024-01-05,5.05,5.3301,4.855,4.985,48363
2024-01-08,5.1,5.3605,5.05,5.05,12925
2024-01-09,5.14,5.14,4.9664,5.12,16358
2024-01-10,5.01,5.061,4.86,4.87,14800
2024-01-11,4.99,5.025,4.8,4.82,26844
2024-01-12,5.0,5.01,4.85,4.86,11731
2024-01-16,4.96,5.035,4.86,4.87,7869
2024-01-17,4.87,5.06,4.84,4.88,11473
2024-01-18,4.95,5.215,4.95,5.2,13307
2024-01-19,5.3,5.3,5.2238,5.2238,2188
2024-01-22,5.26,5.26,5.0684,5.07,1144
2024-01-23,5.07,5.78,5.07,5.5685,62355
2024-01-24,5.555,6.7499,5.5,6.2,109470
2024-01-25,6.56,6.79,6.3,6.3,37104
2024-01-26,6.35,6.85,6.299,6.505,54102
2024-01-29,6.75,6.8,6.03,6.05,17054
2024-01-30,5.779,6.2499,5.63,5.89,14376
2024-01-31,6.0,6.11,5.921,5.921,5358
2024-02-01,6.05,6.25,6.05,6.18,1290
2024-02-02,5.9854,6.395,5.9854,6.07,15542
2024-02-05,6.0101,6.1502,6.0101,6.1502,2648
2024-02-06,6.0116,7.9535,6.0116,7.35,61350
2024-02-07,7.38,7.84,7.3766,7.521,4595
2024-02-08,7.41,7.86,7.0001,7.18,12210
2024-02-09,7.21,7.5,7.14,7.5,4623
2024-02-12,7.73,7.9499,7.11,7.17,2588
2024-02-13,7.61,8.045,7.1,8.0,19388
2024-02-14,7.97,8.8582,7.97,8.695,37126
2024-02-15,8.16,9.53,7.5,8.4,42511
2024-02-16,8.56,8.56,7.93,8.05,14020
2024-02-20,8.05,9.13,8.0,8.87,37374
2024-02-21,9.22,9.3196,8.65,8.65,18914
2024-02-22,8.5192,9.02,8.01,8.02,45914
2024-02-23,8.1,8.52,8.1,8.44,5306
2024-02-26,8.44,8.8,8.27,8.45,6724
2024-02-27,8.6832,8.8,8.0201,8.27,17134
2024-02-28,8.2613,8.47,8.04,8.32,24449
2024-02-29,8.5416,8.578,8.12,8.12,3934
2024-03-01,8.26,8.26,8.26,8.26,1900
2024-03-04,8.2901,8.506,8.18,8.19,4351
2024-03-05,8.2,8.7,8.07,8.385,4722
2024-03-06,8.15,8.3642,8.072,8.35,16137
2024-03-07,8.67,8.9,8.51,8.885,11553
2024-03-08,8.93,9.19,8.815,9.0,9408
2024-03-11,9.0,9.2847,9.0,9.2295,3640
2024-03-12,9.15,10.41,9.15,9.425,27408
2024-03-13,9.2353,9.7299,9.105,9.4001,5636
2024-03-14,9.77,9.77,8.1001,8.79,10021
2024-03-15,9.5627,9.5627,8.4001,8.68,8276
2024-03-18,8.92,8.98,8.55,8.55,7359
2024-03-19,8.93,8.98,8.56,8.98,4446
2024-03-20,9.24,9.24,8.82,8.82,8308
2024-03-21,9.2,9.2,8.3,8.75,9745
2024-03-22,8.5,9.18,8.5,9.18,5419
2024-03-25,8.915,8.915,8.3401,8.36,6549
2024-03-26,8.665,8.665,8.1901,8.575,1852
2024-03-27,9.01,9.01,8.39,8.6857,2272
2024-03-28,8.49,8.82,8.48,8.786,5289
2024-04-01,8.69,8.82,8.305,8.345,5135
2024-04-02,8.3501,8.7,7.31,7.7459,11114
2024-04-03,7.7702,8.6,7.7702,8.13,13541
2024-04-04,9.0,9.0,8.12,8.12,1445
2024-04-05,7.965,7.97,7.965,7.97,1856
2024-04-08,7.64,8.005,7.64,7.69,1519
2024-04-10,7.9802,8.3,7.98,8.065,3866
2024-04-11,8.295,8.295,8.02,8.02,1488
2024-04-12,7.95,8.936,7.95,8.1583,21126
2024-04-15,8.5736,9.2751,8.5736,8.715,19126
2024-04-16,9.74,9.89,8.97,9.278,9199
2024-04-17,10.19,10.19,8.4784,8.4784,19653
2024-04-18,8.68,9.3,8.68,8.73,10317
2024-04-19,9.28,9.9899,9.28,9.55,12639
2024-04-22,10.044,10.147,9.7514,10.0056,13143
2024-04-23,10.3,11.59,10.23,11.2465,21293
2024-04-24,11.02,12.9911,10.86,11.35,51657
2024-04-25,11.56,12.06,10.5001,11.73,27793
2024-04-26,11.34,11.8,10.98,10.98,18619
2024-04-29,10.79,15.8,10.79,14.3,193217
2024-04-30,14.14,14.2,13.51,13.68,13191
2024-05-01,13.84,14.4989,13.51,14.02,16198
2024-05-02,13.77,13.77,11.8045,12.37,20090
2024-05-03,12.1,12.68,12.05,12.64,3735
2024-05-06,12.06,13.7,10.85,12.7,64822
2024-05-07,12.19,13.425,11.82,12.18,47693
2024-05-08,11.84,12.7384,11.832,12.61,41177
2024-05-09,12.85,12.99,12.501,12.501,4206
2024-05-10,12.7,13.77,12.4,13.435,43465
2024-05-13,13.4,15.18,13.4,14.76,39243
2024-05-14,14.77,15.2575,14.13,14.965,31481
2024-05-15,15.1,15.14,12.9105,13.29,22941
2024-05-16,13.29,14.05,12.86,12.86,22238
2024-05-17,13.06,13.06,12.5,13.0,3563
2024-05-20,12.82,13.4409,11.5,12.24,12043
2024-05-21,12.28,13.015,12.01,12.59,28933
2024-05-22,13.4,13.4999,12.3321,12.3321,7124
2024-05-23,12.5,12.77,12.0,12.0,5172
2024-05-24,12.5997,12.5997,12.29,12.3,4311
2024-05-28,12.52,12.875,12.1361,12.875,8334
2024-05-29,12.2,12.5,11.755,12.5,13844
2024-05-30,12.08,12.2005,12.0,12.16,6027
2024-05-31,12.18,12.19,11.825,12.14,3997
2024-06-03,11.94,11.94,10.85,11.49,1502
2024-06-04,11.42,11.42,9.58,10.33,13538
2024-06-05,10.8943,10.8943,9.5662,10.61,19699
2024-06-06,10.5,10.7,9.5201,10.56,1939
2024-06-07,10.6,12.375,10.4052,12.15,17435
2024-06-10,12.26,12.26,11.95,11.9899,734
2024-06-11,12.119,13.4799,12.049,13.4799,14951
2024-06-12,14.29,14.93,12.46,13.075,25875
2024-06-13,12.52,12.6,12.52,12.6,754
2024-06-14,13.12,13.12,11.091,12.57,15769
2024-06-17,12.9999,13.98,12.5101,12.87,25496
2024-06-18,12.63,12.63,12.51,12.51,1347
2024-06-20,12.5001,12.8962,12.2,12.2,5315
2024-06-21,12.0,12.4,12.0,12.0,3759
2024-06-24,11.79,12.0,10.07,11.37,8224
2024-06-25,11.67,12.47,11.515,12.47,2889
2024-06-26,11.9,11.9,11.9,11.9,532
2024-06-27,12.4613,13.4709,12.44,13.32,2551
2024-06-28,11.95,14.2082,11.95,14.2082,38516
2024-07-01,14.0,16.4,13.2226,16.38,41830
2024-07-02,17.4,17.68,15.51,16.3165,28594
2024-07-03,15.54,17.0,14.38,14.72,18046
2024-07-05,14.8,16.322,13.51,13.55,111043
2024-07-08,12.85,14.3118,12.85,13.92,50979
2024-07-09,14.25,15.08,13.32,13.975,22066
2024-07-10,13.8,15.0,13.105,14.2,48901
2024-07-11,13.9,15.0521,13.3801,13.395,74404
2024-07-12,13.5445,14.61,13.41,14.54,36051
2024-07-15,14.78,14.98,12.51,13.47,78169
2024-07-16,13.27,14.3999,13.0937,14.01,45376
2024-07-17,13.7,14.3,13.355,14.05,22295
2024-07-18,13.52,14.3651,12.91,13.89,76610
2024-07-19,13.89,14.0,13.06,13.5909,26477
2024-07-22,13.505,14.0,12.51,13.55,58583
2024-07-23,13.2699,14.23,12.0001,12.151,94268
2024-07-24,12.725,13.3,10.37,11.02,71084
2024-07-25,11.5,11.89,11.41,11.88,9356
2024-07-26,11.81,13.7,11.2353,12.785,95645
2024-07-29,13.07,13.98,12.2,12.2,22844
2024-07-30,12.28,13.5,10.8401,12.9209,97971
2024-07-31,12.605,15.4836,11.9901,14.02,85445
2024-08-01,13.99,14.9406,13.01,13.22,16176
