Date,Open,High,Low,Close,Volume
2024-01-02,28.98,29.664,24.0,24.048,196898.87498031
2024-01-03,24.06,24.24,20.4,21.204,195279.24998047
2024-01-04,23.016,24.6,20.664,20.772,202553.28331308
2024-01-05,20.88,21.108,18.6,19.092,151206.35831821
2024-01-08,19.752,23.004,19.2,22.656,214444.58331189
2024-01-09,22.8,24.66,21.012,21.312,177107.35831562
2024-01-10,22.788,23.316,19.44,20.22,101435.80832319
2024-01-11,20.112,21.192,19.2,20.532,90211.49999098
2024-01-12,20.568,21.408,20.112,20.52,62022.416660465
2024-01-16,20.64,22.5,19.8,19.944,98872.54165678
2024-01-17,19.452,20.136,19.08,19.5,82998.841658367
2024-01-18,19.596,20.832,19.212,19.332,148580.72498514
2024-01-19,19.776,19.776,18.72,18.744,60083.408327325
2024-01-22,18.84,19.8,17.4,17.664,113612.83332197
2024-01-23,17.82,18.0,15.96,17.64,104906.08332284
2024-01-24,17.7,18.5999,17.208,17.424,59839.091660682
2024-01-25,17.328,17.424,15.756,16.344,81737.116658493
2024-01-26,16.356,17.52,16.176,16.56,39889.22499601
2024-01-29,16.968,18.48,16.8,17.58,76702.308325662
2024-01-30,18.0,18.0,16.8,16.956,40755.033329258
2024-01-31,16.644,17.16,16.08,16.212,43601.283328973
2024-02-01,16.296,16.296,15.012,15.264,78263.808325508
2024-02-02,15.264,15.3,12.0,14.1,159410.39165073
2024-02-05,13.884,13.908,12.372,12.816,94194.941657248
2024-02-06,13.08,13.6303,11.532,12.48,160991.44165057
2024-02-07,12.288,12.336,10.8,10.86,139761.70831936
2024-02-08,11.136,11.28,10.092,10.68,164187.59998358
2024-02-09,10.656,11.16,10.44,10.62,85067.624991492
2024-02-12,11.232,11.4,9.624,9.9,143601.61665231
2024-02-13,9.9,9.954,8.436,8.688,184703.49998153
2024-02-14,8.784,8.82,7.44,7.68,247364.4333086
2024-02-15,7.824,17.94,7.74,13.092,1434786.7498565
2024-02-16,12.96,14.604,11.112,11.244,408547.4416258
2024-02-20,11.46,12.6,8.352,9.66,337125.97496628
2024-02-21,9.612,9.864,8.412,8.82,226862.03331065
2024-02-22,9.24,10.596,9.144,9.6,219637.60831137
2024-02-23,9.24,10.32,8.832,10.32,98738.391656793
2024-02-26,10.32,11.268,8.76,9.324,270007.69163968
2024-02-27,9.564,9.852,9.012,9.84,145791.58331876
2024-02-28,9.84,9.84,7.428,7.512,392842.54162738
2024-02-29,8.04,8.376,7.2,8.376,320322.3833013
2024-03-01,7.6,9.4,6.84,7.92,354094.425
2024-03-04,8.172,8.24,7.228,7.364,175742.65
2024-03-05,7.204,7.238,6.4,7.004,340047.125
2024-03-06,7.16,7.296,6.408,6.528,243300.325
2024-03-07,6.408,6.454,5.864,5.912,229048.175
2024-03-08,5.84,5.88,5.2,5.32,335123.4
2024-03-11,5.4,5.472,4.92,5.16,195668.8
2024-03-12,5.12,5.2,3.82,4.04,687926.725
2024-03-13,4.0,5.484,3.992,4.32,782665.225
2024-03-14,4.4,4.476,4.028,4.268,229479.425
2024-03-15,4.268,4.4,3.84,3.876,259678.2
2024-03-18,4.0,4.76,3.904,4.2,425093.25
2024-03-19,4.264,4.324,3.608,3.684,479458.3
2024-03-20,3.764,3.8,3.44,3.66,343649.275
2024-03-21,3.68,5.996,3.56,5.44,2570257.525
2024-03-22,6.876,6.916,5.092,5.268,1900278.825
2024-03-25,5.252,5.388,4.056,4.564,601034.85
2024-03-26,4.556,4.8,4.0,4.004,473743.8
2024-03-27,4.0,4.156,3.5,3.808,481600.8
2024-03-28,3.788,4.788,3.52,4.0,555618.6
2024-04-01,3.996,4.0,3.6,3.792,215169.725
2024-04-02,3.84,3.84,3.48,3.6,362943.325
2024-04-03,3.64,3.826,3.56,3.6,368630.75
2024-04-04,3.596,3.636,3.28,3.42,423466.175
2024-04-05,3.3,3.392,3.12,3.136,512194.5
2024-04-08,3.36,4.2,3.24,3.6,1348835.425
2024-04-09,4.0,4.596,3.696,4.472,2123862.5
2024-04-10,4.284,4.368,3.6,3.632,1055418.525
2024-04-11,3.632,3.632,3.204,3.32,588679.7
2024-04-12,3.404,3.584,3.16,3.2,616741.425
2024-04-15,3.2,3.2,2.8,2.88,588718.4
2024-04-16,2.8,2.856,2.6,2.636,585593.525
2024-04-17,2.74,2.74,2.44,2.444,568675.275
2024-04-18,2.484,2.848,2.44,2.46,676602.3
2024-04-19,2.532,2.54,2.24,2.348,734535.2
2024-04-22,2.34,2.6,2.04,2.22,933595.3
2024-04-23,2.276,2.46,2.0,2.16,1625014.125
2024-04-24,2.2,2.2,1.92,1.996,1495919.55
2024-04-25,1.992,1.992,1.804,1.96,773294.275
2024-04-26,2.0,2.08,1.84,1.88,1688187.45
2024-04-29,1.78,1.78,1.52,1.672,2020400.725
2024-04-30,1.68,1.96,1.58,1.764,1788472.125
2024-05-01,1.96,1.96,1.644,1.844,2003592.95
2024-05-02,1.892,1.976,1.6,1.604,2912514.925
2024-05-03,1.636,1.744,1.524,1.636,2132318.275
2024-05-06,1.64,1.752,1.604,1.652,1728794.55
2024-05-07,1.92,2.08,1.672,1.748,4422883.725
2024-05-08,1.66,1.732,1.608,1.672,1488240.5
2024-05-09,1.664,1.664,1.564,1.624,1983514.95
2024-05-10,1.68,1.936,1.6,1.844,2533812.075
2024-05-13,1.92,2.8,1.804,2.44,7286795.825
2024-05-14,3.988,14.392,3.6,11.408,12492374.375
2024-05-15,23.96,39.2,15.532,28.2,6817881.15
2024-05-16,32.488,94.0,30.216,66.0,1581714.125
2024-05-17,108.0,156.0,36.0,41.2,5910467.775
2024-05-20,78.4,90.0,48.0,72.0,17541083.15
2024-05-21,59.2,66.4,49.6,55.6,5709205.375
2024-05-22,50.8,53.2,40.0,44.8,5103347.2
2024-05-23,47.4,58.8,45.2,47.6,5028442.675
2024-05-24,54.4,54.8,45.2,46.4,2811581.325
2024-05-28,50.0,50.0,45.2,46.8,2532786.425
2024-05-29,32.78,35.108,15.624,17.768,10448019.575
2024-05-30,17.66,30.568,17.116,22.612,14573679.175
2024-05-31,26.4,27.68,20.224,23.336,5596114.95
2024-06-03,28.8,29.74,24.4,24.992,5721207.4
2024-06-04,23.64,23.652,20.4,22.284,2539874.75
2024-06-05,20.124,23.8,18.176,21.26,2980805.6
2024-06-06,21.996,23.1,20.004,21.76,4189659.9
2024-06-07,24.4,31.396,23.424,24.424,10494197.85
2024-06-10,25.484,25.88,21.024,22.4,2100543.825
2024-06-11,21.84,23.04,20.468,22.38,1604867.35
2024-06-12,21.784,22.42,20.76,20.852,1520601.425
2024-06-13,21.036,21.112,19.276,20.348,1383401.55
2024-06-14,20.032,23.1,19.6,20.6,1515256.875
2024-06-17,20.8,22.072,20.2,20.492,978351.2
2024-06-18,19.84,20.42,18.6,18.94,1072570.75
2024-06-20,18.748,18.8,16.0,16.268,1560565.55
2024-06-21,16.536,17.116,15.256,15.848,1098680.8
2024-06-24,15.28,15.332,10.988,13.04,3113889.0
2024-06-25,8.748,11.796,8.6,10.6,4594131.525
2024-06-26,12.12,24.0,11.812,18.34,16650139.675
2024-06-27,24.612,27.6,20.0,24.0,14392419.75
2024-06-28,21.26,23.896,18.32,20.264,4941090.125
2024-07-01,19.64,21.508,18.0,18.396,2279079.025
2024-07-02,17.804,17.804,15.356,17.368,2067932.875
2024-07-03,16.724,18.76,16.584,16.96,1362176.675
2024-07-05,16.272,16.732,15.46,16.0,1181951.4
2024-07-08,15.78,16.92,14.404,16.6,1873931.175
2024-07-09,16.0,16.8,15.488,15.6,1242691.225
2024-07-10,15.56,17.56,15.2,15.94,1962823.175
2024-07-11,16.0,17.2,16.0,16.192,1128049.45
2024-07-12,16.116,17.6,16.0,16.88,1196795.7
2024-07-15,16.524,21.888,16.44,20.608,5447928.025
2024-07-16,20.74,21.8,19.348,19.576,1960305.65
2024-07-17,18.784,19.916,18.22,18.448,1136934.425
2024-07-18,18.94,19.08,16.4,16.688,1304785.525
2024-07-19,16.84,16.84,15.6,16.044,741477.45
2024-07-22,16.272,16.272,14.492,15.856,1294346.95
2024-07-23,15.6,16.4,15.0,15.48,692866.175
2024-07-24,15.148,15.148,13.88,14.28,731775.25
2024-07-25,13.712,14.896,13.024,14.4,720938.1
2024-07-26,14.0,14.88,13.72,14.268,564512.4
2024-07-29,14.112,14.268,12.4,13.58,1159177.5
2024-07-30,12.884,12.976,12.24,12.64,594297.35
2024-07-31,14.6,16.276,13.2,14.0,3630967.85
2024-08-01,13.412,13.444,12.12,12.304,950196.95
2024-08-02,12.0,12.2,11.2,12.2,705117.825
2024-08-05,10.0,10.74,9.256,10.404,1096450.075
2024-08-06,10.812,11.108,10.0,10.4,791958.975
2024-08-07,10.4,10.644,8.884,9.124,754327.0
2024-08-08,9.48,10.0,9.008,9.396,886119.575
2024-08-09,9.4,9.52,8.6,8.908,896521.0
2024-08-12,9.236,9.236,7.92,8.516,1211620.7
2024-08-13,8.172,8.32,7.6,7.66,1006823.95
2024-08-14,7.52,7.556,6.028,6.716,1504823.925
2024-08-15,5.4,5.472,4.8,5.072,3269902.575
2024-08-16,5.58,5.792,4.868,5.136,2742123.525
2024-08-19,4.87,4.99,3.8,3.99,5542135.0
2024-08-20,3.97,3.97,2.9,3.0,6707130.0
2024-08-21,2.79,3.709,2.67,3.59,10380356.0
2024-08-22,3.6,8.89,3.27,8.04,153400668.0
2024-08-23,10.5,11.4,6.66,7.23,77861897.0
2024-08-26,6.58,7.9824,5.93,7.58,26678708.0
2024-08-27,7.31,7.8101,6.81,7.08,8599348.0
2024-08-28,6.81,7.23,6.11,6.25,4616062.0
2024-08-29,6.16,6.62,5.36,5.49,3873379.0
2024-08-30,5.46,5.59,4.94,5.025,4639253.0
2024-09-03,5.07,5.09,3.3601,3.43,7067419.0
2024-09-04,3.45,6.48,3.45,5.24,69569349.0
2024-09-05,6.04,6.46,4.81,5.21,20096327.0
2024-09-06,5.98,6.52,4.5,4.8,20462118.0
2024-09-09,4.55,4.55,4.1517,4.48,4143857.0
2024-09-10,4.35,4.82,4.11,4.19,4958090.0
2024-09-11,4.12,4.16,3.865,3.98,3290840.0
2024-09-12,4.06,4.19,3.905,4.04,3658261.0
2024-09-13,4.0,4.16,3.92,3.99,4026180.0
2024-09-16,4.02,4.02,3.6,3.645,4025942.0
2024-09-17,3.75,3.82,3.5,3.56,3660244.0
2024-09-18,3.52,4.05,3.25,3.92,6081154.0
2024-09-19,4.11,4.13,3.66,3.7,4672088.0
2024-09-20,3.5,3.53,3.31,3.37,4857728.0
2024-09-23,3.33,3.33,2.97,3.1,3704494.0
2024-09-24,3.08,3.1414,2.89,2.94,4053843.0
2024-09-25,2.88,2.91,2.71,2.745,4077623.0
2024-09-26,2.93,3.6,2.79,3.01,26677170.0
2024-09-27,3.06,3.0799,2.76,2.78,6606668.0
2024-09-30,2.85,3.19,2.81,2.87,7599216.0
2024-10-01,2.87,2.905,2.7,2.79,3458459.0
2024-10-02,2.88,3.0,2.8,2.94,5247255.0
2024-10-03,2.93,2.93,2.692,2.8,6193255.0
2024-10-04,2.77,2.79,2.65,2.7,3890263.0
2024-10-07,2.65,2.68,2.435,2.48,5024382.0
2024-10-08,2.36,2.43,2.27,2.33,4151300.0
2024-10-09,2.35,2.95,2.25,2.45,27971301.0
2024-10-10,2.65,2.95,2.5,2.75,27949220.0
2024-10-11,2.64,2.65,2.46,2.51,5551566.0
2024-10-14,2.482,2.49,2.34,2.43,3770018.0
2024-10-15,2.35,2.38,2.23,2.28,4066781.0
2024-10-16,2.22,2.45,2.18,2.31,4691148.0
2024-10-17,2.27,2.28,2.21,2.23,2246160.0
2024-10-18,2.23,2.32,2.21,2.24,2392428.0
2024-10-21,2.21,2.29,2.1827,2.22,2316291.0
2024-10-22,2.21,2.2311,2.09,2.12,3272486.0
2024-10-23,2.12,2.16,2.0,2.02,3440967.0
2024-10-24,2.02,2.07,1.9,2.0,3315489.0
2024-10-25,2.4,2.51,2.07,2.16,35789484.0
2024-10-28,2.1,2.28,2.02,2.24,6459615.0
2024-10-29,2.16,2.2,2.08,2.09,3322375.0
2024-10-30,2.06,2.16,2.01,2.03,3088206.0
2024-10-31,2.15,2.16,2.01,2.05,4872699.0
2024-11-01,2.08,2.12,2.0,2.02,3590049.0
2024-11-04,1.89,1.98,1.81,1.94,3201930.0
2024-11-05,1.94,2.0,1.9,1.91,2568545.0
2024-11-06,1.9,1.95,1.81,1.82,4726542.0
2024-11-07,1.88,2.09,1.77,1.79,7846190.0
2024-11-08,1.79,1.8,1.66,1.68,5063596.0
2024-11-11,1.602,1.65,1.56,1.58,6504752.0
2024-11-12,1.56,1.586589,1.46,1.47,7124237.0
2024-11-13,1.63,1.65,1.41,1.42,10931853.0
2024-11-14,1.38,1.46,1.35,1.38,5026439.0
2024-11-15,1.33,1.36,1.24,1.26,5479866.0
2024-11-18,1.25,1.48,1.25,1.28,6692428.0
2024-11-19,1.27,1.33,1.2,1.27,4024825.0
2024-11-20,1.329,1.585,1.26,1.47,16061490.0
2024-11-21,1.5,1.57,1.4,1.57,6641491.0
2024-11-22,1.549,1.5699,1.48,1.51,3492203.0
2024-11-25,1.55,1.7,1.39,1.42,9651953.0
2024-11-26,1.4,1.4389,1.285,1.34,6498570.0
2024-11-27,1.31,1.36,1.21,1.23,6518626.0
2024-11-29,1.225,1.225,0.9934,1.1,9127040.0
2024-12-02,1.11,1.17,1.1,1.13,4880001.0
2024-12-03,1.1,1.12,1.02,1.07,6146256.0
2024-12-04,1.05,1.18,1.05,1.15,6450757.0
2024-12-05,1.16,1.25,1.07,1.22,8769948.0
2024-12-06,1.22,1.305,1.15,1.18,7259538.0
2024-12-09,1.18,1.38,1.15,1.35,10755633.0
2024-12-10,1.3,1.3,1.2,1.23,3729726.0
2024-12-11,1.24,1.245,1.16,1.18,3071808.0
2024-12-12,1.18,1.2199,1.1199,1.17,2409179.0
2024-12-13,1.15,1.25,1.14,1.24,2746941.0
2024-12-16,1.25,1.29,1.18,1.2,3960418.0
2024-12-17,1.2,1.215,1.105,1.13,4764212.0
2024-12-18,1.1,1.16,1.055,1.09,4438903.0
2024-12-19,1.1,1.13,1.07,1.1,2793062.0
2024-12-20,1.1,1.18,1.06,1.16,4661606.0
2024-12-23,1.29,1.35,1.09,1.11,22134693.0
2024-12-24,1.1,1.31,1.1,1.24,7874888.0
2024-12-26,1.21,1.39,1.21,1.32,11561529.0
2024-12-27,1.41,1.77,1.325,1.76,32822020.0
2024-12-30,2.285,3.24,2.19,3.14,159235730.0
2024-12-31,4.22,4.46,2.115,2.43,159522860.0
