Date,Open,High,Low,Close,Volume
2025-07-03,3.68,3.69,2.96,3.28,28983018
2025-07-07,3.12,3.6,2.93,3.22,630995
2025-07-08,3.1,3.3,3.1,3.11,110646
2025-07-09,3.04,3.84,3.0211,3.61,694462
2025-07-10,2.86,3.49,2.32,3.31,340800
2025-07-11,3.0,3.1816,2.86,2.92,120700
2025-07-14,2.83,2.94,2.71,2.94,51881
2025-07-15,2.95,3.09,2.8501,3.01,98895
2025-07-16,3.16,3.4,3.02,3.06,579842
2025-07-17,2.83,2.99,2.83,2.99,98308
2025-07-18,2.9,2.96,2.7911,2.82,106627
2025-07-21,2.8,2.9819,2.72,2.81,85790
2025-07-22,2.69,2.8015,2.6101,2.7427,58139
2025-07-23,2.67,2.86,2.65,2.79,70441
2025-07-24,2.71,2.92,2.71,2.83,42262
2025-07-25,2.81,2.845,2.7,2.7319,53127
2025-07-28,2.79,2.79,2.6602,2.67,21209
2025-07-29,2.67,2.74,2.6109,2.66,11086
2025-07-30,2.7,2.7,2.34,2.35,46368
2025-07-31,2.65,3.6,2.47,2.67,922293
2025-08-01,2.37,2.81,2.33,2.73,57771
2025-08-04,2.75,2.86,2.5701,2.82,27838
2025-08-05,2.75,2.8499,2.56,2.7,49796
2025-08-06,2.81,2.85,2.65,2.73,86197
2025-08-07,2.7001,2.9799,2.6,2.77,51226
2025-08-08,2.69,2.82,2.62,2.7725,25979
2025-08-11,2.7301,2.8468,2.73,2.83,17753
2025-08-12,2.73,2.89,2.72,2.8762,15568
2025-08-13,2.84,2.9,2.78,2.89,39066
2025-08-14,2.7788,2.8305,2.76,2.78,12726
2025-08-15,2.825,2.85,2.7432,2.83,16070
2025-08-18,2.83,2.8839,2.7962,2.87,8323
2025-08-19,2.87,2.8899,2.78,2.8116,9491
2025-08-20,2.69,2.87,2.59,2.87,19194
2025-08-21,2.77,2.8978,2.76,2.85,8390
2025-08-22,2.85,2.9,2.79,2.82,16205
2025-08-25,2.815,2.86,2.75,2.85,16838
2025-08-26,2.8,3.01,2.6755,2.9102,23499
2025-08-27,2.87,2.902,2.65,2.85,6807
2025-08-28,2.85,2.91,2.7,2.865,31012
2025-08-29,2.71,2.8585,2.7,2.7,4857
2025-09-02,2.71,2.94,2.71,2.92,16165
2025-09-03,2.8684,2.92,2.79,2.87,21224
2025-09-04,2.8,2.8455,2.75,2.8,8432
2025-09-05,2.7,3.09,2.7,2.88,49916
2025-09-08,2.7812,2.84,2.7317,2.75,6632
2025-09-09,2.7,3.0,2.7,2.96,59846
2025-09-10,2.3,3.0,2.25,2.88,528947
2025-09-11,2.76,2.94,2.6901,2.85,30853
2025-09-12,2.76,2.83,2.682,2.83,16965
2025-09-15,2.82,3.048,2.75,2.9291,38215
2025-09-16,2.833,2.92,2.8111,2.92,5873
2025-09-17,2.835,2.88,2.8,2.85,9373
2025-09-18,2.76,2.86,2.76,2.8109,25993
2025-09-19,2.81,2.81,2.66,2.7,8399
2025-09-22,2.7,2.7,2.45,2.655,21092
2025-09-23,2.7001,2.75,2.6909,2.6999,4333
2025-09-24,2.73,2.75,2.65,2.75,5278
2025-09-25,2.7015,2.85,2.701,2.8,14797
2025-09-26,2.7,2.7793,2.65,2.7201,6715
2025-09-29,2.685,2.79,2.65,2.72,19560
2025-09-30,2.72,2.83,2.72,2.8,36051
2025-10-01,2.7575,2.78,2.66,2.77,7443
2025-10-02,2.6778,2.84,2.6778,2.84,7441
2025-10-03,2.7988,2.84,2.66,2.7724,9044
2025-10-06,2.77,2.83,2.63,2.69,17607
2025-10-07,2.73,2.83,2.63,2.76,21241
2025-10-08,2.68,2.76,2.62,2.74,10714
2025-10-09,2.715,2.7695,2.7006,2.76,5533
2025-10-10,2.77,2.77,2.6,2.682,12002
2025-10-13,2.7381,2.7381,2.6248,2.7183,1681
2025-10-14,2.57,2.73,2.56,2.68,12352
2025-10-15,2.59,2.7,2.55,2.5701,20570
2025-10-16,2.55,2.62,2.43,2.47,18767
2025-10-17,2.47,2.7248,2.42,2.45,15033
2025-10-20,2.4936,2.613,2.4,2.48,12790
2025-10-21,2.6699,2.6699,2.43,2.47,10398
2025-10-22,2.37,2.52,2.34,2.35,15363
2025-10-23,2.43,2.54,2.38,2.47,10468
2025-10-24,2.4,2.479,2.4,2.47,4331
2025-10-27,2.41,2.5,2.39,2.45,10712
2025-10-28,2.405,2.48,2.39,2.46,5356
2025-10-29,2.4,2.5199,2.39,2.49,10204
2025-10-30,2.5,2.52,2.4,2.485,5279
2025-10-31,2.44,2.49,2.4,2.49,5030
2025-11-03,2.49,2.49,2.44,2.47,12812
2025-11-04,2.41,2.49,2.4,2.49,14493
2025-11-05,2.7,2.7,2.52,2.52,6347
2025-11-06,2.5337,2.54,2.46,2.46,5554
2025-11-07,2.4209,2.46,2.4,2.4,4520
2025-11-10,2.428,2.44,2.39,2.42,9433
2025-11-11,2.39,2.393,2.29,2.295,5757
2025-11-12,2.23,2.63,2.1425,2.465,51381
2025-11-13,2.29,2.35,1.8,1.82,138647
2025-11-14,1.78,1.87,1.495,1.58,37318
2025-11-17,1.96,1.96,1.66,1.66,25234
2025-11-18,1.7,1.9499,1.7,1.93,33391
2025-11-19,2.0,2.12,2.0,2.12,9156
2025-11-20,2.16,2.21,2.12,2.14,16712
2025-11-21,2.15,2.2,2.15,2.19,11142
2025-11-24,2.21,2.3,2.19,2.29,11769
2025-11-25,2.39,2.5,2.3101,2.44,35341
2025-11-26,2.54,2.54,2.45,2.46,14271
2025-11-28,2.49,2.644,2.49,2.605,10942
2025-12-01,2.52,2.5999,2.285,2.43,19693
2025-12-02,2.35,2.47,2.3,2.46,1103189
2025-12-03,1.88,1.9266,1.65,1.9,239428
2025-12-04,1.93,1.948,1.85,1.89,52267
2025-12-05,1.88,2.385,1.88,2.35,88369
2025-12-08,2.3,2.47,2.23,2.43,56622
2025-12-09,2.36,2.59,2.36,2.57,18509
2025-12-10,2.5,2.55,2.26,2.55,27692
2025-12-11,2.5385,2.8,2.47,2.63,62381
2025-12-12,2.7244,2.8,2.64,2.8,34544
2025-12-15,2.79,3.01,2.71,2.84,80355
2025-12-16,2.85,2.9055,2.67,2.78,22159
2025-12-17,2.825,2.8476,2.73,2.79,4251
2025-12-18,2.79,2.8202,2.7106,2.78,7060
2025-12-19,2.9399,2.9399,2.71,2.74,11176
2025-12-22,2.81,2.81,2.56,2.6,30780
2025-12-23,2.7411,2.7411,2.58,2.61,9739
2025-12-24,2.6298,2.64,2.56,2.63,19219
2025-12-26,2.66,2.76,2.5101,2.76,17080
2025-12-29,2.76,2.86,2.63,2.85,26986
2025-12-30,2.94,3.3099,2.88,3.13,65125
2025-12-31,3.12,3.56,3.11,3.21,80869
2026-01-02,3.43,3.525,3.38,3.46,65348
2026-01-05,3.67,3.88,3.555,3.79,74387
2026-01-06,3.94,3.97,3.83,3.88,72674
2026-01-07,3.78,3.87,3.12,3.19,75026
2026-01-08,3.51,3.8399,3.33,3.47,97703
2026-01-09,3.42,3.6944,3.41,3.46,9901
2026-01-12,3.45,3.695,3.4,3.44,20758
2026-01-13,3.455,3.485,3.455,3.46,10778
2026-01-14,3.39,3.44,3.39,3.44,4451
2026-01-15,3.53,3.61,3.46,3.53,35588
2026-01-16,3.51,3.65,3.49,3.65,9701
2026-01-20,3.6739,3.6739,3.6,3.6298,11990
2026-01-21,3.62,4.2,3.62,4.2,76535
2026-01-22,4.2,4.49,4.185,4.486,57528
2026-01-23,4.5,4.69,4.3659,4.45,46246
2026-01-26,4.59,4.7499,4.5,4.74,35506
2026-01-27,4.88,6.07,4.86,6.07,87783
2026-01-28,6.5,7.95,6.2645,7.26,253039
2026-01-29,7.37,7.8,6.94,6.94,99573
2026-01-30,6.94,7.0,4.72,4.74,140695
2026-02-02,4.87,6.15,4.86,5.16,3327938
2026-02-03,6.2,6.38,4.26,4.48,2646666
2026-02-04,4.2,4.9,4.2,4.6,198587
2026-02-05,4.5,5.3,4.4,4.62,153743
2026-02-06,4.65,4.99,4.65,4.91,44938
2026-02-09,4.82,5.1,4.7505,5.05,31900
2026-02-10,4.9018,5.65,4.9,5.42,52764
2026-02-11,5.28,5.6,5.28,5.57,60748
2026-02-12,5.4001,5.71,5.35,5.71,119128
2026-02-13,6.125,6.79,6.02,6.67,92920
2026-02-17,6.45,7.22,6.03,7.16,64877
2026-02-18,6.82,7.01,6.6,7.01,42336
2026-02-19,6.96,7.12,6.81,7.05,21773
2026-02-20,7.05,7.24,6.87,7.24,24713
2026-02-23,7.26,7.26,6.791,6.97,11400
2026-02-24,7.02,7.02,6.65,6.88,36500
2026-02-25,6.56,6.64,6.31,6.316,25600
2026-02-26,6.31,6.35,6.13,6.25,17752
2026-02-27,6.25,6.25,5.48,5.615,78108
2026-03-02,5.49,6.7464,5.49,6.3,34130
2026-03-03,6.36,6.48,6.12,6.13,35157
2026-03-04,6.5315,6.5315,6.1,6.475,19503
2026-03-05,6.5,6.6556,6.3903,6.43,10819
2026-03-06,6.29,6.44,6.29,6.44,3448
2026-03-09,6.4013,6.51,6.2,6.46,14791
2026-03-10,6.55,6.9124,6.375,6.78,21217
2026-03-11,6.87,7.06,6.8,6.915,14890
2026-03-12,6.96,7.075,6.9,6.93,18412
2026-03-13,6.8,6.9,6.7296,6.88,17786
2026-03-16,6.97,7.8,6.89,7.32,39164
2026-03-17,7.46,7.46,7.15,7.27,16152
2026-03-18,7.19,7.19,6.81,6.92,9834
2026-03-19,6.77,7.1,6.7,6.77,7122
2026-03-20,6.78,6.8,6.6,6.62,32948
2026-03-23,6.8,7.1,6.7135,7.065,24491
2026-03-24,7.05,7.08,6.61,7.04,34978
2026-03-25,7.04,7.15,6.95,7.08,10207
2026-03-26,7.0,7.0,6.91,6.955,6066
2026-03-27,6.9001,6.95,6.745,6.808,6448
2026-03-30,6.78,7.02,6.7,6.95,13624
2026-03-31,6.83,7.099,6.83,7.06,12984
2026-04-01,7.0,7.06,6.9,7.06,21890
2026-04-02,6.985,7.1,6.985,7.1,5204
2026-04-06,6.97,7.25,6.97,7.24,15885
2026-04-07,7.24,7.3,7.1,7.26,19904
2026-04-08,7.5,7.59,7.38,7.54,15286
2026-04-09,7.5869,7.5869,7.45,7.45,6233
2026-04-10,7.543,7.809,7.543,7.6,9528
2026-04-13,7.6,7.6,7.4301,7.56,8744
2026-04-14,7.535,7.535,7.45,7.46,5653
2026-04-15,7.48,7.8122,7.48,7.6,12511
2026-04-16,7.6007,7.729,7.52,7.7,6798
2026-04-17,7.68,7.68,7.455,7.56,17354
2026-04-20,7.45,7.81,7.45,7.62,8567
2026-04-21,7.55,7.6,7.5,7.555,4543
2026-04-22,7.58,7.58,7.32,7.32,23601
2026-04-23,7.21,7.3008,5.7516,5.84,56322
2026-04-24,5.9,6.9616,5.9,6.62,14374
2026-04-27,6.75,7.15,6.75,6.87,9914
2026-04-28,7.03,7.46,6.75,7.0022,7155
2026-04-29,7.0,7.2,7.0,7.18,12021
2026-04-30,7.4375,7.4375,6.9,6.93,12212
2026-05-01,7.48,7.48,6.87,7.11,6744
2026-05-04,6.91,7.03,6.8949,6.94,2903
2026-05-05,6.85,6.88,6.85,6.88,1256
2026-05-06,6.51,6.7507,6.33,6.33,6176
2026-05-07,6.33,6.6,5.8759,6.45,15162
2026-05-08,6.8835,6.9,6.19,6.52,7793
2026-05-11,7.09,7.1,6.765,6.9,8458
2026-05-12,6.64,6.98,6.64,6.81,2002
2026-05-13,6.7326,6.8,6.6,6.6,1817
2026-05-14,6.6181,6.709,6.43,6.43,3355
2026-05-15,6.37,6.49,6.301,6.48,6148
2026-05-18,6.59,6.59,6.4,6.4,3285
2026-05-19,6.6803,6.6803,6.3,6.33,12837
2026-05-20,6.33,6.65,6.3,6.31,4397
2026-05-21,6.25,6.48,6.12,6.12,3115
2026-05-22,6.230000019073486,6.230000019073486,6.099999904632568,6.110000133514404,2900
2026-05-26,5.769999980926514,6.230000019073486,5.769999980926514,5.889999866485596,11500
2026-05-27,5.909999847412109,5.909999847412109,5.599999904632568,5.699999809265137,10800
2026-05-28,5.610000133514404,5.800000190734863,5.199999809265137,5.199999809265137,12100
2026-05-29,5.53000020980835,5.949999809265137,5.53000020980835,5.690000057220459,6400
2026-06-01,5.690000057220459,5.800000190734863,5.53000020980835,5.599999904632568,12400
2026-06-02,5.610000133514404,5.789999961853027,4.920000076293945,5.150000095367432,29600
2026-06-03,5.679999828338623,5.679999828338623,5.190000057220459,5.190000057220459,7800
